Timestamp;GazePoint
636215517089,33;
1167610017,1551;0.5075:0.5257
1167610017,19215;0.4993:0.5088
1167610017,22877;0.504:0.5104
1167610017,26515;0.5039:0.50315
1167610017,30296;0.5026:0.5055
1167610017,34115;
1167610017,37946;0.50375:0.50945
1167610017,41222;0.5057:0.5129
1167610017,45483;0.5042:0.49635
1167610017,49308;0.6:0.5213
1167610017,53078;0.7258:0.58145
1167610017,56797;0.73115:0.57855
1167610017,60653;0.73025:0.5865
1167610017,64459;0.72895:0.57775
1167610017,68279;0.72835:0.5842
1167610017,71969;0.7312:0.58715
1167610017,75726;0.7323:0.58825
1167610017,79455;0.7342:0.5714
1167610017,83267;0.73725:0.56735
1167610017,87052;0.72815:0.57495
1167610017,90767;0.7285:0.56875
1167610017,94543;0.72795:0.5961
1167610017,98292;0.70105:0.64185
1167610018,02109;0.69375:0.7363
1167610018,06284;0.68815:0.7518
1167610018,09984;0.689:0.75335
1167610018,13738;0.68525:0.72695
1167610018,17392;0.689:0.78005
1167610018,21066;0.6839:0.7948
1167610018,25075;0.6823:0.8006
1167610018,28786;0.68585:0.78975
1167610018,32888;0.68165:0.81275
1167610018,36589;0.682:0.81045
1167610018,40888;0.6815:0.8148
1167610018,44646;0.68365:0.8197
1167610018,48814;0.67315:0.70025
1167610018,52568;0.67165:0.6581
1167610018,56978;0.67145:0.65305
1167610018,60913;0.6744:0.65135
1167610018,65081;0.67105:0.66275
1167610018,68962;0.6726:0.6578
1167610018,73312;0.67105:0.6453
1167610018,77241;0.67515:0.6437
1167610018,8169;0.6742:0.6457
1167610018,85663;0.57605:0.80635
1167610018,90011;0.57665:0.8096
1167610018,93774;0.5762:0.80095
1167610018,9759;0.57555:0.7975
1167610019,0138;0.5885:0.8679
1167610019,05306;0.59:0.8446
1167610019,09185;0.5864:0.84335
1167610019,13135;0.5969:0.8604
1167610019,17166;0.59755:0.8649
1167610019,21372;0.58815:0.85085
1167610019,25699;0.59565:0.866
1167610019,29893;0.2972:0.78355
1167610019,33968;0.30685:0.79785
1167610019,3787;0.2829:0.80405
1167610019,41744;0.2836:0.78875
1167610019,45876;0.30545:0.8064
1167610019,50065;0.3054:0.78015
1167610019,54012;0.30425:0.8117
1167610019,58041;0.3053:0.79305
1167610019,62031;0.30855:0.7933
1167610019,66026;0.3077:0.7887
1167610019,69881;0.17705:0.8332
1167610019,73729;0.17495:0.85845
1167610019,7759;0.17835:0.8592
1167610019,81421;0.18605:0.84985
1167610019,85367;0.18175:0.8274
1167610019,89474;0.18005:0.8391
1167610019,93586;0.18765:0.85375
1167610019,9808;0.1823:0.8396
1167610020,01974;0.19345:0.8487
1167610020,05945;0.18725:0.85975
1167610020,09921;0.1872:0.8292
1167610020,14037;0.1905:0.8508
1167610020,18447;0.1871:0.83055
1167610020,22554;0.18175:0.84525
1167610020,27025;0.1953:0.8416
1167610020,31154;0.19505:0.8382
1167610020,35683;0.189:0.8535
1167610020,39665;0.19305:0.86035
1167610020,44053;0.1821:0.841
1167610020,48011;0.17685:0.84515
1167610020,52598;0.18115:0.84715
1167610020,56594;0.1917:0.8236
1167610020,60962;0.106:0.837
1167610020,64961;0.0678:0.8326
1167610020,69374;0.0599:0.8478
1167610020,73414;0.06495:0.84455
1167610020,77813;0.07165:0.83605
1167610020,81783;0.06405:0.8388
1167610020,86175;0.08225:0.28425
1167610020,90077;0.0973:0.26765
1167610020,94123;0.09815:0.24705
1167610020,98162;0.0982:0.2611
1167610021,02297;0.0951:0.2625
1167610021,06309;0.0977:0.2582
1167610021,10286;0.22375:0.15795
1167610021,14166;0.21745:0.16175
1167610021,1799;0.2188:0.15625
1167610021,21915;0.2195:0.1525
1167610021,25816;0.21965:0.15495
1167610021,29632;0.2227:0.16145
1167610021,33452;
1167610021,37423;
1167610021,41377;0.07305:0.17285
1167610021,44908;0.07605:0.15645
1167610021,49054;0.077:0.17315
1167610021,53248;0.077:0.1859
1167610021,57485;0.17295:0.16585
1167610021,61758;0.2709:0.1537
1167610021,65948;0.2667:0.14935
1167610021,7003;0.2707:0.15755
1167610021,741;0.268:0.15405
1167610021,78196;0.2616:0.1616
1167610021,82376;0.26175:0.16185
1167610021,86388;0.5054:0.11265
1167610021,90594;0.58665:0.1204
1167610021,95187;0.58225:0.1153
1167610021,99326;0.5816:0.11685
1167610022,03354;0.5771:0.1261
1167610022,07275;0.57805:0.1183
1167610022,11324;0.83095:0.0475
1167610022,15799;0.8339:0.0359
1167610022,20181;0.80715:0.08925
1167610022,24507;0.8083:0.0981
1167610022,29123;0.80865:0.0809
1167610022,3383;0.8091:0.08505
1167610022,37861;0.8068:0.07955
1167610022,42486;0.8108:0.08155
1167610022,46412;0.80825:0.0775
1167610022,51042;0.8089:0.0855
1167610022,55036;0.8122:0.0753
1167610022,59543;0.8111:0.0799
1167610022,63552;0.8105:0.0691
1167610022,68171;0.80665:0.0647
1167610022,72409;0.80335:0.08095
1167610022,7708;0.8061:0.08585
1167610022,81325;0.8102:0.0708
1167610022,86476;0.80825:0.06555
1167610022,90599;0.81975:0.061
1167610022,94927;0.8178:0.0686
1167610022,99167;0.8191:0.05875
1167610023,03564;0.8187:0.0686
1167610023,07894;0.81965:0.07645
1167610023,12192;0.8223:0.06665
1167610023,16512;0.8208:0.0702
1167610023,20721;0.81655:0.07565
1167610023,25186;0.81905:0.07975
1167610023,29465;0.81625:0.0806
1167610023,3353;0.9465:0.24035
1167610023,37736;0.93335:0.2426
1167610023,41925;0.9331:0.24455
1167610023,46005;0.92795:0.24565
1167610023,50148;0.93025:0.2491
1167610023,54894;0.92005:0.1931
1167610023,5911;0.9189:0.19015
