Timestamp;GazePoint
636215518244,476;
1167610132,64878;
1167610132,67469;
1167610132,72511;
1167610132,77058;
1167610132,80756;0.45765:0.4418
1167610132,82881;0.44615:0.435
1167610132,86911;0.45155:0.446
1167610132,90599;0.44435:0.4112
1167610132,9431;0.43985:0.406
1167610132,97975;0.24815:0.307
1167610133,01841;0.2459:0.3059
1167610133,05566;0.22465:0.3106
1167610133,09225;0.2292:0.3123
1167610133,13081;0.23105:0.312
1167610133,16528;0.23315:0.30625
1167610133,20013;0.1898:0.2924
1167610133,23431;0.18595:0.2989
1167610133,27112;0.18875:0.29245
1167610133,30632;0.19415:0.2903
1167610133,34166;0.1871:0.28545
1167610133,37776;0.2222:0.1162
1167610133,41512;0.224:0.1165
1167610133,45034;0.22765:0.1093
1167610133,48691;0.2247:0.11485
1167610133,52466;0.22185:0.12075
1167610133,56142;0.2265:0.1057
1167610133,59829;0.2101:0.118
1167610133,63836;0.21345:0.1148
1167610133,67438;0.21335:0.12885
1167610133,71112;0.21475:0.12055
1167610133,7478;0.2144:0.11815
1167610133,78516;0.2121:0.121
1167610133,82211;0.2163:0.11545
1167610133,86445;0.2134:0.1205
1167610133,90472;0.2092:0.1237
1167610133,94625;0.2145:0.1217
1167610133,98369;0.21195:0.11455
1167610134,02838;0.21445:0.1177
1167610134,06731;0.2178:0.12115
1167610134,11061;0.21765:0.11725
1167610134,14838;0.21555:0.11785
1167610134,19205;0.21135:0.10945
1167610134,23144;0.3409:0.4903
1167610134,27558;0.3268:0.60605
1167610134,31428;0.33095:0.60295
1167610134,35731;0.3304:0.60015
1167610134,39542;0.33165:0.5896
1167610134,4396;0.33225:0.5981
1167610134,47963;0.3451:0.5613
1167610134,52398;0.3453:0.5566
1167610134,56344;0.34255:0.54955
1167610134,60259;0.3353:0.5666
1167610134,64209;0.34:0.5629
1167610134,68214;0.3444:0.56045
1167610134,72139;0.34045:0.56245
1167610134,76093;0.34615:0.5682
1167610134,79914;0.2736:0.57715
1167610134,83816;0.2083:0.5975
1167610134,87597;0.21005:0.59465
1167610134,91384;0.20795:0.59045
1167610134,95099;0.2122:0.58985
1167610134,98787;0.2091:0.5748
1167610135,02586;0.21545:0.5886
1167610135,06381;0.2133:0.58825
1167610135,10105;0.2078:0.58575
1167610135,13833;0.1987:0.60825
1167610135,17588;0.1995:0.59605
1167610135,2134;0.19945:0.6011
1167610135,25119;0.20275:0.58475
1167610135,28792;0.20655:0.58395
1167610135,32644;0.2044:0.60935
1167610135,36511;0.2073:0.58275
1167610135,40363;0.2036:0.60575
1167610135,4421;0.1999:0.60005
1167610135,48258;0.20385:0.59855
1167610135,521;0.20265:0.60095
1167610135,55738;0.1987:0.58715
1167610135,6001;0.2063:0.5875
1167610135,63756;0.2057:0.6174
1167610135,67673;0.19985:0.64185
1167610135,71419;0.2008:0.6597
1167610135,7518;0.2037:0.64425
1167610135,79043;0.1999:0.6506
1167610135,83035;0.1965:0.6462
1167610135,8689;0.1168:0.70235
1167610135,91197;0.1182:0.72405
1167610135,95165;0.11845:0.70625
1167610135,99609;0.1176:0.7068
1167610136,03585;0.1223:0.70035
1167610136,07983;0.12315:0.6903
1167610136,11917;0.1161:0.7158
1167610136,16414;0.11705:0.70515
1167610136,20325;0.12215:0.7092
1167610136,24814;0.129:0.6904
1167610136,28751;0.11965:0.7025
1167610136,33025;0.2116:0.9183
1167610136,36953;0.2155:0.9256
1167610136,41344;0.21585:0.9176
1167610136,45274;0.2202:0.9297
1167610136,49552;
1167610136,53329;0.22565:0.8905
1167610136,56565;0.2812:0.86045
1167610136,60191;0.2884:0.8596
1167610136,64018;0.2836:0.86315
1167610136,67921;0.29225:0.86795
1167610136,71892;0.28525:0.8596
1167610136,75839;0.28035:0.8357
1167610136,79673;0.27625:0.8378
1167610136,83614;
1167610136,87657;
1167610136,91246;
1167610136,94898;0.30205:0.82015
1167610136,98431;0.2849:0.83995
1167610137,02377;0.2946:0.82315
1167610137,06316;
1167610137,10443;0.3316:0.8116
1167610137,14044;
1167610137,17917;
1167610137,21482;
1167610137,24935;
1167610137,28614;
1167610137,33093;
1167610137,36771;
1167610137,40574;0.75345:0.4275
1167610137,44774;0.74825:0.43145
1167610137,48538;0.75715:0.41485
1167610137,52465;0.75395:0.41015
1167610137,56994;0.74555:0.40725
1167610137,6132;0.74525:0.40975
1167610137,65298;0.7445:0.3881
1167610137,69309;0.7445:0.39445
1167610137,73368;0.7531:0.13725
1167610137,77878;0.76275:0.0958
1167610137,82393;0.75905:0.0986
1167610137,87027;0.75635:0.1113
1167610137,91282;0.76315:0.11295
1167610137,96183;0.6891:0.1576
1167610138,005;0.68955:0.17125
1167610138,05005;0.68675:0.17455
1167610138,09029;0.69045:0.18585
1167610138,13576;0.6891:0.17865
1167610138,17666;0.6891:0.17705
1167610138,2209;0.69275:0.17055
1167610138,26232;0.69345:0.1733
1167610138,30705;0.69275:0.18315
1167610138,34766;0.6919:0.17595
1167610138,39312;0.6953:0.1927
1167610138,43452;0.6896:0.18205
1167610138,47848;0.8945:0.1847
1167610138,51757;0.89115:0.20695
1167610138,55875;0.8952:0.1888
1167610138,60575;0.889:0.1936
1167610138,64638;0.85965:0.1783
1167610138,68989;0.8626:0.19145
1167610138,73141;0.8642:0.1932
1167610138,77272;0.86735:0.1866
1167610138,81415;0.87205:0.1871
1167610138,85455;0.86425:0.1966
1167610138,89478;
1167610138,93669;0.8765:0.1774
1167610138,97422;0.87415:0.19385
1167610139,01521;0.88655:0.35315
1167610139,05775;0.8914:0.34095
1167610139,09855;0.8952:0.32955
1167610139,14013;0.88465:0.35215
1167610139,18078;0.89035:0.3523
1167610139,22754;0.88885:0.3461
1167610139,26822;0.89085:0.3539
1167610139,30914;0.79935:0.73005
1167610139,35113;0.7978:0.8284
1167610139,39241;0.79535:0.81885
1167610139,43324;0.79035:0.82595
1167610139,47413;0.7917:0.84125
1167610139,51434;0.701:0.8
1167610139,55859;0.7106:0.82345
1167610139,59983;0.71265:0.81855
1167610139,64129;0.7139:0.7904
1167610139,68311;0.70985:0.78445
1167610139,72475;0.76375:0.8813
1167610139,77028;0.76585:0.92285
1167610139,8131;0.76065:0.91595
1167610139,85753;0.76205:0.90335
1167610139,89894;0.7583:0.9177
1167610139,94569;0.75075:0.89485
1167610139,98799;0.7529:0.9068
1167610140,03429;0.75835:0.89455
1167610140,0761;0.7585:0.9043
1167610140,12266;0.7624:0.8576
1167610140,16388;0.836:0.2306
1167610140,21028;0.8311:0.23535
1167610140,26029;0.8425:0.2181
1167610140,30815;0.8433:0.21565
1167610140,35062;0.8357:0.23015
1167610140,39742;0.8403:0.22205
1167610140,43954;0.7223:0.20045
1167610140,48553;0.29925:0.2064
1167610140,52641;0.29115:0.19325
1167610140,57522;0.2856:0.18535
1167610140,62206;0.2872:0.17365
1167610140,6653;0.282:0.18935
1167610140,7103;0.287:0.19085
1167610140,75226;0.2813:0.1848
1167610140,79728;0.2841:0.29095
1167610140,83871;0.29545:0.4569
1167610140,87909;0.29565:0.4662
1167610140,92029;0.29685:0.4484
1167610140,96082;0.28865:0.4649
1167610141,00206;0.29575:0.4528
1167610141,0434;0.29465:0.46655
1167610141,08494;0.18855:0.61505
1167610141,12631;0.18445:0.6183
1167610141,16874;0.1874:0.6287
1167610141,21047;0.1856:0.6377
1167610141,25196;0.1847:0.61895
1167610141,29326;0.1945:0.6175
1167610141,334;0.18895:0.62655
1167610141,37563;0.2647:0.43245
1167610141,41816;0.2686:0.4062
1167610141,46064;0.26825:0.4044
1167610141,5027;0.2672:0.40105
1167610141,54377;0.26175:0.1248
1167610141,59036;0.2487:0.1115
1167610141,63108;0.25:0.11305
1167610141,67257;0.24715:0.1217
1167610141,7148;0.21405:0.10825
1167610141,76751;0.21385:0.11505
1167610141,80917;0.2124:0.12395
1167610141,86196;0.21225:0.1073
1167610141,90421;0.21315:0.10925
1167610141,95213;0.2098:0.1262
1167610141,99249;0.2079:0.117
1167610142,03796;0.2101:0.1098
1167610142,07926;0.21175:0.1162
1167610142,12547;0.2112:0.10665
1167610142,1677;0.212:0.1279
1167610142,21242;0.2124:0.1083
1167610142,25314;0.21335:0.1157
1167610142,29834;0.2095:0.10665
1167610142,33971;0.21225:0.1135
1167610142,39172;0.2133:0.1018
1167610142,43884;0.2122:0.1187
1167610142,48388;0.22705:0.1126
1167610142,52406;0.22455:0.10865
1167610142,56453;0.22435:0.12145
1167610142,60528;0.22875:0.10565
1167610142,64785;0.2293:0.1109
1167610142,68841;0.22745:0.1037
1167610142,72918;0.22265:0.116
1167610142,77005;0.22765:0.11265
1167610142,81687;0.225:0.11505
1167610142,8649;0.2263:0.11195
1167610142,90616;0.2274:0.12375
1167610142,94742;0.2153:0.1214
1167610142,98895;0.2152:0.10635
1167610143,03032;0.2104:0.11395
1167610143,07256;0.2091:0.11285
1167610143,11445;0.21285:0.10345
1167610143,16156;0.2124:0.11755
1167610143,20471;0.2092:0.12505
1167610143,25246;0.2131:0.1162
1167610143,29472;0.21705:0.1162
1167610143,33591;0.21215:0.1169
1167610143,37778;0.2188:0.10425
1167610143,41977;0.2097:0.124
1167610143,46211;0.2146:0.11805
1167610143,50412;0.21535:0.1174
1167610143,54614;0.23:0.23415
1167610143,59085;0.22475:0.59035
1167610143,63096;0.22495:0.57045
1167610143,67808;0.21815:0.59665
1167610143,71842;0.1936:0.61525
1167610143,76331;0.19995:0.61315
1167610143,8048;0.20005:0.60465
1167610143,85497;0.19935:0.5987
1167610143,89536;0.1992:0.6015
1167610143,94191;0.19965:0.59345
1167610143,98217;0.1986:0.5865
1167610144,0272;0.2001:0.6
1167610144,06797;0.2006:0.591
1167610144,11414;0.19285:0.5881
1167610144,15455;0.1983:0.5787
1167610144,19856;0.19415:0.589
1167610144,23771;0.206:0.32795
1167610144,28764;0.21205:0.12845
1167610144,32762;0.21195:0.13285
1167610144,37213;0.21725:0.12975
1167610144,41146;0.21185:0.13635
1167610144,45497;0.2047:0.10945
1167610144,49409;0.208:0.10915
1167610144,53363;0.20085:0.1165
1167610144,57276;0.20175:0.113
1167610144,61168;0.2043:0.1229
1167610144,65018;0.20285:0.11395
1167610144,68863;0.2098:0.12875
1167610144,7281;0.21075:0.1091
1167610144,76667;0.20405:0.12065
1167610144,80497;0.2176:0.1154
1167610144,84419;0.21555:0.1179
1167610144,88248;0.2181:0.11095
1167610144,92066;0.21255:0.1166
1167610144,96009;0.21715:0.11315
1167610144,9993;0.2159:0.111
1167610145,03871;0.2139:0.12015
1167610145,0784;0.2203:0.11005
1167610145,1178;0.2166:0.12965
1167610145,15718;0.20855:0.12895
1167610145,19561;0.16365:0.27405
1167610145,23398;
1167610145,2746;0.16445:0.2687
1167610145,30426;0.16375:0.26025
1167610145,34668;0.16495:0.2819
1167610145,38771;0.16585:0.2705
1167610145,42812;0.1635:0.27435
1167610145,47492;0.23805:0.2561
1167610145,5162;0.29125:0.24905
1167610145,55944;0.29715:0.2439
1167610145,60051;0.29715:0.23975
1167610145,64283;0.29705:0.25005
1167610145,68417;0.2945:0.24805
1167610145,73005;
1167610145,77106;0.2304:0.15635
1167610145,80376;0.2035:0.13975
1167610145,84471;0.207:0.12585
1167610145,89211;0.20835:0.12225
1167610145,93346;0.2074:0.12555
1167610145,97922;0.2069:0.11215
1167610146,02648;0.20735:0.1167
1167610146,07269;0.2102:0.12815
1167610146,11319;0.2113:0.5898
1167610146,16479;0.21805:0.61955
1167610146,20571;0.2176:0.6171
1167610146,24967;0.2193:0.591
1167610146,29559;0.22055:0.58895
1167610146,34626;
1167610146,38768;
1167610146,44499;0.1837:0.6051
1167610146,48269;0.19565:0.5794
1167610146,53065;0.1959:0.58475
1167610146,57653;
1167610146,62289;
1167610146,64884;
1167610146,67546;0.20145:0.8444
1167610146,72636;0.21425:0.61785
1167610146,76663;
1167610146,80921;0.22295:0.60295
1167610146,83517;0.22595:0.6157
1167610146,87926;0.2139:0.62625
1167610146,92089;0.2167:0.60925
1167610146,96884;0.216:0.59785
1167610147,01046;0.21655:0.6164
1167610147,0522;0.3761:0.84395
1167610147,09999;0.37945:0.8335
1167610147,14045;0.3779:0.8267
1167610147,17992;0.3733:0.84
1167610147,21982;0.37525:0.8375
1167610147,25982;0.2598:0.8942
1167610147,29925;0.2126:0.92055
1167610147,33869;0.22975:0.90275
1167610147,37635;0.2121:0.93895
1167610147,41392;0.22715:0.92575
1167610147,45222;0.2283:0.94625
1167610147,4901;0.2162:0.92775
1167610147,53267;0.2322:0.9151
1167610147,56949;0.2258:0.92815
1167610147,60809;0.21865:0.92115
1167610147,64561;0.21035:0.94135
1167610147,68472;0.22535:0.94765
1167610147,72724;0.23205:0.9258
1167610147,76688;0.2222:0.91405
1167610147,81175;0.18565:0.6464
1167610147,85121;0.17655:0.6594
1167610147,89663;0.17775:0.65835
1167610147,93691;0.18185:0.66025
1167610147,98149;0.1799:0.65065
1167610148,02189;0.18075:0.6576
1167610148,06745;0.1797:0.672
1167610148,10741;0.1775:0.66125
1167610148,15223;0.1827:0.65015
1167610148,19227;0.18525:0.67075
1167610148,23759;0.21405:0.6282
1167610148,2791;0.20775:0.6354
1167610148,32341;0.20725:0.65025
1167610148,3637;0.20705:0.63195
1167610148,40694;0.2123:0.628
1167610148,44558;0.2065:0.6267
1167610148,48572;0.3116:0.5634
1167610148,52441;0.32805:0.55725
1167610148,56477;0.334:0.5511
1167610148,60364;0.32695:0.56485
1167610148,64483;0.3328:0.54275
1167610148,68577;0.33025:0.5359
1167610148,72572;0.3038:0.4836
1167610148,76492;0.3053:0.49015
1167610148,80452;0.30495:0.48665
1167610148,84252;0.30665:0.48075
1167610148,87989;0.3038:0.492
1167610148,91767;0.30455:0.4875
1167610148,95647;0.30345:0.4944
1167610148,99525;0.30465:0.4887
1167610149,03287;0.34045:0.544
1167610149,07046;0.34375:0.54465
1167610149,10891;0.3433:0.53165
1167610149,14785;0.3464:0.5243
1167610149,18537;0.3433:0.53215
1167610149,2235;0.3362:0.53445
1167610149,26188;0.3416:0.55645
1167610149,29954;0.3432:0.5329
1167610149,3366;0.3398:0.53735
1167610149,37457;0.3418:0.541
1167610149,41188;0.33985:0.53505
1167610149,45013;0.34235:0.54105
1167610149,49211;0.33395:0.5531
1167610149,53042;0.34325:0.53555
1167610149,56849;0.34:0.53585
1167610149,60698;0.3436:0.5423
1167610149,64525;0.7007:0.66345
1167610149,68784;0.72835:0.6754
1167610149,72808;0.7456:0.6506
1167610149,76943;0.7454:0.64905
1167610149,81108;0.7483:0.6527
1167610149,8559;0.7528:0.65525
