Timestamp;GazePoint
636215516753,381;
1167609983,5686;0.4604:0.69045
1167609983,60316;0.45815:0.5403
1167609983,63912;0.4604:0.5276
1167609983,67454;0.4599:0.5331
1167609983,71021;0.45875:0.53555
1167609983,74595;0.45745:0.5291
1167609983,78115;0.4612:0.5311
1167609983,81782;0.4619:0.522
1167609983,85315;0.4632:0.5153
1167609983,88784;0.267:0.4969
1167609983,92311;0.242:0.50065
1167609983,95761;0.2407:0.50535
1167609983,99165;0.24085:0.5074
1167609984,02567;0.24705:0.4903
1167609984,05976;0.2432:0.48525
1167609984,09414;0.2489:0.49815
1167609984,12891;0.24515:0.4979
1167609984,16381;0.19565:0.45135
1167609984,19806;0.19625:0.45635
1167609984,23187;0.193:0.4427
1167609984,26564;0.1971:0.4526
1167609984,29916;0.19715:0.45845
1167609984,3335;0.197:0.45515
1167609984,36827;0.1927:0.4482
1167609984,40427;0.199:0.449
1167609984,43871;0.16985:0.4413
1167609984,47307;0.1699:0.42285
1167609984,50713;0.16815:0.4375
1167609984,54138;0.1751:0.43215
1167609984,57569;0.1533:0.4233
1167609984,60913;0.15195:0.4348
1167609984,6462;0.15525:0.44485
1167609984,67896;0.15745:0.43785
1167609984,71225;0.1529:0.43905
1167609984,74611;0.1502:0.44115
1167609984,77977;0.1546:0.44215
1167609984,81328;0.14945:0.4341
1167609984,8508;0.15315:0.43125
1167609984,8854;0.14865:0.4487
1167609984,92319;0.14885:0.43615
1167609984,95732;0.15615:0.4426
1167609984,99711;0.1593:0.4428
1167609985,03213;0.14915:0.4404
1167609985,07137;0.15355:0.43945
1167609985,10698;0.15495:0.4428
1167609985,14684;0.29655:0.36275
1167609985,18187;0.31915:0.31255
1167609985,2207;0.32055:0.3116
1167609985,2551;0.3203:0.3163
1167609985,2943;0.3215:0.3114
1167609985,32932;0.3175:0.32025
1167609985,36892;0.3199:0.3146
1167609985,40429;0.3179:0.09695
1167609985,44384;0.3218:0.0988
1167609985,47867;0.31265:0.09955
1167609985,51353;0.3231:0.09425
1167609985,54886;0.32345:0.1001
1167609985,58415;0.31475:0.098
1167609985,61932;0.3338:0.08775
1167609985,65433;0.4666:0.0871
1167609985,69011;0.47:0.0983
1167609985,72607;0.4709:0.08855
1167609985,76219;0.4722:0.08765
1167609985,79887;0.47615:0.0872
1167609985,83553;0.4748:0.0827
1167609985,87215;0.4733:0.07975
1167609985,91048;0.4999:0.199
1167609985,94911;0.52185:0.82835
1167609985,98664;0.5181:0.84475
1167609986,02668;0.5195:0.8508
1167609986,06612;0.5259:0.84465
1167609986,10322;0.51755:0.8399
1167609986,13949;0.56515:0.81665
1167609986,17879;0.71025:0.58725
1167609986,2153;0.7169:0.56755
1167609986,25297;0.74105:0.54965
1167609986,29213;0.7389:0.5366
1167609986,33193;0.7343:0.54695
1167609986,37091;0.7354:0.54905
1167609986,40965;0.74015:0.5332
1167609986,44733;0.74:0.53755
1167609986,4846;0.7439:0.521
1167609986,5266;0.7371:0.52535
1167609986,56439;0.796:0.5354
1167609986,60139;0.8078:0.52
1167609986,63956;0.8003:0.526
1167609986,67832;0.8062:0.5261
1167609986,71719;0.8071:0.54795
1167609986,75777;0.80365:0.53195
1167609986,79531;0.8003:0.5282
1167609986,83681;0.8055:0.52975
1167609986,87369;0.80235:0.5325
1167609986,9171;0.7566:0.40835
1167609986,95469;0.7374:0.2884
1167609986,9971;0.73585:0.2849
1167609987,03357;0.7337:0.2896
1167609987,07652;0.73775:0.285
1167609987,11559;0.73915:0.28805
1167609987,15835;0.73595:0.2893
1167609987,19665;0.7388:0.2821
1167609987,2386;0.73375:0.28395
1167609987,27667;0.73625:0.29435
1167609987,31914;0.74705:0.3738
1167609987,35789;0.74895:0.3831
1167609987,39941;0.75235:0.37545
1167609987,43723;0.7515:0.3764
1167609987,47572;0.73245:0.37445
1167609987,51511;0.73605:0.37785
1167609987,55487;0.73055:0.37295
1167609987,59416;0.7376:0.38565
1167609987,63219;0.7287:0.37205
1167609987,67014;0.73235:0.38015
1167609987,70727;0.72995:0.3731
1167609987,7459;0.7249:0.37605
1167609987,7864;0.7316:0.38535
1167609987,82698;0.7341:0.36015
1167609987,86609;0.8068:0.4007
1167609987,90398;0.84035:0.41215
1167609987,94491;0.8355:0.41665
1167609987,98578;0.8278:0.4193
1167609988,02663;0.83075:0.40475
1167609988,06678;0.83045:0.419
1167609988,10678;0.82485:0.4163
1167609988,14707;0.8238:0.4104
1167609988,18799;0.81885:0.411
1167609988,22964;0.8217:0.4141
1167609988,2718;0.82575:0.40355
1167609988,31307;0.8239:0.40595
1167609988,35309;0.82625:0.41095
1167609988,39414;0.8196:0.4251
1167609988,43595;0.77095:0.38735
1167609988,48115;0.76515:0.3938
1167609988,51875;0.76585:0.3972
1167609988,55922;0.7637:0.3917
1167609988,60019;0.76735:0.3897
1167609988,64074;0.76665:0.37885
1167609988,68456;0.76635:0.3846
1167609988,72531;0.7681:0.39085
1167609988,77199;0.76215:0.38145
1167609988,81406;0.763:0.39445
1167609988,86015;0.7668:0.38965
1167609988,90257;0.725:0.3789
1167609988,94872;0.73035:0.3745
1167609988,99038;0.72735:0.37155
1167609989,03923;0.72645:0.3763
1167609989,08054;0.7351:0.3815
1167609989,1276;0.73345:0.36655
1167609989,16762;0.7247:0.38365
1167609989,21095;0.7283:0.384
1167609989,25062;0.72385:0.3701
1167609989,29534;0.72835:0.37205
1167609989,33505;0.7268:0.3705
1167609989,37838;0.7292:0.36635
1167609989,41708;0.7238:0.36315
1167609989,45535;0.72645:0.3676
1167609989,49324;0.82675:0.41235
1167609989,53163;0.8225:0.4141
1167609989,57011;0.82:0.44035
1167609989,60879;0.82465:0.4241
1167609989,64784;0.83:0.4212
1167609989,68465;0.8231:0.4337
1167609989,7213;0.82015:0.42945
1167609989,75823;0.82305:0.4281
1167609989,79669;0.89375:0.67825
1167609989,83582;0.9038:0.69065
1167609989,87512;0.9061:0.6898
1167609989,91383;0.9089:0.6951
1167609989,9536;0.90805:0.68555
1167609989,99391;0.95795:0.68115
1167609990,03199;0.9462:0.68535
1167609990,07257;0.94965:0.701
1167609990,11265;0.9391:0.677
1167609990,15294;0.9503:0.6892
1167609990,19224;0.9518:0.6867
1167609990,23216;0.95275:0.678
1167609990,27233;0.94655:0.6885
1167609990,31088;0.955:0.69235
1167609990,34946;0.9526:0.68165
1167609990,38823;0.8595:0.19765
1167609990,4291;0.857:0.1172
1167609990,47788;0.8607:0.12375
1167609990,51364;0.8566:0.1217
1167609990,55112;0.8584:0.12425
1167609990,58932;0.8592:0.11525
1167609990,62763;0.8565:0.11685
1167609990,67016;0.85405:0.10855
1167609990,71659;0.85585:0.10105
1167609990,75785;0.8533:0.10475
1167609990,79585;0.70415:0.0823
1167609990,8406;0.69275:0.0866
1167609990,87937;0.6903:0.0907
1167609990,92149;0.69385:0.08075
1167609990,96381;
1167609991,00712;0.61505:0.1052
1167609991,03481;0.60975:0.0876
1167609991,07914;0.60795:0.091
1167609991,11913;0.61025:0.0918
1167609991,16336;0.60575:0.08865
1167609991,20405;0.60405:0.09175
1167609991,24896;0.59975:0.09635
1167609991,28971;0.61085:0.09475
1167609991,34149;0.40835:0.06645
1167609991,38272;0.4087:0.0644
1167609991,42276;0.4146:0.07565
1167609991,46885;0.41715:0.0803
1167609991,51022;0.3129:0.07215
1167609991,5528;0.27455:0.07145
1167609991,59183;0.2671:0.0614
1167609991,63721;0.2686:0.0714
1167609991,68173;0.2689:0.07645
1167609991,72034;0.2674:0.0833
1167609991,761;0.26765:0.0751
1167609991,80144;0.27035:0.078
1167609991,8421;0.35805:0.12355
1167609991,88068;0.3674:0.1166
1167609991,91948;0.3635:0.12095
1167609991,9589;0.3655:0.116
1167609991,99742;0.37325:0.1179
1167609992,03512;0.37355:0.1072
1167609992,07391;0.14005:0.1049
1167609992,1141;0.1073:0.11255
1167609992,15321;0.1081:0.12305
1167609992,19953;0.1121:0.118
1167609992,24149;0.0984:0.1234
1167609992,28158;0.0938:0.1258
1167609992,32261;0.09245:0.1315
1167609992,36314;0.09065:0.1238
1167609992,40716;0.21935:0.4235
1167609992,44742;0.22735:0.43025
1167609992,48839;0.2245:0.4139
1167609992,52836;0.22625:0.43095
1167609992,56674;0.2289:0.42315
1167609992,60934;0.2703:0.47685
1167609992,64926;0.34375:0.6962
1167609992,69333;0.3466:0.69985
1167609992,73431;0.34475:0.69845
1167609992,77947;0.3464:0.69595
1167609992,81959;0.3173:0.6011
1167609992,8634;0.3171:0.60875
1167609992,9034;0.3169:0.61275
1167609992,94916;0.32215:0.6062
1167609992,98917;0.301:0.59835
1167609993,0337;0.30455:0.60005
1167609993,07299;0.29825:0.59315
1167609993,11628;0.3017:0.59815
1167609993,15758;0.29985:0.59895
