Timestamp;GazePoint
636172497874,811;
1167610698,50584;0.2766:1.1755
1167610698,54138;0.2664:1.16635
1167610698,5789;0.2711:1.16405
1167610698,62712;0.2709:1.1496
1167610698,6673;0.26575:1.17165
1167610698,71234;0.2773:1.1484
1167610698,75586;0.3598:0.87885
1167610698,79984;0.4423:0.6499
1167610698,84632;0.44885:0.64905
1167610698,89421;0.44145:0.652
1167610698,94241;
1167610698,9882;0.4118:0.6319
1167610699,02994;0.41525:0.6308
1167610699,07243;0.4117:0.6432
1167610699,11973;0.4172:0.6173
1167610699,16945;0.4118:0.62575
1167610699,21443;0.41975:0.63215
1167610699,26526;0.41965:0.63715
1167610699,31137;0.5062:0.5724
1167610699,36007;0.50495:0.57495
1167610699,40966;0.50565:0.58255
1167610699,45722;
1167610699,50399;
1167610699,55891;
1167610699,61096;
1167610699,65314;
1167610699,6933;
1167610699,74321;0.3335:0.4911
1167610699,78963;0.60925:0.52185
1167610699,8338;0.62335:0.5093
1167610699,8781;0.61795:0.5153
1167610699,9327;0.64525:0.52185
1167610699,97598;0.6344:0.52635
1167610700,02672;0.63495:0.5208
1167610700,07312;0.63305:0.5255
1167610700,12583;0.63885:0.51595
1167610700,17381;0.6903:0.59645
1167610700,22676;
1167610700,27775;0.93865:0.66065
1167610700,31714;0.9297:0.69595
1167610700,36483;
1167610700,4274;0.92105:0.67365
1167610700,47919;0.9195:0.70285
1167610700,52614;0.9165:0.74705
1167610700,57184;0.91185:0.8267
1167610700,61939;0.9079:0.82545
1167610700,66584;0.9083:0.8236
1167610700,71126;0.9134:0.8141
1167610700,75595;0.9112:0.815
1167610700,80151;0.90865:0.8094
1167610700,8476;0.91275:0.8074
1167610700,89441;0.9238:0.79635
1167610700,93888;0.91955:0.8005
1167610700,98332;0.90885:0.8072
1167610701,02777;0.91275:0.80505
1167610701,07575;0.9128:0.80745
1167610701,1243;0.91905:0.7974
1167610701,17372;0.9167:0.80255
1167610701,22047;0.9162:0.8043
1167610701,26727;0.93635:0.5321
1167610701,31586;0.92785:0.2303
1167610701,36376;0.92285:0.2464
1167610701,41639;0.9279:0.1687
1167610701,46114;0.93465:0.1752
1167610701,50612;0.9473:0.08015
1167610701,55157;0.9406:0.10195
1167610701,60132;0.93855:0.0988
1167610701,64614;0.65555:0.1312
1167610701,69595;0.5938:0.1238
1167610701,74165;0.6057:0.11955
1167610701,79692;0.5982:0.10635
1167610701,84542;0.4382:0.09005
1167610701,89985;0.44985:0.04965
1167610701,95053;0.45135:0.0996
1167610702,00675;0.4406:0.0979
1167610702,05779;0.48865:0.08755
1167610702,11352;0.54605:0.2454
1167610702,16267;
1167610702,21545;0.5638:0.0867
1167610702,25386;
1167610702,3035;
1167610702,33509;
1167610702,37181;0.5601:0.10735
1167610702,41155;0.3812:0.1586
1167610702,45321;
1167610702,49955;
1167610702,568;
1167610702,61185;0.25725:0.22715
1167610702,65264;0.26565:0.224
1167610702,69633;0.2688:0.21445
1167610702,7407;0.26915:0.19415
1167610702,78663;0.26905:0.13495
1167610702,82844;0.26375:0.125
1167610702,87381;0.2779:0.1692
1167610702,91765;0.2727:0.12715
1167610702,96179;0.3045:0.06955
1167610703,00524;0.27235:0.12785
1167610703,04767;0.28825:0.0708
1167610703,08854;
1167610703,1297;0.27035:0.1539
1167610703,16965;0.28715:0.1507
1167610703,20973;0.28735:0.15325
1167610703,25131;0.2776:0.1659
1167610703,29258;0.19935:0.64775
1167610703,33453;0.2031:0.6597
1167610703,37947;0.2013:0.65805
1167610703,42087;0.1884:0.6464
1167610703,46643;0.2061:0.6494
1167610703,50686;0.21625:0.7553
1167610703,54791;0.213:0.8014
1167610703,5895;0.2171:0.8028
1167610703,63039;0.1275:0.8147
1167610703,67593;0.1178:0.80955
1167610703,71874;0.11465:0.80025
1167610703,7667;0.1166:0.81005
1167610703,80919;0.11625:0.79425
1167610703,86042;0.11045:0.78505
1167610703,90646;0.11175:0.7956
1167610703,95653;0.10715:0.7918
1167610703,99944;0.1031:0.7856
1167610704,05049;0.1117:0.79215
1167610704,09769;0.1053:0.7981
1167610704,1479;0.29375:0.6918
1167610704,19394;0.41435:0.66315
1167610704,2432;0.4102:0.6596
1167610704,28757;0.4136:0.6423
1167610704,33979;0.40585:0.66485
1167610704,38555;0.4085:0.65575
1167610704,4363;0.42765:0.8156
1167610704,47906;0.4341:0.86675
1167610704,52948;0.42115:0.8886
1167610704,57223;0.42705:0.8821
1167610704,61409;0.3949:0.78345
1167610704,65595;0.18755:0.3411
1167610704,69929;0.16905:0.3284
1167610704,74591;0.1646:0.3161
1167610704,78966;0.17485:0.34325
1167610704,83813;0.16795:0.34515
1167610704,88424;0.16545:0.3445
1167610704,92792;0.1721:0.34705
1167610704,97118;0.11565:0.17065
1167610705,01408;0.1197:0.16865
1167610705,05819;0.1247:0.1723
1167610705,10009;0.3717:0.222
1167610705,14541;0.5893:0.26585
1167610705,19009;0.6064:0.24615
1167610705,23782;0.589:0.32355
1167610705,28764;0.62395:0.3171
1167610705,33759;0.64935:0.363
1167610705,387;0.6494:0.3578
1167610705,43657;0.6562:0.3595
1167610705,48499;0.65175:0.4998
1167610705,53708;0.6475:0.58855
1167610705,58378;0.64205:0.6132
1167610705,63216;0.65665:0.59395
1167610705,67827;0.66075:0.59575
1167610705,72891;0.65065:0.532
1167610705,77494;0.6471:0.53045
1167610705,82513;0.6411:0.54165
1167610705,87111;0.644:0.5202
1167610705,92313;0.45455:0.41695
1167610705,97033;
1167610706,02357;0.4695:0.392
1167610706,05653;
1167610706,10835;
1167610706,15528;0.334:0.54605
1167610706,19106;0.1229:0.76875
1167610706,23233;0.1699:0.52105
1167610706,28511;0.1348:0.70425
1167610706,33245;
1167610706,38528;
1167610706,43945;
1167610706,48427;
1167610706,52422;
1167610706,55687;
1167610706,60856;
1167610706,64153;
1167610706,67489;
1167610706,70845;
1167610706,74215;
1167610706,77613;
1167610706,81411;
1167610706,8521;
1167610706,89026;
1167610706,92871;
1167610706,96609;
1167610707,01159;
1167610707,05296;
1167610707,08385;
1167610707,12025;
1167610707,16197;0.7662:0.7798
1167610707,20237;0.73275:0.84205
1167610707,26137;
1167610707,31055;
1167610707,34579;
1167610707,38978;
1167610707,42736;
1167610707,46495;
1167610707,5026;
1167610707,54412;
1167610707,5949;
1167610707,63898;0.69205:0.774
1167610707,68195;
1167610707,72895;0.5973:0.81015
1167610707,77113;
1167610707,82123;0.5808:0.81255
1167610707,86367;0.58625:0.841
1167610707,91207;0.5425:0.8157
1167610707,96658;0.40005:0.85425
1167610708,01819;0.4096:0.86925
1167610708,0748;0.3921:0.8456
1167610708,12621;0.39725:0.8455
1167610708,18221;0.2841:0.7506
1167610708,23117;0.2943:0.77265
1167610708,28056;0.29335:0.2385
1167610708,32969;
1167610708,38108;
1167610708,41845;
1167610708,46217;
1167610708,49688;
1167610708,53565;
1167610708,56812;
1167610708,6016;
1167610708,63509;
1167610708,66885;
1167610708,70229;
1167610708,73672;
1167610708,77721;
1167610708,81261;
1167610708,84839;0.8749:0.15345
1167610708,88643;0.87515:0.11735
1167610708,92514;
1167610708,97221;
1167610709,02653;
1167610709,06753;
1167610709,10469;0.86935:0.11025
1167610709,13124;
1167610709,17917;0.8548:0.14885
1167610709,21848;0.86515:0.11915
1167610709,26321;0.7647:0.17745
1167610709,31432;0.7629:0.1632
1167610709,36488;0.75805:0.175
1167610709,41107;0.6855:0.08925
1167610709,45378;0.66685:0.1084
1167610709,49874;0.66905:0.09755
1167610709,54298;0.6669:0.09325
1167610709,58687;0.66445:0.09335
1167610709,63694;0.6653:0.102
1167610709,68092;
1167610709,72435;0.5473:0.1196
1167610709,76674;0.5405:0.11345
1167610709,81614;
1167610709,86266;
1167610709,90922;0.63065:0.173
1167610709,96109;0.79455:0.2858
1167610710,01607;0.79925:0.30345
1167610710,06094;0.7977:0.2932
1167610710,11017;0.8012:0.2924
1167610710,16013;0.7985:0.2896
1167610710,20153;0.8012:0.2794
1167610710,25242;0.7971:0.29645
1167610710,29894;0.79625:0.28015
1167610710,35216;0.8073:0.1261
1167610710,39719;0.78965:0.2207
1167610710,4456;0.79415:0.22145
1167610710,4986;0.79565:0.19895
1167610710,55295;0.7903:0.21875
1167610710,60364;0.7971:0.2059
1167610710,65899;
1167610710,71097;
1167610710,77317;
1167610710,82624;
1167610710,86483;
1167610710,91124;
1167610710,97196;0.7991:0.3115
1167610710,99777;0.787:0.34005
1167610711,06059;0.7955:0.3216
1167610711,10966;0.74965:0.43015
1167610711,15587;0.69275:0.58625
1167610711,2101;0.64185:0.62365
1167610711,25921;0.63265:0.4832
1167610711,31378;0.66615:0.57715
1167610711,36249;0.6402:0.5321
1167610711,41271;0.6475:0.49315
1167610711,46062;0.6332:0.5333
1167610711,50735;0.6534:0.55465
1167610711,55358;0.6393:0.4468
1167610711,59983;0.66925:0.50365
1167610711,64482;0.69595:0.3159
1167610711,6936;0.6699:0.56535
1167610711,74177;0.9222:0.70245
1167610711,78497;0.90945:0.71635
1167610711,82535;
1167610711,86639;
1167610711,89423;
1167610711,92205;
1167610711,94961;
1167610711,97651;
1167610712,00272;
1167610712,02795;
1167610712,05226;
1167610712,07636;
1167610712,10049;
1167610712,12525;
1167610712,15026;
1167610712,17524;
1167610712,20018;
1167610712,22518;
1167610712,25006;
1167610712,27919;
1167610712,32476;
1167610712,37052;
1167610712,4144;
1167610712,4525;
1167610712,49625;
1167610712,52107;0.76375:0.3733
1167610712,55014;0.7793:0.37065
1167610712,60233;0.79375:0.35345
1167610712,6384;0.8204:0.2835
1167610712,67435;0.7946:0.3412
1167610712,70895;0.7111:0.67315
1167610712,74413;0.7584:0.62915
1167610712,78039;0.69145:0.70375
1167610712,81616;0.7415:0.639
1167610712,85177;0.7036:0.67765
1167610712,88809;0.73145:0.65435
1167610712,9251;0.7613:0.65755
1167610712,9614;0.7107:0.6562
1167610712,99796;0.7033:0.63965
1167610713,03433;0.70985:0.6626
1167610713,0699;0.66105:0.6187
1167610713,10531;0.67635:0.6659
1167610713,14037;0.7067:0.605
1167610713,17679;0.7183:0.74375
1167610713,21228;0.7074:0.75955
1167610713,24832;0.671:0.76305
1167610713,2843;0.7292:0.6428
1167610713,32006;0.71035:0.7419
1167610713,35562;0.6888:0.7478
1167610713,39185;
1167610713,42718;
1167610713,46195;0.6842:0.396
1167610713,49845;0.72035:0.3257
1167610713,53243;0.72725:0.3242
1167610713,56853;0.69755:0.37025
1167610713,6058;0.65895:0.508
1167610713,64256;
1167610713,68016;
1167610713,70637;0.596:0.39015
1167610713,76058;0.6875:0.27295
1167610713,8123;0.69385:0.22545
1167610713,85398;0.65395:0.4285
1167610713,89658;0.62545:0.44425
1167610713,93407;0.62255:0.41965
1167610713,97927;0.57115:0.6661
1167610714,01566;0.56475:0.58995
1167610714,05676;0.57955:0.6184
1167610714,09366;0.60465:0.5904
1167610714,13299;0.5494:0.59165
1167610714,16848;0.66815:0.53895
1167610714,21177;0.65645:0.6497
1167610714,24811;0.654:0.5638
1167610714,28873;0.63635:0.5842
1167610714,32475;0.61415:0.57355
1167610714,36469;0.6349:0.5287
1167610714,42413;0.63975:0.48275
1167610714,52272;0.64655:0.5021
1167610714,61797;0.64885:0.5214
1167610714,73959;0.4053:0.326
1167610714,81142;0.4203:0.341
1167610714,85454;0.3781:0.23945
1167610714,89041;0.37755:0.2622
1167610714,92617;0.2948:0.22245
1167610714,96233;0.38685:0.2923
1167610714,99852;0.37475:0.28935
1167610715,03418;0.3861:0.25635
1167610715,069;0.40105:0.28485
1167610715,10383;0.3889:0.28125
1167610715,1389;0.39725:0.2851
1167610715,17476;0.3827:0.18195
1167610715,20937;0.4013:0.24985
1167610715,24386;0.38545:0.27775
1167610715,27842;0.39275:0.2931
1167610715,31257;0.37575:0.29335
1167610715,34718;0.40155:0.62115
1167610715,3817;0.41085:0.6535
1167610715,41636;0.3834:0.64415
1167610715,45788;0.39745:0.7202
1167610715,49326;0.4105:0.63585
1167610715,5292;0.3667:0.65265
1167610715,56559;0.4141:0.61045
1167610715,60184;0.38955:0.61355
1167610715,6393;0.4029:0.57755
1167610715,67845;0.4091:0.32315
1167610715,71556;0.40795:0.71945
1167610715,75731;0.4691:0.57105
1167610715,79612;0.47875:0.6932
1167610715,84371;0.46665:0.7614
1167610715,8812;0.4208:0.77895
1167610715,92208;0.42125:0.7448
1167610715,95812;0.39385:0.78405
1167610715,99926;0.3957:0.83485
1167610716,03654;0.46845:0.779
1167610716,07756;0.41635:0.8977
1167610716,11415;0.45915:0.8488
1167610716,15464;0.43975:0.8102
1167610716,19078;0.48095:0.80375
1167610716,23094;0.4551:0.8571
1167610716,26641;0.43155:0.85475
1167610716,30509;0.43195:0.9244
1167610716,34066;0.5104:0.9542
1167610716,37616;0.47015:0.99865
1167610716,41255;0.4773:0.9117
1167610716,44956;0.5416:0.8661
1167610716,48656;0.48695:1.02195
1167610716,524;0.4245:1.11505
1167610716,56551;0.46965:1.04955
1167610716,60148;0.55555:1.16965
1167610716,63743;0.50455:1.2251
1167610716,67248;0.53765:1.0902
1167610716,70825;0.51325:1.1906
1167610716,74381;0.5923:1.13495
1167610716,77934;0.49235:1.15385
1167610716,81494;0.5248:1.23525
1167610716,85031;0.5366:1.1514
1167610716,88627;0.6765:1.1152
1167610716,92192;0.7229:1.12945
1167610716,95763;0.7273:1.2011
1167610716,99394;0.72615:1.2
1167610717,03008;0.7315:1.1169
1167610717,06556;0.7373:1.2075
1167610717,102;0.7712:1.18705
1167610717,13757;0.7457:1.15375
1167610717,17458;0.94555:1.16335
1167610717,21376;0.965:1.1666
1167610717,24995;
1167610717,28519;
1167610717,31104;
1167610717,33699;
1167610717,36335;
1167610717,39042;
1167610717,41825;
1167610717,44692;
1167610717,47652;
1167610717,50631;
1167610717,5361;
1167610717,56593;
1167610717,59581;
1167610717,62563;
1167610717,65541;
1167610717,69484;
1167610717,73437;
1167610717,78025;
1167610717,82593;
1167610717,87174;
1167610717,91307;
1167610717,95438;
1167610717,9953;
1167610718,06287;
1167610718,10532;
1167610718,15187;
1167610718,19658;
1167610718,24232;
1167610718,28699;
1167610718,35847;
1167610718,40597;
1167610718,44783;
1167610718,4954;
1167610718,52337;
1167610718,55328;
1167610718,58412;
1167610718,61556;
1167610718,64728;
1167610718,67908;
1167610718,71087;
1167610718,7427;
1167610718,77443;
1167610718,80618;
1167610718,83794;
1167610718,86979;
1167610718,90155;
1167610718,93329;
1167610718,9791;
1167610719,02508;
1167610719,07105;
1167610719,11532;
1167610719,15376;
1167610719,19797;
1167610719,24226;
1167610719,28645;
1167610719,33077;
1167610719,37189;
1167610719,41311;
1167610719,45776;
1167610719,51351;
1167610719,57221;
1167610719,64213;
1167610719,69945;
1167610719,74864;
1167610719,81208;
1167610719,87895;
1167610719,93421;
1167610719,98158;
1167610720,0292;
1167610720,07658;
1167610720,1239;
1167610720,16699;
1167610720,20417;
1167610720,24708;
1167610720,28999;
1167610720,33292;
1167610720,37597;
1167610720,41892;
1167610720,45608;
1167610720,49899;
1167610720,54194;
1167610720,58489;
1167610720,62782;
1167610720,67122;
1167610720,70876;
1167610720,7521;
1167610720,79544;
1167610720,83886;
1167610720,88229;
1167610720,92572;
1167610720,96324;
1167610721,00656;
1167610721,0499;
1167610721,09327;
1167610721,13658;
