Timestamp;GazePoint
636172495241,641;
1167610435,21916;0.50305:0.3987
1167610435,25815;0.50515:0.40795
1167610435,29707;0.51505:0.3915
1167610435,33591;0.518:0.4231
1167610435,37451;0.51105:0.38355
1167610435,41315;0.51725:0.4234
1167610435,45152;0.51265:0.41215
1167610435,48909;0.43965:0.4072
1167610435,53025;0.3561:0.39905
1167610435,56713;0.3571:0.40945
1167610435,60464;0.35945:0.4036
1167610435,64184;0.359:0.38455
1167610435,6792;0.3316:0.39095
1167610435,72081;0.3229:0.4059
1167610435,75976;0.32925:0.39715
1167610435,8028;0.33235:0.43545
1167610435,84284;0.30535:0.40945
1167610435,88976;0.3014:0.4082
1167610435,92953;0.3023:0.4229
1167610435,9738;0.317:0.40355
1167610436,01309;0.315:0.39965
1167610436,0582;0.3532:0.4617
1167610436,09824;0.34885:0.4927
1167610436,14369;0.3521:0.545
1167610436,18344;0.3543:0.50435
1167610436,22768;0.34675:0.50665
1167610436,26779;0.3593:0.5246
1167610436,31259;0.3652:0.48565
1167610436,35297;0.36825:0.5164
1167610436,39695;0.3503:0.5104
1167610436,43582;0.3561:0.5418
1167610436,47522;0.35465:0.5071
1167610436,51444;0.35705:0.53655
1167610436,55382;0.34335:0.52015
1167610436,59459;0.3559:0.49765
1167610436,63623;0.35135:0.48985
1167610436,67837;0.351:0.5203
1167610436,72012;0.3559:0.52155
1167610436,76215;0.3548:0.5346
1167610436,80367;0.34835:0.5297
1167610436,84615;0.3552:0.53325
1167610436,88835;0.354:0.51125
1167610436,92951;0.34885:0.5213
1167610436,97051;0.35915:0.5421
1167610437,01114;0.34865:0.52985
1167610437,05343;0.34995:0.533
1167610437,09535;0.35:0.5564
1167610437,13757;0.35485:0.55325
1167610437,1798;0.3581:0.5518
1167610437,22333;0.33805:0.5043
1167610437,26521;0.31915:0.4526
1167610437,30695;0.31375:0.4534
1167610437,34948;0.30985:0.461
1167610437,39279;0.31445:0.4542
1167610437,43789;0.3045:0.4095
1167610437,48611;0.3027:0.4111
1167610437,53012;0.31105:0.40735
1167610437,57388;0.29875:0.412
1167610437,61791;0.2926:0.3877
1167610437,66274;0.3006:0.40745
1167610437,71108;0.3038:0.3964
1167610437,75518;0.28335:0.27505
1167610437,80417;0.2699:0.1965
1167610437,84882;0.27415:0.20575
1167610437,90139;0.251:0.1627
1167610437,95572;0.24195:0.1181
1167610438,00063;0.24405:0.10885
1167610438,04209;0.25435:0.1203
1167610438,09219;0.244:0.1232
1167610438,13408;0.2482:0.12705
1167610438,18173;0.2422:0.12015
1167610438,22452;0.2701:0.10345
1167610438,2727;0.26665:0.1029
1167610438,31419;0.25785:0.10885
1167610438,36034;
1167610438,40212;0.24735:0.1491
1167610438,44543;
1167610438,48807;0.2405:0.1529
1167610438,53831;
1167610438,57906;0.23885:0.14555
1167610438,62448;0.34925:0.34275
1167610438,66306;0.357:0.3998
1167610438,70655;0.361:0.41705
1167610438,75054;0.3643:0.3756
1167610438,79494;0.36685:0.4084
1167610438,83972;0.3629:0.42005
1167610438,88076;0.36385:0.4091
1167610438,92487;0.3002:0.50485
1167610438,97048;0.2998:0.50295
1167610439,01344;0.2938:0.4947
1167610439,05871;0.29755:0.4791
1167610439,1059;0.3007:0.50485
1167610439,14987;
1167610439,1929;0.34:0.49915
1167610439,26233;0.33935:0.51365
1167610439,30324;0.3379:0.5141
1167610439,35036;0.35505:0.52935
1167610439,39721;0.35965:0.5338
1167610439,44214;0.4101:0.49435
1167610439,48678;0.71195:0.4763
1167610439,53342;0.7191:0.48295
1167610439,57674;0.72125:0.46265
1167610439,62052;0.72175:0.4642
1167610439,66647;0.754:0.4421
1167610439,71034;0.75615:0.4657
1167610439,75974;0.766:0.44305
1167610439,80162;0.7636:0.45775
1167610439,85012;0.76065:0.44545
1167610439,89078;0.769:0.4365
1167610439,93939;0.79925:0.53555
1167610439,98055;0.7884:0.534
1167610440,02719;0.7995:0.5256
1167610440,06748;0.8007:0.5166
1167610440,11798;0.7629:0.525
1167610440,15922;0.4226:0.54205
1167610440,20409;0.36935:0.5511
1167610440,24727;0.3714:0.57955
1167610440,29642;0.3773:0.5676
1167610440,34197;0.3721:0.5617
1167610440,39259;0.35945:0.54125
1167610440,43535;0.3651:0.55345
1167610440,48279;0.36135:0.56715
1167610440,52374;0.3668:0.5531
1167610440,56489;0.3529:0.53
1167610440,60574;0.35785:0.5336
1167610440,64682;0.34015:0.4907
1167610440,68854;0.3355:0.4828
1167610440,73038;0.3395:0.48835
1167610440,77085;0.33245:0.45755
1167610440,81166;0.3253:0.46895
1167610440,852;0.33375:0.47535
1167610440,89434;0.33175:0.485
1167610440,93706;0.30495:0.42515
1167610440,97752;0.30995:0.45545
1167610441,01716;0.3167:0.4296
1167610441,05797;0.3144:0.411
1167610441,09748;0.3123:0.42095
1167610441,13953;0.3027:0.43265
1167610441,17952;0.312:0.41985
1167610441,22027;0.31355:0.40725
1167610441,26252;0.3055:0.41945
1167610441,30568;0.30695:0.4317
1167610441,3475;0.3109:0.42455
1167610441,38851;0.3031:0.431
1167610441,42972;0.313:0.42925
1167610441,47133;0.31185:0.42835
1167610441,51215;0.31005:0.47465
1167610441,55572;
1167610441,59651;0.2896:0.58925
1167610441,64723;0.2972:0.5556
1167610441,68912;0.3674:0.5733
1167610441,73113;0.35395:0.5735
1167610441,77946;0.35865:0.5629
1167610441,82617;0.3561:0.5713
1167610441,87647;0.354:0.5656
1167610441,92336;0.3506:0.55925
1167610441,97515;0.37:0.5705
1167610442,01666;0.34965:0.57925
1167610442,06612;0.23405:0.5859
1167610442,11123;0.23125:0.6026
1167610442,16271;0.2393:0.57965
1167610442,2085;0.21325:0.60265
1167610442,2701;0.22045:0.58525
1167610442,31286;0.2142:0.57335
1167610442,36146;0.2077:0.56945
1167610442,40236;0.21145:0.58565
1167610442,45113;0.20915:0.5651
1167610442,49407;0.2146:0.5898
1167610442,54557;0.2201:0.6012
1167610442,59245;0.23065:0.8145
1167610442,63976;0.23555:0.79755
1167610442,686;0.2382:0.8298
1167610442,7311;0.2409:0.8124
1167610442,77446;0.245:0.90775
1167610442,81848;0.2343:0.9003
1167610442,86187;0.244:0.8977
1167610442,90344;0.23365:0.9227
1167610442,94451;0.2443:0.90675
1167610442,98609;0.25415:0.8941
1167610443,02729;0.25065:0.8728
1167610443,06824;0.25775:0.885
1167610443,10933;0.24715:0.84945
1167610443,15092;0.25285:0.8931
1167610443,19182;0.2524:0.8935
1167610443,23787;0.25155:0.8923
1167610443,27931;0.24905:0.9076
1167610443,32082;0.25865:0.88085
1167610443,36247;0.2519:0.9032
1167610443,40408;0.2522:0.8924
1167610443,44599;0.2476:0.88305
1167610443,48743;0.2402:0.89885
1167610443,5288;0.25695:0.8986
1167610443,57097;0.2363:0.882
1167610443,61797;0.25305:0.8875
1167610443,6603;0.2919:0.8256
1167610443,70361;0.29425:0.80755
1167610443,74615;0.30015:0.78865
1167610443,7876;0.29395:0.80725
1167610443,83395;0.30905:0.80295
1167610443,87627;0.2975:0.791
1167610443,91951;0.29925:0.811
1167610443,96325;0.30485:0.79345
1167610444,00534;0.3055:0.78645
1167610444,05477;0.25315:0.8543
1167610444,0984;0.25625:0.8412
1167610444,14914;0.2525:0.8626
1167610444,1927;0.24535:0.8694
1167610444,24234;0.24555:0.8667
1167610444,28708;0.2457:0.8701
1167610444,33626;0.24055:0.8734
1167610444,37912;0.2478:0.8821
1167610444,4328;0.24675:0.86725
1167610444,47634;0.2429:0.86865
1167610444,52616;
1167610444,56954;
1167610444,60678;0.22615:0.7946
1167610444,65815;0.23185:0.775
1167610444,7029;
1167610444,74291;0.2327:0.79925
1167610444,76883;0.2429:0.89085
1167610444,81764;0.25685:0.88205
1167610444,86148;0.2462:0.9017
1167610444,9051;0.2537:0.91195
1167610444,95267;0.2588:0.89485
1167610444,99554;0.25705:0.87215
1167610445,03739;0.2578:0.87605
1167610445,07922;0.25495:0.87965
1167610445,12113;0.252:0.89075
1167610445,16315;0.25425:0.89755
1167610445,20548;0.25475:0.8834
1167610445,24758;0.2511:0.8829
1167610445,2899;0.2503:0.8871
1167610445,33248;0.24635:0.9004
1167610445,37485;0.25265:0.89935
1167610445,4174;0.2494:0.9041
1167610445,45971;0.2344:0.88775
1167610445,50136;0.2561:0.8827
1167610445,54354;0.25025:0.90315
1167610445,58861;0.25735:0.8985
1167610445,633;0.16585:0.73705
1167610445,6851;0.15485:0.7306
1167610445,73171;0.16105:0.7263
1167610445,77539;0.1311:0.71115
1167610445,81853;0.1327:0.6944
1167610445,86429;0.14:0.69145
1167610445,91309;0.13285:0.6849
1167610445,95927;0.13145:0.6941
1167610446,01109;0.13235:0.69915
1167610446,05645;0.12645:0.69385
1167610446,10913;0.13395:0.6699
1167610446,15786;0.1285:0.6853
1167610446,20973;0.1337:0.69445
1167610446,25711;0.1361:0.6849
1167610446,31112;0.1331:0.6868
1167610446,35777;0.1328:0.6884
1167610446,41097;0.1374:0.71665
1167610446,4569;0.14025:0.7004
1167610446,50817;0.13115:0.7336
1167610446,55579;0.133:0.75035
1167610446,60886;0.13055:0.74975
1167610446,65656;0.1449:0.73345
1167610446,70772;0.1293:0.72405
1167610446,75321;0.13585:0.7509
1167610446,79761;0.1324:0.67485
1167610446,84169;0.13525:0.70445
1167610446,88536;0.12555:0.6913
1167610446,92884;0.13985:0.69855
1167610446,97196;0.1336:0.7127
1167610447,01474;0.1327:0.7052
1167610447,0576;0.14725:0.3517
1167610447,10136;0.15495:0.3776
1167610447,1458;0.16355:0.37005
1167610447,19342;0.15355:0.3647
1167610447,23847;0.154:0.3377
1167610447,28427;0.17605:0.238
1167610447,33109;0.1701:0.2238
1167610447,37524;0.17305:0.23215
1167610447,41773;0.20355:0.1476
1167610447,46111;0.21945:0.11105
1167610447,5051;0.2245:0.1101
1167610447,5477;0.22055:0.1086
1167610447,59028;0.21495:0.11965
1167610447,63639;0.23085:0.1235
1167610447,6801;0.219:0.11035
1167610447,723;0.21995:0.0999
1167610447,76667;
1167610447,8115;0.2341:0.0901
1167610447,8597;0.23025:0.09865
1167610447,90292;0.2323:0.05895
1167610447,94673;0.22985:0.0756
1167610447,99658;0.2273:0.0756
1167610448,0411;0.2329:0.09545
1167610448,09124;0.23235:0.06965
1167610448,1352;0.2248:0.0822
1167610448,1868;0.2189:0.0715
1167610448,23264;0.21655:0.0774
1167610448,28417;0.2314:0.09335
1167610448,33163;0.22155:0.0903
1167610448,38452;
1167610448,43237;0.222:0.07955
1167610448,50014;0.2246:0.1002
1167610448,58939;0.2001:0.08365
1167610448,74526;0.21105:0.0833
1167610448,90641;0.20665:0.09245
1167610448,98338;0.208:0.10895
1167610449,04235;0.21195:0.0833
1167610449,09492;0.20725:0.10375
1167610449,14117;0.20035:0.10385
1167610449,1876;0.2057:0.0889
1167610449,23243;0.19985:0.0951
1167610449,27914;0.19225:0.08815
1167610449,32398;0.19355:0.0817
1167610449,3715;0.1999:0.0962
1167610449,41896;0.19735:0.07525
1167610449,46535;0.20215:0.09915
1167610449,51299;0.205:0.09015
1167610449,56212;0.1912:0.08965
1167610449,6112;0.2095:0.0765
1167610449,65766;0.2132:0.0539
1167610449,70469;0.2016:0.08985
1167610449,75046;0.21835:0.11525
1167610449,79908;0.2221:0.1143
1167610449,8472;0.2268:0.11245
1167610449,8954;0.23895:0.10735
1167610449,94493;0.2368:0.1217
1167610449,99557;0.23605:0.1185
1167610450,04688;0.2345:0.11015
1167610450,09781;0.2341:0.1171
1167610450,14841;0.2337:0.14095
1167610450,20249;0.2373:0.14025
1167610450,24943;
1167610450,29557;0.2269:0.0799
1167610450,34373;0.21695:0.08175
1167610450,42512;0.2182:0.08385
1167610450,47058;0.21965:0.08245
1167610450,51934;0.21195:0.06415
1167610450,56552;0.2098:0.08385
1167610450,61871;0.2087:0.06235
1167610450,66328;0.21545:0.07015
1167610450,71442;0.2119:0.09065
1167610450,75922;0.2111:0.0799
1167610450,81254;0.2175:0.0788
1167610450,85894;0.20815:0.08665
1167610450,9116;0.20755:0.0621
1167610450,95649;0.21565:0.08575
1167610451,00872;0.2126:0.08615
1167610451,05545;0.2108:0.07365
1167610451,10741;0.21115:0.07335
1167610451,15222;0.2514:0.1104
1167610451,2041;0.25205:0.1326
1167610451,24962;0.2442:0.1077
1167610451,29677;0.2448:0.11675
1167610451,34412;0.2459:0.1088
1167610451,39251;0.2369:0.1216
1167610451,44214;0.23885:0.124
1167610451,49193;0.2373:0.10065
1167610451,54011;0.23405:0.08895
1167610451,58924;0.2442:0.113
1167610451,63946;0.28235:0.13515
1167610451,6873;0.3082:0.2035
1167610451,73789;0.30305:0.19115
1167610451,78614;0.2953:0.18545
1167610451,83414;0.29615:0.19605
1167610451,88364;0.2874:0.1614
1167610451,93177;0.28705:0.1848
1167610451,9801;0.24975:0.12055
1167610452,02822;0.22995:0.10545
1167610452,07811;0.2181:0.132
1167610452,12821;0.232:0.1225
1167610452,17778;0.2282:0.09825
1167610452,22709;0.23455:0.14635
1167610452,28121;0.23555:0.11515
1167610452,33142;0.23065:0.1193
1167610452,38284;0.22385:0.12005
1167610452,4335;0.2375:0.1331
1167610452,4876;0.2911:0.1411
1167610452,53699;0.4712:0.15745
1167610452,58937;0.4781:0.1662
1167610452,64195;0.4747:0.1515
1167610452,69629;0.6627:0.1367
1167610452,74617;0.71975:0.1184
1167610452,79886;0.73715:0.12035
1167610452,84413;0.7276:0.1179
1167610452,91898;0.7942:0.1163
1167610452,97011;
1167610453,02776;
1167610453,0772;0.7704:0.1171
1167610453,12899;0.7807:0.1156
1167610453,17742;0.77485:0.12835
1167610453,23083;0.77595:0.14495
1167610453,27943;0.75485:0.12495
1167610453,34024;0.68095:0.2279
1167610453,39247;0.6836:0.21385
1167610453,43475;0.6773:0.2091
1167610453,47778;0.6899:0.21125
1167610453,53178;0.6917:0.1984
1167610453,57809;0.68735:0.211
1167610453,63009;0.69095:0.21755
1167610453,67221;0.6962:0.2185
1167610453,71757;0.69785:0.2207
1167610453,76495;0.6844:0.18525
1167610453,81395;0.69435:0.19745
1167610453,85832;0.6985:0.1998
1167610453,90496;0.69585:0.2224
1167610453,95146;0.69885:0.20375
1167610453,9999;0.7001:0.20325
1167610454,04617;0.69875:0.1898
1167610454,09258;0.7032:0.19965
1167610454,14164;0.69505:0.1907
1167610454,19321;0.58:0.44425
1167610454,24495;0.5743:0.4472
1167610454,29542;0.57345:0.439
1167610454,3452;0.38775:0.51775
1167610454,39656;
1167610454,44227;0.35155:0.4885
1167610454,51955;0.33665:0.48745
1167610454,56641;0.32735:0.49905
1167610454,62282;0.328:0.5031
1167610454,66813;0.32335:0.49305
1167610454,71891;0.33:0.4946
1167610454,76729;0.3212:0.48885
1167610454,82282;0.31875:0.4861
1167610454,87243;0.32495:0.4799
1167610454,92628;0.3216:0.49395
1167610454,97136;0.2964:0.4158
1167610455,02436;0.3001:0.44085
1167610455,07141;0.29685:0.4067
1167610455,12109;0.30275:0.40845
1167610455,16927;
1167610455,21733;0.30595:0.40035
1167610455,28557;0.2994:0.3922
1167610455,33328;0.30865:0.39335
1167610455,38243;0.2983:0.3834
1167610455,44346;0.3084:0.3889
1167610455,49123;0.3013:0.3909
1167610455,53764;0.3065:0.39645
1167610455,58229;0.30985:0.4063
1167610455,62497;0.3126:0.40915
1167610455,66868;0.30775:0.39845
1167610455,71327;0.3085:0.4091
1167610455,75892;0.31555:0.4571
1167610455,80453;0.3128:0.45665
1167610455,84929;0.3103:0.45165
1167610455,89356;0.3167:0.4406
1167610455,9401;0.30835:0.4637
1167610455,98332;0.3136:0.45975
1167610456,0281;0.3051:0.4617
1167610456,07193;0.3084:0.44785
1167610456,11485;0.32615:0.48805
1167610456,16606;0.3242:0.4915
1167610456,21044;0.3201:0.4875
1167610456,2568;0.321:0.5
1167610456,30409;0.3163:0.48525
1167610456,3531;0.3165:0.498
1167610456,40036;0.3176:0.49325
1167610456,44748;0.31925:0.4919
1167610456,49666;0.34755:0.5509
1167610456,54562;0.3603:0.5638
1167610456,5904;0.3529:0.53535
1167610456,63783;0.35385:0.5611
1167610456,68425;0.357:0.55945
1167610456,73543;0.35465:0.53665
1167610456,7855;0.35225:0.52105
1167610456,83861;0.3488:0.5303
1167610456,88749;0.3473:0.52825
1167610456,94209;0.34365:0.536
1167610456,99053;0.34745:0.5133
1167610457,04265;0.29795:0.41575
1167610457,08971;0.3042:0.39765
1167610457,14417;0.3034:0.41585
1167610457,19464;0.2975:0.4321
1167610457,2565;0.2969:0.3972
1167610457,30726;0.29305:0.3909
1167610457,36795;0.2973:0.3935
1167610457,4176;0.3013:0.4027
1167610457,46588;0.29565:0.37065
1167610457,5143;0.296:0.38935
1167610457,56137;0.29415:0.38025
1167610457,6141;0.29575:0.3831
1167610457,66034;0.28935:0.3856
1167610457,70673;0.29135:0.3585
1167610457,75271;0.29105:0.3924
1167610457,79985;0.2991:0.3914
1167610457,84611;0.2895:0.3826
1167610457,89133;0.29905:0.37595
1167610457,93996;0.2932:0.39345
1167610457,99036;0.29135:0.3883
1167610458,04108;0.28705:0.40875
1167610458,09178;0.29695:0.42475
1167610458,14349;0.29805:0.41775
1167610458,19399;0.3017:0.36915
1167610458,24298;0.29355:0.412
1167610458,2931;0.3063:0.368
1167610458,34607;0.2973:0.4085
1167610458,39774;0.30645:0.40455
1167610458,44914;0.3049:0.4491
1167610458,49996;0.2972:0.4089
1167610458,55008;0.30165:0.3892
1167610458,59942;0.3205:0.4411
1167610458,66051;0.31075:0.46235
1167610458,71582;0.3105:0.4801
1167610458,76041;0.31945:0.4684
1167610458,80738;0.311:0.46725
1167610458,85462;0.31275:0.4745
1167610458,90823;0.3123:0.473
1167610458,95768;0.3205:0.4711
1167610459,01018;0.3232:0.47415
1167610459,05798;0.3258:0.48535
1167610459,11267;0.31525:0.47825
1167610459,15812;0.30415:0.43465
1167610459,20956;0.30395:0.44625
1167610459,25514;0.3037:0.44535
1167610459,30592;0.3073:0.419
1167610459,35319;0.2999:0.41365
1167610459,40715;0.29785:0.3952
1167610459,45619;0.30265:0.3914
1167610459,50546;0.29635:0.37235
1167610459,54951;0.2986:0.3967
1167610459,60325;0.2972:0.3852
1167610459,65882;0.29585:0.382
1167610459,71091;0.2953:0.3894
1167610459,76013;0.2978:0.4048
1167610459,81113;0.29825:0.38935
1167610459,86213;0.2931:0.3984
1167610459,9116;0.3007:0.4059
1167610459,9684;0.3015:0.3925
1167610460,01848;0.30655:0.3822
1167610460,06529;0.29845:0.387
1167610460,11461;0.29965:0.391
1167610460,16465;0.30405:0.39485
1167610460,21622;0.3033:0.39025
1167610460,26598;0.30695:0.40415
1167610460,31755;0.30365:0.383
1167610460,36722;0.3018:0.3839
1167610460,41617;0.30735:0.38845
1167610460,4647;0.311:0.3792
1167610460,51414;0.32455:0.47735
1167610460,56257;0.32685:0.4979
1167610460,61213;0.3256:0.48475
1167610460,66189;0.31945:0.49055
1167610460,70955;0.3221:0.4754
1167610460,75798;0.3203:0.47615
1167610460,80931;0.3255:0.48525
1167610460,85943;0.31695:0.467
1167610460,91066;0.32265:0.4331
1167610460,96226;0.32:0.4809
1167610461,0169;0.31825:0.4879
1167610461,07091;0.3227:0.48255
1167610461,12533;0.3198:0.48375
1167610461,17765;0.3163:0.4846
1167610461,23523;0.3208:0.4956
1167610461,28759;0.3521:0.54965
1167610461,34499;0.3457:0.5545
1167610461,3971;0.34705:0.5755
1167610461,46211;0.3451:0.5774
1167610461,51491;0.34755:0.56795
1167610461,56711;0.35335:0.5619
1167610461,62197;0.34885:0.5626
1167610461,67124;0.34955:0.54745
1167610461,72683;0.34795:0.5669
1167610461,78516;0.2677:0.5635
1167610461,84269;0.2462:0.56375
1167610461,89764;0.24165:0.53725
1167610461,9543;0.2194:0.5767
1167610462,00552;0.22455:0.5559
1167610462,05676;0.22925:0.59445
1167610462,1077;0.23475:0.56385
1167610462,15658;0.22285:0.5814
1167610462,2055;0.22375:0.57365
1167610462,25446;0.218:0.5756
1167610462,30359;0.2144:0.5915
1167610462,35243;0.22725:0.58895
1167610462,40125;0.22255:0.57575
1167610462,45009;0.2151:0.5797
1167610462,50056;0.2156:0.57925
1167610462,55118;0.21545:0.58895
1167610462,60306;
1167610462,65309;0.2378:0.5584
1167610462,72799;0.22685:0.55735
1167610462,7777;0.234:0.5724
1167610462,82627;0.2328:0.5604
1167610462,87819;0.23135:0.5483
1167610462,92975;0.2187:0.56285
1167610462,98231;0.2208:0.57365
1167610463,03692;0.22105:0.5803
1167610463,08544;0.23155:0.5695
1167610463,1363;0.2262:0.57275
1167610463,18542;0.2257:0.57675
1167610463,23707;0.2204:0.56795
1167610463,28357;0.2222:0.5729
1167610463,33648;0.2265:0.5656
1167610463,38537;0.22485:0.56005
1167610463,44012;0.2252:0.5631
1167610463,48673;0.20915:0.5572
1167610463,53912;
1167610463,58573;0.1885:0.49595
1167610463,65077;0.17965:0.41435
1167610463,69713;0.18045:0.40445
1167610463,74814;0.1847:0.3861
1167610463,79379;0.1543:0.3131
1167610463,84652;0.17:0.30705
1167610463,89188;0.1717:0.2667
1167610463,94333;0.15725:0.2687
1167610463,98782;0.17615:0.22225
1167610464,03424;0.1675:0.2275
1167610464,07725;0.1523:0.32845
1167610464,12017;0.1619:0.28995
1167610464,16532;0.1491:0.2702
1167610464,21012;0.1225:0.3672
1167610464,25553;0.136:0.39145
1167610464,30216;0.13995:0.3949
1167610464,36034;
1167610464,41158;
1167610464,44506;0.13695:0.50645
1167610464,49754;0.1449:0.399
1167610464,54616;
1167610464,59037;0.13295:0.4033
1167610464,61812;0.13305:0.4024
1167610464,67137;0.13825:0.3832
1167610464,72023;0.14235:0.38015
1167610464,77109;0.1449:0.39815
1167610464,82011;0.14705:0.3908
1167610464,86565;0.14805:0.3994
1167610464,91351;0.1427:0.39895
1167610464,96087;0.14075:0.4069
1167610465,00628;0.14285:0.39925
1167610465,0537;0.1419:0.39235
1167610465,10373;0.13775:0.39975
1167610465,15257;0.13815:0.4066
