Timestamp;GazePoint
636172496807,86;
1167610591,79344;0.4854:0.46945
1167610591,88425;0.48745:0.4715
1167610592,02997;0.4842:0.47375
1167610592,19538;
1167610592,259;
1167610592,30451;0.3549:0.39975
1167610592,34737;0.35795:0.40095
1167610592,41011;0.35295:0.4059
1167610592,46206;0.35985:0.40995
1167610592,5146;0.23965:0.7453
1167610592,55962;0.2233:0.77535
1167610592,61113;0.23205:0.77315
1167610592,66412;0.23935:0.7777
1167610592,72163;0.20775:0.8154
1167610592,76773;0.20565:0.7923
1167610592,81824;0.2742:0.7286
1167610592,86219;0.2742:0.73755
1167610592,91082;0.28065:0.7206
1167610592,95394;0.29175:0.7217
1167610592,99761;0.29185:0.7141
1167610593,0411;0.28805:0.717
1167610593,08681;
1167610593,13053;0.2801:0.70285
1167610593,1624;
1167610593,20387;
1167610593,24411;0.2941:0.716
1167610593,27433;0.2825:0.7203
1167610593,31717;0.2856:0.7032
1167610593,3584;
1167610593,40119;
1167610593,43122;0.2885:0.7138
1167610593,46177;0.2834:0.7264
1167610593,50359;0.29315:0.7231
1167610593,54787;0.2946:0.70685
1167610593,59131;0.28775:0.71185
1167610593,63364;0.2882:0.69965
1167610593,67647;0.5655:0.6898
1167610593,72079;0.7123:0.6601
1167610593,77575;0.692:0.65145
1167610593,82016;0.69505:0.63065
1167610593,88349;0.6929:0.64195
1167610593,93214;0.7746:0.72875
1167610593,9831;0.777:0.72915
1167610594,03614;0.7774:0.7365
1167610594,08627;
1167610594,1366;0.8693:0.68155
1167610594,17046;
1167610594,22414;0.8693:0.6834
1167610594,25775;0.87055:0.69305
1167610594,31465;0.87785:0.674
1167610594,36357;0.8689:0.6581
1167610594,42097;0.8819:0.67695
1167610594,47143;
1167610594,52297;
1167610594,55324;
1167610594,60384;
1167610594,64044;
1167610594,68111;
1167610594,72193;
1167610594,7521;
1167610594,78915;
1167610594,82965;
1167610594,8596;
1167610594,89005;
1167610594,92098;
1167610594,95906;
1167610594,99708;0.92355:0.32265
1167610595,04946;
1167610595,10308;0.89545:0.8063
1167610595,13253;0.8798:0.8636
1167610595,21228;0.87805:0.86485
1167610595,26144;0.8804:0.8631
1167610595,30625;0.88035:0.8658
1167610595,35297;0.88275:0.8545
1167610595,40607;0.8736:0.8695
1167610595,46071;0.86515:0.8402
1167610595,51274;0.8127:0.74395
1167610595,55655;
1167610595,60159;0.88515:0.67275
1167610595,63218;
1167610595,68418;
1167610595,71618;0.8672:0.67105
1167610595,75566;
1167610595,79931;
1167610595,8343;
1167610595,89979;
1167610595,95699;
1167610596,03167;
1167610596,09515;
1167610596,14673;
1167610596,19464;
1167610596,26034;0.0728:0.40025
1167610596,32276;0.0739:0.37295
1167610596,36677;0.10615:0.3991
1167610596,42641;0.09565:0.4194
1167610596,47358;0.1046:0.3656
1167610596,5392;0.0994:0.37585
1167610596,5831;0.10725:0.3772
1167610596,63296;0.06525:0.47335
1167610596,67816;0.06695:0.48715
1167610596,72699;0.0688:0.4737
1167610596,77045;0.06245:0.48115
1167610596,82156;0.04185:0.5463
1167610596,87819;0.03865:0.7395
1167610596,93163;
1167610596,97857;
1167610597,02886;0.0347:0.72485
1167610597,07474;0.07425:0.7604
1167610597,12166;0.0996:0.84895
1167610597,17083;0.10275:0.8603
1167610597,21991;0.10475:0.83505
1167610597,2688;0.1056:0.83475
1167610597,31444;0.2325:0.86135
1167610597,35974;0.24465:0.85555
1167610597,40622;
1167610597,45141;0.23405:0.8575
1167610597,48515;0.3634:0.8739
1167610597,52907;0.3631:0.869
1167610597,57483;
1167610597,61927;0.40795:0.8726
1167610597,65167;0.41415:0.8721
1167610597,69462;0.42025:0.8675
1167610597,74089;0.53155:0.8429
1167610597,78797;0.8778:0.85005
1167610597,83388;
1167610597,90899;
1167610597,94167;0.856:0.85665
1167610597,99269;0.8855:0.8658
1167610598,03833;0.87615:0.87075
1167610598,08118;0.90155:0.84615
1167610598,13086;0.9422:0.74275
1167610598,17531;0.94215:0.74305
1167610598,22214;0.94045:0.7416
1167610598,26786;0.94585:0.7284
1167610598,31324;0.94215:0.68445
1167610598,36342;
1167610598,40964;0.90765:0.3952
1167610598,45212;
1167610598,49546;0.91:0.39015
1167610598,53187;0.9208:0.36665
1167610598,57526;0.9255:0.3345
1167610598,62451;0.93135:0.3357
1167610598,66828;0.9353:0.33745
1167610598,71792;0.73795:0.35115
1167610598,76167;0.6531:0.35085
1167610598,80859;0.656:0.365
1167610598,85109;0.66135:0.35865
1167610598,8977;0.65695:0.34745
1167610598,94265;0.63145:0.38755
1167610598,993;0.63025:0.38515
1167610599,0372;0.63375:0.39105
1167610599,0869;0.475:0.40315
1167610599,13031;0.4303:0.43685
1167610599,17572;0.43065:0.4389
1167610599,2312;0.6643:0.4708
1167610599,28692;0.7282:0.4802
1167610599,32976;0.72925:0.4862
1167610599,37196;0.7236:0.47865
1167610599,41531;0.7311:0.48765
1167610599,45911;0.73415:0.4884
1167610599,50259;0.7283:0.47615
1167610599,54696;0.7197:0.47905
1167610599,59123;
1167610599,63496;
1167610599,66609;
1167610599,69899;
1167610599,73877;
1167610599,77967;
1167610599,81427;
1167610599,85639;
1167610599,89232;0.7582:0.5552
1167610599,928;0.75765:0.57385
1167610599,96848;0.75385:0.59775
1167610600,02419;
1167610600,07376;
1167610600,10572;
1167610600,14351;
1167610600,18554;
1167610600,21846;
1167610600,25296;
1167610600,28675;
1167610600,32134;
1167610600,35498;
1167610600,41268;0.73915:0.4891
1167610600,46777;0.7423:0.50245
1167610600,51431;0.6829:0.4923
1167610600,5692;
1167610600,62057;
1167610600,67469;
1167610600,74291;0.24205:0.5151
1167610600,80884;0.25185:0.5259
