Timestamp;GazePoint
636172495611,112;
1167610472,22023;
1167610472,26354;
1167610472,3069;
1167610472,35071;
1167610472,38867;
1167610472,43237;
1167610472,47613;
1167610472,51989;
1167610472,56372;
1167610472,60746;
1167610472,64557;
1167610472,68929;
1167610472,73305;
1167610472,77086;0.2927:0.47335
1167610472,79512;0.2904:0.5122
1167610472,8602;0.28695:0.47735
1167610472,90408;0.28735:0.48375
1167610472,94114;0.28995:0.48865
1167610472,97925;0.28295:0.46735
1167610473,01707;0.289:0.4968
1167610473,05443;0.2479:0.56915
1167610473,09607;0.22225:0.6044
1167610473,13414;0.22125:0.58455
1167610473,17814;0.2342:0.6
1167610473,21658;0.22845:0.6158
1167610473,25437;0.2307:0.59455
1167610473,29618;0.2259:0.56835
1167610473,33497;0.2687:0.56835
1167610473,37697;0.45195:0.2887
1167610473,41588;0.4624:0.25695
1167610473,46287;0.4544:0.2565
1167610473,50225;0.45445:0.23805
1167610473,54695;0.4583:0.21825
1167610473,58572;0.45155:0.1465
1167610473,63106;0.449:0.1369
1167610473,67043;0.4477:0.1405
1167610473,7141;0.37665:0.14225
1167610473,75165;0.376:0.11735
1167610473,79493;0.37075:0.1253
1167610473,83306;0.3699:0.11775
1167610473,87697;0.35025:0.0669
1167610473,91513;0.3429:0.097
1167610473,95511;0.3403:0.0766
1167610473,9981;0.35075:0.09525
1167610474,03827;0.3528:0.08115
1167610474,07895;0.3528:0.09065
1167610474,11853;0.3368:0.0979
1167610474,15753;0.3249:0.07655
1167610474,19705;0.32095:0.08715
1167610474,23681;0.32725:0.0771
1167610474,27684;0.3349:0.04385
1167610474,31635;
1167610474,35648;0.2275:0.2678
1167610474,39697;0.27085:0.1699
1167610474,4381;
1167610474,47968;0.2593:0.1649
1167610474,52175;0.2636:0.15385
1167610474,56826;0.23715:0.27335
1167610474,61029;
1167610474,6572;0.21715:0.24415
1167610474,68627;0.23955:0.24565
1167610474,76049;0.2377:0.2504
1167610474,8102;0.2399:0.24425
1167610474,8563;0.2414:0.2444
1167610474,90379;0.1889:0.1669
1167610474,94992;0.11205:0.07275
1167610474,99374;0.1111:0.07605
1167610475,04178;0.10815:0.0817
1167610475,08528;0.1005:0.0687
1167610475,13072;0.0918:0.06895
1167610475,17815;0.0875:0.06925
1167610475,22424;0.09115:0.06735
1167610475,27332;0.08185:0.0642
1167610475,3192;0.3339:0.0904
1167610475,36854;0.32515:0.0883
1167610475,4127;0.3322:0.07825
1167610475,46293;0.33275:0.0909
1167610475,50692;
1167610475,55744;
1167610475,61659;0.31785:0.1792
1167610475,69328;0.29725:0.21265
1167610475,74542;
1167610475,79123;0.25515:0.24315
1167610475,81808;0.2769:0.2364
1167610475,87079;0.2658:0.29575
1167610475,91609;0.25205:0.2528
1167610475,96689;
1167610476,01161;0.24715:0.27325
1167610476,08565;0.3407:0.2494
1167610476,12807;0.34755:0.32825
1167610476,17412;0.3621:0.2696
1167610476,22179;0.3438:0.33455
1167610476,26897;0.357:0.3235
1167610476,31293;0.34465:0.2923
1167610476,35954;0.3477:0.30365
1167610476,40509;0.4078:0.79085
1167610476,44909;0.4167:0.7723
1167610476,49512;0.4059:0.77795
1167610476,53885;0.4174:0.79875
1167610476,58065;0.40275:0.8135
1167610476,62266;0.37385:0.8123
1167610476,66641;0.35745:0.857
1167610476,71142;0.3597:0.84875
1167610476,75728;0.36055:0.8592
1167610476,80325;0.358:0.8706
1167610476,84819;0.39645:0.74
1167610476,8916;0.4001:0.73455
1167610476,93218;0.3925:0.72875
1167610476,97394;0.3987:0.7437
1167610477,01612;0.4017:0.73975
1167610477,06045;0.40255:0.7278
1167610477,10206;0.39785:0.72595
1167610477,14614;0.4008:0.7265
1167610477,18685;0.3641:0.52785
1167610477,22666;0.3643:0.51945
1167610477,26645;0.36005:0.52305
1167610477,30569;0.3603:0.5343
1167610477,34676;0.3617:0.5317
1167610477,38983;0.3595:0.569
1167610477,43284;0.3643:0.5442
1167610477,47579;0.3684:0.55075
1167610477,51598;0.37255:0.5422
1167610477,5643;0.36525:0.5635
1167610477,60471;0.36795:0.5539
1167610477,65232;0.3758:0.55695
1167610477,6935;0.37145:0.55215
1167610477,74172;0.3652:0.5535
1167610477,78421;0.334:0.56255
1167610477,83462;0.3405:0.55905
1167610477,87897;0.33245:0.5659
1167610477,92788;0.3292:0.5841
1167610477,9715;0.339:0.5663
1167610478,02348;0.33215:0.56485
1167610478,07065;0.33745:0.5663
1167610478,11909;0.3427:0.56845
1167610478,17121;0.27465:0.51345
1167610478,21609;0.2693:0.5085
1167610478,26356;0.27195:0.5105
1167610478,31028;0.2717:0.5105
1167610478,35509;0.27095:0.5226
1167610478,39892;0.2683:0.50925
1167610478,44176;0.2723:0.4977
1167610478,48427;0.27145:0.5103
1167610478,52806;0.2745:0.49685
1167610478,5714;0.22575:0.54355
1167610478,61484;0.22165:0.5287
1167610478,6587;0.2336:0.51625
1167610478,70298;0.2273:0.52995
1167610478,74627;0.23275:0.54075
1167610478,78948;0.222:0.53945
1167610478,8328;0.23025:0.53255
1167610478,87707;0.262:0.48465
1167610478,92465;0.25935:0.50645
1167610478,96953;0.26765:0.49365
1167610479,01467;0.26945:0.50355
1167610479,05984;0.2409:0.3871
1167610479,10532;0.23135:0.3148
1167610479,1511;0.24365:0.39245
1167610479,20063;0.24895:0.422
1167610479,26286;0.2409:0.44075
1167610479,30725;0.24435:0.42585
1167610479,35351;0.2407:0.42515
1167610479,40316;0.253:0.3443
1167610479,44764;0.24015:0.4179
1167610479,49863;0.24225:0.3915
1167610479,54581;0.247:0.42955
1167610479,59909;0.24015:0.42275
1167610479,64365;0.24335:0.41865
1167610479,6945;0.21875:0.503
1167610479,73848;0.2272:0.4592
1167610479,79188;0.5761:0.46565
1167610479,83716;0.72675:0.50625
1167610479,89053;0.7374:0.4903
