Timestamp;GazePoint
0327,69944;
1167610327,74198;
1167610327,78625;
1167610327,82468;
1167610327,86884;
1167610327,91312;
1167610327,93892;0.2823:0.21695
1167610327,96957;0.17535:0.27085
1167610328,05025;0.16775:0.27565
1167610328,12179;0.17085:0.2728
1167610328,18658;0.17205:0.28155
1167610328,24947;0.17195:0.28775
1167610328,31211;0.16775:0.28485
1167610328,37482;0.16835:0.28135
1167610328,43818;0.16915:0.2891
1167610328,50222;0.16555:0.2734
1167610328,57199;0.16565:0.26355
1167610328,63645;0.16605:0.26605
1167610328,70181;0.16695:0.27525
1167610328,76865;0.16095:0.2753
1167610328,83644;0.1622:0.2744
1167610328,90893;
1167610328,97874;0.165:0.27685
1167610329,04814;0.15845:0.2718
1167610329,1212;0.16625:0.27535
1167610329,1913;0.1592:0.2823
1167610329,26791;0.1747:0.2996
1167610329,34817;0.17565:0.2952
1167610329,40062;0.1734:0.303
1167610329,44443;0.1676:0.31635
1167610329,49315;0.3529:0.352
1167610329,53558;0.3655:0.35085
1167610329,58399;0.3673:0.3561
1167610329,62669;0.36765:0.3575
1167610329,67487;0.37035:0.33075
1167610329,7169;0.3672:0.3543
1167610329,76517;0.3633:0.3443
1167610329,81014;0.36425:0.32455
1167610329,85969;0.3564:0.332
1167610329,90382;0.36335:0.3457
1167610329,95341;0.3632:0.33945
1167610329,99831;0.3591:0.31095
1167610330,04319;0.36875:0.3369
1167610330,08665;0.3604:0.3449
1167610330,12891;0.35845:0.3404
1167610330,17186;0.3634:0.3399
1167610330,21586;0.36255:0.3498
1167610330,25898;0.36705:0.342
1167610330,3031;0.36285:0.34155
1167610330,34564;0.35685:0.3225
1167610330,38879;0.3514:0.35565
1167610330,43482;0.35405:0.3182
1167610330,48091;0.35185:0.34
1167610330,52449;0.35695:0.33895
1167610330,56992;0.35435:0.32035
1167610330,61368;0.3513:0.3223
1167610330,65787;0.3639:0.33835
1167610330,7002;0.3511:0.34645
1167610330,74276;0.35365:0.35085
1167610330,78836;0.34985:0.3281
1167610330,83215;0.40325:0.272
1167610330,87815;0.41285:0.26115
1167610330,92439;0.40645:0.2619
1167610330,96951;0.40405:0.2721
1167610331,01443;0.4133:0.25415
1167610331,06039;0.4116:0.25635
1167610331,10961;0.4071:0.27045
1167610331,15442;0.41235:0.2587
1167610331,19805;0.4112:0.25385
1167610331,24341;0.41155:0.2606
1167610331,29205;0.41455:0.25915
1167610331,3376;0.4159:0.27695
1167610331,38734;0.4153:0.2745
1167610331,43286;0.41195:0.28
1167610331,48295;0.41875:0.2995
1167610331,52852;0.4128:0.25665
1167610331,57707;0.4148:0.2754
1167610331,62006;0.41145:0.28775
1167610331,66974;0.40905:0.26685
1167610331,71387;0.4083:0.26695
1167610331,76253;0.41005:0.2656
1167610331,80819;0.4063:0.26335
1167610331,85672;0.40825:0.27025
1167610331,90265;0.41175:0.2683
1167610331,95321;0.4084:0.27055
1167610331,99781;0.4059:0.2962
1167610332,04667;0.40565:0.28265
1167610332,09085;0.40945:0.27725
1167610332,13512;0.40635:0.27585
1167610332,17846;0.4155:0.2758
1167610332,22242;0.40915:0.26845
1167610332,26728;0.39155:0.26505
1167610332,31159;0.39305:0.27895
1167610332,35667;0.3935:0.2618
1167610332,4012;0.3901:0.2789
1167610332,44536;0.3892:0.2818
1167610332,49093;0.3874:0.27575
1167610332,53577;0.3897:0.2828
1167610332,58114;0.3977:0.272
