Timestamp;GazePoint
636189762198,517;
1167609956,12442;
1167609956,15819;
1167609956,19453;
1167609956,24109;
1167609956,27797;
1167609956,32523;0.43055:0.3168
1167609956,37248;0.38635:0.373
1167609956,41213;0.3896:0.35535
1167609956,44915;0.38275:0.3682
1167609956,48796;0.39455:0.36835
1167609956,54313;0.4173:0.3763
1167609956,59205;0.7117:0.41175
1167609956,64366;0.7169:0.42155
1167609956,68378;0.7186:0.40495
1167609956,73952;0.71965:0.4244
1167609956,79029;0.71575:0.4308
1167609956,83372;0.7228:0.416
1167609956,87366;0.71955:0.43865
1167609956,92969;0.7162:0.4142
1167609956,97006;0.69905:0.65715
1167609957,01318;0.69085:0.7056
1167609957,05183;0.69045:0.70795
1167609957,10712;0.6938:0.72
1167609957,15638;0.6998:0.6975
1167609957,21019;0.6721:0.71665
1167609957,24778;0.6676:0.72945
1167609957,28946;0.6713:0.69365
1167609957,33671;0.66805:0.70335
1167609957,38991;0.65485:0.73015
1167609957,43774;0.6561:0.77345
1167609957,48983;0.6661:0.782
1167609957,52569;0.6638:0.7863
1167609957,57149;0.66555:0.77475
1167609957,60865;0.65825:0.797
1167609957,65485;0.65855:0.78995
1167609957,69131;0.6574:0.78765
1167609957,72794;0.66705:0.76645
1167609957,76508;0.65775:0.79
1167609957,80256;0.73205:0.34765
1167609957,83991;0.74895:0.30435
1167609957,87681;0.74885:0.30175
1167609957,91461;0.7448:0.30395
1167609957,95208;0.74155:0.2965
1167609957,98943;0.7435:0.29805
1167609958,02789;0.74505:0.3031
1167609958,06529;0.7466:0.30465
1167609958,10271;0.76585:0.2697
1167609958,14054;0.7648:0.26565
1167609958,17991;0.77075:0.26605
1167609958,21793;0.7724:0.26965
1167609958,25753;0.7709:0.2755
1167609958,29653;0.769:0.2615
1167609958,33498;
1167609958,37264;
1167609958,3988;
1167609958,42509;
1167609958,45113;
1167609958,48145;
1167609958,5278;0.74215:0.34305
1167609958,58343;
1167609958,62377;0.73465:0.3502
1167609958,64589;0.72885:0.348
1167609958,6909;0.72805:0.35185
1167609958,73019;0.6829:0.5204
1167609958,77319;0.64945:0.69515
1167609958,81282;0.6459:0.7002
1167609958,85838;0.6435:0.709
1167609958,90024;0.6464:0.69465
1167609958,94686;0.64355:0.673
1167609958,98748;0.6463:0.68695
1167609959,03185;0.6937:0.54295
1167609959,07319;0.6795:0.5488
1167609959,12071;0.68125:0.55145
1167609959,1611;0.67785:0.5472
1167609959,20406;0.683:0.53595
1167609959,24346;0.6827:0.54955
1167609959,28668;0.6839:0.53655
1167609959,32623;0.6824:0.52985
1167609959,37126;0.6804:0.5433
1167609959,41184;0.68145:0.54195
1167609959,45606;0.68155:0.55735
1167609959,49537;0.68075:0.5448
