Timestamp;GazePoint
636189761513,228;
1167609887,57733;0.51795:0.48355
1167609887,61518;0.5134:0.47265
1167609887,65298;0.5235:0.40665
1167609887,69438;0.5086:0.49635
1167609887,73236;0.5234:0.4172
1167609887,76958;0.51825:0.4734
1167609887,80666;0.5298:0.402
1167609887,84377;0.4992:0.47575
1167609887,8841;0.30945:0.40795
1167609887,92154;0.28705:0.3884
1167609887,9614;0.3013:0.36065
1167609887,99825;0.2882:0.40715
1167609888,05232;0.3048:0.33925
1167609888,09099;0.29865:0.36015
1167609888,14015;0.22755:0.53255
1167609888,18681;0.23805:0.54055
1167609888,23012;0.22345:0.51875
1167609888,26624;0.23945:0.5012
1167609888,30853;0.20895:0.54885
1167609888,34414;0.2112:0.53805
1167609888,3857;0.2147:0.54005
1167609888,4224;0.20515:0.52245
1167609888,46413;0.21335:0.5241
1167609888,50192;0.2092:0.531
1167609888,54223;0.2081:0.54005
1167609888,57949;0.21215:0.56195
1167609888,61671;0.2144:0.5194
1167609888,65317;0.2105:0.5474
1167609888,68994;0.2098:0.5461
1167609888,72569;0.21055:0.54485
1167609888,7634;0.22645:0.50645
1167609888,80197;0.20925:0.5476
1167609888,83943;0.21965:0.54795
1167609888,87694;0.4054:0.46385
1167609888,9137;0.7657:0.3551
1167609888,95149;0.74745:0.4164
1167609888,98869;0.72265:0.3978
1167609889,02716;0.7252:0.39735
1167609889,06976;0.7251:0.39745
1167609889,10641;0.72745:0.42055
1167609889,14385;0.7175:0.3579
1167609889,18088;0.73:0.38045
1167609889,21793;0.7408:0.35555
1167609889,25478;0.7322:0.36175
1167609889,29099;0.7368:0.3464
1167609889,32725;0.7394:0.3474
1167609889,36361;0.73355:0.3511
1167609889,40212;0.73495:0.35275
1167609889,44092;0.7412:0.3501
1167609889,47896;0.7342:0.2971
1167609889,51709;0.7351:0.3473
1167609889,55512;0.733:0.3501
1167609889,59268;0.73485:0.3322
1167609889,63448;0.73975:0.35255
1167609889,67246;0.73475:0.3507
1167609889,71169;0.7098:0.141
1167609889,75049;0.703:0.12235
1167609889,78863;0.7046:0.14845
1167609889,83087;0.70125:0.1321
1167609889,86912;0.7018:0.1408
1167609889,91237;0.32755:0.19375
1167609889,95074;0.21315:0.20665
1167609889,99612;0.2178:0.203
1167609890,03434;0.22995:0.212
1167609890,07643;0.22015:0.2081
1167609890,11364;0.2155:0.19785
1167609890,15582;0.20885:0.09045
1167609890,1934;0.187:0.05135
1167609890,2353;0.187:0.0609
1167609890,27269;
1167609890,31483;
1167609890,3569;
1167609890,3976;0.20615:0.04615
1167609890,43494;0.19285:0.06615
1167609890,47642;0.19095:0.06385
1167609890,51308;0.18895:0.0629
1167609890,54985;0.19875:0.06645
1167609890,58646;0.2045:0.03935
1167609890,62362;0.19475:0.06515
1167609890,66116;0.19265:0.0703
1167609890,6982;0.1938:0.0682
1167609890,73563;0.1982:0.06195
1167609890,77328;0.2015:0.05785
1167609890,81051;0.19935:0.0841
1167609890,84818;0.19215:0.0534
1167609890,88592;0.1997:0.07275
1167609890,92377;0.2013:0.0591
1167609890,96158;0.65435:0.13885
1167609890,99914;0.664:0.12865
1167609891,03735;0.65695:0.153
1167609891,07649;0.65845:0.14265
1167609891,11524;0.6628:0.15375
1167609891,15434;0.6542:0.145
1167609891,19254;0.66805:0.1804
1167609891,23054;0.754:0.45685
1167609891,26827;0.7565:0.4866
1167609891,30628;0.74665:0.4728
1167609891,34397;0.7476:0.4674
1167609891,38466;0.74165:0.4874
1167609891,4249;0.746:0.4689
1167609891,46475;0.73515:0.3536
1167609891,50377;0.7413:0.3764
1167609891,54178;0.7393:0.38105
1167609891,58415;0.73955:0.36215
1167609891,62254;0.7389:0.3722
1167609891,66033;0.7425:0.3527
1167609891,69909;0.74415:0.3644
1167609891,73792;0.768:0.4482
1167609891,78092;0.77015:0.4749
1167609891,82016;0.7342:0.3181
1167609891,86342;0.6928:0.13495
1167609891,90306;0.69715:0.15465
1167609891,94932;0.6904:0.1574
1167609891,98999;0.6888:0.1231
1167609892,03454;0.69615:0.1522
1167609892,0731;0.84185:0.1694
1167609892,11786;0.8705:0.18005
1167609892,15895;0.8734:0.17885
1167609892,2029;0.87055:0.1856
1167609892,24246;0.8721:0.1788
