Timestamp;GazePoint
636189762850,875;
1167610021,30206;0.5263:0.4534
1167610021,35864;0.5072:0.49045
1167610021,39565;0.5088:0.48615
1167610021,44952;0.5079:0.5001
1167610021,50428;0.50955:0.49925
1167610021,55912;0.5147:0.477
1167610021,61466;0.5122:0.48945
1167610021,67044;0.5108:0.47915
1167610021,72747;0.51075:0.49285
1167610021,78365;0.50935:0.4845
1167610021,84416;0.6225:0.3391
1167610021,89938;0.62065:0.3282
1167610021,95412;0.622:0.3149
1167610022,01256;0.6187:0.34455
1167610022,0684;0.6179:0.3396
1167610022,12694;0.72525:0.591
1167610022,183;0.72155:0.6122
1167610022,24479;0.73015:0.57305
1167610022,30009;0.711:0.5005
1167610022,36041;0.7286:0.48105
1167610022,41823;0.73215:0.4813
1167610022,46575;0.72525:0.47815
1167610022,50697;0.74255:0.48685
1167610022,55183;0.72805:0.4742
1167610022,59853;0.7344:0.4791
1167610022,64319;0.73105:0.48845
1167610022,68365;0.73115:0.4814
1167610022,72982;0.73:0.4806
1167610022,77127;0.72495:0.4866
1167610022,81781;0.7261:0.4851
1167610022,85931;0.73155:0.47635
1167610022,89995;0.74265:0.54385
1167610022,94061;0.7436:0.52135
1167610022,98311;0.74495:0.52845
1167610023,02449;0.7468:0.51895
1167610023,06659;0.7567:0.51955
1167610023,10935;0.7513:0.5245
1167610023,15994;0.74235:0.51835
1167610023,21442;0.74465:0.5187
1167610023,25558;0.75585:0.51745
1167610023,30438;0.94585:0.71495
1167610023,3535;0.91825:0.70455
1167610023,39639;0.98235:0.8001
1167610023,43866;0.9318:0.7049
1167610023,48061;0.99915:0.824
1167610023,52839;0.92825:0.698
1167610023,57347;0.92915:0.70085
1167610023,61557;0.92815:0.6926
1167610023,6661;0.94985:0.664
1167610023,7077;0.96025:0.67025
1167610023,75062;0.9533:0.67965
1167610023,79884;0.96545:0.66865
1167610023,84045;0.96295:0.7317
1167610023,89282;0.9598:0.6663
1167610023,93724;0.9487:0.722
1167610023,98027;0.9589:0.69455
1167610024,02222;0.94145:0.6528
1167610024,06934;0.94335:0.64655
1167610024,11475;0.90585:0.2335
1167610024,15844;0.9543:0.4436
1167610024,20837;0.9109:0.22725
1167610024,25283;0.90445:0.2494
1167610024,30083;0.81475:0.2628
1167610024,34246;0.8987:0.4784
1167610024,3957;0.81145:0.254
1167610024,4401;0.68755:0.3138
1167610024,50293;0.23585:0.5382
1167610024,55208;
1167610024,60568;
1167610024,63706;0.24945:0.5781
1167610024,67196;0.23825:0.5884
1167610024,72315;0.34565:0.64885
1167610024,76927;0.3413:0.7075
1167610024,8161;0.338:0.69565
1167610024,86182;0.33755:0.70135
1167610024,90185;0.3593:0.7087
1167610024,94336;
1167610024,98253;0.3419:0.66485
1167610025,01109;0.3471:0.67375
1167610025,04914;0.3473:0.6644
1167610025,08725;0.34355:0.6717
1167610025,12519;0.3455:0.66855
1167610025,16364;0.1897:0.65475
1167610025,20168;0.1109:0.6655
1167610025,23979;
1167610025,27793;0.12175:0.66655
1167610025,31781;0.0753:0.73525
1167610025,35665;
1167610025,39627;
1167610025,43432;
1167610025,47355;
1167610025,51557;
1167610025,55608;
1167610025,59786;
1167610025,64298;
1167610025,68374;
1167610025,72421;
1167610025,76899;
1167610025,80714;
1167610025,85205;
1167610025,89022;
1167610025,92512;
1167610025,95436;
1167610025,99088;0.11495:0.3632
1167610026,03148;
1167610026,07173;
1167610026,11248;0.11945:0.3592
1167610026,1567;
1167610026,19709;
1167610026,24223;
1167610026,28292;
1167610026,32952;0.1673:0.2615
1167610026,37051;0.23115:0.3792
1167610026,4144;0.24785:0.4146
1167610026,45474;0.2518:0.41545
1167610026,49971;0.2557:0.4141
1167610026,53956;0.25365:0.41315
1167610026,58444;0.65925:0.7107
1167610026,62368;0.70835:0.7335
1167610026,67048;0.7038:0.745
1167610026,71158;0.69995:0.73975
1167610026,75669;0.6989:0.73985
1167610026,79697;0.70025:0.7461
1167610026,84241;0.70125:0.74975
1167610026,88307;
1167610026,9221;
1167610026,95536;0.6921:0.7417
1167610026,98399;
1167610027,02176;
1167610027,04952;
1167610027,078;
1167610027,10594;0.65775:0.55385
1167610027,13913;0.65275:0.53015
1167610027,17569;0.65665:0.52915
1167610027,21468;0.653:0.53455
1167610027,25376;0.6588:0.53005
1167610027,29279;0.659:0.53535
1167610027,33152;0.67505:0.51725
1167610027,37131;0.6789:0.5174
1167610027,41012;0.6825:0.5034
1167610027,44847;
1167610027,48722;
1167610027,52307;
1167610027,54973;
1167610027,57655;
1167610027,60445;
1167610027,66146;
1167610027,71851;
1167610027,74958;
1167610027,78074;
1167610027,81194;
1167610027,86875;
1167610027,92424;0.5846:0.3808
1167610027,94663;0.60995:0.45095
1167610027,98893;0.6972:0.52235
1167610028,02712;0.6951:0.53555
1167610028,06511;0.69805:0.53445
1167610028,10371;0.6994:0.52855
1167610028,14476;0.6969:0.5334
1167610028,18384;0.70075:0.5362
1167610028,22697;0.69485:0.5292
1167610028,2662;0.7854:0.61225
1167610028,31133;
1167610028,35004;
1167610028,37646;
1167610028,40307;
1167610028,4301;
1167610028,5027;0.743:0.5144
1167610028,56694;
1167610028,62151;0.76235:0.45995
1167610028,64519;0.6165:0.53275
1167610028,70434;0.6252:0.559
1167610028,74632;0.6215:0.56075
1167610028,79789;0.6262:0.55725
1167610028,84528;0.4834:0.7114
1167610028,89651;0.3865:0.78775
1167610028,93543;0.395:0.79285
1167610028,97472;0.393:0.7796
