Timestamp;GazePoint
636189761854,138;
1167609921,66909;0.48815:0.4605
1167609921,70935;0.4922:0.4536
1167609921,74751;0.48835:0.45265
1167609921,78939;0.4898:0.4659
1167609921,82674;0.4888:0.4697
1167609921,86975;0.49625:0.4568
1167609921,90844;0.49805:0.48005
1167609921,95182;0.4995:0.4819
1167609921,98949;0.2499:0.43935
1167609922,0329;0.2578:0.4551
1167609922,07249;0.2529:0.4616
1167609922,1142;0.25475:0.4592
1167609922,15054;0.2389:0.4451
1167609922,18732;0.2461:0.43195
1167609922,2249;0.24655:0.4454
1167609922,26222;0.1915:0.41505
1167609922,29839;0.18875:0.41575
1167609922,3342;0.20135:0.43335
1167609922,36978;0.19485:0.42395
1167609922,40536;0.2003:0.4127
1167609922,44146;0.18085:0.3893
1167609922,47762;0.17965:0.4205
1167609922,51313;0.24935:0.28805
1167609922,54836;0.21325:0.3001
1167609922,59347;0.2344:0.3324
1167609922,62779;0.22255:0.3385
1167609922,66256;0.23265:0.3332
1167609922,69835;0.22785:0.3174
1167609922,73287;0.23055:0.33495
1167609922,76747;0.2243:0.31355
1167609922,80232;0.23735:0.32255
1167609922,83743;0.30505:0.27405
1167609922,87239;0.34145:0.25865
1167609922,9073;0.33055:0.2569
1167609922,94253;0.32405:0.2603
1167609922,9781;0.34595:0.22965
1167609923,01377;0.33215:0.2827
1167609923,04999;0.3526:0.22105
1167609923,08593;0.34925:0.2476
1167609923,12118;0.34335:0.23945
1167609923,1571;0.2335:0.163
1167609923,19665;0.21155:0.19265
1167609923,23191;0.2176:0.201
1167609923,2683;0.20815:0.18975
1167609923,30433;0.22145:0.1957
1167609923,34057;0.21895:0.20905
1167609923,37675;0.2169:0.18565
1167609923,41647;0.2156:0.1651
1167609923,45415;0.21675:0.2053
1167609923,49531;0.2131:0.2041
1167609923,53257;0.22235:0.1987
1167609923,57549;0.47265:0.17715
1167609923,61262;0.7542:0.5111
1167609923,65435;0.7542:0.38995
1167609923,69263;0.7459:0.3388
1167609923,73612;0.73545:0.35655
1167609923,77919;0.73805:0.38975
1167609923,82229;0.73895:0.3989
1167609923,86145;0.74325:0.3721
1167609923,90512;0.7405:0.40045
1167609923,9493;0.743:0.35685
1167609923,99331;0.7413:0.3883
1167609924,03394;0.74575:0.3494
1167609924,07743;0.7417:0.386
1167609924,11747;0.7365:0.4085
1167609924,15745;0.74075:0.39775
1167609924,19646;0.7433:0.39485
1167609924,23666;0.74675:0.391
1167609924,27651;0.73355:0.39395
1167609924,31626;0.76805:0.4951
1167609924,35621;0.772:0.4757
1167609924,39746;0.7702:0.51155
1167609924,43558;0.7754:0.5058
1167609924,4765;0.77195:0.5051
1167609924,51646;0.6623:0.2846
1167609924,5556;0.64145:0.29315
1167609924,59528;0.6422:0.27675
1167609924,63446;0.64645:0.2848
1167609924,67389;0.64315:0.28835
1167609924,71265;0.64665:0.2881
1167609924,75232;0.6469:0.2981
1167609924,79091;0.6403:0.29735
1167609924,82971;
1167609924,86938;
1167609924,90814;
1167609924,94713;
1167609924,98523;
1167609925,02378;
1167609925,06294;
1167609925,10168;
1167609925,1423;
1167609925,18371;
1167609925,22193;
1167609925,2616;0.42145:0.04445
1167609925,30056;0.349:0.0825
1167609925,34082;0.3361:0.10345
1167609925,38211;0.3408:0.1067
1167609925,42293;0.3414:0.11855
1167609925,4661;0.34105:0.09295
1167609925,50526;0.34495:0.1148
1167609925,55038;0.3408:0.0936
1167609925,58961;0.286:0.05365
1167609925,63316;
1167609925,67107;0.29985:0.04715
1167609925,71724;0.29905:0.0431
1167609925,75797;0.25655:0.03685
1167609925,80349;0.26625:0.0457
1167609925,84386;
1167609925,88876;0.2635:0.0366
1167609925,92986;0.2711:0.04465
1167609925,97495;0.25785:0.04375
1167609926,01351;
1167609926,05588;
1167609926,09527;
1167609926,13511;
1167609926,17509;
1167609926,21333;
1167609926,25308;
1167609926,29084;0.439:0.04815
1167609926,3292;0.44315:0.045
1167609926,36722;0.44375:0.03465
1167609926,40594;
1167609926,44561;0.63505:0.05345
1167609926,48712;0.6322:0.04485
1167609926,52878;
1167609926,56759;0.6879:0.07555
1167609926,60642;
1167609926,64715;0.67325:0.0596
1167609926,68739;0.6731:0.0684
1167609926,72769;0.6682:0.0481
1167609926,76787;0.6707:0.06255
1167609926,8082;0.6388:0.13975
1167609926,84965;0.21025:0.5572
1167609926,88891;0.232:0.53785
1167609926,9285;0.21515:0.53635
1167609926,96608;0.2109:0.53785
1167609927,00405;0.2191:0.54175
1167609927,04186;0.22435:0.54015
1167609927,07944;0.19855:0.4554
1167609927,11783;0.1983:0.46615
1167609927,15846;0.1986:0.47055
1167609927,19507;0.19665:0.44965
1167609927,23251;0.19805:0.47105
1167609927,26907;0.19535:0.462
1167609927,30618;0.19225:0.4634
1167609927,34635;0.19615:0.3429
1167609927,38293;0.20075:0.33545
1167609927,42347;0.19825:0.34825
1167609927,46063;0.19775:0.3447
1167609927,50373;0.20355:0.34075
1167609927,54086;0.20425:0.341
1167609927,58257;0.2019:0.44965
1167609927,62064;0.19985:0.49735
1167609927,66422;0.20325:0.48395
1167609927,70258;0.19555:0.4757
1167609927,74524;0.23525:0.4723
1167609927,78292;0.2405:0.50395
1167609927,82506;0.2358:0.49655
1167609927,86236;0.23355:0.46865
1167609927,90511;0.37785:0.07825
1167609927,94281;0.36605:0.05945
1167609927,98537;0.366:0.0583
1167609928,02223;0.3658:0.0551
1167609928,06138;0.4195:0.0178
1167609928,09805;
1167609928,13647;
1167609928,17492;
1167609928,21311;0.4452:0.03725
1167609928,25116;
1167609928,28981;
1167609928,3283;
1167609928,36686;
1167609928,40705;0.33385:0.06555
1167609928,44566;0.33485:0.0889
1167609928,48311;0.33555:0.0746
1167609928,52063;0.34315:0.0952
1167609928,55846;0.33485:0.07625
1167609928,59623;0.2042:0.2578
1167609928,63431;0.1685:0.2854
1167609928,67243;0.23165:0.146
1167609928,71032;
1167609928,75337;0.2209:0.2254
1167609928,7882;0.2226:0.2222
1167609928,82436;0.2228:0.2219
1167609928,86156;0.22155:0.21375
1167609928,89909;0.22325:0.23085
1167609928,93671;0.34165:0.2659
1167609928,97413;0.36295:0.27565
1167609929,01259;0.36265:0.29245
1167609929,051;0.366:0.27295
1167609929,09175;0.36245:0.2857
1167609929,12837;0.3638:0.3109
1167609929,16546;0.36145:0.27885
1167609929,20254;0.35925:0.2792
1167609929,24031;0.3592:0.2881
1167609929,28182;0.3298:0.3091
1167609929,31974;0.3478:0.26605
1167609929,36213;0.3499:0.27135
1167609929,4005;0.3475:0.2906
1167609929,44306;0.3406:0.27735
1167609929,48147;0.34625:0.28535
1167609929,5229;0.3498:0.58635
1167609929,55994;0.3607:0.5878
1167609929,60158;0.354:0.5739
1167609929,63889;0.3586:0.5713
1167609929,68432;0.3507:0.54965
1167609929,72106;0.34865:0.5268
1167609929,76171;0.36795:0.4628
1167609929,79893;0.36845:0.49495
1167609929,84156;0.35805:0.51925
1167609929,87937;0.36065:0.48215
1167609929,92068;0.3638:0.5123
1167609929,95693;0.36275:0.52295
1167609929,99441;0.35425:0.54735
1167609930,03173;0.35685:0.56085
1167609930,06895;0.3668:0.54345
1167609930,10567;0.35595:0.5616
1167609930,14281;0.3669:0.5499
1167609930,18006;0.3546:0.55555
1167609930,21711;0.35765:0.49725
1167609930,25423;0.35415:0.5462
1167609930,29154;0.35425:0.53985
1167609930,329;0.35215:0.56185
1167609930,36648;0.3663:0.51795
1167609930,4041;0.36295:0.5406
1167609930,44185;0.3666:0.5462
1167609930,48063;0.3655:0.54295
1167609930,51919;0.3579:0.5616
1167609930,55742;0.36005:0.52955
1167609930,5948;0.3672:0.5341
1167609930,63265;0.62865:0.51945
1167609930,6702;0.6397:0.5068
1167609930,70965;0.62285:0.50775
1167609930,74887;0.63525:0.50525
1167609930,78922;0.6207:0.53475
1167609930,82865;0.6367:0.5007
1167609930,86809;0.63995:0.4547
1167609930,90718;0.6534:0.4601
1167609930,94608;0.6414:0.4619
1167609930,9852;0.65495:0.4628
1167609931,02774;0.6497:0.4547
1167609931,06641;0.6535:0.45715
1167609931,10541;0.63435:0.49335
1167609931,1447;0.6434:0.5225
1167609931,18264;0.65095:0.472
1167609931,22571;0.64275:0.4928
1167609931,26426;0.64935:0.4793
1167609931,3064;0.6491:0.4898
1167609931,3452;0.644:0.47195
1167609931,38951;0.65135:0.45875
1167609931,42868;0.64375:0.4921
1167609931,47224;0.64565:0.45185
1167609931,51039;0.6418:0.4914
1167609931,55359;0.8734:0.22625
1167609931,59239;0.86525:0.24515
1167609931,63582;0.8361:0.21355
1167609931,67468;0.80375:0.1888
1167609931,72186;0.5889:0.84845
1167609931,75916;0.5678:0.89255
1167609931,80239;0.5771:0.8561
1167609931,84273;0.5694:0.89315
1167609931,88512;0.56085:0.87685
1167609931,92321;0.57185:0.8151
1167609931,961;0.57555:0.82045
1167609931,99981;0.5714:0.8109
1167609932,03867;0.57515:0.81885
1167609932,07729;0.5676:0.8245
1167609932,11546;0.5727:0.8249
1167609932,15479;0.38915:0.8441
1167609932,19394;0.37375:0.8532
1167609932,23345;0.378:0.82295
1167609932,27263;0.3697:0.8349
1167609932,31163;0.3679:0.81295
1167609932,35065;0.37525:0.63465
1167609932,389;0.3777:0.6676
1167609932,4284;0.36745:0.66855
1167609932,46751;0.3753:0.66885
1167609932,50748;0.3749:0.6757
1167609932,54727;0.3691:0.7453
1167609932,58728;0.3705:0.7439
1167609932,62629;0.36605:0.7335
1167609932,6652;0.37765:0.74385
1167609932,70535;0.3755:0.7283
1167609932,74561;0.38065:0.7358
1167609932,7854;0.3741:0.74405
1167609932,82521;0.1855:0.6401
1167609932,86448;0.17465:0.62345
1167609932,90312;0.17435:0.63115
