Timestamp;GazePoint
9786,10274;
1167609786,14527;
1167609786,18784;
1167609786,22471;
1167609786,26726;
1167609786,30574;0.1811:0.19375
1167609786,34695;0.182:0.2135
1167609786,40913;0.16865:0.20085
1167609786,45317;0.17885:0.18775
1167609786,51793;0.16595:0.2355
1167609786,58181;0.1696:0.2615
1167609786,63687;0.16425:0.2586
1167609786,69318;
1167609786,74895;0.19455:0.19635
1167609786,80643;0.25155:0.46505
1167609786,8632;0.25705:0.5132
1167609786,92493;0.2499:0.4562
1167609786,98133;0.26645:0.49235
1167609787,03973;0.2642:0.49005
1167609787,09931;0.2517:0.459
1167609787,15651;0.26075:0.48775
1167609787,20345;0.26175:0.48535
1167609787,2625;0.26425:0.4757
1167609787,3195;0.26215:0.4798
1167609787,37906;0.26035:0.48105
1167609787,43438;0.2591:0.46125
1167609787,49693;0.26:0.45225
1167609787,53554;0.2607:0.46455
1167609787,57491;0.26345:0.454
1167609787,61012;0.2602:0.44875
1167609787,65038;0.26015:0.44715
1167609787,68673;0.25495:0.43775
1167609787,72559;0.26065:0.4373
1167609787,76143;0.2612:0.3489
1167609787,7998;0.25435:0.42825
1167609787,84193;0.2562:0.4086
1167609787,8815;0.25625:0.41735
1167609787,91676;0.2685:0.4237
1167609787,95488;0.2559:0.3969
1167609787,9889;0.25965:0.4177
1167609788,02406;0.26315:0.4413
1167609788,05885;0.2614:0.4286
1167609788,0932;0.26365:0.41945
1167609788,12844;0.26175:0.43755
1167609788,16423;0.2596:0.4248
1167609788,19919;0.2604:0.42115
1167609788,23377;0.25475:0.42085
1167609788,26974;0.24255:0.4411
1167609788,30407;0.22715:0.4351
1167609788,34013;0.2328:0.43775
1167609788,37612;0.23665:0.45075
1167609788,4116;0.24375:0.4333
1167609788,44778;0.2346:0.4341
1167609788,48326;0.2379:0.4343
1167609788,51899;0.23475:0.46395
1167609788,55449;0.2366:0.454
1167609788,59007;0.2386:0.4484
1167609788,62557;0.233:0.4457
1167609788,66171;0.2409:0.44105
1167609788,69808;0.23945:0.4374
1167609788,73415;0.23755:0.4443
1167609788,77013;0.23905:0.46465
1167609788,80652;0.23685:0.441
1167609788,84284;0.24375:0.47115
1167609788,87946;0.2348:0.4285
1167609788,91597;0.2347:0.4744
1167609788,95276;0.23915:0.43285
1167609788,98931;0.2353:0.45625
1167609789,02536;0.23245:0.4543
1167609789,06562;0.2381:0.44845
1167609789,10209;0.2424:0.45625
1167609789,13855;0.23565:0.43155
1167609789,17585;0.2314:0.436
1167609789,2137;0.2415:0.45035
1167609789,25491;0.2501:0.4228
1167609789,29352;0.23305:0.4538
1167609789,33513;0.24115:0.4406
1167609789,37269;0.23625:0.44485
1167609789,41679;0.23935:0.4371
1167609789,45607;0.23825:0.4362
1167609789,49883;0.24015:0.44465
1167609789,53709;0.24345:0.44605
1167609789,58176;0.2361:0.4438
1167609789,62051;0.2372:0.44185
1167609789,66371;0.2447:0.41895
1167609789,70245;0.24025:0.4365
1167609789,74434;0.24045:0.43365
1167609789,78329;0.2429:0.42605
1167609789,82556;0.24305:0.4315
1167609789,86379;0.2459:0.43705
1167609789,90412;0.2398:0.43495
1167609789,9405;0.2416:0.3952
1167609789,97806;0.239:0.4324
1167609790,0152;0.24095:0.4271
1167609790,05222;0.24675:0.4236
1167609790,08929;0.23985:0.4317
1167609790,12652;0.2463:0.43795
1167609790,1636;0.2489:0.45565
1167609790,20065;0.2411:0.42515
1167609790,23753;0.2476:0.4191
1167609790,27511;0.24445:0.4486
1167609790,31195;0.242:0.4072
1167609790,34927;0.2474:0.443
1167609790,38634;0.2519:0.45235
1167609790,42365;0.24175:0.43615
1167609790,46113;0.2379:0.4394
1167609790,49943;0.23695:0.43645
1167609790,53664;0.245:0.41245
1167609790,57409;0.2388:0.41525
