Timestamp;GazePoint
636189738872,299;
1167609910,75588;0.485:0.5461
1167609910,79608;
1167609910,83231;
1167609910,85748;
1167609910,88345;
1167609910,90918;0.40415:1.2821
1167609910,93496;
1167609910,98481;
1167609911,02342;0.4584:0.49195
1167609911,05283;0.4628:0.5019
1167609911,09243;
1167609911,13343;0.45275:0.50515
1167609911,15924;0.4466:0.4772
1167609911,20039;0.51435:0.51975
1167609911,23768;0.7144:0.5741
1167609911,27936;0.7167:0.57155
1167609911,31706;0.7193:0.5654
1167609911,35797;0.7129:0.5896
1167609911,39383;0.7216:0.586
1167609911,43071;0.71535:0.5668
1167609911,46757;0.70855:0.57855
1167609911,50393;0.59395:0.52775
1167609911,5404;0.5755:0.54525
1167609911,57712;0.5793:0.5467
1167609911,6133;0.5807:0.54905
1167609911,64934;0.5775:0.5379
1167609911,68494;0.57815:0.54345
1167609911,7203;0.579:0.5408
1167609911,75589;0.61955:0.55345
1167609911,79132;0.61605:0.5549
1167609911,82685;0.61075:0.5487
1167609911,86229;0.61655:0.55625
1167609911,89766;0.6165:0.5366
1167609911,93318;0.61915:0.5312
1167609911,96866;0.6167:0.526
1167609912,00476;0.56425:0.4364
1167609912,04107;0.5737:0.3705
1167609912,07731;0.59175:0.3606
1167609912,11382;0.58695:0.3563
1167609912,1502;0.5863:0.35525
1167609912,18658;0.59175:0.36175
1167609912,22319;0.54545:0.3298
1167609912,2599;0.54355:0.34265
1167609912,2967;0.54345:0.3481
1167609912,33383;0.5492:0.34755
1167609912,37098;0.55285:0.3613
1167609912,40828;0.5427:0.3609
1167609912,44917;0.54015:0.37845
1167609912,48645;0.5426:0.35095
1167609912,52388;0.3217:0.3764
1167609912,56143;0.30585:0.3924
1167609912,60094;0.3077:0.38705
1167609912,6423;0.31725:0.37005
1167609912,68108;0.322:0.3931
1167609912,72427;0.3398:0.28985
1167609912,76299;0.3462:0.30685
1167609912,80698;0.33565:0.31525
1167609912,84571;0.34145:0.29955
1167609912,88924;0.33875:0.30115
1167609912,92748;0.3407:0.31655
1167609912,97265;0.2554:0.1888
1167609913,01213;0.2602:0.1985
1167609913,05596;0.259:0.20725
1167609913,09415;0.26265:0.18705
1167609913,13739;0.26595:0.1781
1167609913,17595;0.26365:0.17095
1167609913,22031;0.2633:0.1681
1167609913,25923;0.255:0.1791
1167609913,30317;0.25805:0.3124
1167609913,34151;0.25555:0.4673
1167609913,38107;0.24605:0.47055
1167609913,42069;0.2627:0.47505
1167609913,45946;0.26275:0.4664
1167609913,49868;0.257:0.45335
1167609913,53771;0.2538:0.4806
1167609913,57674;0.24175:0.4767
1167609913,61632;0.26775:0.40325
1167609913,65586;0.268:0.41275
1167609913,69543;0.2572:0.3893
1167609913,73499;0.26505:0.40735
1167609913,77455;0.2699:0.4104
1167609913,81419;0.2633:0.3912
1167609913,8532;0.27645:0.39425
1167609913,89305;0.32905:0.4107
1167609913,93245;
1167609913,97247;0.8347:1.171
1167609914,01765;0.7454:0.74205
1167609914,05751;0.729:0.6557
1167609914,09474;0.7584:0.61995
1167609914,13506;0.7498:0.581
1167609914,17439;0.7512:0.6047
1167609914,21388;0.75115:0.6261
1167609914,25329;0.67595:0.69545
1167609914,29284;0.69495:0.7028
1167609914,33192;0.6842:0.66905
1167609914,37549;0.6852:0.6858
1167609914,41306;0.68185:0.6849
1167609914,45083;0.68275:0.6803
1167609914,48841;0.70115:0.81975
1167609914,52584;0.7217:0.7317
1167609914,56293;0.7176:0.7288
1167609914,60334;0.7244:0.74425
1167609914,641;0.71025:0.7735
1167609914,68232;0.71095:0.769
1167609914,71993;0.7041:0.76675
1167609914,76331;0.7136:0.76855
1167609914,80008;0.7125:0.7382
1167609914,84149;0.71585:0.767
1167609914,87796;0.6996:0.75225
1167609914,91934;0.71205:0.75585
1167609914,95616;0.70165:0.5486
1167609914,99725;
1167609915,03453;
1167609915,0651;
1167609915,09215;
1167609915,12476;
1167609915,15312;
1167609915,18562;
1167609915,21388;0.77195:0.3279
1167609915,24807;0.77295:0.2804
1167609915,28309;0.76935:0.2872
1167609915,31995;0.77625:0.28155
1167609915,35734;0.77225:0.2805
1167609915,39472;0.78715:0.2725
1167609915,43188;0.76925:0.28355
1167609915,46914;0.7755:0.3033
1167609915,5064;0.7848:0.329
1167609915,54367;0.7742:0.3237
1167609915,58122;0.7723:0.3279
1167609915,61858;0.7699:0.32565
1167609915,65596;
1167609915,69348;0.5998:0.35735
1167609915,72081;0.60325:0.3805
1167609915,76012;0.6005:0.34585
1167609915,79778;0.60815:0.3737
1167609915,83548;0.60355:0.36025
1167609915,87394;0.5878:0.36605
1167609915,91261;0.60515:0.3634
1167609915,95107;0.601:0.37655
1167609915,98964;
1167609916,02957;
1167609916,05534;
1167609916,08179;
1167609916,1078;0.5826:0.43155
1167609916,17892;
1167609916,22258;0.59815:0.3344
1167609916,24615;0.59755:0.331
1167609916,29639;0.5136:0.3592
1167609916,33475;0.3348:0.40355
1167609916,37525;0.3432:0.4015
1167609916,41607;0.3561:0.39785
1167609916,45712;0.33355:0.41035
1167609916,50007;0.3359:0.409
1167609916,5407;0.3389:0.4095
1167609916,58533;0.27975:0.4313
1167609916,62579;0.27945:0.42445
1167609916,6718;0.26915:0.4367
1167609916,71219;0.2875:0.43005
1167609916,75756;0.2831:0.4394
1167609916,79729;0.28835:0.4389
1167609916,84236;0.27845:0.42555
1167609916,88183;0.2932:0.42795
1167609916,92614;0.28815:0.4111
1167609916,96646;0.2931:0.44605
1167609917,01164;0.1503:0.3404
1167609917,05218;0.13775:0.31485
1167609917,09689;0.1208:0.3123
1167609917,13747;0.1367:0.31035
1167609917,18192;0.1074:0.2614
1167609917,22199;0.1105:0.15245
1167609917,26298;0.1009:0.162
1167609917,3011;0.1028:0.14885
1167609917,33963;0.10435:0.16295
1167609917,37878;0.10425:0.1745
1167609917,41788;0.1117:0.14745
1167609917,45716;0.10785:0.1809
1167609917,496;0.11365:0.7084
1167609917,53468;0.1418:0.9031
1167609917,5751;0.1248:0.8888
1167609917,6185;0.12915:0.8912
1167609917,66057;0.11965:0.873
1167609917,69917;0.1146:0.92185
1167609917,74129;0.1055:0.85545
1167609917,78352;0.38235:0.857
1167609917,82609;0.4373:0.8441
1167609917,86927;0.42485:0.85275
1167609917,90824;0.41405:0.8595
1167609917,94661;0.42355:0.8417
1167609917,98554;0.43025:0.853
1167609918,02333;0.4234:0.8689
1167609918,06085;0.4017:0.85985
1167609918,09812;0.2952:0.8647
1167609918,13545;
1167609918,17299;
1167609918,21071;
1167609918,24927;
1167609918,28867;
1167609918,32531;
1167609918,36251;
1167609918,39986;
1167609918,4369;0.30885:0.68755
1167609918,47807;0.513:0.8917
1167609918,51613;0.45415:0.6204
1167609918,55642;0.4668:0.61435
1167609918,59427;0.456:0.5951
1167609918,63792;0.54975:0.89995
1167609918,67646;
1167609918,71409;
1167609918,74044;
1167609918,76693;0.10175:1.1501
1167609918,79541;
1167609918,84014;0.13125:0.9123
