Timestamp;GazePoint
636189739931,999;
1167610016,72494;0.4643:0.50655
1167610016,75927;0.46095:0.53215
1167610016,79471;0.4544:0.5182
1167610016,83138;0.47015:0.52635
1167610016,86651;0.4956:0.5058
1167610016,90699;0.5016:0.4924
1167610016,95941;0.51595:0.55255
1167610017,01542;0.51435:0.4551
1167610017,06719;0.49695:0.5582
1167610017,12288;0.347:0.57075
1167610017,17393;0.3676:0.5176
1167610017,23055;0.3688:0.50985
1167610017,28193;0.355:0.52795
1167610017,3377;0.3341:0.5254
1167610017,38827;0.2026:0.60875
1167610017,44391;0.21505:0.61745
1167610017,49652;0.19655:0.55455
1167610017,55276;0.21265:0.63
1167610017,60561;0.2267:0.60485
1167610017,66178;0.22495:0.55185
1167610017,71407;0.2156:0.5941
1167610017,76674;0.20205:0.5346
1167610017,81927;0.22905:0.54175
1167610017,87277;0.33135:0.57675
1167610017,92652;0.3257:0.52065
1167610017,98283;0.32:0.51165
1167610018,02073;0.3137:0.53675
1167610018,05688;0.1989:0.5928
1167610018,09325;0.18725:0.5467
1167610018,1301;0.20725:0.5707
1167610018,16649;0.2:0.5703
1167610018,20312;0.20465:0.57715
1167610018,23968;0.2188:0.5899
1167610018,27629;0.21125:0.59135
1167610018,31311;0.1983:0.57865
1167610018,34997;0.203:0.6009
1167610018,38687;0.20835:0.58355
1167610018,42517;0.205:0.5912
1167610018,46208;0.19645:0.56465
1167610018,49897;0.19695:0.5755
1167610018,53582;0.17645:0.61325
1167610018,57281;0.11345:0.6797
1167610018,60982;0.1269:0.7044
1167610018,64709;0.11965:0.69105
1167610018,68399;0.12005:0.70665
1167610018,72573;0.1298:0.7094
1167610018,7705;0.1269:0.67855
1167610018,81576;0.1295:0.68055
1167610018,8542;0.21125:0.5457
1167610018,89235;0.2055:0.5436
1167610018,93409;0.2128:0.5526
1167610018,97265;0.21355:0.5434
1167610019,01558;0.20425:0.5333
1167610019,05423;0.2034:0.5725
1167610019,09834;0.247:0.2615
1167610019,13712;0.2458:0.2459
1167610019,18086;0.2423:0.25535
1167610019,21887;0.2435:0.2637
1167610019,26268;0.2399:0.27475
1167610019,30143;0.2344:0.28835
1167610019,34482;0.22885:0.17215
1167610019,38298;0.23845:0.1842
1167610019,42561;0.22275:0.16175
1167610019,46399;0.2399:0.19975
1167610019,50731;0.24275:0.183
1167610019,54564;0.22325:0.10955
1167610019,58851;0.21355:0.1223
1167610019,62614;0.2067:0.10535
1167610019,66451;0.21635:0.11625
1167610019,70311;0.28635:0.6508
1167610019,74159;0.2054:0.8557
1167610019,78182;0.1971:0.8586
1167610019,82492;0.21955:0.87455
1167610019,86527;0.2118:0.8465
1167610019,90675;0.20175:0.82385
1167610019,9478;0.24175:0.825
1167610019,98906;0.24855:0.81985
1167610020,0301;0.23775:0.82655
1167610020,07214;0.30825:0.79175
1167610020,11369;0.31565:0.76145
1167610020,15259;0.31995:0.7716
1167610020,19035;0.4108:0.75985
1167610020,23466;0.73355:0.7184
1167610020,27353;0.72785:0.72455
1167610020,31188;0.72155:0.72395
1167610020,3503;0.7385:0.72725
1167610020,38909;0.73645:0.72455
1167610020,42719;0.73005:0.7267
1167610020,46535;0.7664:0.83115
1167610020,50382;0.7637:0.85695
1167610020,54141;0.77995:0.87095
1167610020,5787;0.76965:0.8781
1167610020,61587;0.77305:0.87425
1167610020,653;0.762:0.61625
1167610020,69417;0.7668:0.3677
1167610020,73118;
1167610020,76831;
1167610020,79528;0.77105:0.44105
1167610020,82741;
1167610020,86277;
1167610020,89745;
1167610020,92408;0.7374:0.25975
1167610020,96158;0.7328:0.25595
1167610020,99783;0.7414:0.2521
1167610021,04095;0.7288:0.2543
1167610021,07886;0.72865:0.2404
1167610021,1204;0.69185:0.23285
1167610021,15743;0.69355:0.2339
1167610021,20053;0.70295:0.23245
1167610021,23855;0.7011:0.2234
1167610021,28096;0.69175:0.2289
1167610021,31856;0.73425:0.23285
1167610021,36078;0.84115:0.25825
1167610021,39914;0.82775:0.2487
1167610021,44178;0.8303:0.23985
1167610021,47985;0.83715:0.2739
1167610021,52257;0.81425:0.2648
1167610021,55975;0.71485:0.2866
1167610021,59711;0.709:0.29515
1167610021,63554;0.706:0.2718
1167610021,67366;0.71915:0.26285
1167610021,71129;0.7148:0.27085
1167610021,74965;0.7203:0.2586
1167610021,78854;0.7121:0.266
1167610021,82745;0.7134:0.28835
1167610021,86596;0.7052:0.26415
1167610021,90456;0.6995:0.24485
1167610021,94356;0.71625:0.25305
1167610021,98309;0.71275:0.26995
1167610022,02212;0.71235:0.26615
1167610022,06153;0.7059:0.27185
1167610022,10067;0.79055:0.3546
1167610022,14026;0.78945:0.3915
1167610022,18018;0.7782:0.3736
1167610022,21906;0.7922:0.39165
1167610022,25842;0.87105:0.27465
1167610022,2974;0.88515:0.2412
1167610022,33572;0.87505:0.22925
1167610022,37464;
1167610022,413;0.87855:0.19895
1167610022,44866;
1167610022,48799;
1167610022,51584;
1167610022,54527;
1167610022,57188;
1167610022,5993;
1167610022,62911;
1167610022,65912;
1167610022,68744;
1167610022,71921;
1167610022,74811;
1167610022,77754;
1167610022,81075;
1167610022,84196;
1167610022,86882;
1167610022,89837;0.87085:0.2415
1167610022,94666;
1167610022,98873;0.8724:0.1869
1167610023,01864;0.87555:0.2046
1167610023,06306;0.87515:0.21525
1167610023,10923;0.76745:0.4925
1167610023,1503;0.77625:0.50305
1167610023,19254;0.762:0.4849
1167610023,23586;0.7712:0.3846
1167610023,27599;0.76435:0.4042
1167610023,31969;0.76245:0.40195
1167610023,36021;0.7574:0.4024
1167610023,41365;0.76545:0.4045
1167610023,45389;0.77005:0.41095
1167610023,49849;0.7693:0.41595
1167610023,53822;
1167610023,57778;
1167610023,6136;
1167610023,64017;
1167610023,66674;0.16935:1.2438
1167610023,69344;0.34925:0.93515
1167610023,75173;
1167610023,79093;0.34625:0.7115
1167610023,81963;0.35055:0.7186
1167610023,8632;0.3611:0.5021
1167610023,90269;0.34485:0.51345
1167610023,9432;0.34675:0.50505
1167610023,98289;0.35485:0.5143
1167610024,02274;0.3526:0.5051
1167610024,0636;0.347:0.5111
1167610024,10314;0.37275:0.4844
1167610024,14252;0.5542:0.5874
1167610024,18081;0.62475:0.5668
1167610024,22082;0.61075:0.5419
1167610024,26023;0.629:0.5818
1167610024,2979;0.61705:0.5477
1167610024,33622;0.611:0.53345
1167610024,37465;0.61535:0.5764
1167610024,41289;0.6169:0.555
1167610024,45127;0.61905:0.55505
1167610024,48972;0.47325:0.5684
1167610024,5274;0.2472:0.5482
1167610024,56998;0.2642:0.5291
1167610024,60831;0.26345:0.5362
1167610024,64753;0.2681:0.54505
1167610024,68595;0.22265:0.5909
1167610024,72414;0.21215:0.59255
1167610024,7619;0.21785:0.5944
1167610024,80409;0.20205:0.5947
1167610024,84312;0.19235:0.62005
1167610024,88582;0.20535:0.6025
1167610024,92507;0.2092:0.5873
1167610024,9696;0.21615:0.61005
1167610025,00881;0.20255:0.59935
1167610025,0528;0.1923:0.57775
1167610025,09169;0.20795:0.57745
1167610025,13679;0.2123:0.58325
1167610025,17613;0.13075:0.72905
1167610025,22016;0.13615:0.72265
1167610025,259;0.1345:0.7178
1167610025,30306;0.12635:0.724
1167610025,34325;0.1289:0.7156
1167610025,38915;0.1252:0.74
1167610025,42919;0.18585:0.60915
1167610025,47273;0.1975:0.5859
1167610025,5114;0.16005:0.6185
1167610025,55197;0.17445:0.60135
1167610025,59287;0.17035:0.60095
1167610025,63375;0.17235:0.6114
1167610025,67457;0.19445:0.5987
1167610025,71516;0.19115:0.5979
1167610025,75462;0.18585:0.6202
1167610025,79382;0.19585:0.59985
1167610025,83415;0.1901:0.60245
1167610025,87365;0.23135:0.59995
1167610025,91231;0.30165:0.56635
1167610025,95833;0.2991:0.56455
1167610025,9973;0.30165:0.56015
1167610026,03522;0.2938:0.5759
1167610026,07329;0.14845:0.63775
1167610026,11167;0.1584:0.6464
1167610026,15119;0.15535:0.65375
1167610026,19159;0.1412:0.64265
1167610026,23148;0.1498:0.6625
1167610026,27222;0.15495:0.64465
1167610026,31275;0.1618:0.6242
1167610026,3532;0.1608:0.65235
1167610026,3938;0.12655:0.6759
1167610026,43432;0.1266:0.6685
1167610026,47493;0.1223:0.6723
1167610026,51475;0.125:0.6892
1167610026,55824;0.12125:0.6883
1167610026,59677;0.14905:0.64145
1167610026,63683;0.1714:0.60855
1167610026,67722;0.16735:0.6017
1167610026,718;0.1762:0.61625
1167610026,76119;0.1831:0.60995
1167610026,80184;0.1702:0.6277
1167610026,84737;0.17735:0.6099
1167610026,8892;0.53065:0.3086
1167610026,9352;0.6536:0.179
1167610026,97777;0.6588:0.1987
1167610027,02443;0.66885:0.1807
1167610027,06606;0.66015:0.2592
1167610027,11142;0.668:0.21685
1167610027,15266;
1167610027,20188;0.7129:0.1467
1167610027,23128;0.71515:0.13915
1167610027,27806;0.73125:0.1642
1167610027,31946;0.7288:0.1663
1167610027,37243;0.72455:0.16255
1167610027,41309;0.733:0.1617
1167610027,45658;0.87525:0.1753
1167610027,49595;0.8682:0.1771
1167610027,53618;0.8624:0.1838
1167610027,57616;0.8644:0.17175
1167610027,61632;0.87065:0.1916
1167610027,65618;0.74325:0.2193
1167610027,69672;0.74855:0.2176
1167610027,73676;0.74745:0.2049
1167610027,77744;0.73795:0.2517
1167610027,81812;0.75545:0.2328
1167610027,86537;0.7552:0.2398
1167610027,90583;0.7463:0.2361
1167610027,95325;0.76015:0.22845
1167610027,99386;0.7484:0.2067
1167610028,0345;0.8522:0.2123
1167610028,07509;0.8698:0.19465
1167610028,11618;0.8522:0.19545
1167610028,15688;
1167610028,19739;
1167610028,22557;
1167610028,26217;
1167610028,29174;
1167610028,32281;0.8519:0.1904
1167610028,36363;0.8459:0.20675
1167610028,4031;0.85705:0.2201
1167610028,44354;0.7706:0.20615
1167610028,49168;0.788:0.188
1167610028,53552;0.7785:0.1995
1167610028,57509;0.7819:0.1915
1167610028,61576;
1167610028,65611;
1167610028,68495;0.7688:0.19845
1167610028,71515;0.786:0.20235
1167610028,75813;0.78315:0.2131
1167610028,79929;0.7809:0.20065
1167610028,84426;0.76365:0.19905
1167610028,88483;0.7813:0.18875
1167610028,93196;0.77635:0.2112
1167610028,97311;0.7659:0.20535
1167610029,01883;0.76455:0.2082
1167610029,05945;
1167610029,11333;
1167610029,15428;
1167610029,18058;
1167610029,20747;0.7447:0.54335
1167610029,29044;0.7742:0.2109
1167610029,33766;
1167610029,38093;0.77885:0.2293
1167610029,41185;0.5324:0.5079
1167610029,46071;0.2491:0.82405
1167610029,51405;0.2789:0.77305
1167610029,56105;0.28085:0.80195
1167610029,6071;0.2774:0.78705
1167610029,64973;0.25625:0.78325
1167610029,6961;0.25965:0.8169
1167610029,7364;0.2738:0.8004
1167610029,77741;0.3102:0.86425
1167610029,81907;0.5276:1.03475
1167610029,86045;0.53455:1.00465
1167610029,91019;0.5421:0.9974
1167610029,95373;0.52865:1.01015
1167610030,00514;0.4973:1.0041
1167610030,0489;0.55085:1.01105
1167610030,09258;0.699:0.6721
1167610030,13625;0.75795:0.4982
1167610030,1778;0.7381:0.4004
1167610030,21869;0.7563:0.611
1167610030,25932;0.7711:0.55825
1167610030,30129;0.7556:0.4171
1167610030,3419;0.75755:0.55395
1167610030,38212;0.7485:0.4982
1167610030,42377;0.7527:0.51505
1167610030,46344;0.76995:0.341
1167610030,50488;0.7774:0.39545
1167610030,54462;0.77275:0.35955
1167610030,58986;0.7741:0.3866
1167610030,62951;0.75955:0.3783
1167610030,6697;0.77595:0.3718
1167610030,70928;0.77035:0.40875
1167610030,74938;0.78035:0.4102
1167610030,79312;0.762:0.40595
1167610030,83466;0.55215:1.06425
1167610030,87994;0.54675:1.0449
1167610030,92609;0.5276:1.0078
1167610030,97585;0.57225:1.00645
1167610031,01952;0.5411:1.00595
1167610031,06694;
1167610031,11863;
1167610031,16474;
1167610031,20699;0.46275:1.1074
1167610031,25568;
1167610031,3077;
1167610031,35988;
1167610031,40117;
1167610031,42825;
1167610031,45564;0.4224:1.33885
1167610031,52659;0.4417:0.96335
1167610031,56755;
1167610031,607;0.605:0.8402
1167610031,63212;0.59425:0.8105
1167610031,67408;0.5821:0.78705
1167610031,71272;0.5062:0.5713
1167610031,75095;0.49335:0.60805
1167610031,79111;0.4892:0.58265
1167610031,82999;0.4984:0.62095
1167610031,86998;0.4999:0.62185
1167610031,90983;0.49665:0.6201
1167610031,94872;0.50545:0.63075
1167610031,98744;0.51095:0.6261
1167610032,02574;0.49575:0.61885
1167610032,06384;0.5132:0.64685
1167610032,10834;0.51575:0.6943
1167610032,14672;0.4193:0.97525
1167610032,18497;
1167610032,22616;0.5249:1.00175
1167610032,26224;0.51875:1.0036
1167610032,3041;0.53385:0.9812
1167610032,34386;0.6413:0.3275
1167610032,3851;0.64255:0.4303
1167610032,42394;0.634:0.42645
1167610032,47085;0.63485:0.43025
1167610032,50911;0.63585:0.44395
1167610032,54724;0.62135:0.4263
1167610032,58986;0.63605:0.41565
1167610032,63463;0.7735:0.4581
1167610032,67273;0.77825:0.46775
1167610032,71094;0.7764:0.45675
1167610032,74887;0.7795:0.443
1167610032,79108;0.7791:0.4798
1167610032,83017;0.7693:0.4677
1167610032,87275;0.7577:0.39275
1167610032,91195;0.75545:0.36895
1167610032,95679;0.7566:0.3747
1167610032,9962;0.77475:0.32395
1167610033,03911;0.81785:0.21145
1167610033,07806;0.8247:0.2216
1167610033,12288;0.8223:0.2391
1167610033,16268;0.8003:0.20945
1167610033,20669;0.68875:0.22065
1167610033,24559;0.6627:0.20935
1167610033,28906;0.6688:0.198
1167610033,32851;0.66855:0.20615
1167610033,37284;0.6625:0.2199
1167610033,41255;0.2955:0.5102
1167610033,4566;0.18205:0.58025
1167610033,49721;0.184:0.5802
1167610033,53615;0.17495:0.5731
1167610033,57628;0.183:0.5693
1167610033,61542;0.19905:0.5685
1167610033,65515;0.2004:0.5496
1167610033,69514;0.1951:0.56185
1167610033,73514;0.18045:0.6038
1167610033,77482;0.1893:0.6052
1167610033,81453;0.19875:0.58275
1167610033,85365;0.18985:0.5886
1167610033,89284;0.1806:0.58955
1167610033,9326;0.1082:0.7026
1167610033,97268;0.1125:0.70755
1167610034,01191;0.1214:0.6921
1167610034,05214;0.1143:0.70195
1167610034,09208;0.1337:0.69825
1167610034,13316;0.1128:0.7064
1167610034,17425;0.1192:0.7152
1167610034,21568;0.12115:0.7089
1167610034,25669;0.30635:0.5979
1167610034,29761;0.3163:0.57555
