Timestamp;GazePoint
636189737742,864;
1167609797,84347;0.4776:0.5166
1167609797,87958;0.4649:0.5333
1167609797,9154;0.4886:0.5089
1167609797,95098;0.484:0.5463
1167609797,98675;0.4841:0.5035
1167609798,02271;0.46205:0.5333
1167609798,05836;0.47015:0.50945
1167609798,09436;0.46935:0.52615
1167609798,1301;0.46985:0.5392
1167609798,16578;0.4657:0.5217
1167609798,20136;0.4752:0.53445
1167609798,23693;0.46735:0.5477
1167609798,27234;0.47215:0.5139
1167609798,3078;0.46865:0.521
1167609798,34333;0.4654:0.5345
1167609798,37875;0.4504:0.52335
1167609798,41411;0.3219:0.42085
1167609798,44969;0.34085:0.4154
1167609798,48529;0.3328:0.4231
1167609798,52077;0.3339:0.4178
1167609798,55609;0.33585:0.4333
1167609798,59133;0.3574:0.41945
1167609798,62657;0.349:0.4198
1167609798,66167;0.35385:0.42915
1167609798,69685;0.356:0.40345
1167609798,7321;0.35665:0.42035
1167609798,76725;0.3438:0.4167
1167609798,80266;0.3515:0.42705
1167609798,83809;0.34265:0.4156
1167609798,8768;0.5875:0.40375
1167609798,91134;0.58705:0.44455
1167609798,94638;0.5844:0.41915
1167609798,98135;0.59305:0.4289
1167609799,01655;0.5917:0.41365
1167609799,05538;0.57915:0.4117
1167609799,09085;0.57665:0.4211
1167609799,12979;0.5939:0.41525
1167609799,1651;0.5967:0.4097
1167609799,20593;
1167609799,24145;
1167609799,26683;
1167609799,29289;0.4011:1.283
1167609799,31865;0.4252:0.8702
1167609799,35489;
1167609799,39167;0.4176:0.7126
1167609799,4262;0.42105:0.66975
1167609799,46514;0.41565:0.669
1167609799,50514;0.4242:0.6975
1167609799,54186;0.4147:0.7063
1167609799,58386;0.4804:0.70225
1167609799,6213;0.4807:0.69785
1167609799,66192;0.4756:0.6925
1167609799,69833;0.46115:0.69525
1167609799,73536;0.48125:0.7004
1167609799,77205;0.47285:0.72015
1167609799,80906;0.47395:0.70575
1167609799,84575;0.29185:0.529
1167609799,88264;0.2303:0.49335
1167609799,92005;0.2339:0.51005
1167609799,95709;0.2255:0.4965
1167609799,99398;0.23015:0.496
1167609800,03108;0.2311:0.4767
1167609800,06808;0.225:0.50145
1167609800,10535;0.2385:0.51175
1167609800,14263;0.2292:0.5107
1167609800,17987;0.23035:0.5126
1167609800,21706;0.21435:0.5163
1167609800,25435;0.2241:0.4976
1167609800,29176;0.22795:0.49815
1167609800,32911;0.23015:0.48345
1167609800,36684;0.2321:0.48775
1167609800,40433;0.38895:0.42475
1167609800,44174;0.4116:0.3692
1167609800,48067;0.4051:0.375
1167609800,51872;0.40715:0.3729
1167609800,55637;0.41525:0.37555
1167609800,59397;0.40895:0.3899
1167609800,63167;0.38455:0.322
1167609800,66983;0.38405:0.33825
1167609800,70833;0.3814:0.33845
1167609800,74599;0.3856:0.35255
1167609800,78708;0.389:0.35185
1167609800,82441;0.38985:0.3297
1167609800,86275;0.3756:0.34385
1167609800,90044;0.3951:0.32175
1167609800,94236;0.39255:0.3424
1167609800,98109;0.39035:0.33045
1167609801,02325;0.38645:0.35895
1167609801,06212;0.5441:0.6148
1167609801,10715;0.59445:0.6743
1167609801,14645;0.58695:0.68515
1167609801,19026;0.5848:0.6857
1167609801,22874;0.5905:0.6608
1167609801,27349;0.59745:0.67535
1167609801,31236;0.59215:0.6731
1167609801,35653;0.38195:0.3338
1167609801,39553;0.38525:0.3776
1167609801,43968;0.393:0.39165
1167609801,47881;0.3774:0.3627
1167609801,52257;0.3832:0.36515
1167609801,56156;0.38825:0.36775
1167609801,60422;0.3862:0.376
1167609801,64163;0.37985:0.3787
1167609801,67897;0.3839:0.37045
1167609801,71637;0.39255:0.7563
1167609801,75363;0.38295:0.7913
1167609801,79149;0.38985:0.7368
1167609801,82861;0.4009:0.7657
1167609801,86588;0.395:0.7759
1167609801,90324;0.40505:0.7414
1167609801,94083;0.389:0.7821
1167609801,97852;0.2682:0.79455
1167609802,01629;0.20245:0.7764
1167609802,05613;0.2244:0.7964
1167609802,09594;0.2038:0.7548
1167609802,13566;0.2213:0.80595
1167609802,17488;0.2226:0.806
1167609802,21337;0.21905:0.77095
1167609802,25044;0.22735:0.7432
1167609802,28758;0.2199:0.7169
1167609802,32478;0.2176:0.7427
1167609802,36177;0.21905:0.7479
1167609802,39857;0.21915:0.7399
1167609802,43512;0.2982:0.6961
1167609802,47164;0.289:0.68865
1167609802,5081;0.28605:0.69375
1167609802,54452;0.2864:0.6958
1167609802,58106;0.29495:0.7035
1167609802,61749;0.28445:0.714
1167609802,65374;0.2747:0.7071
1167609802,69329;0.28025:0.69505
1167609802,72862;0.28505:0.70755
1167609802,7643;0.28675:0.7082
1167609802,8;0.2861:0.72405
1167609802,83579;0.38445:0.71695
1167609802,87232;0.4597:0.73185
1167609802,91059;0.46735:0.74535
1167609802,94707;0.46555:0.74065
1167609802,98634;0.4501:0.73625
1167609803,02241;0.4526:0.753
1167609803,06341;0.45005:0.747
1167609803,09964;0.45995:0.74915
1167609803,13944;0.45385:0.7441
1167609803,17549;0.4731:0.7388
1167609803,21687;0.45115:0.7247
1167609803,25361;0.4587:0.73715
1167609803,29475;0.45205:0.74645
1167609803,33137;0.4547:0.7312
1167609803,37136;0.6927:0.79755
1167609803,40899;0.69545:0.81275
1167609803,45138;0.6938:0.8026
1167609803,48862;0.68395:0.823
1167609803,52946;0.68055:0.79465
1167609803,56577;0.6176:0.79995
1167609803,60278;
1167609803,63992;
1167609803,66718;0.61475:0.838
1167609803,69426;0.6135:0.80745
1167609803,73135;0.61215:0.80755
1167609803,76825;0.61335:0.81755
1167609803,80542;0.6066:0.8034
1167609803,84185;0.61095:0.7936
1167609803,87832;0.60805:0.7892
1167609803,91509;0.60355:0.79245
1167609803,95136;0.66135:0.73625
1167609803,98781;0.6739:0.71775
1167609804,02386;0.6847:0.71265
1167609804,05954;0.67535:0.72285
1167609804,09512;0.6878:0.6978
1167609804,1308;0.6814:0.71795
1167609804,16633;0.65845:0.71565
1167609804,20206;0.6777:0.70895
1167609804,23737;0.68935:0.61955
1167609804,27293;0.6942:0.57825
1167609804,30838;0.69365:0.5956
1167609804,34381;0.7017:0.59345
1167609804,3792;0.70285:0.5998
1167609804,4149;0.6912:0.5769
1167609804,45052;0.70935:0.57515
1167609804,48613;0.69985:0.585
1167609804,52263;0.69535:0.6133
1167609804,5591;0.69715:0.62265
1167609804,59514;0.689:0.62555
1167609804,63443;0.68035:0.6112
1167609804,66985;0.68315:0.61285
1167609804,70587;0.6956:0.6038
1167609804,74229;0.6924:0.59865
1167609804,77882;0.68185:0.59915
1167609804,81872;0.6874:0.6115
1167609804,85579;0.6895:0.6166
1167609804,89626;0.7147:0.5905
1167609804,93324;0.72795:0.60515
1167609804,97579;0.72615:0.59445
1167609805,01282;0.7442:0.6001
1167609805,05378;
1167609805,09094;0.7417:0.6148
