Timestamp;GazePoint
636189740367,554;
1167610060,28119;0.4671:0.51005
1167610060,31517;0.46415:0.5161
1167610060,35139;0.46945:0.504
1167610060,38818;0.463:0.51915
1167610060,42315;0.4632:0.52445
1167610060,45825;0.46835:0.53435
1167610060,49335;0.46285:0.53775
1167610060,52737;0.4569:0.5416
1167610060,56533;0.4672:0.5092
1167610060,60138;0.37795:0.51085
1167610060,64086;0.28045:0.4904
1167610060,67617;0.2874:0.48745
1167610060,71682;0.2905:0.48895
1167610060,75191;0.28175:0.48355
1167610060,79109;0.2882:0.483
1167610060,8257;0.28945:0.48525
1167610060,86614;0.3297:0.5575
1167610060,90134;0.321:0.57655
1167610060,94032;0.3197:0.60065
1167610060,97506;0.2935:0.62645
1167610061,01425;0.34595:0.573
1167610061,04927;0.3468:0.5729
1167610061,08917;0.35485:0.5883
1167610061,12427;0.35295:0.58185
1167610061,16351;0.35365:0.56135
1167610061,19751;0.34895:0.59805
1167610061,23273;0.3511:0.5706
1167610061,26797;0.3433:0.58555
1167610061,30345;0.3422:0.59505
1167610061,3389;0.1737:0.626
1167610061,37412;0.1752:0.6351
1167610061,41013;0.1706:0.61875
1167610061,4461;0.18665:0.6195
1167610061,4818;0.18175:0.624
1167610061,51814;0.1868:0.61965
1167610061,55441;0.18875:0.6429
1167610061,591;0.17035:0.64435
1167610061,62737;0.2741:0.5501
1167610061,66399;0.2749:0.51795
1167610061,70085;0.26425:0.5516
1167610061,7378;0.2731:0.53265
1167610061,77481;0.2594:0.5408
1167610061,81157;0.27305:0.5526
1167610061,84863;0.3418:0.54425
1167610061,88555;0.34825:0.56035
1167610061,92261;0.3424:0.58785
1167610061,95972;
1167610061,99718;
1167610062,02451;0.35905:0.5421
1167610062,0519;0.3601:0.5233
1167610062,08874;0.35125:0.53805
1167610062,12639;
1167610062,16433;0.34985:0.55885
1167610062,19177;0.3413:0.5617
1167610062,22939;0.34985:0.5593
1167610062,2716;0.35315:0.5683
1167610062,30934;0.3585:0.5572
1167610062,34733;0.361:0.56545
1167610062,3853;0.2706:0.46405
1167610062,42331;0.14065:0.2133
1167610062,46586;0.14845:0.18205
1167610062,50583;0.15715:0.2044
1167610062,54867;0.15255:0.1994
1167610062,58792;0.15175:0.21635
1167610062,63243;0.3451:0.13655
1167610062,67161;0.3412:0.12395
1167610062,71443;0.3507:0.1179
1167610062,75289;0.3424:0.11885
1167610062,79734;0.4171:0.12415
1167610062,83666;0.747:0.18425
1167610062,87956;0.7599:0.16695
1167610062,91835;0.7538:0.2033
1167610062,96112;0.7607:0.2136
1167610062,99985;0.77285:0.17895
1167610063,0433;0.75995:0.1581
1167610063,08233;0.7502:0.15125
1167610063,12531;0.73005:0.3603
1167610063,16334;0.7388:0.37225
1167610063,20147;0.74675:0.36785
1167610063,23981;0.74325:0.3743
1167610063,27766;0.74715:0.3754
1167610063,31559;0.7522:0.39155
1167610063,35374;0.74625:0.38295
1167610063,39165;0.73765:0.3939
1167610063,42948;0.6334:0.5208
1167610063,46764;0.64165:0.51915
1167610063,50609;
1167610063,5441;
1167610063,57151;
1167610063,60415;
1167610063,63247;
1167610063,66112;
1167610063,68992;
1167610063,71612;0.62505:0.52955
1167610063,74395;0.627:0.52315
1167610063,78163;0.6182:0.5377
1167610063,81953;0.6274:0.5278
1167610063,85749;0.6241:0.5282
1167610063,89557;0.6281:0.5375
1167610063,93386;0.6201:0.53145
1167610063,97187;0.6317:0.5504
1167610064,01065;0.63465:0.53875
1167610064,04864;0.6307:0.55395
1167610064,08722;0.63035:0.5437
1167610064,1252;0.60865:0.6206
1167610064,16335;0.60055:0.8988
1167610064,20546;0.5852:0.8722
1167610064,24326;0.58155:0.86505
1167610064,28334;0.59365:0.8677
1167610064,32359;0.59715:0.8933
1167610064,36411;0.6869:0.6917
1167610064,40542;0.719:0.4195
1167610064,445;0.7141:0.4517
1167610064,48834;0.7123:0.4442
1167610064,52759;0.6976:0.4293
1167610064,57258;0.74205:0.2869
1167610064,61182;0.7272:0.27275
1167610064,65486;0.72465:0.25365
1167610064,69324;0.73575:0.262
1167610064,73771;0.7203:0.27275
1167610064,777;0.73325:0.2529
1167610064,81993;0.72245:0.25695
1167610064,85819;0.72195:0.2567
1167610064,90117;0.7592:0.2575
1167610064,94011;0.74275:0.2674
1167610064,98378;0.752:0.24265
1167610065,0227;0.74605:0.25335
1167610065,06598;0.7292:0.2475
1167610065,10428;0.7437:0.25745
1167610065,14245;0.75655:0.2559
1167610065,18089;0.7397:0.28155
1167610065,21959;0.7458:0.2472
1167610065,25823;0.73265:0.2788
1167610065,29677;0.69625:0.93195
1167610065,34192;0.70265:0.8877
1167610065,38583;0.7022:0.89545
1167610065,42384;0.69115:0.88675
1167610065,46192;0.68375:0.8944
1167610065,5004;0.69055:0.76065
1167610065,54191;0.68425:0.7511
1167610065,58063;0.67765:0.7412
1167610065,61939;0.67:0.76365
1167610065,65792;0.5751:0.76515
1167610065,69624;0.3683:0.7494
1167610065,73492;0.3566:0.78825
1167610065,7731;0.37135:0.75945
1167610065,81112;0.3706:0.77015
1167610065,84892;0.36195:0.77495
1167610065,88659;0.09905:0.8408
1167610065,92381;0.10675:0.8482
1167610065,96118;0.1274:0.86285
1167610065,99817;0.1111:0.84485
1167610066,03514;0.10405:0.8198
1167610066,07213;0.11575:0.87005
1167610066,10913;0.12795:0.867
1167610066,15229;0.12415:0.84185
1167610066,18854;0.12605:0.7215
1167610066,22459;0.16645:0.41795
1167610066,26115;0.16195:0.4315
1167610066,2975;0.1574:0.43495
1167610066,33341;0.1561:0.44605
1167610066,37245;
1167610066,40932;0.1585:0.41185
1167610066,43914;0.1571:0.42405
1167610066,47583;0.1668:0.30385
1167610066,51732;0.2094:0.2418
1167610066,55473;0.20375:0.2576
1167610066,59647;0.1902:0.252
1167610066,63407;0.19735:0.2435
1167610066,67708;0.2649:0.31295
1167610066,71519;0.767:0.803
1167610066,75758;0.76935:0.7592
1167610066,80066;0.7592:0.77425
1167610066,84376;0.762:0.77635
1167610066,8838;0.7632:0.77215
1167610066,92822;0.7735:0.77475
1167610066,96818;0.8179:0.68775
1167610067,01218;0.82465:0.4202
1167610067,05077;0.8216:0.45515
1167610067,08909;0.8274:0.4448
1167610067,1269;0.8218:0.45325
1167610067,16418;0.8291:0.4654
1167610067,20147;0.80465:0.4697
1167610067,23874;0.8306:0.4657
1167610067,27557;0.8075:0.24025
1167610067,31215;0.8227:0.12115
1167610067,34919;0.7986:0.1559
1167610067,3861;0.79805:0.1292
1167610067,4229;0.8044:0.12495
1167610067,45986;0.81395:0.12885
1167610067,49711;0.46635:0.11485
1167610067,5344;0.4441:0.1456
1167610067,57232;0.44435:0.12405
1167610067,61056;0.4478:0.13095
1167610067,64827;0.44075:0.146
1167610067,68621;0.4462:0.1118
1167610067,72421;0.3371:0.147
1167610067,76255;0.33425:0.14855
1167610067,8008;0.3299:0.1462
1167610067,83889;0.3311:0.1304
