Timestamp;GazePoint
703,3049;
1167609703,3487;
1167609703,38665;
1167609703,43036;
1167609703,47409;
1167609703,51479;
1167609703,55448;
1167609703,81973;
1167609703,87844;
1167609704,01116;
1167609704,17512;0.15775:0.45225
1167609704,33697;0.14205:0.4328
1167609704,46814;0.1318:0.45235
1167609704,60036;0.15935:0.45465
1167609704,68183;0.1844:0.40295
1167609704,75645;0.1911:0.3645
1167609704,81575;0.17785:0.43145
1167609704,88027;0.1749:0.4113
1167609704,94136;0.1675:0.43515
1167609705,00781;0.1604:0.43545
1167609705,06788;0.18545:0.3115
1167609705,13927;0.17475:0.3929
1167609705,19869;0.17145:0.4523
1167609705,2723;0.19165:0.3629
1167609705,33463;0.1846:0.39965
1167609705,40329;0.1816:0.40285
1167609705,46606;0.174:0.4547
1167609705,52985;0.1823:0.42015
1167609705,59341;0.1668:0.3856
1167609705,64032;0.17205:0.3805
1167609705,67981;0.16895:0.38895
1167609705,72456;0.1678:0.3787
1167609705,77168;0.17555:0.36305
1167609705,81945;0.18165:0.3883
1167609705,85979;0.18:0.36775
1167609705,90075;0.177:0.38685
1167609705,94139;0.1825:0.36605
1167609705,98319;0.185:0.3477
1167609706,02411;0.1801:0.3737
1167609706,06491;0.24535:0.38735
1167609706,10597;0.3098:0.4584
1167609706,14813;0.3182:0.42645
1167609706,18921;0.31315:0.44465
1167609706,23133;0.2912:0.4522
1167609706,2732;0.31775:0.4371
1167609706,31417;0.32315:0.4486
1167609706,35545;0.31735:0.43805
1167609706,39733;0.38195:0.44465
1167609706,43918;0.3949:0.42355
1167609706,49062;0.3875:0.4503
1167609706,53362;0.3834:0.43455
1167609706,5848;0.37505:0.4307
1167609706,62766;0.3892:0.4332
1167609706,67173;0.39985:0.429
1167609706,7144;
1167609706,75591;
1167609706,78487;
1167609706,81925;
1167609706,84954;
1167609706,88135;
1167609706,92218;
1167609706,96421;
1167609707,00598;
1167609707,05031;
1167609707,09081;
1167609707,14414;0.46095:0.31615
1167609707,19343;0.4525:0.34205
1167609707,23945;0.45675:0.34825
1167609707,28109;0.44045:0.361
1167609707,3268;0.4431:0.3541
1167609707,37509;0.4253:0.35435
1167609707,42023;0.42805:0.4009
1167609707,4679;
1167609707,51974;0.22725:0.49845
1167609707,54736;0.2184:0.4164
1167609707,59713;0.22455:0.42535
1167609707,63783;0.22585:0.42465
1167609707,68474;0.21865:0.4148
1167609707,72915;0.2224:0.42645
1167609707,77073;0.2253:0.42725
1167609707,81549;0.222:0.42245
1167609707,85547;0.219:0.40815
1167609707,89527;0.2188:0.39075
1167609707,93489;0.2267:0.40375
1167609707,97457;0.2249:0.38685
1167609708,01433;0.2281:0.3926
1167609708,05407;0.23815:0.42845
1167609708,09477;0.228:0.3915
1167609708,13553;0.16995:0.35525
1167609708,17625;0.17305:0.3691
1167609708,21625;0.16575:0.3753
1167609708,2562;0.1661:0.36025
1167609708,29578;0.1615:0.3425
1167609708,33675;0.17055:0.37315
1167609708,37849;0.17805:0.3816
1167609708,41939;0.1703:0.366
1167609708,46018;0.1745:0.3799
1167609708,50107;0.1666:0.33645
1167609708,54241;0.17285:0.37425
1167609708,58375;0.17955:0.36435
1167609708,62593;0.1698:0.41505
1167609708,66755;0.1838:0.3816
1167609708,70919;0.1727:0.3953
1167609708,7512;0.19135:0.37985
1167609708,79363;0.1757:0.4093
1167609708,83583;0.1689:0.3748
1167609708,8786;0.1752:0.37245
1167609708,92466;0.17695:0.37105
1167609708,96685;0.16815:0.38205
1167609709,0088;0.1798:0.3912
1167609709,05042;0.14505:0.4003
1167609709,09487;0.1735:0.4052
1167609709,13679;0.1613:0.3839
1167609709,18307;0.16895:0.41015
1167609709,22535;0.1676:0.40185
1167609709,27336;0.16295:0.3875
1167609709,31499;0.1573:0.3707
1167609709,36127;0.1566:0.39885
1167609709,40282;0.15655:0.38945
1167609709,4484;0.1537:0.37675
1167609709,49116;0.16065:0.39705
1167609709,53786;0.1656:0.38675
1167609709,58578;0.1617:0.38455
1167609709,63045;0.1621:0.4036
1167609709,67113;0.16115:0.3837
1167609709,71637;0.16585:0.38215
1167609709,75764;0.1615:0.3985
1167609709,80257;0.16335:0.3856
1167609709,84235;0.16355:0.3736
1167609709,88187;0.1695:0.4064
1167609709,92148;0.16195:0.38985
1167609709,9611;0.1648:0.3909
1167609710,00089;0.16265:0.3972
1167609710,04244;0.15815:0.38575
1167609710,08327;0.1518:0.38595
1167609710,12491;0.15985:0.386
1167609710,1654;0.16605:0.37455
1167609710,20535;0.1625:0.3921
1167609710,2458;0.1556:0.39295
1167609710,28707;0.17505:0.39715
1167609710,32706;0.1743:0.41805
1167609710,36688;0.17385:0.392
1167609710,40817;0.1724:0.39245
1167609710,44913;0.17505:0.3973
1167609710,4899;0.17595:0.4112
1167609710,53194;0.168:0.4082
1167609710,57212;0.1688:0.4108
1167609710,61394;0.169:0.4302
1167609710,6562;0.18995:0.40495
1167609710,69816;0.19175:0.41855
1167609710,73863;0.1959:0.42085
1167609710,77995;0.20235:0.4292
1167609710,82152;0.1998:0.4123
1167609710,86323;0.1981:0.42495
1167609710,90907;0.19425:0.4302
1167609710,94933;0.21805:0.447
1167609710,98964;0.2238:0.4301
1167609711,02997;0.2184:0.4532
1167609711,0715;0.2177:0.45355
1167609711,11409;0.21925:0.43665
1167609711,15517;0.2182:0.4321
1167609711,20208;0.2275:0.4477
1167609711,24345;0.2212:0.43985
1167609711,29;0.2204:0.45425
1167609711,33247;0.2122:0.45055
1167609711,37938;0.21385:0.44425
1167609711,42075;0.209:0.44435
1167609711,46824;0.21195:0.44175
1167609711,51017;0.2193:0.4387
1167609711,55715;0.2193:0.43795
1167609711,59838;0.2122:0.43025
1167609711,64351;0.21245:0.43225
1167609711,68535;0.21295:0.4246
1167609711,73228;0.20925:0.44885
1167609711,77417;0.2101:0.45115
1167609711,82059;0.11975:0.44925
1167609711,8615;0.09945:0.44095
1167609711,90148;0.1063:0.4368
1167609711,94324;0.1036:0.42085
1167609711,98434;0.0968:0.43545
1167609712,02611;0.10085:0.439
1167609712,06575;0.097:0.4361
1167609712,1054;0.09315:0.4465
1167609712,14473;0.0868:0.41995
1167609712,18442;0.09065:0.432
1167609712,2239;0.08795:0.41765
1167609712,26361;0.08285:0.45445
1167609712,3047;0.0829:0.439
1167609712,3444;0.08125:0.43955
1167609712,38446;0.0812:0.4344
1167609712,42532;0.077:0.44245
1167609712,46573;0.0666:0.43885
1167609712,5054;0.07385:0.44985
1167609712,54434;0.0682:0.4589
1167609712,58319;0.0625:0.44495
1167609712,62118;0.05385:0.44305
1167609712,65915;0.0654:0.44595
1167609712,69738;0.10625:0.4346
1167609712,73549;0.1145:0.4315
1167609712,77279;0.11355:0.447
1167609712,81183;0.11105:0.44465
1167609712,85099;0.11555:0.4297
1167609712,88814;0.11005:0.4381
1167609712,9296;0.1114:0.4458
1167609712,96669;0.1133:0.44825
1167609713,00431;0.11745:0.4665
1167609713,04282;0.11875:0.4427
1167609713,08043;0.11145:0.4501
1167609713,12192;0.12055:0.446
1167609713,16219;0.1202:0.44685
1167609713,20714;0.12445:0.4484
1167609713,24736;0.121:0.4475
1167609713,29399;0.12235:0.4488
1167609713,33481;0.1257:0.44135
1167609713,37986;0.2069:0.44885
1167609713,42067;0.2082:0.4521
1167609713,4644;0.2149:0.4426
1167609713,50328;0.21055:0.43815
1167609713,54636;0.21345:0.42765
1167609713,58431;0.2193:0.42645
1167609713,62836;0.21325:0.4355
1167609713,66787;0.21315:0.4513
1167609713,7127;0.20945:0.4375
1167609713,75343;0.2044:0.431
1167609713,79813;0.20465:0.45155
1167609713,83735;0.2058:0.46765
1167609713,87655;0.20195:0.4649
1167609713,91578;0.2094:0.4707
1167609713,95483;0.2025:0.4808
1167609713,99487;0.19695:0.45375
1167609714,03407;0.1988:0.4396
1167609714,07341;0.2126:0.45295
1167609714,11244;0.2064:0.4313
1167609714,15173;0.20775:0.4228
1167609714,19098;0.20725:0.42285
1167609714,23108;0.2124:0.42625
1167609714,27043;0.20645:0.42385
1167609714,31013;0.2048:0.39925
1167609714,34973;0.20415:0.41155
1167609714,38955;0.2099:0.42165
