Timestamp;GazePoint
636214846175,915;
1167609892,06181;0.0869:0.0099
1167609892,1111;0.0789:0.00885
1167609892,15213;
1167609892,19906;0.1865:0.0749
1167609892,2377;0.4606:0.3196
1167609892,27998;0.46805:0.3064
1167609892,32507;0.45615:0.3278
1167609892,37131;0.46235:0.31895
1167609892,42052;0.4303:0.3586
1167609892,46662;0.39005:0.40365
1167609892,51616;0.39005:0.40345
1167609892,56568;0.3873:0.4065
1167609892,61449;0.38975:0.40615
1167609892,66284;0.3144:0.38465
1167609892,7127;0.31015:0.39225
1167609892,75284;0.3058:0.38785
1167609892,79864;0.3107:0.39795
1167609892,84088;0.30245:0.3926
1167609892,88152;0.3151:0.39615
1167609892,92544;0.3153:0.39085
1167609892,96571;0.28335:0.13895
1167609893,00688;0.28725:0.1297
1167609893,05227;0.28875:0.1435
1167609893,09269;0.2834:0.14315
1167609893,13314;0.2934:0.14405
1167609893,17475;0.28595:0.15885
1167609893,21551;0.28555:0.15335
1167609893,25933;0.2903:0.1469
1167609893,30198;0.19555:0.1506
1167609893,34144;0.1321:0.1308
1167609893,38125;0.12675:0.1496
1167609893,4257;0.12685:0.1357
1167609893,47166;0.12715:0.13105
1167609893,51673;0.12225:0.142
1167609893,56585;0.10915:0.1442
1167609893,61136;0.1041:0.15515
1167609893,66594;0.1135:0.1407
1167609893,71125;0.11735:0.1313
1167609893,76072;0.25755:0.10005
1167609893,80562;0.2702:0.10285
1167609893,85799;0.2722:0.0901
1167609893,89952;0.2659:0.1056
1167609893,94782;0.27695:0.14735
1167609893,99279;0.2831:0.1372
1167609894,04698;0.27905:0.1524
1167609894,09353;0.27485:0.14875
1167609894,14555;0.2794:0.13695
1167609894,19718;0.29005:0.2307
1167609894,25471;
1167609894,29648;0.29145:0.50355
1167609894,34309;0.2734:0.2032
1167609894,3924;0.26625:0.19105
1167609894,44352;0.26785:0.1819
1167609894,49286;0.2708:0.181
1167609894,54311;0.27275:0.1298
1167609894,58444;0.27565:0.1324
1167609894,63174;0.27395:0.13545
1167609894,68021;0.2752:0.13095
1167609894,72624;0.66635:0.20995
1167609894,77493;0.7753:0.1896
1167609894,82384;0.7742:0.2007
1167609894,8751;0.78225:0.1955
1167609894,9232;0.7799:0.19965
1167609894,97215;0.8545:0.05175
1167609895,02089;0.8357:0.0779
1167609895,06943;0.8323:0.1377
1167609895,11749;0.83295:0.15245
1167609895,16771;0.8297:0.1653
1167609895,21587;
1167609895,2656;
1167609895,31478;
1167609895,36956;
1167609895,41841;
1167609895,46622;0.7881:0.334
1167609895,51816;0.7902:0.318
1167609895,56546;0.7833:0.309
1167609895,61552;0.80115:0.3168
1167609895,66487;0.79735:0.3222
1167609895,71128;0.79735:0.3222
1167609895,76442;0.7938:0.31595
1167609895,81208;0.79905:0.3098
1167609895,86299;0.80695:0.29335
1167609895,91206;0.8067:0.29355
1167609895,96581;0.80175:0.3044
1167609896,01113;0.80835:0.3373
1167609896,06296;0.8072:0.3075
1167609896,1087;0.81155:0.30945
1167609896,16017;0.8198:0.38095
1167609896,21133;0.80895:0.3223
1167609896,29325;0.7321:0.6337
1167609896,3437;0.7284:0.6747
1167609896,39323;0.72025:0.6783
1167609896,44156;0.72315:0.69845
1167609896,51174;0.72715:0.6748
1167609896,57393;0.701:0.6657
1167609896,63509;0.69945:0.6723
1167609896,68466;0.69785:0.6742
1167609896,73483;0.69195:0.5968
1167609896,7825;0.6876:0.59115
1167609896,82587;0.68815:0.60975
1167609896,87425;0.68555:0.60695
1167609896,91795;0.6888:0.61355
1167609896,96067;0.67045:0.5482
1167609897,00617;0.6471:0.54025
1167609897,04918;0.64595:0.5148
1167609897,09011;0.646:0.5199
1167609897,13183;0.6475:0.5234
1167609897,17212;0.60375:0.40505
1167609897,21276;0.54655:0.2731
1167609897,25568;0.54535:0.28575
1167609897,29641;0.54295:0.27545
1167609897,33726;0.5505:0.28065
1167609897,3782;0.55365:0.28045
1167609897,42133;0.54255:0.2177
1167609897,46779;0.53915:0.2197
1167609897,5099;0.5589:0.27415
1167609897,55291;0.627:0.37695
1167609897,59263;0.6257:0.4072
1167609897,63325;0.6232:0.38645
1167609897,67864;0.62335:0.3933
1167609897,71841;0.5947:0.38445
1167609897,76706;0.59365:0.36985
1167609897,81292;0.59475:0.3775
1167609897,85896;0.5935:0.36645
1167609897,90266;0.5992:0.3752
1167609897,94973;0.6005:0.3701
1167609897,9952;0.58295:0.28895
1167609898,04363;0.572:0.14675
1167609898,08756;0.5766:0.14155
1167609898,13421;0.57565:0.14235
1167609898,18055;0.5736:0.13895
1167609898,23043;0.54405:0.14295
1167609898,2761;
1167609898,32515;0.1009:0.0384
1167609898,36011;0.11895:0.085
1167609898,40628;0.1204:0.09325
1167609898,45544;0.10355:0.13925
1167609898,4984;0.1059:0.1648
1167609898,54158;0.10565:0.15865
1167609898,58519;0.09885:0.16785
1167609898,62882;0.0977:0.16845
1167609898,67457;0.1037:0.1506
1167609898,71744;0.094:0.15515
1167609898,75893;0.1036:0.152
1167609898,80118;0.10605:0.15745
1167609898,84384;
1167609898,8862;
1167609898,93269;
1167609899,00924;
1167609899,05208;
1167609899,12618;
1167609899,1761;
1167609899,21922;
1167609899,263;
1167609899,30644;
1167609899,34912;
1167609899,39358;
1167609899,45035;0.42655:0.0929
1167609899,50431;0.42555:0.08695
1167609899,54792;0.44175:0.0861
1167609899,59423;
1167609899,63768;0.4607:0.09905
1167609899,69172;0.437:0.1741
1167609899,7476;0.44905:0.13945
1167609899,80675;0.4412:0.07275
1167609899,85386;0.43675:0.08365
1167609899,90596;0.4256:0.0982
1167609899,958;0.4295:0.10385
1167609900,00713;0.42845:0.09675
1167609900,04978;0.4329:0.10645
1167609900,09824;0.43565:0.09275
1167609900,14256;0.42915:0.09835
1167609900,19234;0.4312:0.15365
1167609900,23799;
1167609900,28849;
1167609900,33505;0.4196:0.143
1167609900,39213;0.3877:0.67315
1167609900,44314;0.37805:0.68575
1167609900,49893;0.3835:0.6907
1167609900,55329;0.3704:0.707
1167609900,60341;0.29355:0.80175
1167609900,65917;0.30265:0.67385
1167609900,70797;0.30145:0.803
1167609900,76178;0.212:0.82935
1167609900,81276;0.2006:0.83665
1167609900,86228;0.20085:0.8406
1167609900,91637;0.2064:0.8063
1167609900,96943;0.2113:0.8125
1167609901,01274;0.092:0.7795
1167609901,0545;0.09605:0.82765
1167609901,10144;0.09265:0.8037
1167609901,14639;0.0923:0.80335
1167609901,18665;0.09285:0.7933
1167609901,2347;0.09715:0.79995
1167609901,28235;0.09355:0.8152
1167609901,32868;0.1512:0.6922
1167609901,37465;0.2968:0.51945
1167609901,41815;0.30325:0.5156
1167609901,4601;0.30605:0.5192
1167609901,5015;0.30145:0.5192
1167609901,54378;0.31245:0.52225
1167609901,58937;0.3164:0.5225
1167609901,63259;0.31685:0.51375
1167609901,67362;0.3167:0.52035
1167609901,71514;0.40255:0.63155
1167609901,76124;0.4019:0.6353
1167609901,80369;0.4073:0.64015
1167609901,85408;0.4009:0.6377
1167609901,8962;0.4001:0.58545
1167609901,9433;0.43095:0.43205
1167609901,98664;0.42315:0.4279
1167609902,03415;0.4189:0.47985
1167609902,08798;0.42995:0.42135
1167609902,14562;0.4238:0.42705
1167609902,20125;0.4242:0.4391
1167609902,25471;
1167609902,31037;0.4395:0.43425
1167609902,36007;0.42255:0.44885
1167609902,4103;0.41595:0.4527
1167609902,46561;0.4281:0.4338
1167609902,51626;0.422:0.4437
1167609902,56333;0.42805:0.4276
1167609902,6081;0.41075:0.4345
1167609902,65014;0.413:0.445
1167609902,69855;0.41975:0.45
1167609902,7459;0.4227:0.44345
1167609902,7948;0.4169:0.4581
1167609902,84476;0.2719:0.3058
1167609902,89387;0.25655:0.4561
1167609902,95189;0.2692:0.4475
1167609903,01012;0.2589:0.4553
1167609903,05524;0.24855:0.46885
1167609903,10616;0.2544:0.44555
