Timestamp;GazePoint
636214846994,332;
1167609973,85662;0.48765:0.4908
1167609973,89911;0.48825:0.4904
1167609973,94411;0.50775:0.50315
1167609973,98518;0.5096:0.51255
1167609974,02695;0.50515:0.5005
1167609974,06833;0.50965:0.50985
1167609974,1079;0.42155:0.48815
1167609974,14752;0.2929:0.4862
1167609974,18567;0.27575:0.4842
1167609974,22546;0.2847:0.505
1167609974,26426;0.27895:0.4872
1167609974,30253;0.2851:0.4956
1167609974,34129;0.28455:0.49635
1167609974,381;0.2181:0.5694
1167609974,42011;0.23225:0.58655
1167609974,45798;0.23055:0.5846
1167609974,50023;0.2287:0.5852
1167609974,538;0.22735:0.583
1167609974,57467;0.22755:0.5861
1167609974,61194;0.2286:0.5743
1167609974,64914;0.22795:0.58105
1167609974,68642;0.2268:0.58065
1167609974,72372;0.2257:0.58185
1167609974,76187;0.1278:0.7142
1167609974,80013;0.13695:0.69055
1167609974,83818;
1167609974,87633;
1167609974,92254;
1167609974,95407;
1167609974,98741;
1167609975,01877;
1167609975,05561;
1167609975,09026;
1167609975,1313;0.1353:0.6712
1167609975,16153;0.1364:0.6747
1167609975,21455;0.16045:0.6335
1167609975,25914;0.2049:0.60065
1167609975,307;0.20585:0.58115
1167609975,35593;
1167609975,40419;
1167609975,4389;
1167609975,47538;
1167609975,51268;
1167609975,55561;
1167609975,59397;
1167609975,63616;
1167609975,67509;
1167609975,72467;0.36675:0.6515
1167609975,77772;0.365:0.5418
1167609975,82869;0.7261:0.26235
1167609975,86893;0.73905:0.25975
1167609975,91409;0.7553:0.18175
1167609975,95813;0.74125:0.26485
1167609976,00311;0.7464:0.2547
1167609976,05227;0.73065:0.22035
1167609976,09407;0.72115:0.2204
1167609976,14142;
1167609976,18851;0.7327:0.21425
1167609976,23877;0.74345:0.2041
1167609976,28879;0.74565:0.1938
1167609976,33311;0.74885:0.19995
1167609976,37638;0.85415:0.20085
1167609976,41896;0.90645:0.22285
1167609976,46088;0.89835:0.22005
1167609976,50111;0.8821:0.20215
1167609976,54212;
1167609976,58922;
1167609976,62581;0.9105:0.19155
1167609976,65311;0.89835:0.2115
1167609976,69023;0.9029:0.21175
1167609976,73463;0.90495:0.1959
1167609976,77829;0.90395:0.20855
1167609976,822;0.89515:0.21925
1167609976,86635;0.90295:0.2087
1167609976,92176;0.90825:0.1989
1167609976,96919;0.8982:0.218
1167609977,01584;0.90325:0.2042
1167609977,06698;0.9058:0.1906
1167609977,11512;0.90335:0.18845
1167609977,15874;0.90135:0.22185
1167609977,20639;0.90825:0.2041
1167609977,25784;0.90485:0.2022
1167609977,30634;0.90815:0.1976
1167609977,34973;0.89885:0.2166
1167609977,39739;0.9058:0.22155
1167609977,44415;0.9097:0.2055
1167609977,49223;0.9043:0.2002
1167609977,54074;0.9082:0.2003
1167609977,58382;0.8068:0.34745
1167609977,63238;
1167609977,6712;
1167609977,71013;0.8031:0.76155
1167609977,74045;0.8418:0.35525
1167609977,79316;
1167609977,83647;0.86995:0.22225
1167609977,86711;
1167609977,92591;0.878:0.18675
1167609977,97194;0.7235:0.22135
1167609978,01261;0.7247:0.1981
1167609978,06228;0.7162:0.22565
1167609978,10389;0.7201:0.2242
1167609978,15307;0.71295:0.21405
1167609978,2029;0.7174:0.2047
1167609978,25256;
1167609978,29423;0.76845:0.3539
1167609978,34383;0.79845:0.13795
1167609978,38887;0.7987:0.13395
1167609978,43347;0.81045:0.14005
1167609978,4781;0.79945:0.12835
1167609978,52335;0.80965:0.1247
1167609978,57784;0.80475:0.149
1167609978,62334;0.6946:0.4071
1167609978,67895;0.68635:1.121
1167609978,72358;0.63945:0.9943
1167609978,76557;0.632:0.99615
1167609978,82144;0.6348:1.008
1167609978,87518;0.7158:1.12425
1167609978,92681;0.72345:1.1582
1167609978,97762;0.72295:1.18035
1167609979,02315;0.71695:1.1488
1167609979,0784;0.73195:1.16605
1167609979,12479;0.7399:1.12805
1167609979,17387;0.74205:1.14535
1167609979,21649;0.74125:1.1345
1167609979,28097;0.7254:1.1693
1167609979,32968;0.74015:1.13405
1167609979,39062;0.73275:1.14375
1167609979,43646;0.73925:1.1299
1167609979,49346;0.73735:1.1248
1167609979,5564;0.7296:1.15725
1167609979,61757;0.73485:1.15305
1167609979,66756;0.7407:1.11075
1167609979,70936;0.7324:1.1532
1167609979,75808;0.7313:1.11765
1167609979,81135;0.73785:1.1085
1167609979,86014;0.73:1.13235
1167609979,90994;0.73365:1.0336
1167609979,97124;0.7278:1.1314
1167609980,01575;0.7275:1.1304
1167609980,07627;0.7333:1.1275
1167609980,13207;0.73375:1.12445
1167609980,17425;0.73235:1.1349
1167609980,22017;0.737:1.1092
1167609980,27716;0.7428:1.09855
1167609980,32095;0.73955:1.1251
1167609980,37756;0.741:1.1069
1167609980,42821;0.7329:1.14385
1167609980,47381;0.36575:1.083
1167609980,53127;0.45975:1.0751
1167609980,57775;0.469:1.0382
1167609980,61909;0.46755:1.0933
1167609980,66967;0.4663:1.1105
1167609980,71147;0.44135:0.9775
1167609980,76009;0.30615:1.1003
1167609980,80463;0.30285:1.11045
1167609980,86349;0.30185:1.1399
1167609980,92014;0.30595:1.13645
1167609980,97139;0.2728:0.90475
1167609981,01727;
1167609981,05558;
1167609981,08181;
1167609981,13046;0.21025:0.43595
1167609981,18987;0.19515:0.29595
1167609981,23318;
1167609981,27723;0.15385:0.2835
1167609981,30234;0.1521:0.28975
1167609981,36095;0.1573:0.2906
1167609981,40047;0.1562:0.27005
1167609981,45216;0.156:0.26565
1167609981,49814;0.15605:0.2597
1167609981,54573;0.1579:0.2669
1167609981,59629;0.20885:0.11675
1167609981,64299;0.21395:0.12415
1167609981,6861;0.20665:0.12065
1167609981,73386;0.2077:0.11555
1167609981,77635;0.22475:0.0948
1167609981,82482;0.2266:0.0878
1167609981,87391;0.22155:0.0871
1167609981,92059;0.2227:0.06915
1167609981,96337;0.222:0.29045
1167609982,01232;
1167609982,05681;
1167609982,09247;
1167609982,11937;
1167609982,21007;
1167609982,23953;
1167609982,27635;
1167609982,33916;
1167609982,38478;
1167609982,43952;0.13845:0.4145
1167609982,48476;0.13595:0.41405
1167609982,54888;0.133:0.396
1167609982,5988;0.18865:0.5793
1167609982,64279;0.1886:0.5697
1167609982,68985;0.19265:0.5459
1167609982,73828;0.19625:0.55525
1167609982,79134;0.1941:0.58115
1167609982,84757;0.20845:0.5884
1167609982,90119;0.2167:0.56875
1167609982,95718;0.2049:0.5859
1167609983,01075;0.20845:0.5924
1167609983,05654;0.2108:0.5755
1167609983,10332;0.1322:0.6965
1167609983,14678;0.1257:0.703
1167609983,20352;0.136:0.70125
1167609983,25506;0.1245:0.7141
1167609983,3003;0.1268:0.69745
1167609983,35243;0.12705:0.37475
1167609983,4079;0.13275:0.38325
1167609983,46467;0.1337:0.3673
1167609983,5181;0.12415:0.41395
1167609983,56983;0.12465:0.4173
1167609983,62909;0.1266:0.40275
1167609983,6825;0.12975:0.41305
1167609983,73514;0.2062:0.4624
1167609983,79027;0.30935:0.4725
1167609983,8482;0.303:0.4544
1167609983,89998;0.3051:0.45325
1167609983,94562;0.3068:0.45945
1167609983,98759;0.30915:0.46035
1167609984,04209;0.31255:0.4634
1167609984,0908;0.31445:0.4415
1167609984,13788;0.3032:0.4515
1167609984,18213;0.306:0.46645
1167609984,23508;0.3011:0.5243
1167609984,28154;0.3088:0.4014
1167609984,33309;0.3239:0.19685
1167609984,38036;0.33535:0.15565
1167609984,4263;
1167609984,46833;0.33595:0.132
1167609984,4991;0.3319:0.13165
1167609984,54861;
1167609984,5895;0.30515:0.1588
1167609984,6312;0.2638:0.1581
1167609984,67259;0.26085:0.17575
1167609984,71782;0.2589:0.16585
1167609984,76244;0.25645:0.1655
1167609984,80344;0.2583:0.1699
1167609984,8493;0.26105:0.17245
1167609984,89768;
1167609984,94111;
1167609984,98889;
1167609985,02938;
1167609985,06852;
1167609985,1124;
1167609985,15706;
1167609985,19776;
1167609985,24357;
1167609985,28942;0.2232:0.1407
1167609985,33384;0.2105:0.1707
1167609985,38117;0.21185:0.1757
1167609985,42689;0.2149:0.1696
1167609985,47419;0.2193:0.17225
1167609985,5265;
1167609985,57255;0.1705:0.2615
1167609985,62434;0.16355:0.2886
1167609985,67158;0.16075:0.27675
1167609985,7313;0.16025:0.2815
1167609985,77773;0.169:0.28875
1167609985,82924;
1167609985,87423;
1167609985,90739;
1167609985,93396;
1167609986,00434;
1167609986,08592;0.23885:0.30435
1167609986,17079;
1167609986,22566;0.1652:0.28335
1167609986,25599;0.14725:0.3243
1167609986,30817;0.14855:0.31705
1167609986,35954;0.1448:0.31335
1167609986,4088;0.1449:0.30995
1167609986,45748;0.12355:0.3954
1167609986,50459;0.1193:0.40285
1167609986,55137;0.1268:0.3855
1167609986,59696;0.1303:0.3988
1167609986,64177;0.12815:0.40715
1167609986,68707;0.1327:0.39
1167609986,73966;0.13385:0.4142
1167609986,78411;0.11705:0.39975
1167609986,83861;0.12765:0.4195
1167609986,88439;0.12765:0.40645
1167609986,93546;0.13155:0.41145
1167609986,97925;0.1294:0.3961
1167609987,03216;0.13155:0.3971
1167609987,07599;0.1344:0.39365
1167609987,12065;0.1342:0.40945
1167609987,16511;0.1368:0.3948
1167609987,21648;0.1328:0.39925
1167609987,25638;0.1334:0.3868
1167609987,30288;0.13835:0.39285
1167609987,34816;0.132:0.40675
1167609987,39313;0.15225:0.29695
1167609987,44025;0.1624:0.2927
1167609987,48569;0.1616:0.31005
1167609987,53293;0.15675:0.29455
1167609987,58568;0.1555:0.2774
1167609987,63527;0.1619:0.2802
1167609987,68145;0.1626:0.26765
1167609987,73165;0.17175:0.27225
1167609987,78257;
1167609987,83461;0.1631:0.26315
1167609987,88086;0.1623:0.2618
1167609987,93534;0.16595:0.28
1167609987,98006;0.16325:0.2635
1167609988,03877;0.1632:0.26615
1167609988,08466;0.1652:0.2679
1167609988,13589;0.22545:0.59545
1167609988,18199;0.23245:0.6169
1167609988,23167;0.23015:0.61455
1167609988,28614;0.2302:0.60995
1167609988,34375;0.2137:0.6192
1167609988,3911;0.21325:0.5851
1167609988,44814;0.2118:0.5925
1167609988,49512;0.20715:0.60355
1167609988,5419;0.20845:0.59645
1167609988,5941;0.2101:0.6036
1167609988,63824;0.21505:0.60455
1167609988,68499;0.21155:0.60295
1167609988,73174;0.20725:0.6027
1167609988,78367;0.2242:0.74805
1167609988,83495;0.2665:0.89945
1167609988,87835;0.2699:0.893
1167609988,92638;0.26465:0.9011
1167609988,97265;0.27865:0.91135
1167609989,0184;0.2778:0.89215
1167609989,06474;0.26045:0.8903
1167609989,11112;0.2601:0.89245
1167609989,1606;0.24995:0.88145
1167609989,21165;0.24925:0.86315
1167609989,26078;0.2599:0.88605
1167609989,30615;0.5732:0.6445
1167609989,35195;0.6961:0.50345
1167609989,40448;0.69805:0.49685
1167609989,45434;0.7025:0.50305
1167609989,4974;0.70025:0.4958
1167609989,54375;0.7605:0.431
1167609989,58525;0.7692:0.4333
1167609989,6355;0.7504:0.4674
1167609989,68015;0.75015:0.4692
1167609989,73353;0.75875:0.43875
1167609989,78429;0.76225:0.43895
1167609989,83753;0.7705:0.4322
1167609989,88174;0.7524:0.4459
1167609989,93137;0.7604:0.43055
1167609989,98822;0.6707:0.6425
1167609990,04255;0.66425:0.6554
1167609990,08748;0.6783:0.6418
1167609990,14379;0.66615:0.6537
1167609990,18813;0.6684:0.638
1167609990,23863;0.66675:0.64955
1167609990,28167;0.4406:0.5803
1167609990,33295;0.2508:0.5042
1167609990,3774;0.24565:0.5148
1167609990,43316;0.25005:0.51375
1167609990,48843;0.24855:0.51715
1167609990,54098;0.19815:0.571
1167609990,59363;0.1984:0.58815
1167609990,63588;0.19935:0.58965
1167609990,68948;0.20285:0.58275
1167609990,743;0.2025:0.58845
1167609990,79212;0.2069:0.59455
1167609990,84528;0.2074:0.58415
1167609990,89137;0.2094:0.584
1167609990,93676;0.21005:0.60505
1167609990,98445;0.2058:0.59775
1167609991,03114;0.2043:0.6057
1167609991,08512;0.21055:0.58685
1167609991,13925;0.20265:0.6063
1167609991,18677;0.20155:0.5841
1167609991,24216;0.2052:0.5767
1167609991,28734;0.20605:0.57805
1167609991,33588;0.2054:0.5852
1167609991,38124;0.2077:0.58315
1167609991,43613;0.1995:0.59595
1167609991,48421;0.20095:0.5744
1167609991,53819;0.20505:0.59135
1167609991,58486;0.19495:0.6044
1167609991,63574;0.19695:0.6069
1167609991,68913;0.19945:0.60305
1167609991,7435;0.2003:0.5966
1167609991,79831;0.1968:0.5943
1167609991,8473;0.2028:0.58745
1167609991,89547;0.2036:0.4421
1167609991,94221;0.20015:0.60145
1167609991,98585;0.20145:0.6047
1167609992,04093;0.1138:0.72375
1167609992,09718;0.1202:0.6903
1167609992,15049;0.1258:0.72845
1167609992,19765;0.12815:0.6974
1167609992,25789;0.12495:0.7047
1167609992,3047;0.1213:0.68535
1167609992,35608;0.1227:0.69625
1167609992,40357;0.13025:0.69795
1167609992,45768;0.1304:0.68595
1167609992,50508;0.24375:0.8772
1167609992,55456;0.2494:0.89735
1167609992,60089;0.2591:0.8761
1167609992,65313;0.25475:0.8854
1167609992,70021;0.2475:0.87465
1167609992,74813;0.2524:0.8748
1167609992,79554;0.25595:0.8798
1167609992,84246;0.2603:0.88665
1167609992,88513;0.2515:0.8911
1167609992,93158;0.25615:0.87415
1167609992,97914;0.24975:0.8801
1167609993,02571;0.2547:0.8515
1167609993,074;0.25375:0.88245
1167609993,1188;0.26075:0.89985
1167609993,17271;0.2642:0.83665
1167609993,21951;0.2658:0.84645
1167609993,28277;0.2606:0.8242
1167609993,32575;0.26375:0.89385
1167609993,36912;0.2576:0.8513
1167609993,41614;0.2587:0.88165
1167609993,45879;0.26105:0.8709
1167609993,50561;0.31135:0.683
1167609993,55216;0.34285:0.5261
1167609993,59366;0.3319:0.5233
1167609993,64257;0.32865:0.50635
1167609993,69865;0.331:0.5038
1167609993,75047;0.32875:0.4987
1167609993,7975;0.3336:0.4983
1167609993,84243;0.3093:0.45485
1167609993,88579;0.32255:0.4396
1167609993,94062;0.3164:0.45195
1167609993,98526;0.3079:0.4661
1167609994,0342;0.30985:0.4541
1167609994,08533;0.30275:0.4607
1167609994,14075;0.31505:0.44615
1167609994,18828;0.3063:0.4639
1167609994,2441;0.30595:0.46555
1167609994,29198;0.30605:0.4771
1167609994,34666;0.31205:0.43265
1167609994,40382;0.3081:0.47385
1167609994,45565;0.3027:0.45905
1167609994,50446;0.2267:0.51825
1167609994,55378;0.22615:0.481
1167609994,60846;0.229:0.513
1167609994,66184;0.2262:0.51835
1167609994,71686;0.1872:0.56235
1167609994,77633;0.1941:0.55145
1167609994,82306;0.1962:0.5739
1167609994,87149;0.19855:0.5665
1167609994,91934;0.1988:0.56355
1167609994,96568;0.2013:0.5702
1167609995,01381;0.199:0.56965
1167609995,06209;0.19975:0.5421
1167609995,11349;0.20475:0.5566
1167609995,1609;0.19635:0.5286
1167609995,20982;0.1984:0.5224
1167609995,25852;0.20745:0.53945
1167609995,30711;0.20515:0.5669
1167609995,35642;0.1952:0.55185
1167609995,40658;0.194:0.5363
1167609995,45667;0.202:0.57055
1167609995,50611;0.19975:0.5121
1167609995,56477;0.19615:0.5806
1167609995,60865;0.18935:0.54825
1167609995,66948;0.1943:0.59385
1167609995,71863;0.1909:0.60205
1167609995,77009;0.1853:0.5844
1167609995,82848;0.19295:0.60315
1167609995,88139;0.18855:0.56745
1167609995,93714;0.1885:0.56615
1167609995,98836;0.2094:0.5145
1167609996,0364;0.2157:0.5264
1167609996,08924;0.2167:0.52335
1167609996,14245;0.21475:0.53485
1167609996,19335;0.21575:0.5205
