Timestamp;GazePoint
636214845167,337;
1167609791,16724;0.49845:0.4762
1167609791,22646;0.4945:0.4741
1167609791,2953;0.4936:0.46325
1167609791,33822;0.5047:0.4542
1167609791,38098;0.4963:0.44415
1167609791,42317;0.4982:0.4125
1167609791,46408;0.4951:0.4329
1167609791,50365;0.34215:0.4454
1167609791,54309;0.33595:0.4538
1167609791,58524;0.33995:0.4412
1167609791,63309;0.33645:0.43925
1167609791,67454;0.3006:0.43305
1167609791,71861;0.30475:0.4056
1167609791,75859;0.30505:0.4312
1167609791,79855;0.3014:0.4354
1167609791,83787;0.3034:0.44215
1167609791,87609;0.30755:0.43615
1167609791,91912;0.2023:0.4195
1167609791,96279;0.20055:0.4203
1167609792,00258;0.20575:0.41275
1167609792,04269;0.2043:0.4029
1167609792,08208;0.20425:0.4267
1167609792,12155;0.2072:0.4102
1167609792,16814;0.2091:0.42055
1167609792,2079;0.2028:0.414
1167609792,25485;0.2042:0.42825
1167609792,29881;
1167609792,3514;
1167609792,38351;
1167609792,41024;
1167609792,45617;
1167609792,48614;
1167609792,5344;
1167609792,56175;
1167609792,60485;
1167609792,64147;
1167609792,68414;
1167609792,71576;
1167609792,75719;
1167609792,7999;
1167609792,84007;0.51105:0.5712
1167609792,89531;0.5079:0.5636
1167609792,93908;0.51775:0.58715
1167609792,9894;0.51125:0.5616
1167609793,03518;0.5027:0.54765
1167609793,08622;0.4986:0.59305
1167609793,12837;0.49645:0.56305
1167609793,18157;0.45025:0.5588
1167609793,22385;0.2098:0.38755
1167609793,27526;0.21465:0.36875
1167609793,3169;0.2107:0.3634
1167609793,3564;0.21245:0.3894
1167609793,39609;0.21245:0.3796
1167609793,43586;0.2156:0.37935
1167609793,47489;0.21005:0.38325
1167609793,51277;0.21605:0.3815
1167609793,55262;0.21825:0.385
1167609793,5922;0.2197:0.38605
1167609793,63264;0.1679:0.44205
1167609793,67413;0.1704:0.4194
1167609793,71409;0.1708:0.42125
1167609793,75912;0.16385:0.4403
1167609793,79888;0.17005:0.42005
1167609793,8409;0.146:0.44065
1167609793,88258;0.1506:0.36955
1167609793,92436;0.15255:0.4317
1167609793,96625;0.1562:0.4276
1167609794,01078;0.1531:0.42915
1167609794,05254;0.09605:0.4236
1167609794,09768;0.1051:0.4096
1167609794,14225;0.10755:0.41915
1167609794,18523;0.09945:0.3932
1167609794,23285;0.10145:0.23215
1167609794,27598;0.0972:0.3844
1167609794,32051;0.0941:0.4061
1167609794,36517;0.09815:0.3062
1167609794,40736;0.09685:0.41085
1167609794,45758;0.10025:0.39515
1167609794,51154;0.1021:0.4071
1167609794,56225;0.0991:0.407
1167609794,60706;0.10405:0.40275
1167609794,65729;0.0961:0.4289
1167609794,70669;0.0933:0.4332
1167609794,75914;0.0914:0.4277
1167609794,80543;0.101:0.4408
1167609794,85533;
1167609794,90117;0.09715:0.4033
1167609794,93966;0.14995:0.4174
1167609794,98726;0.19135:0.40535
1167609795,03638;0.1881:0.4183
1167609795,08107;0.17895:0.42255
1167609795,13117;0.1883:0.42525
1167609795,17756;0.18815:0.41315
1167609795,22849;0.1747:0.5105
1167609795,27313;0.17995:0.5513
1167609795,32333;0.1788:0.56185
1167609795,36766;0.17545:0.56605
1167609795,4124;0.17165:0.5776
1167609795,45719;0.17545:0.5782
1167609795,50307;0.1728:0.5868
1167609795,54788;0.1743:0.58645
1167609795,59209;0.17635:0.59285
1167609795,63574;0.171:0.59045
1167609795,67671;0.17:0.57695
1167609795,72137;0.17535:0.59175
1167609795,76398;0.4953:0.40595
1167609795,81064;0.74025:0.35515
1167609795,85382;0.7512:0.3542
1167609795,89914;0.742:0.3766
1167609795,94228;0.7429:0.36235
1167609795,98609;0.86655:0.41905
1167609796,02851;0.8894:0.40925
1167609796,07358;0.89095:0.4263
1167609796,11724;0.8878:0.44155
1167609796,16447;0.8888:0.4644
1167609796,20881;0.8905:0.46465
1167609796,25495;0.88975:0.4525
1167609796,29882;0.89225:0.4635
1167609796,34192;0.82705:0.4757
1167609796,38493;0.65105:0.3906
1167609796,4291;0.65655:0.3973
1167609796,47008;0.65845:0.39325
1167609796,51164;0.65145:0.40015
1167609796,55313;0.65315:0.39965
1167609796,59816;0.65515:0.3985
1167609796,64027;0.63105:0.3942
1167609796,68614;0.62365:0.41275
1167609796,72621;0.6338:0.40715
1167609796,77314;0.626:0.4005
1167609796,81341;0.62355:0.40995
1167609796,85838;0.6209:0.493
1167609796,89819;0.6234:0.5935
1167609796,94415;0.62505:0.5962
1167609796,98541;0.62785:0.59735
1167609797,03112;0.62685:0.59145
1167609797,07125;0.6276:0.5852
1167609797,11565;0.63105:0.59165
1167609797,15614;0.62455:0.5805
1167609797,2006;0.6198:0.57645
1167609797,23965;0.6203:0.57895
1167609797,28192;0.61895:0.57355
1167609797,32722;0.6205:0.5747
1167609797,36748;0.447:0.6581
1167609797,40821;0.3811:0.58455
1167609797,4478;0.38705:0.6177
1167609797,4882;0.3996:0.6373
1167609797,52611;0.41345:0.6935
1167609797,56451;0.37875:0.7145
1167609797,60261;0.3814:0.7187
1167609797,64147;0.38475:0.74465
1167609797,68183;0.3913:0.7665
1167609797,72116;0.38365:0.7648
1167609797,76165;0.3922:0.78835
1167609797,80214;0.39295:0.78975
1167609797,84146;0.4287:0.859
1167609797,88179;0.43345:0.87555
1167609797,92214;0.44385:0.8823
1167609797,9621;0.4398:0.88215
1167609797,99975;0.4359:0.8798
1167609798,03928;0.4331:0.867
1167609798,08135;0.3454:0.87215
1167609798,12948;0.34575:0.8743
1167609798,16717;0.34005:0.88315
1167609798,20577;0.33915:0.87815
1167609798,24413;0.3463:0.88665
1167609798,28326;0.34355:0.8782
1167609798,32282;0.3302:0.71225
1167609798,36479;0.325:0.7283
1167609798,4031;0.329:0.73385
1167609798,44058;0.3253:0.73085
1167609798,47807;0.3298:0.72965
1167609798,51486;0.3275:0.72665
1167609798,55278;0.3285:0.72855
1167609798,59237;0.3078:0.70495
1167609798,63161;0.3115:0.70885
1167609798,67331;0.3238:0.7251
1167609798,71116;0.31665:0.72235
1167609798,75572;0.31615:0.72305
1167609798,79458;0.31415:0.71925
1167609798,83641;0.27095:0.68545
1167609798,87461;0.17745:0.5993
1167609798,91948;0.1712:0.5914
1167609798,9594;0.1814:0.60125
1167609799,00553;0.1696:0.6107
1167609799,04559;0.1792:0.6037
1167609799,08966;0.17595:0.5911
1167609799,13024;0.16865:0.60975
1167609799,17527;0.17025:0.5985
1167609799,21551;0.17835:0.65005
1167609799,25935;0.166:0.60925
1167609799,30943;0.1712:0.6106
1167609799,34894;0.1744:0.6089
1167609799,39396;0.1727:0.6245
1167609799,43313;0.13885:0.54015
1167609799,47858;0.1002:0.4057
1167609799,51799;0.10625:0.4257
1167609799,55685;0.1058:0.41835
1167609799,59875;0.09835:0.40475
1167609799,6371;0.09415:0.41025
1167609799,67711;0.09485:0.2959
1167609799,71813;0.0968:0.3945
1167609799,7578;0.10795:0.4155
1167609799,7997;0.10525:0.42245
1167609799,84172;0.1183:0.2154
1167609799,88357;0.1037:0.40215
1167609799,9292;0.05095:0.2893
1167609799,96948;0.05:0.3057
1167609800,0141;0.0553:0.2905
1167609800,05198;0.05175:0.29565
1167609800,09417;0.05415:0.296
1167609800,13513;0.4199:0.3482
1167609800,17851;0.46625:0.3786
1167609800,21896;0.4662:0.38085
1167609800,2603;0.47065:0.38455
1167609800,30288;0.4432:0.40475
1167609800,35116;0.3883:0.40315
1167609800,4015;0.3881:0.41545
1167609800,44246;0.38565:0.4051
1167609800,48362;0.386:0.41445
1167609800,5255;0.387:0.2785
1167609800,56961;0.3814:0.3087
1167609800,61593;0.3847:0.30475
1167609800,66636;0.38905:0.3101
1167609800,7136;0.32315:0.3935
1167609800,75883;0.3185:0.384
1167609800,79913;0.31425:0.39525
1167609800,84264;0.3127:0.3869
1167609800,8829;0.3118:0.3971
1167609800,92942;0.31395:0.3901
1167609800,97044;0.31395:0.39585
1167609801,01665;0.3177:0.39715
1167609801,05857;0.3112:0.41815
1167609801,10309;0.3196:0.4234
1167609801,14286;0.3114:0.4163
1167609801,1872;0.313:0.4191
1167609801,2279;0.31795:0.42475
1167609801,27366;0.3836:0.3327
1167609801,31106;0.38825:0.30355
1167609801,35005;0.38905:0.2892
1167609801,39267;0.38715:0.2963
1167609801,43528;0.38815:0.30065
1167609801,47561;0.3956:0.28705
1167609801,51471;0.39085:0.3291
1167609801,55632;0.3861:0.4016
1167609801,5966;0.38215:0.4099
1167609801,63646;0.3818:0.39405
1167609801,67621;0.37515:0.416
1167609801,71577;0.37785:0.4022
1167609801,7622;0.3768:0.41315
1167609801,80999;0.3686:0.98465
1167609801,85513;
1167609801,90293;0.60275:0.5326
1167609801,93624;0.62995:0.37945
1167609801,98341;0.62855:0.3636
1167609802,03018;0.63325:0.3792
1167609802,07846;0.6396:0.38155
1167609802,12056;0.6445:0.38025
1167609802,16924;0.64415:0.3867
1167609802,21423;0.65615:0.39665
1167609802,25929;0.64395:0.3964
1167609802,30097;0.61585:0.39325
1167609802,34984;0.62115:0.39195
1167609802,3949;0.6127:0.3869
1167609802,43461;0.61875:0.3853
1167609802,47765;0.61265:0.40975
1167609802,51628;0.61775:0.3869
1167609802,5594;0.6215:0.3969
1167609802,59965;0.61055:0.3973
1167609802,64293;0.60985:0.38535
1167609802,68369;0.8553:0.37825
1167609802,72812;0.90105:0.374
1167609802,77028;0.8868:0.36275
1167609802,81741;0.8848:0.37105
1167609802,85937;0.8868:0.35425
1167609802,90474;0.88225:0.36485
1167609802,94458;0.8887:0.36495
1167609802,98951;0.9393:0.34305
1167609803,02989;0.931:0.33835
1167609803,07551;0.9337:0.3355
1167609803,11639;0.9329:0.3443
1167609803,16678;0.9175:0.36185
1167609803,20632;0.928:0.3581
1167609803,2504;0.92565:0.3635
1167609803,28839;0.9309:0.3656
1167609803,33586;0.93175:0.36285
1167609803,38405;0.9331:0.35885
1167609803,44049;0.73525:0.32055
1167609803,48778;0.7251:0.30395
1167609803,53215;0.7237:0.31185
1167609803,57224;0.72185:0.31595
1167609803,61427;0.7297:0.30085
1167609803,6557;0.72195:0.30485
1167609803,6974;0.6911:0.2989
1167609803,73848;0.6747:0.3282
1167609803,77958;0.67405:0.312
1167609803,81883;0.67015:0.31245
1167609803,85859;0.6696:0.322
1167609803,89895;0.6668:0.3133
1167609803,93794;0.6689:0.3228
1167609803,97763;0.65165:0.3487
1167609804,0183;0.62735:0.39765
1167609804,0618;0.6333:0.39655
1167609804,10173;0.62855:0.3995
1167609804,13984;0.62745:0.4003
1167609804,17857;0.6356:0.3942
1167609804,21654;0.61535:0.4129
1167609804,25778;0.6192:0.4133
1167609804,29618;0.61885:0.41325
1167609804,3399;0.61875:0.4003
1167609804,37938;0.61525:0.4057
1167609804,41794;0.6659:0.4588
1167609804,45633;0.7309:0.5425
1167609804,49545;0.7376:0.5505
1167609804,54478;0.7359:0.5543
1167609804,59316;0.73315:0.55175
1167609804,63824;0.7329:0.56105
1167609804,68482;0.733:0.5582
1167609804,73276;0.73595:0.6262
1167609804,78622;0.7286:0.61705
1167609804,8284;0.7329:0.61595
1167609804,87824;0.7354:0.6195
1167609804,91981;0.73535:0.6252
1167609804,96852;0.73405:0.6211
1167609805,01027;0.73595:0.6146
1167609805,0571;0.7585:0.74615
1167609805,09869;0.751:0.78435
1167609805,1453;0.753:0.79935
1167609805,18692;0.7506:0.78455
1167609805,23799;0.74525:0.79305
1167609805,28337;0.77145:0.77505
1167609805,33265;0.77375:0.77645
1167609805,37605;0.7752:0.7774
1167609805,42006;0.7727:0.7757
1167609805,4645;0.77135:0.5661
1167609805,50631;0.76685:0.56585
1167609805,54571;0.7676:0.5689
1167609805,5865;0.7692:0.5672
1167609805,62827;0.73905:0.62285
1167609805,67108;0.73005:0.621
1167609805,71175;0.73685:0.6159
1167609805,75511;0.73345:0.61805
1167609805,79473;0.73235:0.6112
1167609805,83726;0.7298:0.59845
1167609805,87693;0.72485:0.61245
1167609805,91965;0.72985:0.5952
1167609805,95859;0.72985:0.5946
1167609805,99709;0.73105:0.6041
1167609806,03779;0.72735:0.60975
1167609806,07868;0.75265:0.6949
1167609806,12053;0.77785:0.74545
1167609806,16006;0.7792:0.74315
1167609806,2007;0.77795:0.747
1167609806,24184;0.78335:0.7442
1167609806,28175;0.77715:0.7531
1167609806,32183;0.7833:0.7311
1167609806,36187;0.77555:0.75205
1167609806,40612;0.7517:0.7009
1167609806,44616;0.73475:0.65755
1167609806,48575;0.72815:0.6546
1167609806,52298;0.731:0.6475
1167609806,56198;0.73115:0.6146
1167609806,60125;0.7247:0.61015
1167609806,64117;0.72185:0.5982
1167609806,68424;0.7204:0.6066
1167609806,72536;0.72315:0.6057
1167609806,76936;0.72575:0.61145
1167609806,80893;0.71815:0.61035
1167609806,85747;0.5874:0.57255
1167609806,89793;0.59155:0.60275
1167609806,9423;0.5896:0.58995
1167609806,98587;0.59165:0.60415
1167609807,03436;0.58595:0.58765
1167609807,07619;0.54895:0.64635
1167609807,12296;0.48545:0.7348
1167609807,1645;0.47555:0.7359
1167609807,21214;0.47525:0.7381
1167609807,25477;0.48305:0.74865
1167609807,30232;0.3128:0.71635
1167609807,34499;0.3137:0.72755
1167609807,38962;0.3181:0.7255
1167609807,42963;0.312:0.72685
1167609807,4701;0.3114:0.72755
1167609807,51054;0.3175:0.72805
1167609807,55115;0.21655:0.773
1167609807,59192;0.2155:0.7884
1167609807,63143;0.21475:0.792
1167609807,66992;0.21515:0.79935
1167609807,71022;0.21605:0.80225
1167609807,75106;0.22115:0.79695
1167609807,78989;0.22275:0.80345
1167609807,83206;0.22005:0.8196
1167609807,87281;0.21895:0.8203
1167609807,91528;0.24015:0.86645
1167609807,96299;0.2392:0.8872
1167609808,00123;0.23585:0.895
1167609808,04021;0.23665:0.8936
1167609808,0807;0.23385:0.8911
1167609808,12123;0.24075:0.88885
1167609808,16116;0.23295:0.88965
1167609808,20009;0.2384:0.88975
1167609808,24593;0.2409:0.9067
1167609808,28725;0.23985:0.87915
1167609808,33144;0.16015:0.9172
1167609808,37375;0.14965:0.92925
1167609808,42029;0.1474:0.8627
1167609808,46971;0.14445:0.88505
1167609808,50841;0.1518:0.883
1167609808,54754;0.14825:0.74595
1167609808,58687;0.1455:0.73995
1167609808,62462;0.1411:0.75055
1167609808,66598;0.14695:0.75535
1167609808,70411;0.1088:0.75255
1167609808,74486;0.0871:0.763
1167609808,78255;0.08065:0.75915
1167609808,82668;0.0819:0.76335
1167609808,86515;0.0495:0.73815
1167609808,90806;0.0578:0.73395
1167609808,94672;0.04855:0.72915
1167609808,9888;0.05195:0.72925
1167609809,02709;0.0495:0.7304
1167609809,07064;0.04955:0.72635
1167609809,10942;0.05535:0.741
1167609809,15296;0.04335:0.7274
1167609809,19228;0.04815:0.7167
1167609809,23654;0.04955:0.73665
1167609809,27715;0.05085:0.74015
1167609809,32047;0.0506:0.73225
1167609809,35889;0.0468:0.7228
1167609809,39669;0.04835:0.7348
1167609809,43442;0.0486:0.73245
1167609809,47325;0.04515:0.7277
1167609809,51012;0.0446:0.7299
1167609809,54842;0.05105:0.72915
1167609809,5861;0.04595:0.72515
1167609809,6246;0.04925:0.7248
1167609809,66117;0.0514:0.7288
1167609809,69915;0.0487:0.73385
1167609809,73597;0.0481:0.72695
1167609809,773;0.12595:0.6129
1167609809,81173;0.1515:0.57125
1167609809,84807;0.1554:0.5848
1167609809,88623;0.1557:0.57385
