Timestamp;GazePoint
636214847332,171;
1167610007,65927;0.3866:0.37975
1167610007,69815;0.43205:0.43915
1167610007,73694;0.4812:0.46905
1167610007,78271;0.488:0.48065
1167610007,8287;0.48945:0.4721
1167610007,87584;0.48575:0.4679
1167610007,92262;0.27135:0.50345
1167610007,96212;0.25915:0.5114
1167610008,00515;0.25325:0.50015
1167610008,05432;0.25325:0.51055
1167610008,09616;0.25085:0.4773
1167610008,14148;0.2484:0.5123
1167610008,18768;0.1895:0.36535
1167610008,23065;0.1722:0.2564
1167610008,27271;0.18315:0.2604
1167610008,3112;0.17885:0.2828
1167610008,35158;
1167610008,39795;0.32045:0.3473
1167610008,43752;0.3375:0.33105
1167610008,49334;0.3226:0.3259
1167610008,53607;0.3291:0.30605
1167610008,59116;0.2467:0.16345
1167610008,63264;0.2397:0.2735
1167610008,69073;0.24425:0.2601
1167610008,7457;0.2382:0.2663
1167610008,79285;0.2472:0.26945
1167610008,83859;0.2437:0.26345
1167610008,88992;0.34765:0.59045
1167610008,93286;
1167610008,98697;0.3543:0.5795
1167610009,0195;0.34885:0.5268
1167610009,0735;0.35605:0.5742
1167610009,11858;0.3551:0.58755
1167610009,17913;0.3519:0.3377
1167610009,22939;0.35005:0.32725
1167610009,2791;0.3501:0.32315
1167610009,32941;0.3552:0.312
1167610009,38027;0.3467:0.31565
1167610009,42013;0.34605:0.58305
1167610009,46182;0.39475:0.59915
1167610009,50874;0.3887:0.7414
1167610009,55064;0.3912:0.7562
1167610009,60039;0.38965:0.7429
1167610009,65392;0.3972:0.742
1167610009,70214;0.4038:0.6174
1167610009,7451;0.4202:0.4803
1167610009,80251;0.41075:0.60975
1167610009,85233;0.42145:0.61245
1167610009,90407;0.65915:0.54645
1167610009,95058;0.66175:0.5555
1167610009,99773;0.67325:0.53725
1167610010,05439;0.66435:0.53755
1167610010,10076;0.64535:0.51785
1167610010,15484;0.64805:0.5133
1167610010,19816;0.65255:0.53245
1167610010,24447;0.6496:0.5361
1167610010,2884;0.66525:0.3695
1167610010,33455;0.6643:0.3732
1167610010,3769;0.66155:0.3808
1167610010,41551;0.6599:0.38
1167610010,46739;0.65885:0.376
1167610010,50938;0.7968:0.27625
1167610010,55539;0.7925:0.276
1167610010,60007;0.7934:0.2829
1167610010,65474;0.7979:0.27635
1167610010,7035;0.80555:0.27275
1167610010,75305;0.7956:0.253
1167610010,79441;0.77645:0.26365
1167610010,84798;0.7746:0.28395
1167610010,89937;0.80295:0.23455
1167610010,95955;0.79775:0.2579
1167610011,0013;0.7864:0.2672
1167610011,05533;0.7943:0.27055
1167610011,10515;0.78855:0.27615
1167610011,1589;0.7881:0.26445
1167610011,20841;0.8735:0.59215
1167610011,26158;0.87465:0.59955
1167610011,30498;0.86365:0.6062
1167610011,34844;0.87895:0.603
1167610011,39834;0.8766:0.61765
1167610011,4413;0.87205:0.6142
1167610011,4832;0.8769:0.6131
1167610011,52778;0.8415:0.66625
1167610011,5718;0.7479:0.83695
1167610011,62507;0.73575:0.85555
1167610011,68224;0.73855:0.85025
1167610011,73137;0.739:0.84735
1167610011,78118;
1167610011,82832;0.83515:0.87035
1167610011,86651;0.84175:0.85695
1167610011,90598;0.84165:0.8611
1167610011,95277;0.8425:0.84505
1167610011,99874;0.8486:0.84915
1167610012,04538;
1167610012,09111;0.69045:1.09715
1167610012,15694;0.68795:1.0935
1167610012,20771;0.69305:1.10455
1167610012,26048;0.7021:1.0746
1167610012,31798;0.6852:1.1182
1167610012,36589;0.54955:1.08595
1167610012,40968;
1167610012,4495;0.5849:0.82215
1167610012,4869;0.59895:0.7159
1167610012,53579;0.60215:0.7218
1167610012,57727;0.598:0.7048
1167610012,62561;0.60495:0.68975
1167610012,67117;0.6478:0.75365
1167610012,72413;0.6486:0.7722
1167610012,77007;0.6404:0.7706
1167610012,82208;0.71545:0.6695
1167610012,86771;
1167610012,92382;
1167610012,96639;0.82465:0.3521
1167610013,01594;0.82015:0.3616
1167610013,06412;0.8766:0.11535
1167610013,11569;0.88515:0.1206
1167610013,15894;0.88195:0.10785
1167610013,20959;0.87705:0.13435
1167610013,25617;
1167610013,30511;
1167610013,33376;0.8867:0.10295
1167610013,38227;0.87665:0.1214
1167610013,42392;0.88075:0.12195
1167610013,47109;0.6211:0.1672
1167610013,51953;0.6267:0.1545
1167610013,56916;0.6282:0.14065
1167610013,61364;0.63075:0.1636
1167610013,65921;0.7563:0.3446
1167610013,70337;0.7472:0.3578
1167610013,74932;0.7572:0.3612
1167610013,79138;0.7554:0.35665
1167610013,83597;0.7668:0.3482
1167610013,88277;0.7668:0.1695
1167610013,92466;0.7655:0.30205
1167610013,97276;0.7662:0.31585
1167610014,01981;0.76465:0.26905
1167610014,07141;0.76795:0.27785
1167610014,11282;0.7693:0.29265
1167610014,15711;0.7645:0.27
1167610014,2074;0.7582:0.30285
1167610014,25051;0.7644:0.2741
1167610014,292;0.65505:0.3132
1167610014,33294;0.31845:0.36995
1167610014,38775;0.31725:0.38365
1167610014,43477;0.3164:0.37905
1167610014,48536;0.3144:0.37265
1167610014,53261;0.21705:0.2714
