Timestamp;GazePoint
636216490788,899;
1167610205,20884;0.4998:0.6094
1167610205,24118;0.4881:0.60945
1167610205,27336;0.49865:0.5984
1167610205,30571;0.49105:0.60955
1167610205,33827;0.48705:0.6305
1167610205,37068;0.488:0.61185
1167610205,40308;0.48975:0.6076
1167610205,43495;0.49855:0.6008
1167610205,46708;0.498:0.61195
1167610205,49943;0.7008:0.6203
1167610205,53172;0.71845:0.60485
1167610205,56358;0.7088:0.6059
1167610205,5953;0.7067:0.60215
1167610205,62695;0.702:0.6159
1167610205,65908;0.70115:0.6171
1167610205,69129;0.695:0.6244
1167610205,72392;0.6072:0.6235
1167610205,75627;0.61835:0.6067
1167610205,789;0.6186:0.6114
1167610205,82154;0.6167:0.6126
1167610205,85471;0.641:0.5742
1167610205,88891;0.67465:0.51075
1167610205,93874;0.96955:0.81795
1167610205,98547;0.9319:0.8569
1167610206,03293;0.9389:0.82045
1167610206,07987;0.9292:0.8878
1167610206,13652;0.935:0.86515
1167610206,1879;0.92405:0.84845
1167610206,24034;0.93015:0.85975
1167610206,28891;0.9133:0.84435
1167610206,33889;0.7917:0.22965
1167610206,39177;0.76585:0.26
1167610206,44516;0.76075:0.25345
1167610206,49706;0.76805:0.2507
1167610206,55212;0.79975:0.3141
1167610206,60441;0.79985:0.28305
1167610206,66216;0.80205:0.29655
1167610206,71491;0.90765:0.64385
1167610206,77188;0.9444:0.87045
1167610206,82532;0.94585:0.87325
1167610206,88448;0.96265:0.8706
1167610206,93915;0.9569:0.8951
1167610206,98088;0.9501:0.8504
1167610207,01788;0.9476:0.86175
1167610207,05854;0.96105:0.86205
1167610207,09642;0.9578:0.8499
1167610207,13854;0.9416:0.8626
1167610207,17561;0.95125:0.8527
1167610207,2154;0.95135:0.85415
1167610207,25119;0.95955:0.8592
1167610207,28755;0.9595:0.84305
1167610207,32436;0.9528:0.84375
1167610207,3611;0.9567:0.85995
1167610207,39765;0.9584:0.86855
1167610207,43428;0.9632:0.8562
1167610207,47059;0.95565:0.85875
1167610207,50744;0.95925:0.84885
1167610207,5497;0.94965:0.8711
1167610207,58637;0.9496:0.861
1167610207,623;0.9727:0.8509
1167610207,65994;0.95335:0.85845
1167610207,69695;0.9445:0.8682
1167610207,73686;0.94905:0.8515
1167610207,77713;0.9473:0.86995
1167610207,81418;0.9577:0.85875
1167610207,85437;0.8371:0.32665
1167610207,89099;0.8112:0.2814
1167610207,92808;0.8155:0.2975
1167610207,96495;0.82285:0.28665
1167610208,00199;0.80845:0.2895
1167610208,03887;0.82395:0.27975
1167610208,07568;0.80625:0.2885
1167610208,11236;0.8098:0.29745
1167610208,14923;0.82265:0.29575
1167610208,18596;0.8183:0.28655
1167610208,22261;
1167610208,25932;0.81585:0.2959
1167610208,286;0.81855:0.29725
1167610208,32519;0.82155:0.30575
1167610208,36153;0.8546:0.405
1167610208,39812;0.58265:0.2079
1167610208,43606;0.58175:0.20945
1167610208,4727;0.58515:0.2182
1167610208,5195;0.58215:0.2177
1167610208,55595;0.5763:0.2113
1167610208,60336;0.48195:0.40795
1167610208,64049;0.4813:0.4442
1167610208,68308;0.4816:0.44235
1167610208,72751;0.4707:0.44625
1167610208,77118;0.4775:0.44855
1167610208,81315;0.4699:0.43945
1167610208,8541;0.4855:0.4574
1167610208,90056;0.4626:0.50725
1167610208,9418;0.46175:0.4859
1167610208,9876;0.61545:0.60265
1167610209,02878;0.62035:0.5937
1167610209,07188;0.62805:0.59215
1167610209,11196;0.62455:0.596
1167610209,15743;0.63515:0.58805
1167610209,19813;0.5082:0.64415
1167610209,24257;0.45315:0.64225
1167610209,28216;0.453:0.6593
1167610209,32211;0.44525:0.6723
1167610209,35842;0.442:0.64815
1167610209,39844;0.2701:0.7023
1167610209,43695;0.2554:0.67605
1167610209,4731;0.26705:0.70995
1167610209,51171;0.26355:0.7201
1167610209,55081;
1167610209,58898;
1167610209,61546;0.1216:0.7417
1167610209,64316;0.1296:0.7363
1167610209,68189;0.13105:0.7682
1167610209,7205;0.12205:0.7096
1167610209,76049;0.1182:0.75735
1167610209,80107;
1167610209,84185;0.0823:0.76905
1167610209,88495;0.09325:0.75825
1167610209,92222;0.0891:0.8259
1167610209,96011;0.11165:0.57445
1167610210,00132;
1167610210,03989;
1167610210,06519;
1167610210,09813;
1167610210,12684;
1167610210,15611;
1167610210,18207;
1167610210,20808;
1167610210,25165;
1167610210,27974;
1167610210,30444;
1167610210,33673;
1167610210,36497;0.39215:0.71505
1167610210,39414;0.39885:0.71405
1167610210,43378;0.3907:0.70935
1167610210,47516;0.2621:0.3115
1167610210,51699;0.269:0.2984
1167610210,55398;0.27665:0.30175
1167610210,59437;0.26635:0.30535
1167610210,63266;0.2704:0.3087
1167610210,67525;0.2689:0.30565
1167610210,71132;0.2824:0.26655
1167610210,75187;0.2841:0.2554
1167610210,78778;0.28235:0.2664
1167610210,82928;0.27525:0.2646
1167610210,86584;0.2799:0.26725
1167610210,9073;0.281:0.25785
1167610210,94432;0.2749:0.25385
1167610210,98479;0.28135:0.2541
1167610211,02221;0.27875:0.26205
1167610211,0644;0.2796:0.25415
1167610211,10185;0.2742:0.2659
1167610211,14283;0.27145:0.25905
1167610211,17976;0.2721:0.24405
1167610211,21706;0.2795:0.25285
1167610211,25425;0.27855:0.2515
1167610211,29152;0.2739:0.26305
1167610211,32862;0.2762:0.27395
1167610211,36588;0.2805:0.26475
1167610211,40326;0.56975:0.3664
1167610211,44055;0.65045:0.3637
1167610211,47762;0.6549:0.36985
1167610211,51714;0.6589:0.36965
1167610211,55635;0.65915:0.3706
1167610211,59624;0.63275:0.3713
1167610211,63613;0.6662:0.37785
1167610211,67666;0.75805:0.43705
1167610211,7141;0.7733:0.4936
1167610211,75614;0.77645:0.4668
1167610211,8002;0.78985:0.45745
1167610211,84225;0.83065:0.4693
1167610211,88055;0.8301:0.45635
1167610211,91823;0.82615:0.474
1167610211,95567;0.9384:0.50305
1167610211,99313;0.95515:0.53355
1167610212,03029;0.9669:0.5207
1167610212,06721;0.99215:0.49135
1167610212,10406;0.9629:0.5189
1167610212,14217;0.974:0.51555
1167610212,18335;0.96115:0.51185
1167610212,22765;0.84005:0.55905
1167610212,26712;0.84245:0.5621
1167610212,30714;0.85525:0.56505
1167610212,34771;0.8619:0.56725
1167610212,38696;0.8358:0.55895
1167610212,4276;0.84275:0.5702
1167610212,47109;0.85205:0.569
1167610212,51899;0.6631:0.4547
1167610212,56072;0.608:0.39205
1167610212,60412;0.6125:0.3995
1167610212,65021;
1167610212,69411;
1167610212,73566;
1167610212,76291;
1167610212,79109;
1167610212,82063;
1167610212,85053;
1167610212,88047;
1167610212,91038;
1167610212,94032;
1167610212,97032;
1167610213,00014;
1167610213,02997;
1167610213,05986;
1167610213,08974;
1167610213,11956;
1167610213,14934;
1167610213,1948;
1167610213,24047;
1167610213,28421;
1167610213,32219;
1167610213,36595;
1167610213,40978;
1167610213,45354;
1167610213,49733;
1167610213,54108;
1167610213,57908;
1167610213,62285;
1167610213,66667;
1167610213,71037;
1167610213,75412;
1167610213,79833;
1167610213,83674;
1167610213,88092;
1167610213,92521;
1167610213,96941;
1167610214,01359;
1167610214,0579;
1167610214,0964;
1167610214,14059;
1167610214,1849;
1167610214,22916;
1167610214,27335;
1167610214,31632;
1167610214,35355;
1167610214,39639;
1167610214,43936;
1167610214,47818;
1167610214,51699;
1167610214,58341;
1167610214,62368;
1167610214,6628;
1167610214,71792;
1167610214,75717;
1167610214,80098;
1167610214,86207;0.25995:0.26155
1167610214,89525;
1167610214,93751;0.2646:0.26685
1167610214,9664;0.26235:0.27825
1167610215,00681;0.2622:0.2634
1167610215,04583;0.2649:0.27615
1167610215,0811;0.25535:0.26895
1167610215,11899;0.2673:0.2612
1167610215,15438;0.2708:0.26725
1167610215,19199;0.27635:0.26735
1167610215,22915;0.27535:0.26235
1167610215,26665;0.2833:0.26305
1167610215,30426;0.288:0.2682
1167610215,34192;0.2912:0.27715
1167610215,37639;0.24485:0.27085
1167610215,41135;0.10895:0.2694
1167610215,44796;0.11425:0.2602
1167610215,48483;0.11425:0.2505
1167610215,5201;0.1126:0.2633
1167610215,55585;0.1185:0.2644
1167610215,59149;0.10635:0.26835
1167610215,62713;0.3395:0.4502
1167610215,66375;0.40175:0.48675
