Timestamp;GazePoint
636216490119,231;
1167610138,27919;
1167610138,3221;
1167610138,36496;
1167610138,40521;
1167610138,44446;
1167610138,66079;0.33065:0.41735
1167610138,73298;0.3122:0.4409
1167610138,82219;0.31075:0.44115
1167610138,86914;0.32865:0.5644
1167610138,93431;0.32395:0.5429
1167610138,99738;0.3741:0.561
1167610139,06775;0.3781:0.56715
1167610139,13038;0.37075:0.5612
1167610139,19321;0.3936:0.53985
1167610139,24567;0.3566:0.6381
1167610139,31254;0.22785:0.583
1167610139,36744;0.2183:0.54265
1167610139,42223;0.2516:0.5172
1167610139,47975;0.25885:0.6455
1167610139,54068;0.25265:0.6176
1167610139,59729;0.2271:0.6276
1167610139,656;0.22055:0.627
1167610139,69641;0.22315:0.6198
1167610139,73477;0.1339:0.7274
1167610139,77765;0.14055:0.72725
1167610139,81747;0.1433:0.73775
1167610139,85576;0.13845:0.74275
1167610139,89144;0.14105:0.7401
1167610139,93038;0.1383:0.74205
1167610139,96968;0.139:0.7339
1167610140,01253;0.1359:0.7237
1167610140,05449;0.28365:0.8449
1167610140,0928;0.29475:0.83885
1167610140,13114;0.3016:0.83315
1167610140,16942;0.2911:0.8399
1167610140,20772;0.29765:0.8382
1167610140,24616;0.30535:0.82945
1167610140,28478;0.2872:0.8438
1167610140,32339;0.12555:0.73445
1167610140,3618;0.1214:0.7302
1167610140,40569;0.12425:0.7348
1167610140,44818;
1167610140,49068;
1167610140,51925;
1167610140,54629;
1167610140,5758;
1167610140,60676;
1167610140,63407;
1167610140,66269;
1167610140,68849;
1167610140,71905;
1167610140,7605;
1167610140,79164;
1167610140,83294;
1167610140,8676;
1167610140,908;
1167610140,95316;
1167610140,98845;
1167610141,0211;
1167610141,05592;
1167610141,08441;
1167610141,12177;
1167610141,16098;0.4426:0.4106
1167610141,18435;
1167610141,23572;0.9164:0.3061
1167610141,27987;0.9345:0.31215
1167610141,32459;
1167610141,37199;0.9102:0.30455
1167610141,40521;0.9108:0.3035
1167610141,44882;0.9013:0.3172
1167610141,48922;0.9076:0.29655
1167610141,53459;0.9119:0.3001
1167610141,57622;0.9121:0.32035
1167610141,61834;0.9109:0.30535
1167610141,66037;0.7264:0.281
1167610141,70252;0.73035:0.2709
1167610141,74395;0.724:0.26655
1167610141,7891;0.7254:0.2568
1167610141,83413;0.7298:0.2611
1167610141,8762;0.7291:0.262
1167610141,91413;0.76245:0.51195
1167610141,95208;0.76575:0.5348
1167610141,99349;0.75815:0.52955
1167610142,03819;0.76305:0.54705
1167610142,07752;0.76195:0.53075
1167610142,12174;0.7562:0.54125
1167610142,16315;0.7593:0.5384
1167610142,20759;0.75505:0.5452
1167610142,24849;0.7614:0.56935
1167610142,29372;
1167610142,33762;0.78435:0.93755
1167610142,3676;0.7776:0.9306
1167610142,41325;0.7855:0.92605
1167610142,46035;0.77995:0.76535
1167610142,50405;0.77725:0.9315
1167610142,54747;0.7813:0.5766
1167610142,59655;0.7806:0.5804
1167610142,64099;0.77675:0.57055
1167610142,68421;0.78705:0.5829
1167610142,72756;0.7775:0.4936
1167610142,7692;0.7692:0.446
1167610142,80994;0.76955:0.4472
1167610142,85485;0.77165:0.4474
1167610142,90212;0.7726:0.43945
1167610142,94488;0.7729:0.44555
1167610142,99116;
1167610143,03671;
1167610143,07617;
1167610143,10235;
1167610143,13408;0.2733:1.3181
1167610143,17018;
1167610143,21065;0.29995:1.0314
1167610143,23691;0.31535:1.10175
1167610143,29512;
1167610143,3354;
1167610143,36167;
1167610143,38943;
1167610143,41558;
1167610143,44234;
1167610143,47043;
1167610143,4998;
1167610143,5307;
1167610143,56067;
1167610143,5908;
1167610143,62097;
1167610143,65122;
1167610143,68139;
1167610143,71156;
1167610143,7417;
1167610143,78712;
1167610143,83272;
1167610143,87837;
1167610143,91816;
1167610143,96366;
1167610144,00911;
1167610144,05461;
1167610144,10006;
1167610144,14354;
1167610144,18112;
1167610144,22444;
1167610144,26787;
1167610144,31125;
1167610144,35454;
1167610144,39789;
1167610144,43546;
1167610144,47875;
1167610144,52206;
1167610144,56539;
1167610144,60881;
1167610144,65261;
1167610144,69058;
1167610144,73429;
1167610144,77799;
1167610144,8173;
1167610144,8564;
1167610144,90871;
1167610144,94778;
1167610145,00331;
1167610145,06462;
1167610145,13324;
1167610145,17241;
1167610145,21157;
1167610145,25069;
1167610145,28984;
1167610145,32908;
1167610145,37451;
1167610145,42006;
1167610145,46565;
1167610145,50526;
1167610145,55066;
1167610145,59607;
1167610145,6415;
1167610145,68688;
1167610145,73128;
1167610145,76969;
1167610145,81385;
1167610145,85811;
1167610145,90231;
1167610145,9465;
1167610145,99079;
1167610146,02923;
1167610146,07344;
1167610146,11219;
1167610146,15097;
1167610146,20682;
1167610146,24582;
1167610146,31038;
1167610146,35091;
1167610146,42075;
1167610146,45974;
1167610146,52649;
1167610146,59964;
1167610146,6605;
1167610146,70589;
1167610146,74896;
1167610146,78612;
1167610146,82906;
1167610146,87195;
1167610146,91488;
1167610146,95781;
1167610147,00072;
1167610147,03779;
1167610147,08064;
1167610147,12348;
1167610147,16643;
1167610147,20943;
1167610147,25287;
1167610147,2905;
1167610147,33376;
1167610147,37708;
1167610147,42041;
1167610147,46384;
1167610147,50722;
1167610147,54475;
1167610147,58805;
1167610147,62729;
1167610147,66643;
1167610147,70559;
1167610147,74471;
1167610147,78383;
1167610147,82305;
1167610147,86223;
1167610147,92113;
1167610147,96027;
1167610148,03158;
1167610148,07065;
1167610148,13463;
1167610148,19712;
1167610148,24256;
1167610148,28627;
1167610148,32424;
1167610148,36799;
1167610148,41181;
1167610148,45563;
1167610148,49934;
1167610148,54314;
1167610148,58135;
1167610148,62508;
1167610148,66883;
1167610148,71265;
1167610148,75649;
1167610148,80077;
1167610148,83921;
1167610148,88342;
1167610148,9276;
1167610148,97192;
1167610149,01621;
1167610149,06043;
1167610149,09885;
1167610149,14312;
1167610149,18732;
1167610149,23164;
1167610149,27592;
1167610149,31888;
1167610149,35605;
1167610149,39899;
1167610149,44193;
1167610149,48487;
1167610149,5278;
1167610149,57072;
1167610149,60779;
1167610149,65064;
1167610149,69346;
1167610149,73643;
1167610149,77941;
1167610149,82283;
1167610149,86043;
1167610149,90373;
1167610149,94709;
1167610149,99042;
1167610150,03372;
1167610150,077;
1167610150,1146;
1167610150,15787;
1167610150,20125;
1167610150,24455;
1167610150,28795;
1167610150,33177;
1167610150,36976;
1167610150,4136;
1167610150,45745;
1167610150,50119;
1167610150,54498;
1167610150,58881;
1167610150,62688;
1167610150,6707;
1167610150,71451;
1167610150,75838;
1167610150,80264;
1167610150,84679;
1167610150,88524;
1167610150,92943;
1167610150,97364;
1167610151,01795;
1167610151,06222;
1167610151,10645;
1167610151,14487;
1167610151,18917;
1167610151,23338;
1167610151,27478;0.42085:0.4296
1167610151,31311;
1167610151,42277;
1167610151,47429;0.5296:1.16005
1167610151,62045;
1167610151,70043;0.48655:0.8161
1167610151,78621;0.496:0.83325
1167610151,84983;0.7973:0.8923
1167610151,91385;0.7829:0.89265
1167610151,98111;0.80775:0.87855
1167610152,03614;0.77245:0.8931
1167610152,09296;0.76695:0.9034
1167610152,14833;0.7656:0.92775
1167610152,20264;0.77615:0.93715
1167610152,2569;0.3401:0.9069
1167610152,31114;0.2017:0.83675
1167610152,37041;0.2037:0.8958
1167610152,42724;0.2578:0.84175
1167610152,48352;0.255:0.82745
1167610152,5514;0.2631:0.9076
1167610152,60541;0.28025:0.87655
1167610152,66006;0.2436:0.92155
1167610152,71672;0.24395:0.9177
1167610152,75469;0.18365:0.80735
1167610152,79084;0.1739:0.79925
1167610152,82686;0.1812:0.8105
1167610152,86279;0.1694:0.8116
1167610152,90239;0.15405:0.7714
1167610152,93754;0.1346:0.7481
1167610152,97387;0.13345:0.7528
1167610153,01013;0.13715:0.7567
1167610153,04642;0.1413:0.75115
1167610153,08291;0.1399:0.74805
1167610153,12305;0.1851:0.72275
1167610153,16014;0.3538:0.6215
1167610153,2008;0.3549:0.6333
1167610153,2377;0.35655:0.62275
1167610153,28017;0.3568:0.61685
1167610153,31715;0.35845:0.63085
1167610153,35796;0.352:0.61545
1167610153,39456;
1167610153,43766;0.2272:0.61075
1167610153,47818;0.23355:0.59715
1167610153,52592;0.2371:0.5844
1167610153,56942;0.2282:0.5529
1167610153,62092;0.2412:0.51475
1167610153,66377;0.1131:0.4077
1167610153,71046;
1167610153,75287;
1167610153,7866;
1167610153,81696;
1167610153,86235;
1167610153,90667;
1167610153,95094;
1167610153,97737;
1167610154,00514;
1167610154,0338;
1167610154,06266;
1167610154,0916;
1167610154,12077;
1167610154,1502;
1167610154,18905;
1167610154,22796;
1167610154,26688;
1167610154,30607;
1167610154,34519;
1167610154,38432;
