Timestamp;GazePoint
636216489773,711;
1167610103,67658;
1167610103,69806;0.4943:0.59135
1167610103,77485;0.486:0.5252
1167610103,81495;0.49515:0.54105
1167610103,86695;0.4835:0.5442
1167610103,90809;
1167610103,95782;0.40795:0.46075
1167610103,99056;0.3988:0.4399
1167610104,03541;0.3959:0.434
1167610104,07608;0.39485:0.4572
1167610104,12258;0.38905:0.46095
1167610104,16334;0.3834:0.4606
1167610104,20915;0.3955:0.47685
1167610104,24917;0.73925:0.5544
1167610104,29419;0.7427:0.5553
1167610104,33833;0.7427:0.559
1167610104,38657;0.74175:0.5653
1167610104,43066;0.74205:0.56445
1167610104,47805;0.7532:0.54965
1167610104,52048;0.7423:0.53605
1167610104,55974;0.73965:0.554
1167610104,59948;0.7613:0.5379
1167610104,64648;0.75405:0.53875
1167610104,68595;0.7779:0.57305
1167610104,72617;0.86755:0.73445
1167610104,76617;0.871:0.73665
1167610104,81055;0.8689:0.74095
1167610104,85465;0.8797:0.7358
1167610104,89946;0.8966:0.7534
1167610104,93993;0.9037:0.75595
1167610104,98009;0.8989:0.72635
1167610105,02046;
1167610105,06721;0.8903:0.74455
1167610105,0964;0.89445:0.7164
1167610105,14021;0.84705:0.66855
1167610105,18476;0.74775:0.5223
1167610105,22946;0.76:0.52315
1167610105,27816;0.75435:0.5312
1167610105,32226;0.7539:0.54145
1167610105,36899;0.7621:0.5345
1167610105,41424;0.75485:0.6117
1167610105,45887;0.7531:0.5358
1167610105,50382;0.75075:0.5352
1167610105,55747;0.74855:0.52585
1167610105,602;0.74675:0.5325
1167610105,65111;0.7448:0.54335
1167610105,69497;0.7363:0.53515
1167610105,74381;0.75045:0.54885
1167610105,79509;0.73775:0.53595
1167610105,83954;0.7571:0.5185
1167610105,89196;0.74255:0.54775
1167610105,93691;0.7354:0.5352
1167610105,99321;0.748:0.53625
1167610106,04279;0.74795:0.53705
1167610106,09648;0.75035:0.5393
1167610106,14519;0.74385:0.53555
1167610106,19652;0.7848:0.5848
1167610106,24609;0.77055:0.57355
1167610106,29464;0.76025:0.58505
1167610106,34013;0.78635:0.59615
1167610106,39388;0.89265:0.71395
1167610106,43942;0.88525:0.73115
1167610106,49009;0.88655:0.73155
1167610106,53628;0.891:0.729
1167610106,5857;0.8902:0.7371
1167610106,62986;0.8993:0.7052
1167610106,67876;0.88655:0.72885
1167610106,72374;0.8944:0.73975
1167610106,76929;0.8734:0.6445
1167610106,81814;0.89175:0.73375
1167610106,86315;0.8868:0.73365
1167610106,91574;0.89715:0.70745
1167610106,96478;0.90085:0.74525
1167610107,00954;0.8845:0.7304
1167610107,05953;0.8933:0.72975
1167610107,10826;0.8829:0.67405
1167610107,15293;0.89515:0.74255
1167610107,19687;0.89025:0.7172
1167610107,24726;0.86595:0.7129
1167610107,29577;0.2857:0.63875
1167610107,34009;0.28685:0.645
1167610107,38706;0.2732:0.62265
1167610107,43215;0.28225:0.64515
1167610107,47723;
1167610107,52235;0.2811:0.6451
1167610107,55629;0.3211:0.7513
1167610107,60368;
1167610107,65249;
1167610107,68884;
1167610107,72173;0.3217:0.77685
1167610107,75608;0.33295:0.78145
1167610107,80351;0.33535:0.7713
1167610107,85171;0.32135:0.7656
1167610107,89957;0.2199:0.72925
1167610107,94412;
1167610107,999;0.0885:0.69015
1167610108,03252;0.10635:0.6736
1167610108,08216;0.0744:0.65725
1167610108,1336;0.0747:0.65445
1167610108,1843;
1167610108,22713;
1167610108,26121;
1167610108,29321;0.82505:0.49645
1167610108,33218;
1167610108,37447;
1167610108,41125;0.8653:0.5025
1167610108,44079;0.87355:0.49515
1167610108,49221;0.8695:0.5252
