Timestamp;GazePoint
636216488569,502;
1167609983,29091;0.68375:1.15115
1167609983,33305;0.6646:1.13805
1167609983,37499;0.6718:1.14255
1167609983,41397;0.668:1.1473
1167609983,45322;0.6648:1.1424
1167609983,49236;0.66545:1.1406
1167609983,53156;0.631:0.8498
1167609983,57098;0.584:0.4917
1167609983,61231;0.5805:0.49415
1167609983,65055;0.5959:0.4567
1167609983,69866;0.58775:0.4783
1167609983,73652;0.3612:0.4529
1167609983,77895;0.2968:0.46815
1167609983,82544;0.28935:0.48235
1167609983,86775;0.2995:0.46355
1167609983,91595;0.29015:0.468
1167609983,95717;0.2961:0.48435
1167609983,99814;0.2271:0.4499
1167609984,03569;0.24175:0.4515
1167609984,07699;0.2295:0.45875
1167609984,1144;0.22995:0.4545
1167609984,15612;0.35185:0.41975
1167609984,19516;0.3647:0.4205
1167609984,24325;0.357:0.4162
1167609984,28008;0.3666:0.4247
1167609984,32319;0.3629:0.43995
1167609984,36107;0.3559:0.41825
1167609984,404;0.36175:0.4084
1167609984,44658;0.3588:0.421
1167609984,49026;0.6026:0.43265
1167609984,53337;0.7426:0.43635
1167609984,57814;0.7457:0.43475
1167609984,62355;0.73975:0.4403
1167609984,67313;0.77085:0.422
1167609984,71913;0.77145:0.423
1167609984,76169;0.43145:0.69475
1167609984,79971;0.69915:0.2393
1167609984,84271;0.6563:0.19855
1167609984,88098;0.6546:0.1887
1167609984,91844;0.64775:0.19135
1167609984,95627;0.64145:0.2086
1167609985,00076;
1167609985,04512;0.4243:0.16235
1167609985,09028;0.41835:0.17285
1167609985,12836;0.4238:0.16415
1167609985,17364;0.41865:0.1682
1167609985,2181;0.3526:0.1925
1167609985,26214;0.34495:0.2149
1167609985,30091;0.34615:0.21695
1167609985,34742;0.3505:0.2207
1167609985,39309;0.3558:0.2057
1167609985,438;0.341:0.2276
1167609985,47548;0.17515:0.35745
1167609985,51313;0.18895:0.35125
1167609985,55558;0.18505:0.35065
1167609985,59453;0.1881:0.367
1167609985,63342;0.18135:0.36065
1167609985,6764;0.1836:0.35835
1167609985,71966;0.1144:0.401
1167609985,76224;0.13105:0.4011
1167609985,80115;0.1212:0.39435
1167609985,83916;0.1185:0.38905
1167609985,8773;0.1197:0.39825
1167609985,92674;0.11925:0.40265
1167609985,96415;0.32535:0.39705
1167609986,00192;0.3347:0.39365
1167609986,03937;0.33485:0.39175
1167609986,07675;0.32955:0.3975
1167609986,12425;0.3359:0.3946
1167609986,16876;0.33295:0.3998
1167609986,21035;0.33665:0.4071
1167609986,24826;0.4718:0.5453
1167609986,29256;0.68365:0.58425
1167609986,3375;0.6579:0.60625
1167609986,38014;0.6552:0.6071
1167609986,42249;0.6579:0.6033
1167609986,46978;0.6575:0.6025
1167609986,51128;0.6681:0.6029
1167609986,55731;0.5659:0.86205
1167609986,59446;0.56035:0.87355
1167609986,63965;0.56445:0.8773
1167609986,6796;0.56235:0.8803
1167609986,72463;0.5644:0.88
1167609986,76456;0.62275:0.91165
1167609986,80841;0.60575:0.9105
1167609986,84726;0.6067:0.90455
1167609986,88613;0.60705:0.90835
1167609986,92493;0.60715:0.91585
1167609986,96353;0.61005:0.9055
1167609987,00244;0.7774:0.895
1167609987,04141;0.78175:0.8717
1167609987,08014;0.7806:0.8869
1167609987,11909;0.78115:0.8915
1167609987,15575;0.77475:0.88985
1167609987,19211;0.83725:0.871
1167609987,23222;0.8314:0.87445
