Timestamp;GazePoint
824,49736;
1167609824,54109;
1167609824,5791;
1167609824,62287;
1167609824,66664;
1167609824,70586;0.1701:0.27605
1167609824,74516;
1167609824,80833;
1167609824,87907;
1167609824,91794;0.37055:0.78335
1167609825,00091;0.3572:0.6191
1167609825,0745;0.35855:0.59505
1167609825,13158;
1167609825,18637;0.3597:0.59475
1167609825,2458;0.3581:0.58005
1167609825,29156;0.3491:0.56225
1167609825,34983;0.3582:0.5766
1167609825,40314;0.38015:0.586
1167609825,46019;0.3781:0.5639
1167609825,51213;0.37005:0.5718
1167609825,56396;0.3696:0.59845
1167609825,61622;0.37355:0.58335
1167609825,66846;0.38415:0.5667
1167609825,72028;0.3794:0.5475
1167609825,77145;0.3665:0.60665
1167609825,82312;0.37045:0.57735
1167609825,87483;0.38805:0.5601
1167609825,9253;0.3648:0.5582
1167609825,97656;0.33075:0.61545
1167609826,03071;0.3389:0.6082
1167609826,06567;0.3422:0.59525
1167609826,1004;0.3436:0.60875
1167609826,13454;0.44925:0.44705
1167609826,1691;0.4706:0.39015
1167609826,2029;0.4741:0.4022
1167609826,23724;0.46735:0.3965
1167609826,27184;0.4718:0.3994
1167609826,30588;0.4677:0.40055
1167609826,34015;0.46585:0.394
1167609826,37441;0.46825:0.40545
1167609826,40908;0.46375:0.4003
1167609826,4432;0.4731:0.4081
1167609826,47782;0.4652:0.39605
1167609826,51241;0.4235:0.4048
1167609826,55076;0.17325:0.36435
1167609826,58477;0.17065:0.36735
1167609826,62547;0.1761:0.3625
1167609826,66033;0.17725:0.3721
1167609826,69611;0.1764:0.36965
1167609826,73555;0.1775:0.3666
1167609826,77147;0.1705:0.3684
1167609826,81055;0.17025:0.3617
1167609826,85251;0.1832:0.3769
1167609826,89934;0.1748:0.36305
1167609826,93521;0.17755:0.3718
1167609826,97467;0.17625:0.37325
1167609827,01622;0.18285:0.36085
1167609827,05713;0.17495:0.36685
1167609827,09324;0.17685:0.3758
1167609827,13344;0.1729:0.36365
1167609827,16918;0.18265:0.3676
1167609827,21494;0.1791:0.3658
1167609827,25112;0.1753:0.3646
1167609827,29712;0.1762:0.3607
1167609827,33314;0.1727:0.35485
1167609827,37288;0.19055:0.3581
1167609827,40821;0.171:0.35785
1167609827,44457;0.1691:0.3629
1167609827,48114;0.17445:0.3622
1167609827,52354;0.1735:0.3536
1167609827,55986;0.1767:0.376
1167609827,60258;0.1726:0.3603
1167609827,63917;0.1813:0.363
1167609827,67595;0.1755:0.3617
1167609827,71243;0.16375:0.3556
1167609827,75511;0.1744:0.35615
1167609827,79158;0.16895:0.3524
1167609827,82828;0.16955:0.3558
1167609827,87143;0.1881:0.3568
1167609827,91413;0.16615:0.34435
1167609827,95088;0.1742:0.3434
1167609827,99385;0.18695:0.35205
1167609828,03098;0.26785:0.3767
1167609828,07448;0.28465:0.3837
1167609828,11131;0.2761:0.3783
1167609828,14811;0.2773:0.38145
1167609828,18508;0.2801:0.3846
1167609828,22168;0.2778:0.3797
1167609828,25843;0.27885:0.38155
1167609828,29538;0.28065:0.3816
1167609828,33236;0.3305:0.3398
1167609828,36915;0.3426:0.30405
1167609828,40605;0.3485:0.30175
1167609828,44943;0.3516:0.3139
1167609828,4899;0.3464:0.30785
1167609828,52655;0.34195:0.3108
1167609828,56346;0.3428:0.3189
1167609828,60022;0.3441:0.3164
1167609828,637;0.3431:0.3176
1167609828,6767;0.3483:0.31675
1167609828,71411;0.3467:0.3172
1167609828,7549;0.3443:0.3266
1167609828,79221;0.3463:0.3216
1167609828,84138;0.36105:0.32655
1167609828,87832;0.4104:0.3408
1167609828,91984;0.41915:0.3478
1167609828,95671;0.41805:0.35335
1167609828,99844;0.41755:0.35565
1167609829,0354;0.417:0.35805
1167609829,07643;0.4158:0.3501
1167609829,11309;0.41985:0.3564
1167609829,15331;0.41415:0.3591
1167609829,19056;0.41915:0.36185
1167609829,23269;0.41145:0.3499
1167609829,27018;0.3776:0.4135
1167609829,31167;0.3211:0.5796
1167609829,34842;0.32565:0.56935
1167609829,38548;0.3249:0.5789
1167609829,42258;0.3146:0.579
1167609829,45971;0.32055:0.57325
1167609829,50312;0.31475:0.58295
1167609829,54015;0.3222:0.5586
1167609829,57712;0.3183:0.5658
1167609829,61426;0.31205:0.56275
1167609829,65118;0.31755:0.57435
1167609829,68817;0.32335:0.5697
1167609829,72514;0.30935:0.5785
1167609829,76199;0.3123:0.5739
1167609829,79987;0.3075:0.57735
1167609829,8367;0.31675:0.5829
1167609829,87344;0.32045:0.5836
1167609829,91014;0.3142:0.5924
1167609829,94781;0.3144:0.5939
1167609829,98533;0.3219:0.5855
1167609830,02286;0.3147:0.57905
1167609830,05959;0.3193:0.5849
1167609830,09614;0.3212:0.59645
1167609830,13254;0.3156:0.58535
1167609830,16924;0.3224:0.5909
1167609830,20563;0.3266:0.59625
1167609830,24198;0.3204:0.591
1167609830,27823;0.31735:0.58645
1167609830,31453;0.31995:0.5923
1167609830,35086;0.3261:0.58785
1167609830,38714;0.31855:0.5813
1167609830,42662;0.3239:0.59705
1167609830,46211;0.3204:0.58855
1167609830,49814;0.3167:0.5896
1167609830,53418;0.31385:0.58845
1167609830,57042;0.315:0.58825
1167609830,61023;0.3162:0.58965
1167609830,64759;0.32605:0.5797
1167609830,68818;0.3229:0.5868
1167609830,72488;0.43475:0.64245
1167609830,7668;0.50325:0.67375
1167609830,80386;0.50825:0.6775
1167609830,84526;0.4888:0.68315
1167609830,88222;0.49025:0.681
1167609830,93062;0.4983:0.67195
1167609830,97424;0.50315:0.68095
1167609831,0159;0.50145:0.6745
1167609831,05285;0.5045:0.67275
1167609831,09971;0.3548:0.6872
1167609831,13717;0.3519:0.6925
1167609831,17419;0.35195:0.6876
1167609831,21571;0.34865:0.68245
1167609831,25263;0.33745:0.6794
1167609831,29218;0.3449:0.67945
1167609831,32744;0.35195:0.68935
1167609831,36394;0.35115:0.6869
1167609831,40011;0.35025:0.68025
1167609831,4353;0.34675:0.6878
1167609831,47064;0.3412:0.68915
1167609831,50686;0.3449:0.68165
1167609831,54311;0.34085:0.6806
1167609831,57928;0.3467:0.68785
1167609831,61549;0.28555:0.63515
1167609831,65188;0.29455:0.6419
1167609831,68882;0.2864:0.6511
1167609831,72449;0.2895:0.64205
1167609831,76057;0.2864:0.6401
1167609831,79715;0.29575:0.6466
1167609831,83283;0.3038:0.64545
1167609831,87144;0.2961:0.649
1167609831,91011;0.29335:0.6506
1167609831,94885;0.30095:0.64145
1167609831,98752;0.29775:0.6485
1167609832,02614;0.32715:0.62055
1167609832,06482;0.3227:0.61195
1167609832,10343;0.32045:0.6099
1167609832,1423;0.32715:0.6147
1167609832,18424;0.32565:0.59855
1167609832,22318;0.3219:0.57985
1167609832,26634;0.32825:0.58965
1167609832,30985;0.314:0.5812
1167609832,35341;0.3235:0.4674
1167609832,40154;0.3329:0.3325
1167609832,44608;0.33695:0.32685
1167609832,49192;0.3315:0.33345
1167609832,5337;0.3352:0.34205
1167609832,57853;0.3312:0.333
1167609832,62436;0.3012:0.32935
1167609832,66823;0.15545:0.2508
1167609832,71249;0.1484:0.2364
1167609832,75537;0.15205:0.255
1167609832,80311;0.14775:0.26045
1167609832,84595;
1167609832,89318;
1167609832,92278;
1167609832,94919;
1167609832,97828;
1167609833,01155;
1167609833,04065;
1167609833,08892;0.12525:0.2452
1167609833,12745;
1167609833,17489;
1167609833,20742;0.33875:0.26465
1167609833,24274;0.3248:0.28365
1167609833,2794;0.3318:0.28995
1167609833,32146;0.30125:0.27725
1167609833,36515;0.3038:0.27835
1167609833,40936;
1167609833,45213;
1167609833,48224;
1167609833,51082;
1167609833,54658;0.22045:0.2904
1167609833,58186;0.2163:0.29015
1167609833,62856;0.215:0.3013
1167609833,67055;0.21465:0.2905
1167609833,71212;0.2181:0.2969
1167609833,75361;0.1762:0.28145
1167609833,79614;0.1777:0.2861
1167609833,83884;0.1762:0.2785
1167609833,88168;0.17335:0.28035
1167609833,92491;0.1677:0.2743
1167609833,96734;0.20645:0.27225
1167609834,01129;0.202:0.2782
1167609834,05325;0.20665:0.2758
1167609834,09507;0.209:0.27805
1167609834,13661;0.207:0.2728
1167609834,17807;0.20595:0.2696
1167609834,21673;0.20555:0.2821
1167609834,25866;0.23335:0.27175
1167609834,29776;0.24005:0.2652
1167609834,34395;0.23365:0.2679
1167609834,38644;0.23505:0.25665
1167609834,42544;0.24145:0.2664
1167609834,4682;0.2576:0.62075
1167609834,51066;0.2558:0.6253
1167609834,55263;0.2514:0.62955
1167609834,59393;0.2532:0.6432
1167609834,64033;0.25335:0.65975
1167609834,68175;0.2487:0.64755
1167609834,72981;0.25105:0.6582
1167609834,77216;0.25425:0.65325
1167609834,81878;0.2484:0.66725
1167609834,86049;0.25435:0.67325
1167609834,90825;0.2534:0.66465
1167609834,95008;0.256:0.66235
1167609834,99637;0.25915:0.6432
1167609835,03709;0.22235:0.8823
1167609835,08547;0.22505:0.8551
1167609835,12572;0.22075:0.85995
1167609835,17025;0.2187:0.87615
1167609835,20972;0.20695:0.8876
1167609835,25446;0.2131:0.86405
1167609835,2932;0.2169:0.8838
1167609835,32997;0.21675:0.86045
1167609835,36609;0.20235:0.91305
1167609835,40409;0.21265:0.81515
1167609835,43712;0.20845:0.84965
1167609835,47512;0.2052:0.81635
1167609835,51074;0.29695:0.52155
1167609835,54913;0.3007:0.53055
1167609835,58573;0.28875:0.5302
1167609835,62549;0.29845:0.55045
1167609835,66449;0.28805:0.55575
1167609835,70388;0.3008:0.54
1167609835,74056;0.293:0.5543
1167609835,78062;0.2878:0.5635
1167609835,82098;0.3018:0.58305
1167609835,86186;0.28955:0.57955
