Timestamp;GazePoint
636217373099,051;
1167610207,74848;0.4649:0.5332
1167610207,79518;
1167610207,84154;
1167610207,88833;
1167610207,92998;
1167610207,97184;
1167610208,0156;0.4178:0.38635
1167610208,05918;0.4359:0.44105
1167610208,11614;0.43775:0.41115
1167610208,16184;0.4337:0.42845
1167610208,20235;0.43325:0.43305
1167610208,25494;0.39255:0.44655
1167610208,30472;0.3943:0.4344
1167610208,35584;0.38905:0.45595
1167610208,39682;0.5237:0.42415
1167610208,44631;0.734:0.50345
1167610208,48715;0.72035:0.5217
1167610208,53481;0.7261:0.4856
1167610208,58934;0.72835:0.4893
1167610208,63767;0.73075:0.48465
1167610208,6831;0.59025:0.3773
1167610208,7275;0.598:0.38845
1167610208,77586;0.5951:0.3701
1167610208,82839;0.59245:0.3996
1167610208,8731;0.6038:0.3801
1167610208,92727;0.5598:0.3537
1167610208,97646;0.56595:0.3603
1167610209,02722;0.56465:0.35845
1167610209,07244;0.42755:0.27675
1167610209,11848;0.23215:0.22925
1167610209,15869;0.22575:0.2267
1167610209,21106;0.23775:0.22035
1167610209,25584;0.2293:0.2336
1167610209,29985;0.2252:0.23595
1167610209,34075;0.22805:0.24025
1167610209,38182;0.1832:0.23995
1167610209,42354;0.06245:0.24405
1167610209,4652;0.05015:0.228
1167610209,50692;0.0447:0.22255
1167610209,54728;0.04995:0.25025
1167610209,5879;0.0544:0.23825
1167610209,62821;0.0517:0.2357
1167610209,66793;0.0707:0.21935
1167610209,70852;0.53575:0.4725
1167610209,75006;0.75225:0.57855
1167610209,78789;0.7523:0.57775
1167610209,82742;0.751:0.5611
1167610209,87185;0.7544:0.5593
1167610209,91219;0.75555:0.5811
1167610209,95295;0.7531:0.58485
1167610209,99739;0.7544:0.57845
1167610210,04283;0.7144:0.8115
1167610210,09011;0.7004:0.81565
1167610210,13181;0.7061:0.815
1167610210,16958;0.6967:0.8106
1167610210,20825;0.70065:0.80625
1167610210,24681;0.7051:0.80975
1167610210,28514;0.7145:0.82265
1167610210,32565;0.70115:0.80935
1167610210,36667;0.6972:0.7996
1167610210,40985;0.69525:0.80995
1167610210,44952;0.71535:0.8321
1167610210,4945;0.7199:0.8186
1167610210,53474;0.718:0.8187
1167610210,57835;0.7154:0.82155
1167610210,61748;0.7223:0.84835
1167610210,66244;0.7255:0.8354
1167610210,70374;0.7085:0.831
1167610210,74867;0.7225:0.83215
1167610210,78975;0.7228:0.84075
1167610210,83569;0.72375:0.50415
1167610210,87758;0.72045:0.4863
1167610210,93128;0.7263:0.5041
1167610210,97363;0.7234:0.50815
1167610211,01838;0.71905:0.5054
1167610211,0637;0.7788:0.36
1167610211,10633;0.7695:0.36915
1167610211,1481;0.7768:0.35295
1167610211,18886;0.77095:0.36295
1167610211,22924;0.77355:0.35645
1167610211,27027;0.79975:0.32915
1167610211,31129;0.78335:0.347
1167610211,35032;0.7887:0.3447
1167610211,39131;0.7846:0.33805
1167610211,4315;0.78975:0.33525
1167610211,47132;0.7849:0.33635
1167610211,51415;0.7922:0.33035
1167610211,55899;0.7767:0.32775
1167610211,5976;0.3872:0.2127
1167610211,63614;0.21425:0.167
1167610211,68563;0.2101:0.15875
1167610211,72527;0.2264:0.179
1167610211,76451;0.2219:0.18355
1167610211,80782;0.2724:0.19865
1167610211,84997;0.26335:0.1911
1167610211,89079;0.2583:0.19115
1167610211,93359;0.2614:0.20045
1167610211,97575;0.2589:0.19035
1167610212,02128;0.2634:0.1897
1167610212,06512;0.2577:0.19335
1167610212,11359;0.26025:0.1977
1167610212,15659;0.2622:0.1879
1167610212,20013;0.259:0.19155
1167610212,24219;0.25745:0.1956
1167610212,28667;0.17215:0.36
1167610212,33475;0.13275:0.66715
1167610212,37867;0.13665:0.6893
1167610212,42483;0.1372:0.67915
1167610212,46675;0.1901:0.52055
1167610212,51457;0.19895:0.5198
1167610212,55676;0.199:0.5219
1167610212,60892;0.197:0.5241
1167610212,65025;0.20105:0.52665
1167610212,69893;0.17345:0.4236
1167610212,74053;0.18055:0.4275
1167610212,78715;0.17695:0.42865
1167610212,83009;0.175:0.43035
1167610212,87825;0.1763:0.4498
1167610212,92648;0.17565:0.4114
1167610212,97118;0.17735:0.41155
1167610213,01911;0.1804:0.4123
1167610213,06657;0.1793:0.4075
1167610213,11058;0.18355:0.4011
1167610213,15826;0.25295:0.22475
1167610213,20361;0.26135:0.2064
1167610213,24585;0.26145:0.2122
1167610213,29562;0.2654:0.20315
1167610213,34218;0.25005:0.18445
1167610213,37978;0.25675:0.18095
1167610213,41742;0.2609:0.17635
1167610213,45596;0.25565:0.18325
1167610213,49999;0.2583:0.1655
1167610213,54396;0.2639:0.16545
1167610213,58356;0.25645:0.1903
1167610213,62236;0.26555:0.16825
1167610213,66209;0.2566:0.1852
1167610213,70082;0.26115:0.1725
1167610213,73981;0.26355:0.17935
1167610213,77944;0.2567:0.18635
1167610213,82437;0.13635:0.1891
1167610213,86946;0.11705:0.165
1167610213,91031;0.1191:0.18225
1167610213,94964;0.10635:0.2005
1167610213,99519;0.1125:0.19205
1167610214,03908;0.07695:0.20295
1167610214,08283;0.06445:0.2095
1167610214,12542;0.0658:0.23015
1167610214,16997;0.06615:0.2179
1167610214,21809;0.06685:0.2252
1167610214,26064;0.0492:0.19875
1167610214,30888;0.0421:0.23765
1167610214,35772;0.0459:0.22325
1167610214,39997;0.0405:0.21855
1167610214,44589;0.04115:0.22385
1167610214,49223;0.08265:0.19485
1167610214,5517;0.0804:0.20715
1167610214,59686;0.07685:0.2056
1167610214,64838;0.0872:0.19865
1167610214,6909;0.0889:0.19875
1167610214,7356;0.0836:0.21965
1167610214,77519;0.0922:0.19985
1167610214,82452;0.0901:0.2055
1167610214,86448;0.0862:0.2148
1167610214,91215;0.0852:0.2124
1167610214,95465;0.08705:0.2213
1167610215,00596;0.31655:0.51555
1167610215,04698;0.3125:0.52985
