Timestamp;GazePoint
636217372420,862;
1167610139,96922;0.48785:0.5579
1167610140,00567;0.4884:0.55785
1167610140,04293;0.4874:0.5406
1167610140,08027;0.48545:0.54695
1167610140,11749;0.4898:0.53315
1167610140,15971;0.488:0.52805
1167610140,19778;0.26545:0.5002
1167610140,23578;0.27205:0.5126
1167610140,27227;0.27885:0.50665
1167610140,30793;0.2711:0.50145
1167610140,34788;0.28005:0.51125
1167610140,38412;0.28015:0.5075
1167610140,42135;0.276:0.5072
1167610140,4581;0.27525:0.50775
1167610140,49456;0.2721:0.49885
1167610140,53157;0.2811:0.48425
1167610140,57111;0.28675:0.4859
1167610140,60816;0.27955:0.50715
1167610140,65064;0.28645:0.4885
1167610140,68834;0.2607:0.4702
1167610140,73276;0.26795:0.44645
1167610140,77057;0.2614:0.46355
1167610140,81332;0.2621:0.4615
1167610140,85045;0.2707:0.44415
1167610140,89365;0.2609:0.4578
1167610140,9314;0.26335:0.47015
1167610140,97373;0.26775:0.44355
1167610141,01124;0.48915:0.4214
1167610141,05338;0.71715:0.38835
1167610141,09535;0.7064:0.4171
1167610141,14635;0.7129:0.39615
1167610141,19705;0.7195:0.4046
1167610141,2426;0.7574:0.4461
1167610141,28641;0.76985:0.44165
1167610141,33054;0.768:0.4584
1167610141,36895;0.7691:0.43945
1167610141,40726;0.76645:0.46255
1167610141,44565;0.76635:0.44245
1167610141,48927;0.7521:0.43795
1167610141,52764;0.76105:0.451
1167610141,57264;0.7629:0.45005
1167610141,61678;0.75705:0.45295
1167610141,66124;0.74985:0.4607
1167610141,71199;0.7182:0.2312
1167610141,76368;0.7273:0.1996
1167610141,80716;0.71365:0.19525
1167610141,84512;0.71965:0.18675
1167610141,88312;0.70305:0.2009
1167610141,9215;0.6973:0.2167
1167610141,95915;0.7023:0.2019
1167610142,00222;0.70215:0.20415
1167610142,04019;0.6986:0.1959
1167610142,07839;0.3707:0.2955
1167610142,11595;0.24235:0.35045
1167610142,15622;0.23785:0.34655
1167610142,20047;0.2378:0.3615
1167610142,24465;0.23945:0.34225
1167610142,29213;0.24165:0.36105
1167610142,33415;
1167610142,37057;0.26445:0.442
1167610142,39812;0.25965:0.44755
1167610142,44155;0.25915:0.4603
1167610142,47989;0.2585:0.45125
1167610142,52679;0.2594:0.45665
1167610142,5656;0.25175:0.47455
1167610142,60874;0.1671:0.6593
1167610142,6479;0.15995:0.6678
1167610142,70197;0.15775:0.66
1167610142,74281;0.15255:0.6868
1167610142,78951;0.1579:0.6568
1167610142,84115;0.1628:0.66525
1167610142,88806;0.2707:0.4651
1167610142,92774;0.2734:0.4731
1167610142,97223;0.2676:0.48165
1167610143,01349;0.26165:0.48855
1167610143,05845;0.27015:0.463
1167610143,10564;0.2693:0.47445
1167610143,15031;0.2692:0.4699
1167610143,19199;0.16035:0.69045
1167610143,23679;0.16255:0.68635
1167610143,27867;0.16155:0.6897
1167610143,32561;0.1549:0.6737
1167610143,37342;0.1515:0.6899
1167610143,4208;0.14465:0.683
1167610143,46906;0.1567:0.681
1167610143,50826;0.15365:0.67735
1167610143,55521;0.1541:0.6761
1167610143,59412;0.1428:0.6894
1167610143,63882;0.14615:0.6632
1167610143,68478;0.157:0.66365
1167610143,7264;0.1606:0.6566
1167610143,76757;0.1578:0.68035
1167610143,80685;0.15585:0.6731
1167610143,84696;0.15425:0.6694
1167610143,89415;0.18035:0.51935
1167610143,93362;0.21805:0.48995
1167610143,97307;0.2142:0.5027
1167610144,02066;0.21275:0.4831
1167610144,06783;0.25255:0.4453
1167610144,11566;0.264:0.4403
1167610144,15607;0.26305:0.4435
1167610144,20274;0.2602:0.4342
1167610144,24344;0.26145:0.45195
1167610144,28482;0.27145:0.43365
1167610144,33611;0.2555:0.46655
1167610144,37566;0.25535:0.4498
1167610144,42915;0.2549:0.2347
1167610144,47652;
1167610144,52096;0.2524:0.22445
1167610144,57295;0.25165:0.20915
1167610144,6185;0.24855:0.23155
1167610144,66042;0.24445:0.2351
1167610144,70829;0.28445:0.24175
1167610144,7512;0.2829:0.23875
1167610144,7981;0.28665:0.24705
1167610144,83855;0.28275:0.2405
1167610144,88485;0.27805:0.24745
1167610144,92575;0.2636:0.23735
1167610144,97864;0.2223:0.11215
1167610145,02732;0.22175:0.12915
1167610145,07384;0.2225:0.10825
1167610145,11437;0.2201:0.1302
1167610145,1598;0.221:0.1327
1167610145,20185;0.12915:0.17185
1167610145,24664;0.2075:0.15115
1167610145,28718;0.226:0.14915
1167610145,34129;0.23385:0.1758
1167610145,38865;0.23435:0.17215
1167610145,43531;0.23245:0.16225
1167610145,4821;0.237:0.1755
1167610145,52316;0.2416:0.1663
1167610145,56342;0.23745:0.15125
1167610145,60248;0.22585:0.1912
1167610145,64321;0.44525:0.12975
1167610145,69043;0.77895:0.23735
1167610145,73438;0.77605:0.23535
1167610145,7885;0.77045:0.20545
1167610145,83384;0.7762:0.2325
1167610145,88467;0.7904:0.1416
1167610145,93085;0.78285:0.1574
1167610145,97798;0.79295:0.14435
1167610146,03478;0.7895:0.13845
1167610146,08285;0.8529:0.4421
1167610146,12971;0.8221:0.89485
1167610146,17169;0.82765:0.9154
1167610146,21732;0.82805:0.8944
1167610146,26329;0.81905:0.9043
1167610146,30269;0.82435:0.9106
1167610146,35155;0.8264:0.91205
1167610146,39692;0.82295:0.88525
1167610146,44277;0.82595:0.90575
1167610146,48254;0.82325:0.9087
1167610146,52613;0.8018:0.84495
1167610146,57828;0.80135:0.8431
1167610146,62761;0.8108:0.8497
1167610146,67317;0.8038:0.83545
1167610146,71915;0.80605:0.85555
1167610146,75877;0.81235:0.83805
1167610146,80773;0.8169:0.84795
1167610146,84735;0.80965:0.84615
1167610146,89769;0.8093:0.85435
1167610146,94256;0.77005:0.609
1167610146,99185;0.7534:0.3739
1167610147,0373;0.7475:0.3626
1167610147,08826;0.74515:0.3699
1167610147,13474;0.77475:0.1493
1167610147,18506;0.7864:0.1643
1167610147,23781;0.76705:0.18075
1167610147,28824;0.7864:0.18035
1167610147,33939;0.77895:0.18115
1167610147,38356;0.7836:0.1705
1167610147,43387;0.53965:0.21525
1167610147,47792;0.25065:0.44945
1167610147,5247;0.232:0.48725
1167610147,56618;0.231:0.494
1167610147,6127;0.243:0.45905
1167610147,66699;0.2393:0.49615
1167610147,71054;0.2407:0.4843
1167610147,75722;
1167610147,80388;0.2539:0.462
1167610147,83262;0.21965:0.6584
1167610147,8729;0.2121:0.99325
1167610147,92038;0.20495:1.01195
1167610147,96839;0.20425:1.0083
1167610148,00997;0.2339:0.98015
1167610148,05063;0.24145:0.96955
1167610148,09149;0.21915:0.96585
1167610148,13316;0.1956:1.01625
1167610148,17492;0.19835:0.99085
1167610148,22899;0.19675:1.0065
1167610148,27063;0.20615:1.0047
1167610148,32427;0.22195:0.9492
1167610148,37217;0.21725:0.944
1167610148,41873;0.19315:0.9241
1167610148,4651;0.15545:0.7632
1167610148,51106;0.1057:0.7759
1167610148,56158;
1167610148,61316;0.1081:0.77745
1167610148,66611;0.08895:0.77805
1167610148,72709;0.112:0.83
1167610148,78473;0.1521:0.8426
1167610148,8255;0.1348:0.7526
1167610148,8754;0.13465:0.7449
1167610148,91851;0.10125:0.7815
1167610148,97312;0.12635:0.7846
1167610149,02343;0.31385:0.55285
1167610149,08247;0.3216:0.5351
1167610149,12667;0.308:0.5655
1167610149,17307;0.3126:0.5566
1167610149,22912;0.32125:0.59695
1167610149,29124;0.33475:0.56555
1167610149,33318;0.31515:0.59885
1167610149,37976;0.31795:0.59315
1167610149,42751;0.2572:0.5238
1167610149,47495;0.26425:0.5242
1167610149,52956;0.26695:0.5224
1167610149,58377;0.2787:0.548
1167610149,62842;0.28355:0.5141
1167610149,67964;0.28855:0.4818
1167610149,72625;0.2774:0.50785
1167610149,7671;0.2806:0.5249
1167610149,81585;0.72945:0.27585
1167610149,86228;0.8284:0.3172
1167610149,90686;0.80255:0.3253
1167610149,95139;0.80265:0.2933
1167610150,01322;0.8788:0.26085
1167610150,06151;0.8723:0.27935
1167610150,10978;0.86045:0.3017
1167610150,15821;0.82965:0.3145
1167610150,21442;0.7541:0.47895
1167610150,26284;0.7503:0.4817
1167610150,31191;0.7543:0.4586
1167610150,3687;0.7531:0.41615
1167610150,40992;0.7397:0.4502
