Timestamp;GazePoint
636217374018,644;
1167610299,73471;0.48155:0.53745
1167610299,77031;0.49155:0.54555
1167610299,81178;0.492:0.5491
1167610299,84775;0.49225:0.548
1167610299,88776;0.4884:0.544
1167610299,92335;0.49565:0.55545
1167610299,96368;0.4962:0.52935
1167610300,00008;0.49445:0.53765
1167610300,04134;0.48775:0.56255
1167610300,07822;0.49115:0.54045
1167610300,12374;0.3747:0.44865
1167610300,15941;0.36065:0.42255
1167610300,19636;0.35045:0.4707
1167610300,23262;0.3544:0.45685
1167610300,27415;0.3575:0.4269
1167610300,31551;0.347:0.4492
1167610300,35172;0.355:0.45255
1167610300,38808;0.35665:0.44735
1167610300,42451;0.25455:0.47345
1167610300,4608;0.2613:0.4712
1167610300,49632;0.25585:0.48455
1167610300,53185;0.25355:0.48615
1167610300,5679;0.254:0.4876
1167610300,60417;0.2959:0.4648
1167610300,63998;0.2879:0.48405
1167610300,67619;0.29095:0.49445
1167610300,71246;0.28265:0.47775
1167610300,7541;0.29645:0.8103
1167610300,79034;0.2901:0.8228
1167610300,82651;0.2947:0.8265
1167610300,86286;0.297:0.817
1167610300,89932;0.27775:0.8355
1167610300,93558;0.27395:0.82585
1167610300,97248;0.2696:0.82375
1167610301,00932;0.2749:0.83455
1167610301,04621;0.27515:0.81735
1167610301,08327;0.27615:0.8243
1167610301,12029;0.27495:0.8191
1167610301,15728;0.26725:0.82255
1167610301,19414;0.27435:0.8569
1167610301,23411;0.2739:0.8617
1167610301,2704;0.2698:0.8517
1167610301,30717;0.2707:0.8511
1167610301,34411;0.2858:0.8574
1167610301,37965;0.282:0.8554
1167610301,41986;0.2834:0.8468
1167610301,45735;0.27935:0.77585
1167610301,49928;0.28005:0.7646
1167610301,53744;0.2813:0.77225
1167610301,58047;0.28525:0.7673
1167610301,61876;0.2873:0.7739
1167610301,66118;0.27695:0.7805
1167610301,69808;0.2785:0.7637
1167610301,74143;0.27545:0.77065
1167610301,78013;0.28935:0.76355
1167610301,82261;0.27795:0.7725
1167610301,86071;0.27915:0.77685
1167610301,90357;0.2795:0.7732
1167610301,94322;0.2705:0.76825
1167610301,98786;0.2797:0.7578
1167610302,02783;0.2771:0.7633
1167610302,0705;0.2731:0.7692
1167610302,1088;0.27365:0.76615
1167610302,14751;0.27375:0.76575
1167610302,18623;0.28105:0.7819
1167610302,2242;0.27875:0.76585
1167610302,26242;0.28455:0.75995
1167610302,30028;0.28245:0.78225
1167610302,33917;0.16445:0.74335
1167610302,37716;0.0529:0.64485
1167610302,42138;0.0323:0.6685
1167610302,46619;0.04355:0.64065
1167610302,51673;0.0336:0.67415
1167610302,56033;0.0447:0.6849
1167610302,60863;
1167610302,65313;0.04785:0.6635
1167610302,68583;0.0512:0.64425
1167610302,72869;0.04135:0.67695
1167610302,77279;0.04245:0.67265
1167610302,82313;0.05225:0.6584
1167610302,87338;0.0764:0.56075
1167610302,91718;
1167610302,9557;
1167610302,99023;0.06405:0.62685
1167610303,01897;0.29105:0.5121
1167610303,06947;0.4848:0.48245
1167610303,11509;0.48:0.52785
1167610303,15715;0.49005:0.5076
1167610303,20878;0.51345:0.47415
1167610303,25319;0.629:0.47185
1167610303,29758;0.63375:0.4798
