Timestamp;GazePoint
636217372757,441;
1167610173,68038;
1167610173,72532;
1167610173,7704;
1167610173,81537;
1167610173,85912;
1167610173,89713;
1167610173,94092;
1167610173,97505;
1167610174,01337;
1167610174,05873;0.24005:0.55625
1167610174,09728;
1167610174,1345;
1167610174,16173;
1167610174,19432;0.12185:0.5944
1167610174,22336;0.12735:0.5829
1167610174,26012;0.12515:0.58285
1167610174,29965;0.11805:0.5878
1167610174,33877;0.1152:0.5973
1167610174,37728;0.0646:0.6278
1167610174,42165;0.06415:0.62495
1167610174,46074;0.0698:0.6227
1167610174,49868;0.07545:0.6475
1167610174,53724;0.0767:0.62515
1167610174,58043;0.0724:0.6218
1167610174,61761;0.07315:0.6294
1167610174,65446;0.06885:0.6281
1167610174,6919;0.33875:0.84965
1167610174,7292;0.4406:0.87305
1167610174,76553;0.4437:0.8873
1167610174,80243;0.4306:0.8831
1167610174,83874;0.4192:0.90635
1167610174,8756;0.42265:0.90155
1167610174,91205;0.42165:0.89785
1167610174,94742;0.5646:0.71095
1167610174,98435;0.75015:0.5381
1167610175,0225;0.74215:0.5422
1167610175,06064;0.743:0.5344
1167610175,10063;0.73985:0.53535
1167610175,13927;0.73845:0.5333
1167610175,17629;0.743:0.53185
1167610175,21365;0.74375:0.53695
1167610175,25031;0.74895:0.5215
1167610175,2916;0.71265:0.5839
1167610175,32875;0.70875:0.58565
1167610175,36438;0.7034:0.5925
1167610175,40073;0.7029:0.5796
1167610175,43767;0.6396:0.5483
1167610175,4783;0.63205:0.537
1167610175,51722;0.6402:0.54135
1167610175,56071;0.63725:0.5443
1167610175,59898;0.64345:0.5454
1167610175,64469;0.63985:0.52685
1167610175,68471;0.63905:0.54325
1167610175,72868;0.6378:0.53
1167610175,76825;0.6349:0.5417
1167610175,813;0.63695:0.5195
1167610175,85297;0.6934:0.55155
1167610175,89767;0.6871:0.54725
1167610175,9425;0.6866:0.54315
1167610175,99208;0.68845:0.5384
1167610176,03749;0.76625:0.5357
1167610176,08763;0.76:0.5383
1167610176,12763;0.76615:0.52705
1167610176,16976;0.7592:0.5289
1167610176,20837;0.7354:0.55895
1167610176,24728;0.7423:0.5657
1167610176,28593;0.7395:0.5546
1167610176,32407;0.7372:0.563
1167610176,36097;0.72915:0.566
1167610176,39857;0.79285:0.5479
1167610176,43645;0.79635:0.5489
1167610176,47463;0.7952:0.54995
1167610176,51329;0.7924:0.54505
1167610176,55098;0.7918:0.5488
1167610176,5898;0.79455:0.5406
1167610176,62968;0.79645:0.5513
1167610176,66773;0.7949:0.5444
1167610176,70637;0.7892:0.5559
1167610176,74583;0.46265:0.51995
