Timestamp;GazePoint
9956,80462;
1167609956,84713;
1167609956,89135;
1167609956,92977;
1167609956,97397;
1167609957,01819;
1167609957,05778;0.0564:0.3951
1167609957,09651;0.03465:0.40705
1167609957,21036;0.06015:0.3837
1167609957,2862;0.05435:0.37885
1167609957,35188;0.0451:0.39855
1167609957,41185;0.0549:0.4029
1167609957,48861;0.06035:0.3938
1167609957,55132;0.0643:0.38265
1167609957,62006;0.0622:0.4249
1167609957,70483;0.25535:0.3685
1167609957,772;0.33225:0.4166
1167609957,83233;0.34155:0.41345
1167609957,90826;0.3352:0.42215
1167609957,96944;0.32535:0.39625
1167609958,03079;0.2657:0.42405
1167609958,10597;0.2381:0.3825
1167609958,17187;0.2455:0.39465
1167609958,2358;0.2678:0.39635
1167609958,29972;0.2442:0.39055
1167609958,36342;0.0568:0.42105
1167609958,42621;0.0213:0.43405
1167609958,49248;0.02645:0.4222
1167609958,54369;0.02195:0.4226
1167609958,58325;0.02365:0.42355
1167609958,62472;0.02765:0.42585
1167609958,66498;
1167609958,70575;
1167609958,75352;
1167609958,79458;0.01845:0.4325
1167609958,83853;
1167609958,8798;
1167609958,92105;
1167609958,95675;
1167609958,99363;
1167609959,02617;
1167609959,06012;
1167609959,09324;
1167609959,13106;
1167609959,17308;0.2732:0.3901
1167609959,22038;0.2728:0.39085
1167609959,25983;0.2745:0.4017
1167609959,30693;0.2673:0.4007
1167609959,34958;0.2743:0.38295
1167609959,39915;0.27005:0.38745
1167609959,44214;0.2725:0.39275
1167609959,49065;0.21825:0.3901
1167609959,53316;0.211:0.4084
1167609959,58187;0.20775:0.39545
1167609959,62577;0.19835:0.4118
1167609959,67536;0.20735:0.40665
1167609959,72687;0.2061:0.3984
1167609959,77426;0.21185:0.3897
1167609959,81655;0.1424:0.42585
1167609959,85859;0.02725:0.46335
1167609959,9019;0.03025:0.47345
1167609959,9519;0.02795:0.47975
1167609959,99333;0.02495:0.46155
1167609960,03508;0.0258:0.47515
1167609960,07771;0.0276:0.4725
1167609960,12161;0.0325:0.46805
1167609960,16292;0.02775:0.48005
1167609960,20442;0.02755:0.50065
1167609960,24981;0.02615:0.4839
1167609960,29986;0.02135:0.4589
1167609960,34928;
1167609960,39116;
1167609960,43415;
1167609960,47897;0.01645:0.4858
1167609960,52182;0.0214:0.45915
1167609960,57224;0.01725:0.45585
1167609960,61585;
1167609960,66048;0.02695:0.47675
1167609960,70867;
1167609960,76157;0.06215:0.4646
1167609960,81311;0.0603:0.46395
1167609960,86244;0.0471:0.4707
1167609960,90522;0.0513:0.463
1167609960,95235;0.0595:0.46635
1167609960,99857;0.04615:0.453
1167609961,04921;0.0719:0.47465
1167609961,09585;0.0941:0.46675
1167609961,14686;0.0893:0.46285
1167609961,19371;0.08855:0.47225
1167609961,24515;0.0955:0.464
1167609961,2901;0.15905:0.42725
1167609961,34066;0.1722:0.4355
1167609961,3871;0.1728:0.4245
1167609961,43981;0.17425:0.4373
1167609961,48533;0.17055:0.42385
1167609961,53685;0.1835:0.4147
1167609961,58927;0.18145:0.4144
1167609961,63959;0.14465:0.4308
1167609961,68424;0.14905:0.4319
1167609961,73565;0.14555:0.4324
1167609961,7802;0.14835:0.4347
1167609961,83021;0.13975:0.44395
1167609961,87261;0.15675:0.43255
1167609961,92454;0.1366:0.4459
1167609961,96936;0.1502:0.43935
1167609962,02018;0.1508:0.43455
1167609962,06312;0.1477:0.4386
1167609962,10794;0.1438:0.4501
1167609962,15219;0.1327:0.4489
1167609962,20334;0.12425:0.44715
1167609962,24718;0.12815:0.44665
1167609962,29185;0.1237:0.4508
1167609962,33672;0.11805:0.45185
1167609962,37919;0.1259:0.44545
1167609962,43143;0.1205:0.4593
1167609962,47683;0.1309:0.44655
1167609962,52933;0.1233:0.4489
1167609962,5746;0.1166:0.46195
1167609962,62624;0.1252:0.4573
1167609962,67809;0.1118:0.5805
1167609962,72012;0.15255:0.4257
1167609962,76193;0.1514:0.41445
1167609962,80474;0.14225:0.4319
1167609962,8475;0.1493:0.4296
1167609962,89229;0.14565:0.43535
1167609962,93809;0.1535:0.43075
1167609962,9893;0.1574:0.4309
1167609963,03357;0.148:0.42595
1167609963,07732;0.14655:0.439
1167609963,13435;0.14225:0.4442
1167609963,18666;0.1526:0.42805
1167609963,24358;0.1531:0.44125
1167609963,28868;0.15385:0.43275
1167609963,33967;0.1584:0.4292
1167609963,38353;0.155:0.4323
1167609963,43256;0.1504:0.43655
1167609963,47542;0.14885:0.4465
1167609963,52548;0.1585:0.43075
1167609963,57657;0.15445:0.43785
1167609963,625;0.15005:0.4453
1167609963,66716;0.15135:0.4455
1167609963,71499;0.15395:0.4373
1167609963,765;0.15975:0.43665
1167609963,81358;0.1568:0.4355
1167609963,85627;0.15735:0.4295
1167609963,89918;0.15275:0.4394
1167609963,94614;0.15185:0.43935
1167609963,98844;0.26695:0.44365
1167609964,03147;0.2574:0.4506
1167609964,07459;0.2503:0.45275
1167609964,1252;0.2558:0.443
1167609964,17567;0.25:0.44315
1167609964,21939;0.25415:0.45375
1167609964,27121;0.2629:0.43765
1167609964,32415;0.26045:0.43625
1167609964,36763;0.26055:0.43865
1167609964,41172;0.23745:0.4508
1167609964,45628;0.2245:0.46055
1167609964,50036;0.2227:0.461
1167609964,55207;0.2266:0.4483
1167609964,59471;0.2305:0.46105
1167609964,63822;0.22895:0.45605
1167609964,68235;0.2396:0.45965
1167609964,72657;0.24205:0.4567
1167609964,77722;0.2453:0.4488
1167609964,82111;0.23515:0.45605
1167609964,86468;0.2405:0.44675
1167609964,91506;0.2432:0.45465
1167609964,95849;0.2377:0.45875
1167609965,00437;0.24095:0.45585
1167609965,05278;0.24525:0.4588
1167609965,0959;0.24575:0.44785
1167609965,13823;0.247:0.4541
1167609965,1844;0.23765:0.4611
1167609965,22752;0.2357:0.46445
1167609965,28115;0.2443:0.4572
1167609965,3312;0.2441:0.45715
1167609965,38141;0.23845:0.4655
1167609965,42368;0.24415:0.45155
1167609965,47798;0.2392:0.45855
1167609965,5206;0.24025:0.44405
1167609965,56942;0.23455:0.4644
1167609965,61271;0.2437:0.4386
1167609965,66763;0.2443:0.44885
1167609965,71065;0.2428:0.43635
1167609965,75961;0.24:0.45735
1167609965,80323;0.24375:0.4529
1167609965,86135;0.2498:0.44475
1167609965,90741;0.24135:0.4553
1167609965,95666;0.24735:0.43745
1167609966,00851;0.2523:0.438
1167609966,05381;0.254:0.42825
1167609966,099;0.2551:0.4257
1167609966,14294;0.2496:0.4338
1167609966,18809;0.24325:0.44755
1167609966,23475;0.24955:0.437
1167609966,28614;0.2458:0.4247
1167609966,33177;0.24495:0.42
1167609966,37637;0.25:0.435
1167609966,41928;0.2481:0.4301
1167609966,46338;0.2462:0.4449
1167609966,51009;0.24125:0.457
1167609966,55411;0.2499:0.44805
1167609966,6061;0.23065:0.4395
1167609966,65187;0.23295:0.4488
1167609966,69643;0.23065:0.44415
1167609966,74096;0.23185:0.44595
1167609966,78536;0.226:0.45265
1167609966,8294;0.2285:0.45045
1167609966,87187;0.2424:0.43735
1167609966,91538;0.235:0.44925
1167609966,95957;0.23845:0.4521
1167609967,01115;0.23965:0.447
1167609967,06644;0.2423:0.43765
1167609967,118;0.2424:0.45545
1167609967,1613;0.2449:0.45885
1167609967,20561;0.2374:0.4579
1167609967,26085;0.24805:0.4442
1167609967,31318;0.2449:0.4475
1167609967,36131;0.2511:0.4406
1167609967,40566;0.248:0.44965
1167609967,45612;0.2441:0.458
1167609967,49965;0.2492:0.44675
1167609967,54863;0.24635:0.451
1167609967,591;0.23895:0.4554
1167609967,63999;0.2411:0.4495
1167609967,68417;0.23885:0.44075
1167609967,73337;0.23895:0.44315
1167609967,77642;0.24025:0.44675
1167609967,82544;0.23545:0.4469
1167609967,86932;0.2412:0.45775
1167609967,92607;0.23935:0.4498
1167609967,97783;0.2421:0.4606
1167609968,03518;0.24125:0.4576
1167609968,08612;0.2423:0.45445
1167609968,13613;0.25025:0.4449
1167609968,18761;0.25205:0.4466
1167609968,23176;0.2403:0.4538
1167609968,27719;0.25485:0.4394
1167609968,32911;0.2517:0.45415
1167609968,37378;0.2258:0.4719
1167609968,41882;0.22815:0.46255
1167609968,46874;0.23095:0.4698
1167609968,51151;0.2323:0.46145
1167609968,55523;0.22255:0.4733
1167609968,59868;0.22605:0.46715
1167609968,6495;0.2401:0.4623
1167609968,70049;0.2389:0.4586
1167609968,75083;0.23945:0.45315
1167609968,79445;0.2417:0.44205
1167609968,83948;0.23765:0.4518
1167609968,8829;0.2356:0.45055
1167609968,92722;0.237:0.45045
1167609968,97845;0.2416:0.4536
1167609969,02089;0.24165:0.44825
1167609969,06441;0.23615:0.46405
1167609969,1122;0.24115:0.46155
1167609969,16189;0.24505:0.451
1167609969,21157;0.25405:0.4403
1167609969,25414;0.2497:0.44525
1167609969,30065;0.24585:0.4494
1167609969,34454;0.24535:0.44745
1167609969,39276;0.1981:0.4675
1167609969,43671;0.2005:0.4598
1167609969,49422;0.1957:0.47355
1167609969,53895;0.20825:0.45345
1167609969,59649;0.2004:0.4675
1167609969,64076;0.20515:0.4661
1167609969,68989;0.20225:0.45515
1167609969,73446;0.2005:0.4707
1167609969,78436;0.2326:0.4287
1167609969,82886;0.2381:0.4437
1167609969,8793;0.2399:0.4611
1167609969,9314;0.23995:0.45265
1167609969,99109;0.23405:0.454
1167609970,03606;0.24065:0.4477
1167609970,09447;0.2445:0.4342
1167609970,13922;0.2403:0.44725
1167609970,18588;0.2458:0.4443
1167609970,23053;0.2383:0.4551
1167609970,27711;0.2395:0.4355
1167609970,32925;0.23235:0.4519
1167609970,37511;0.2412:0.4323
1167609970,42998;0.24155:0.4337
1167609970,47609;0.2392:0.43205
1167609970,52186;0.23625:0.4596
1167609970,56881;0.23925:0.4469
1167609970,6218;0.2452:0.444
1167609970,66839;0.2406:0.44865
1167609970,71621;0.24055:0.44
1167609970,7625;0.23565:0.4559
1167609970,8095;0.23795:0.45055
1167609970,863;0.24405:0.42635
1167609970,91706;0.24005:0.4292
1167609970,96446;0.2377:0.44495
1167609971,01141;0.23655:0.4502
1167609971,05951;0.24325:0.4439
1167609971,11483;0.2464:0.42485
1167609971,16591;0.24135:0.4386
