Timestamp;GazePoint
636214853517,745;
1167610626,09588;0.5359:0.49405
1167610626,13058;0.51655:0.52875
1167610626,16475;0.549:0.49785
1167610626,1987;0.5374:0.50415
1167610626,23352;0.5431:0.49835
1167610626,26829;0.53255:0.51315
1167610626,3033;0.52975:0.5006
1167610626,33832;0.5414:0.48985
1167610626,37311;0.5461:0.49575
1167610626,40793;0.53705:0.4884
1167610626,44234;0.53535:0.49315
1167610626,47712;0.53695:0.48875
1167610626,51157;0.53485:0.50775
1167610626,54596;0.54455:0.4992
1167610626,57998;0.531:0.50985
1167610626,61414;0.53955:0.50785
1167610626,64836;0.54085:0.4977
1167610626,68351;0.5388:0.49625
1167610626,71782;0.53665:0.50415
1167610626,75574;0.5491:0.51865
1167610626,78875;0.75565:0.3634
1167610626,82225;0.7838:0.32945
1167610626,85568;0.7786:0.33665
1167610626,88984;0.76495:0.34215
1167610626,92334;0.77455:0.34305
1167610626,96474;0.79695:0.2894
1167610626,99888;0.7982:0.27565
1167610627,03725;0.7882:0.28965
1167610627,07609;0.80635:0.29195
1167610627,11983;0.8035:0.28065
1167610627,15409;0.81215:0.27645
1167610627,1967;0.797:0.29235
1167610627,23252;0.64265:0.5461
1167610627,27678;0.65855:0.58025
1167610627,31314;0.6654:0.58205
1167610627,35213;0.6517:0.5897
1167610627,38724;0.65015:0.5991
1167610627,42666;0.6533:0.6009
1167610627,46246;0.64:0.5397
1167610627,50279;0.63905:0.5602
1167610627,53969;0.6372:0.5507
1167610627,57631;0.637:0.56175
1167610627,61598;0.63355:0.5667
1167610627,65684;0.6382:0.5529
1167610627,69678;0.6247:0.4803
1167610627,7328;0.73035:0.39425
1167610627,76948;0.74245:0.394
1167610627,80579;0.72835:0.40055
1167610627,84178;0.7239:0.3866
1167610627,88124;0.76955:0.2882
1167610627,92076;0.7778:0.2813
1167610627,96522;
1167610628,00514;0.761:0.32225
1167610628,04086;0.7762:0.2979
1167610628,08185;0.7788:0.30555
1167610628,12628;0.80195:0.29205
1167610628,17128;0.77285:0.30875
1167610628,21145;0.80555:0.2833
1167610628,25752;0.81:0.28595
1167610628,29854;0.77475:0.3088
1167610628,34114;0.76495:0.31325
1167610628,38796;0.77525:0.3122
1167610628,43445;0.77865:0.29405
1167610628,48085;0.81015:0.30845
1167610628,52719;0.87745:0.69935
1167610628,56453;0.8633:0.7145
1167610628,60525;0.87885:0.7113
1167610628,64195;0.882:0.7149
1167610628,67811;0.8722:0.70385
1167610628,71665;0.8708:0.70795
1167610628,7517;0.882:0.7141
1167610628,78727;0.8906:0.7786
1167610628,82278;0.90795:0.78625
1167610628,8615;0.9292:0.76325
1167610628,89728;0.911:0.7845
1167610628,93988;0.92245:0.77295
1167610628,97457;0.96715:0.79515
1167610629,016;0.9173:0.774
1167610629,05207;0.9312:0.7618
1167610629,09551;0.92715:0.7688
1167610629,13033;0.9389:0.75085
1167610629,17074;0.9309:0.7679
1167610629,20699;0.8462:0.5358
1167610629,25036;0.80965:0.34905
1167610629,28559;0.8033:0.3536
1167610629,32616;0.79785:0.3524
1167610629,36191;0.81575:0.3601
1167610629,40039;0.81255:0.3449
1167610629,43596;0.8035:0.38045
1167610629,47959;0.92085:0.5247
1167610629,51893;0.91695:0.7171
1167610629,55956;0.87295:0.7484
1167610629,59522;0.8893:0.73355
1167610629,63125;0.86775:0.73435
1167610629,67077;0.66615:0.38605
1167610629,70633;0.43165:0.23645
1167610629,74258;0.42355:0.2121
1167610629,78263;0.42645:0.2124
1167610629,81963;0.4146:0.21655
1167610629,85545;0.4148:0.2196
1167610629,89142;0.4257:0.23095
1167610629,93134;0.41075:0.21715
1167610629,96706;0.4197:0.23845
1167610630,00274;0.42035:0.22135
1167610630,0439;0.51775:0.1547
1167610630,07979;0.5468:0.1516
1167610630,11687;0.56175:0.15105
1167610630,15269;0.55705:0.1734
1167610630,19251;0.55565:0.1507
1167610630,22822;0.56735:0.17705
1167610630,26454;0.56025:0.17275
1167610630,30506;0.55965:0.15125
1167610630,34518;0.38365:0.23295
1167610630,38105;0.27345:0.2804
1167610630,4174;0.2757:0.28135
1167610630,45447;0.2915:0.3053
1167610630,49113;0.28285:0.3016
1167610630,52742;0.2681:0.28035
1167610630,56796;0.2881:0.279
1167610630,60387;0.28115:0.3111
1167610630,64579;0.2718:0.3101
1167610630,68206;0.393:0.36385
1167610630,71857;0.4097:0.3943
1167610630,7591;0.4095:0.42805
1167610630,80066;0.4166:0.4255
1167610630,84111;0.4202:0.4482
1167610630,88283;0.401:0.4027
1167610630,9342;0.29835:0.26975
1167610630,971;0.13345:0.24175
1167610631,01232;0.12285:0.2572
1167610631,04999;0.12745:0.2671
1167610631,0915;0.1405:0.2655
1167610631,12842;0.121:0.256
1167610631,17539;0.12195:0.26615
1167610631,21192;0.11115:0.282
1167610631,25745;
1167610631,29888;0.09865:0.27605
1167610631,34044;0.22725:0.4542
1167610631,37838;0.2356:0.4634
1167610631,41822;0.2289:0.47675
1167610631,45948;0.2014:0.47515
1167610631,496;0.227:0.477
1167610631,53759;0.27005:0.5073
1167610631,57872;0.3072:0.70515
1167610631,62005;0.31885:0.7076
1167610631,6567;0.31855:0.70055
1167610631,69354;0.30845:0.70895
1167610631,73119;0.33425:0.70565
1167610631,7683;0.37815:0.6632
1167610631,81014;0.40585:0.63915
1167610631,84786;0.39055:0.6523
1167610631,88964;0.39585:0.6468
1167610631,92652;0.3954:0.65945
1167610631,96297;0.4016:0.66785
1167610631,99962;0.4018:0.656
1167610632,04451;0.40705:0.66425
1167610632,08095;0.40625:0.63555
1167610632,12213;0.40595:0.6411
1167610632,15827;0.4066:0.62515
1167610632,19857;0.397:0.62335
1167610632,23508;0.4085:0.6386
1167610632,27138;0.4011:0.63625
1167610632,31198;0.29615:0.5171
1167610632,34822;0.1696:0.2932
1167610632,38972;
1167610632,42977;
1167610632,46554;
1167610632,50944;
1167610632,55492;0.07215:0.25955
1167610632,58158;0.0782:0.2298
1167610632,62958;
1167610632,66644;
1167610632,70693;
1167610632,73955;
1167610632,78161;0.10455:0.74715
1167610632,84069;0.0997:0.7602
1167610632,95454;0.08825:0.7754
1167610633,07836;0.06045:0.78455
1167610633,17882;0.07175:0.7673
1167610633,22968;0.05825:0.7448
1167610633,27577;0.0769:0.80105
1167610633,31768;0.05745:0.77035
1167610633,35456;0.0738:0.7845
1167610633,39611;0.0661:0.76715
1167610633,43278;0.04685:0.7258
1167610633,4732;0.0815:0.78555
1167610633,5112;0.0756:0.78985
1167610633,55329;
1167610633,59571;
1167610633,6321;
1167610633,6595;
1167610633,68878;
1167610633,71885;
1167610633,74786;
1167610633,77678;
1167610633,80614;
1167610633,83524;
1167610633,8646;0.0709:0.80595
1167610633,90162;
1167610633,93811;
1167610633,96907;
1167610633,99541;
1167610634,02293;
1167610634,04913;
1167610634,08136;0.2319:0.851
1167610634,10659;0.20845:0.7906
1167610634,14309;0.21725:1.02655
1167610634,17951;
1167610634,21444;
1167610634,24045;
1167610634,26694;
1167610634,29428;
1167610634,32242;
1167610634,35097;0.75805:1.53275
1167610634,37988;
1167610634,43767;
1167610634,47866;0.5138:1.08245
1167610634,5049;0.52685:1.1079
1167610634,54363;0.51965:1.11575
1167610634,58078;0.514:1.0934
1167610634,61955;0.5139:1.09725
1167610634,65898;0.5309:1.08565
1167610634,69611;0.5139:1.09725
1167610634,73718;0.5139:1.0917
1167610634,77398;0.52795:1.08305
1167610634,81308;0.5131:1.1048
1167610634,85052;0.5209:1.0963
