Timestamp;GazePoint
636214851128,978;
1167610387,26992;0.4858:0.534
1167610387,30314;0.5056:0.5147
1167610387,34048;0.50055:0.51105
1167610387,37332;0.48895:0.53805
1167610387,41008;0.4911:0.53425
1167610387,44213;0.4995:0.51825
1167610387,47931;0.5039:0.52585
1167610387,54145;0.49525:0.5322
1167610387,63398;0.2799:0.3383
1167610387,71322;0.2797:0.34455
1167610387,82194;0.2478:0.2091
1167610387,88998;0.2509:0.18455
1167610387,94122;0.25255:0.18225
1167610387,97378;0.2526:0.1734
1167610388,00625;0.26065:0.1918
1167610388,0399;0.25445:0.17335
1167610388,07249;0.25395:0.1826
1167610388,1056;0.25695:0.17055
1167610388,1385;0.2552:0.19785
1167610388,17118;0.3002:0.47005
1167610388,20432;0.3086:0.48415
1167610388,23769;0.3202:0.49145
1167610388,27083;0.31185:0.5032
1167610388,30389;0.30125:0.5197
1167610388,33667;0.30345:0.5072
1167610388,37059;0.31425:0.4879
1167610388,40374;0.30795:0.5022
1167610388,43665;0.31575:0.4894
1167610388,46982;0.30655:0.5097
1167610388,50325;0.30685:0.5083
1167610388,53646;0.3063:0.4984
1167610388,56949;0.3251:0.5499
1167610388,60284;0.328:0.5814
1167610388,63588;0.33345:0.5471
1167610388,67264;0.32885:0.5673
1167610388,70538;0.33075:0.5648
1167610388,73946;0.33195:0.56545
1167610388,77292;0.3159:0.5952
1167610388,806;0.3304:0.57105
1167610388,83907;0.4256:0.54045
1167610388,87532;0.73655:0.54545
1167610388,90882;0.76265:0.53595
1167610388,94549;0.7639:0.52685
1167610388,97837;0.77475:0.52485
1167610389,01818;
1167610389,05185;0.773:0.5368
1167610389,08036;0.7771:0.53845
1167610389,1133;0.7818:0.53775
1167610389,15141;0.76715:0.4752
1167610389,18597;0.7681:0.47475
1167610389,2233;0.77355:0.47465
1167610389,25621;0.76535:0.4764
1167610389,29333;0.7752:0.47335
1167610389,3269;0.74625:0.4522
1167610389,36515;0.75445:0.44195
1167610389,40248;0.74505:0.4505
1167610389,43989;0.7548:0.43715
1167610389,47321;0.7501:0.44375
1167610389,50718;0.7481:0.4554
1167610389,54145;0.74365:0.4532
1167610389,57494;0.38985:0.48705
1167610389,60863;0.2701:0.4861
1167610389,64298;0.2487:0.4981
1167610389,67713;
1167610389,71128;0.2511:0.49405
1167610389,73634;0.2538:0.49685
1167610389,76882;0.24915:0.4847
1167610389,80226;0.24805:0.4818
1167610389,83564;0.25705:0.47625
1167610389,8679;0.2965:0.49805
1167610389,90126;0.2967:0.51005
1167610389,93446;
1167610389,96825;0.29555:0.48775
1167610389,99331;0.29615:0.50375
1167610390,02682;0.29955:0.49845
1167610390,06074;0.2992:0.5091
1167610390,09476;0.1932:0.57205
1167610390,1287;0.19125:0.57475
1167610390,16291;0.1894:0.5994
1167610390,19689;0.189:0.6075
1167610390,23099;0.188:0.59175
1167610390,26496;0.1803:0.58675
1167610390,29898;0.184:0.59385
1167610390,333;0.1905:0.59185
1167610390,36696;0.18545:0.6042
1167610390,40111;0.1892:0.5952
