Timestamp;GazePoint
636214850771,008;
1167610351,49059;0.48885:0.50075
1167610351,52206;0.4829:0.5197
1167610351,55345;0.47935:0.52695
1167610351,58475;0.4844:0.5144
1167610351,61639;0.4929:0.49395
1167610351,64786;0.4895:0.51415
1167610351,679;0.48475:0.5292
1167610351,71042;0.4879:0.5129
1167610351,74307;0.4989:0.45745
1167610351,77661;0.4932:0.4825
1167610351,82063;0.48745:0.532
1167610351,8635;0.49225:0.5311
1167610351,90775;0.41895:0.5052
1167610351,95126;0.35405:0.44775
1167610351,99585;0.3588:0.45985
1167610352,04098;0.35325:0.4566
1167610352,08578;0.3468:0.46625
1167610352,13043;0.3547:0.47855
1167610352,17469;0.3561:0.45945
1167610352,21843;0.35145:0.47095
1167610352,26243;0.3466:0.48055
1167610352,3064;0.3206:0.4524
1167610352,35384;0.3038:0.4665
1167610352,39669;0.3048:0.4343
1167610352,44032;0.2997:0.45365
1167610352,48412;0.29725:0.4176
1167610352,52828;0.2959:0.4175
1167610352,57542;0.297:0.43725
1167610352,61878;0.29515:0.42305
1167610352,66825;0.2941:0.44
1167610352,70188;0.29205:0.4405
1167610352,7392;0.2979:0.4422
1167610352,77127;0.29845:0.43145
1167610352,80752;0.29635:0.4628
1167610352,8391;0.32645:0.46575
1167610352,87623;0.47755:0.5728
1167610352,90775;0.48705:0.58345
1167610352,94569;0.491:0.57905
1167610352,97693;0.48385:0.5818
1167610353,01294;0.4921:0.58435
1167610353,04443;0.4849:0.58305
1167610353,08113;0.4791:0.5822
1167610353,11315;0.48045:0.58175
1167610353,14951;0.4844:0.58085
1167610353,18088;0.49255:0.5736
1167610353,21299;0.4907:0.56365
1167610353,2452;0.47215:0.6391
1167610353,27734;0.4635:0.7291
1167610353,30936;0.46835:0.72045
1167610353,34227;0.4547:0.7334
1167610353,37446;0.46265:0.7361
1167610353,40667;0.46625:0.7242
1167610353,43855;0.45635:0.7397
1167610353,47014;0.4595:0.7345
1167610353,50155;0.4577:0.73865
1167610353,53288;0.4643:0.722
1167610353,56427;0.42135:0.5222
1167610353,5961;0.33615:0.42435
1167610353,62854;0.3357:0.42835
1167610353,66069;0.336:0.43375
1167610353,69269;0.3356:0.4337
1167610353,72489;0.33335:0.4457
1167610353,75683;0.32605:0.44245
1167610353,7895;0.33525:0.4511
1167610353,82151;0.3284:0.4471
1167610353,85353;0.33785:0.43605
1167610353,88578;0.3376:0.43395
1167610353,91721;0.35955:0.3726
1167610353,94915;0.36425:0.3492
1167610353,98112;0.36645:0.35685
1167610354,01316;0.37045:0.356
1167610354,04527;0.35925:0.37635
1167610354,07794;0.365:0.3763
1167610354,10995;0.36325:0.37715
1167610354,14266;0.35935:0.36395
1167610354,17564;0.3648:0.3589
1167610354,20848;0.3639:0.36045
1167610354,24561;0.37635:0.355
1167610354,27877;0.4268:0.33245
1167610354,31245;0.6593:0.33835
1167610354,34662;0.6768:0.34675
1167610354,37978;0.6644:0.35715
1167610354,41321;0.67185:0.3549
1167610354,4464;0.68115:0.3312
1167610354,48278;0.67105:0.3475
1167610354,51672;0.67505:0.3592
1167610354,5541;0.6703:0.35395
1167610354,58819;0.6643:0.35305
1167610354,62744;0.66735:0.32875
1167610354,66135;0.66425:0.3481
1167610354,69924;0.66565:0.3303
1167610354,73356;0.65805:0.35845
1167610354,77264;0.6646:0.33515
1167610354,80679;0.654:0.33305
1167610354,84513;0.66075:0.33355
1167610354,87853;0.81755:0.3819
1167610354,91672;0.89835:0.39895
1167610354,95838;0.89545:0.40995
1167610354,99684;0.8994:0.3991
1167610355,03161;0.8818:0.41435
1167610355,07738;0.89865:0.40205
1167610355,1151;0.8946:0.42095
1167610355,15273;0.89285:0.4045
1167610355,19145;0.89095:0.40685
1167610355,23014;0.89295:0.415
1167610355,26861;0.5563:0.3799
1167610355,30678;0.3629:0.36565
1167610355,34212;0.3361:0.36825
1167610355,38107;0.34375:0.39055
