Timestamp;GazePoint
636214853185,386;
1167610592,88607;0.5114:0.5208
1167610592,92258;0.51:0.50555
1167610592,96268;0.5129:0.50195
1167610592,99747;0.5044:0.51025
1167610593,03314;0.5076:0.52785
1167610593,06981;0.50535:0.5205
1167610593,10534;0.49835:0.5177
1167610593,1411;0.4979:0.52015
1167610593,17625;0.4973:0.5249
1167610593,21237;0.5105:0.51435
1167610593,24726;0.713:0.44855
1167610593,28213;0.7309:0.481
1167610593,31616;0.7239:0.48245
1167610593,35065;0.7007:0.48645
1167610593,38552;0.71635:0.4781
1167610593,41995;0.725:0.4824
1167610593,4538;0.7155:0.4881
1167610593,48838;0.7236:0.4676
1167610593,52287;0.6939:0.3792
1167610593,55742;0.72125:0.32705
1167610593,59275;0.73495:0.3234
1167610593,62849;0.7321:0.36835
1167610593,66353;0.7271:0.35455
1167610593,69882;0.75645:0.3138
1167610593,73358;0.76305:0.2937
1167610593,76861;0.7577:0.3082
1167610593,80438;0.75715:0.3072
1167610593,8431;0.75165:0.30075
1167610593,88167;0.7653:0.3022
1167610593,91709;0.75655:0.31395
1167610593,95205;0.76245:0.3117
1167610593,98765;0.634:0.5073
1167610594,02283;0.62175:0.5296
1167610594,06196;0.62145:0.53115
1167610594,09645;0.6274:0.53805
1167610594,13194;0.61955:0.54285
1167610594,16729;0.6194:0.54215
1167610594,20296;0.6229:0.56325
1167610594,24215;0.62425:0.551
1167610594,27886;0.6402:0.5471
1167610594,3218;0.4542:0.41435
1167610594,35775;0.349:0.41335
1167610594,39918;0.3499:0.40695
1167610594,43697;0.349:0.4082
1167610594,47645;0.3535:0.41345
1167610594,5121;
1167610594,55237;0.3434:0.402
1167610594,57911;0.35185:0.3986
1167610594,61826;0.3521:0.4241
1167610594,65388;0.3453:0.3981
1167610594,69367;0.35915:0.5763
1167610594,7293;0.34745:0.60575
1167610594,77023;0.3575:0.6006
1167610594,80599;0.3457:0.60295
1167610594,8458;0.34645:0.6078
1167610594,88126;0.34695:0.59945
1167610594,91712;
1167610594,95286;0.33245:0.78265
1167610594,9802;0.32:0.3943
1167610595,01686;0.33125:0.3866
1167610595,05299;0.34035:0.3915
1167610595,08898;0.3392:0.3891
1167610595,12545;0.34175:0.39245
1167610595,16185;0.34275:0.3808
1167610595,19794;0.33515:0.3822
1167610595,23432;0.33955:0.3875
1167610595,27009;0.33795:0.38435
1167610595,30652;0.3401:0.3789
1167610595,3423;0.34405:0.38265
1167610595,37831;0.34175:0.3841
1167610595,41427;0.34315:0.39025
1167610595,45034;0.3423:0.38965
1167610595,48638;0.3471:0.3925
1167610595,52315;0.33145:0.34205
1167610595,55885;0.3355:0.3673
1167610595,59537;0.33955:0.3675
1167610595,63313;0.33895:0.35745
1167610595,67077;0.34375:0.364
1167610595,70759;0.33845:0.36365
1167610595,74416;0.35215:0.369
1167610595,78123;0.3463:0.3674
1167610595,81773;0.3423:0.3788
1167610595,85476;0.34385:0.3649
1167610595,89134;0.3488:0.3861
1167610595,93212;0.35465:0.36245
1167610595,96837;0.341:0.3619
1167610596,00622;0.3986:0.53245
1167610596,04292;
1167610596,08022;0.3667:0.5896
1167610596,10629;0.3782:0.5783
1167610596,14795;0.3653:0.6039
1167610596,19078;0.3662:0.60635
1167610596,2332;0.36495:0.602
1167610596,27132;0.3678:0.6083
1167610596,31475;0.3588:0.5875
1167610596,35242;0.36945:0.60125
1167610596,39376;0.3736:0.6035
1167610596,43606;0.3648:0.6368
1167610596,48269;0.36125:0.62095
1167610596,52065;0.37015:0.6096
1167610596,56256;0.49325:0.4779
1167610596,60235;0.6427:0.41355
1167610596,64026;0.63525:0.4052
1167610596,68162;0.65515:0.40335
1167610596,72847;0.64265:0.41
1167610596,77037;0.65635:0.40845
1167610596,81262;
1167610596,85459;0.762:0.32435
1167610596,88682;
1167610596,92427;0.7746:0.3018
1167610596,95214;0.76565:0.3066
1167610596,98857;0.74455:0.32675
1167610597,02481;0.76955:0.31765
1167610597,06591;0.76515:0.315
1167610597,10164;0.75375:0.3148
1167610597,13836;0.7455:0.312
1167610597,17891;
1167610597,21983;0.6372:0.55435
1167610597,24754;0.6462:0.5376
1167610597,28387;0.64635:0.53975
1167610597,32012;0.64095:0.5264
1167610597,35723;0.6485:0.5486
1167610597,39839;0.64275:0.5597
1167610597,4355;0.64365:0.5529
1167610597,47147;0.63835:0.55325
1167610597,50875;
1167610597,54854;0.63945:0.5642
1167610597,57576;0.63205:0.56255
1167610597,61188;0.6445:0.56165
1167610597,65224;0.64245:0.5592
1167610597,68847;0.6421:0.5615
1167610597,72461;0.63645:0.555
1167610597,76152;0.6489:0.5604
1167610597,79791;0.6424:0.5648
1167610597,83493;0.65745:0.55105
1167610597,87165;0.6502:0.5411
1167610597,90879;0.6497:0.5558
1167610597,94887;0.6523:0.57095
1167610597,98584;0.7599:0.73735
1167610598,02234;0.7763:0.71825
1167610598,05853;0.7881:0.7274
1167610598,09446;0.7798:0.73545
1167610598,1344;0.78035:0.72335
1167610598,17152;0.7828:0.7208
1167610598,21177;0.78815:0.72505
1167610598,24862;0.7954:0.71875
1167610598,29198;0.78325:0.7208
1167610598,33344;0.7593:0.82055
1167610598,3762;0.75865:0.83625
1167610598,41282;0.7516:0.8404
1167610598,45418;0.755:0.85145
1167610598,49065;0.753:0.83405
1167610598,53052;0.74355:0.84885
1167610598,56628;0.7572:0.8319
1167610598,60612;0.76465:0.83355
1167610598,64278;
1167610598,6826;
1167610598,70848;
1167610598,73517;
1167610598,76263;
1167610598,79064;
1167610598,81877;
1167610598,84724;
1167610598,88393;
1167610598,91698;0.7402:0.78035
1167610598,943;0.7018:0.75025
1167610598,97975;0.6958:0.7496
1167610599,01538;0.70815:0.7215
1167610599,05169;0.7049:0.73215
1167610599,08724;0.7026:0.7275
1167610599,12279;0.69575:0.73135
1167610599,15839;0.67105:0.74225
1167610599,19414;0.67385:0.7574
1167610599,23054;0.6578:0.75035
1167610599,26687;0.67125:0.7416
1167610599,30527;0.66615:0.7461
1167610599,34658;0.67:0.7477
1167610599,38661;0.67405:0.74705
1167610599,43279;0.6806:0.761
1167610599,47849;0.67875:0.74885
1167610599,51597;0.6673:0.75545
1167610599,553;0.597:0.8273
1167610599,59206;0.59645:0.8409
1167610599,62978;0.60315:0.86325
1167610599,66797;0.5994:0.85745
1167610599,70461;0.59375:0.87925
1167610599,7432;0.59065:0.87105
1167610599,7816;0.59835:0.89565
1167610599,82225;0.60305:0.87275
1167610599,85813;0.63965:0.7049
1167610599,89284;0.76025:0.58315
1167610599,92938;0.75095:0.58895
1167610599,96549;
1167610600,00363;0.74955:0.57485
1167610600,03419;0.75805:0.59725
1167610600,07174;0.74795:0.5788
1167610600,11377;0.745:0.57845
1167610600,15196;0.74835:0.5804
1167610600,19483;0.7513:0.57815
1167610600,23218;0.74765:0.59055
1167610600,27458;0.73545:0.6493
1167610600,31175;0.74145:0.7723
1167610600,35488;0.7509:0.7741
1167610600,39182;0.74435:0.7969
1167610600,43297;0.7545:0.773
1167610600,47012;0.75445:0.7929
1167610600,51212;0.7525:0.78045
1167610600,55119;0.73895:0.79615
1167610600,5998;0.7522:0.78455
1167610600,6383;0.74195:0.791
1167610600,67917;0.7487:0.77485
1167610600,71555;0.66215:0.81735
1167610600,75722;0.6304:0.8185
