Timestamp;GazePoint
0281,27261;
1167610281,31519;
1167610281,35855;
1167610281,39626;
1167610281,43959;
1167610281,48291;
1167610281,50938;0.4094:0.3739
1167610281,53907;0.40445:0.4077
1167610281,71247;0.4063:0.4052
1167610281,76392;0.40515:0.40145
1167610281,8542;0.39665:0.39985
1167610281,90277;0.4082:0.38635
1167610281,9512;0.40175:0.3976
1167610281,99964;0.39495:0.4262
1167610282,04848;0.40895:0.38765
1167610282,096;0.4041:0.3886
1167610282,14766;0.34145:0.40975
1167610282,19543;0.20755:0.4592
1167610282,24382;0.21435:0.4488
1167610282,29191;0.21475:0.4606
1167610282,34234;0.2087:0.4561
1167610282,38995;0.21825:0.42695
1167610282,44033;0.20525:0.45545
1167610282,48688;0.21715:0.48735
1167610282,53943;0.2204:0.45515
1167610282,58583;0.22325:0.43105
1167610282,6361;0.21445:0.451
1167610282,68315;0.2074:0.44075
1167610282,7225;0.2137:0.4597
1167610282,75477;0.21565:0.4478
1167610282,79179;0.21335:0.44475
1167610282,82378;0.22135:0.4372
1167610282,86016;0.22365:0.43935
1167610282,89221;0.21205:0.4579
1167610282,92947;0.21205:0.45435
1167610282,96154;0.2061:0.47055
1167610282,99773;0.214:0.46155
1167610283,02894;0.2155:0.46695
1167610283,06059;0.21965:0.4516
1167610283,09162;0.21455:0.4543
1167610283,12296;0.21005:0.462
1167610283,15427;0.2149:0.46225
1167610283,18535;0.2215:0.462
1167610283,21656;0.2145:0.48865
1167610283,24768;0.2207:0.4666
1167610283,2787;0.2138:0.4637
1167610283,30999;0.22145:0.4605
1167610283,341;0.22:0.4735
1167610283,37213;0.20575:0.4516
1167610283,4036;0.21685:0.44505
1167610283,43457;0.2143:0.4757
1167610283,46556;0.21205:0.4649
1167610283,49657;0.208:0.4678
1167610283,52724;0.20835:0.46555
1167610283,55828;0.21945:0.4577
1167610283,58934;0.2169:0.47065
1167610283,62025;0.2167:0.4499
1167610283,65151;0.2221:0.4669
1167610283,68273;0.2149:0.4667
1167610283,71388;0.21985:0.4573
1167610283,74499;0.22225:0.4571
1167610283,77644;0.2141:0.4677
1167610283,80764;0.22145:0.46915
1167610283,83914;0.21265:0.4583
1167610283,87053;0.22345:0.45495
1167610283,90235;0.21455:0.45345
1167610283,93367;0.22005:0.465
1167610283,96555;0.21935:0.4754
1167610283,99637;0.2142:0.4508
1167610284,02828;0.22085:0.4598
1167610284,05916;0.2161:0.47455
1167610284,09472;0.22105:0.48015
1167610284,12595;0.2208:0.47115
1167610284,15761;0.2204:0.4658
1167610284,18906;0.21395:0.4721
1167610284,22119;0.21355:0.46255
1167610284,25252;0.2118:0.4602
1167610284,28789;0.21265:0.4739
1167610284,31995;0.2135:0.4909
1167610284,35595;0.20875:0.47065
1167610284,38795;0.21335:0.46555
1167610284,42562;0.2123:0.4698
1167610284,45763;0.2202:0.46765
1167610284,49388;0.21365:0.46685
1167610284,52549;0.2187:0.4823
1167610284,5629;0.2187:0.47875
1167610284,59495;0.2196:0.4727
1167610284,63148;0.2116:0.46975
1167610284,66307;0.2202:0.4817
1167610284,69935;0.2151:0.4709
1167610284,73142;0.2193:0.4805
1167610284,76764;0.21785:0.485
1167610284,79961;0.21725:0.47835
1167610284,83599;0.21595:0.47265
1167610284,86712;0.2245:0.4691
1167610284,89951;0.21665:0.4764
1167610284,93177;0.2177:0.47475
1167610284,96362;0.221:0.48625
1167610284,99599;0.22205:0.46905
1167610285,02875;0.22465:0.4767
1167610285,06148;0.22435:0.4814
