Timestamp;GazePoint
636215523790,483;
1167610687,12424;0.2771:1.03665
1167610687,16311;0.27615:1.0385
1167610687,1956;0.2693:1.04975
1167610687,22851;0.27325:1.047
1167610687,26142;0.2748:1.04625
1167610687,29418;0.27955:1.0574
1167610687,32738;0.27945:1.05315
1167610687,35991;0.50955:0.5175
1167610687,39323;0.5524:0.46465
1167610687,4268;0.5452:0.475
1167610687,45884;0.54395:0.46
1167610687,49133;0.5435:0.47425
1167610687,52475;0.5432:0.49305
1167610687,55794;0.54365:0.4686
1167610687,59044;0.5563:0.4557
1167610687,62279;0.6611:0.5114
1167610687,65585;0.6839:0.52835
1167610687,68782;0.684:0.5321
1167610687,72159;0.68805:0.53765
1167610687,75369;0.68735:0.5318
1167610687,78552;0.67905:0.5346
1167610687,81747;0.61655:0.52755
1167610687,8507;0.6237:0.51305
1167610687,88293;0.62505:0.51405
1167610687,91485;0.62155:0.5266
1167610687,94857;0.6149:0.53265
1167610687,98219;0.6242:0.52475
1167610688,01595;0.63125:0.5208
1167610688,04882;0.619:0.53745
1167610688,08148;0.60475:0.5189
1167610688,11445;0.61185:0.5326
1167610688,14677;0.5316:0.5337
1167610688,17976;0.5094:0.5438
1167610688,214;0.51615:0.54985
1167610688,25167;0.5095:0.56385
1167610688,28523;0.3764:0.55995
1167610688,31947;0.34755:0.6029
1167610688,35397;0.36025:0.60055
1167610688,38747;0.3565:0.6126
1167610688,4219;0.3852:0.61965
1167610688,4593;0.3946:0.6252
1167610688,49434;0.38735:0.63035
1167610688,53206;0.39105:0.65225
1167610688,56656;0.38995:0.6385
1167610688,60631;0.39415:0.63315
1167610688,6417;0.38735:0.62585
1167610688,68017;0.6494:0.6312
1167610688,71429;0.8646:0.6266
1167610688,75334;0.8823:0.64
1167610688,78888;0.9013:0.6288
1167610688,82746;0.9086:0.6382
1167610688,86573;0.9122:0.70985
1167610688,90642;0.9062:0.7526
1167610688,94423;0.90925:0.7585
1167610688,98567;0.912:0.7243
1167610689,02316;0.90895:0.74455
1167610689,06176;0.93715:0.7339
1167610689,09556;0.9316:0.73035
1167610689,13021;0.9196:0.75
1167610689,1651;0.92575:0.7469
1167610689,20423;0.9302:0.7475
1167610689,24359;0.9288:0.75165
1167610689,27871;0.92215:0.7573
1167610689,31374;0.92285:0.74035
1167610689,35022;0.83695:0.78835
1167610689,38995;0.8315:0.80645
1167610689,42642;0.824:0.8178
1167610689,46383;0.8247:0.7964
1167610689,50294;0.806:0.82685
1167610689,54092;0.80645:0.8192
1167610689,57781;0.79745:0.78875
1167610689,61634;0.81145:0.80155
1167610689,65528;0.89465:0.49385
1167610689,69475;0.90445:0.48855
1167610689,73542;0.89535:0.4678
1167610689,77481;0.90515:0.48165
1167610689,8143;0.89485:0.47885
1167610689,85316;0.8989:0.481
1167610689,89392;0.9105:0.3111
1167610689,93285;0.90745:0.29275
1167610689,97145;0.89965:0.30525
1167610690,0101;0.91325:0.30195
1167610690,05086;0.9054:0.30225
1167610690,08877;0.90805:0.12605
1167610690,13063;0.9095:0.12725
1167610690,17148;0.9147:0.1212
1167610690,2124;0.64635:0.28485
1167610690,25041;0.643:0.28655
1167610690,28917;0.6503:0.27015
1167610690,33124;0.64815:0.278
1167610690,37035;0.6404:0.277
1167610690,41416;0.6415:0.2671
1167610690,4549;0.6451:0.27355
1167610690,49577;0.64685:0.26475
1167610690,54394;0.7396:0.2784
1167610690,58312;0.75135:0.2724
1167610690,6321;0.7569:0.26795
1167610690,67243;0.6214:0.56295
1167610690,71614;0.6097:0.58855
1167610690,75689;0.6101:0.59375
1167610690,8081;0.7913:0.18415
1167610690,85012;0.7987:0.19545
1167610690,89533;0.7913:0.1999
1167610690,93441;0.7895:0.1973
1167610690,97913;0.78355:0.1916
1167610691,01838;0.78905:0.19355
1167610691,06705;0.7866:0.2027
1167610691,1051;0.7935:0.19845
1167610691,14639;0.78845:0.19465
1167610691,18431;0.77105:0.2
1167610691,22199;0.6496:0.51765
1167610691,25789;0.65525:0.53795
1167610691,29712;0.64845:0.5433
1167610691,3351;0.65515:0.54695
1167610691,37286;0.63935:0.52665
1167610691,41118;0.6333:0.5206
1167610691,44892;0.63295:0.503
1167610691,4852;0.63515:0.5077
1167610691,52131;0.63845:0.4981
1167610691,55745;0.6496:0.50425
1167610691,5935;0.62465:0.50165
1167610691,63211;0.58465:0.5113
1167610691,67008;0.4562:0.5477
1167610691,70593;0.4159:0.5453
1167610691,7453;0.28125:0.35185
1167610691,78655;0.27755:0.31805
1167610691,82866;0.27105:0.3326
1167610691,86496;0.2639:0.3213
1167610691,90673;0.17075:0.2849
1167610691,94705;0.1688:0.27555
1167610691,98487;0.15885:0.2771
1167610692,02438;0.1536:0.2475
1167610692,06213;0.2356:0.2429
1167610692,10548;0.31635:0.2337
1167610692,15111;0.3155:0.2272
1167610692,1894;0.31025:0.2319
1167610692,22579;0.3114:0.22735
1167610692,26491;0.30765:0.23505
1167610692,30529;0.39785:0.40885
1167610692,35032;0.40695:0.42355
1167610692,38982;0.41115:0.43095
1167610692,43367;0.4124:0.426
1167610692,47017;0.3215:0.10125
1167610692,51236;0.3284:0.1088
1167610692,54958;0.3296:0.0994
1167610692,59737;0.33655:0.09945
1167610692,63512;0.4331:0.08435
1167610692,67838;0.43545:0.05865
1167610692,71635;0.4342:0.0715
1167610692,75818;0.4356:0.06155
1167610692,79559;0.3174:0.1536
