Timestamp;GazePoint
636215523113,815;
1167610619,46951;0.20385:1.48595
1167610619,49799;
1167610619,5382;
1167610619,56813;
1167610619,60209;
1167610619,63181;
1167610619,66759;
1167610619,6989;0.2819:1.15465
1167610619,72934;0.5073:0.69465
1167610619,76283;0.4875:0.5738
1167610619,80196;0.4898:0.5889
1167610619,83679;0.492:0.58235
1167610619,88147;0.4858:0.56125
1167610619,91672;0.48955:0.52545
1167610619,954;0.34195:0.5233
1167610619,98716;0.32515:0.4957
1167610620,02117;0.32365:0.4986
1167610620,05461;0.3356:0.5175
1167610620,08761;0.3378:0.51715
1167610620,12059;
1167610620,15311;0.34385:0.5059
1167610620,17818;0.35465:0.52435
1167610620,20951;0.36775:0.5407
1167610620,24187;
1167610620,27348;0.35715:0.5297
1167610620,29857;0.36145:0.54725
1167610620,32885;0.3126:0.4846
1167610620,36156;0.30915:0.4771
1167610620,39468;0.3237:0.486
1167610620,42785;0.32345:0.48805
1167610620,46277;0.3303:0.49215
1167610620,49589;
1167610620,52976;0.3541:0.541
1167610620,55488;0.3519:0.5653
1167610620,58664;
1167610620,62019;0.35465:0.5533
1167610620,6453;0.35485:0.54955
1167610620,67956;0.22815:0.5749
1167610620,71277;0.21945:0.56135
1167610620,74645;0.222:0.57235
1167610620,78041;0.22225:0.56325
1167610620,81409;0.2246:0.5757
1167610620,8484;0.22115:0.57255
1167610620,88226;0.1592:0.6505
1167610620,91617;0.14175:0.66745
1167610620,95017;0.1258:0.68635
1167610620,98415;
1167610621,01857;
1167610621,04893;0.115:0.6826
1167610621,0749;0.1157:0.67835
1167610621,10861;0.12335:0.66955
1167610621,1437;0.11425:0.67105
1167610621,17883;0.12245:0.6655
1167610621,21396;0.11895:0.6648
1167610621,25255;0.1194:0.66555
1167610621,28835;0.1171:0.67695
1167610621,32759;0.1168:0.66705
1167610621,36312;0.12035:0.66345
1167610621,40409;0.11815:0.6661
1167610621,43977;0.1282:0.67075
1167610621,47899;0.1959:0.6005
1167610621,51384;0.20345:0.58865
1167610621,55437;0.2015:0.59445
1167610621,59026;0.2005:0.5813
1167610621,62966;0.2032:0.57735
1167610621,66506;0.204:0.58715
1167610621,70482;0.19715:0.58535
1167610621,74106;0.20675:0.58405
1167610621,78233;0.2041:0.6004
1167610621,81891;0.20295:0.57305
1167610621,85895;0.20195:0.5982
1167610621,89423;0.20935:0.58135
1167610621,93063;
1167610621,96672;0.20375:0.5914
1167610621,99254;0.21455:0.58785
1167610622,02785;0.2088:0.59745
1167610622,06313;
1167610622,09864;
1167610622,12406;
1167610622,15645;
1167610622,18791;
1167610622,21443;
1167610622,24192;
1167610622,26959;0.76195:0.4781
1167610622,29836;
1167610622,33254;
1167610622,36506;0.7475:0.4025
1167610622,39469;0.74525:0.4053
1167610622,43637;
1167610622,47274;0.74345:0.4117
1167610622,49913;0.75445:0.18225
1167610622,53563;0.74645:0.1765
1167610622,57157;0.7473:0.17685
1167610622,60698;0.74615:0.18905
1167610622,64342;0.7435:0.1891
1167610622,67921;0.7438:0.19275
1167610622,71509;0.7723:0.2148
1167610622,75129;0.76455:0.20975
1167610622,78717;0.76715:0.2262
1167610622,82345;0.7155:0.20065
1167610622,85918;0.70495:0.1807
1167610622,89547;0.6882:0.20565
1167610622,93518;0.68845:0.1888
1167610622,97867;0.69335:0.1879
1167610623,015;0.69065:0.19685
1167610623,0524;0.69435:0.19425
1167610623,089;0.38295:0.39145
1167610623,12597;0.70775:0.1625
1167610623,17116;0.7043:0.1689
1167610623,20852;0.68555:0.1935
1167610623,24999;0.6937:0.1829
1167610623,29311;0.90385:0.1574
1167610623,33659;0.90585:0.15515
1167610623,38072;0.89485:0.15895
1167610623,42335;0.8929:0.1669
1167610623,46555;0.8958:0.14235
1167610623,50835;0.883:0.17345
1167610623,54653;0.89045:0.15435
1167610623,58869;0.8893:0.16175
1167610623,62612;0.89115:0.1861
1167610623,67083;0.8997:0.22705
1167610623,71219;0.90165:0.4198
1167610623,75788;0.90045:0.39965
1167610623,80112;0.8984:0.4275
1167610623,8484;0.90605:0.39695
1167610623,88587;0.7885:0.51505
1167610623,92319;0.79785:0.49465
1167610623,96211;0.79925:0.50645
1167610624,00166;0.79085:0.5087
1167610624,0446;0.75595:0.41525
1167610624,0875;0.7606:0.39455
1167610624,12943;0.7647:0.4029
1167610624,16808;0.75825:0.40275
1167610624,20989;0.7691:0.4069
1167610624,25214;0.91665:0.38795
1167610624,29477;0.90705:0.3766
1167610624,33807;0.90755:0.3753
1167610624,3815;0.90615:0.3704
1167610624,4242;0.90115:0.37095
1167610624,46664;0.9009:0.3879
1167610624,50588;0.89685:0.385
1167610624,54509;0.88765:0.3887
1167610624,58729;0.84775:0.78205
1167610624,62915;0.8369:0.785
1167610624,66767;0.82285:0.77305
1167610624,70882;0.8268:0.7615
1167610624,75;0.8276:0.76985
1167610624,78838;0.75455:0.84735
1167610624,82961;0.75595:0.84955
1167610624,86818;0.74635:0.8496
1167610624,9109;0.7601:0.86255
1167610624,95447;0.7875:0.86445
1167610624,99172;0.8003:0.83305
1167610625,02998;0.78575:0.87335
1167610625,06586;0.78975:0.83385
1167610625,10263;0.7648:0.8413
1167610625,14141;0.7664:0.8626
1167610625,17708;0.76075:0.85415
1167610625,21763;0.76735:0.8601
1167610625,25688;0.78465:0.84995
1167610625,29987;0.7736:0.8587
1167610625,33565;0.762:0.86225
1167610625,37775;0.7699:0.85365
1167610625,41495;0.7593:0.8404
1167610625,45726;0.77595:0.85285
1167610625,49273;0.74715:1.0015
1167610625,53231;0.7346:1.0479
1167610625,56882;0.7419:1.0391
1167610625,60958;0.72855:1.03795
1167610625,64548;0.7526:1.0449
1167610625,68764;0.73395:1.06835
1167610625,72264;0.74495:1.06835
1167610625,76284;0.73355:1.07685
1167610625,79952;0.74235:1.0627
1167610625,83707;0.74:1.0794
1167610625,87492;0.46815:1.0599
1167610625,91221;0.48385:1.06455
1167610625,95106;0.47895:1.06635
1167610625,98886;0.4948:1.05595
1167610626,02672;0.49315:1.0566
1167610626,063;0.5237:1.0606
1167610626,10086;0.5205:1.05125
1167610626,13799;0.5105:1.06065
1167610626,17221;0.36675:1.07245
1167610626,20953;0.2835:1.0448
1167610626,24687;0.285:1.04285
1167610626,28339;0.28495:1.0456
1167610626,31881;0.2953:1.0476
1167610626,35465;0.29005:1.0344
1167610626,38985;0.2823:1.0506
1167610626,42417;0.2747:0.7912
1167610626,46122;0.2669:0.7683
1167610626,49563;0.2505:0.77235
1167610626,53023;0.2674:0.76745
1167610626,56821;0.26045:0.75735
1167610626,60285;0.33755:0.7693
1167610626,63749;0.32835:0.769
1167610626,67187;0.32165:0.7822
1167610626,70644;0.3216:0.7731
1167610626,74145;0.32315:0.78465
1167610626,7766;0.3236:0.78045
1167610626,8126;0.32745:0.76745
1167610626,85198;0.3232:0.7626
1167610626,8862;0.32275:0.75725
1167610626,92128;0.3168:0.7629
1167610626,95642;0.32025:0.76975
1167610626,9917;0.31865:0.76375
1167610627,03154;0.3468:0.5666
1167610627,07072;0.36185:0.5595
1167610627,11026;0.3566:0.55
1167610627,1511;0.35875:0.56485
1167610627,18847;0.34855:0.55695
1167610627,2327;0.35095:0.5483
1167610627,2708;0.2711:0.55735
1167610627,31191;0.2262:0.56515
1167610627,34753;0.2291:0.5769
1167610627,38817;0.2189:0.55945
1167610627,42371;0.2221:0.5714
