Timestamp;GazePoint
636215521159,743;
1167610424,12608;0.4953:0.5086
1167610424,15928;0.49205:0.52355
1167610424,19181;0.4908:0.51065
1167610424,22768;0.4927:0.5093
1167610424,26033;0.498:0.5018
1167610424,2954;0.4901:0.5058
1167610424,32792;0.4861:0.50605
1167610424,36599;0.4938:0.5119
1167610424,39885;0.48965:0.51485
1167610424,43607;0.483:0.51525
1167610424,46827;0.3788:0.6469
1167610424,50697;
1167610424,53968;
1167610424,56831;
1167610424,59573;
1167610424,6241;
1167610424,64959;
1167610424,6794;0.37815:0.3774
1167610424,70493;0.3633:0.4013
1167610424,7388;0.36695:0.38855
1167610424,76981;0.36855:0.3943
1167610424,80159;0.3606:0.4005
1167610424,83339;0.36595:0.3964
1167610424,86506;0.3706:0.385
1167610424,89655;0.36575:0.4012
1167610424,92811;0.36235:0.40185
1167610424,96057;0.36625:0.38015
1167610424,99324;0.3639:0.39005
1167610425,02534;0.3649:0.3754
1167610425,05765;0.3654:0.3988
1167610425,09022;0.36895:0.3181
1167610425,12262;0.37415:0.29115
1167610425,15496;0.36965:0.3224
1167610425,18696;0.3742:0.31255
1167610425,21998;0.3752:0.312
1167610425,25242;0.3749:0.32395
1167610425,28477;0.37545:0.31875
1167610425,31655;0.3453:0.30055
1167610425,34868;0.1788:0.2633
1167610425,38098;0.17165:0.24275
1167610425,41406;0.1715:0.25025
1167610425,44705;
1167610425,47991;0.20475:0.2141
1167610425,51238;0.19535:0.2147
1167610425,54611;0.20195:0.2273
1167610425,58037;0.20445:0.2287
1167610425,61425;0.20035:0.2336
1167610425,64813;0.20545:0.22655
1167610425,68208;0.04705:0.23625
1167610425,71597;0.05995:0.2498
1167610425,75007;0.05725:0.22665
1167610425,78491;0.053:0.2398
1167610425,82196;0.0512:0.25735
1167610425,85506;0.0552:0.24535
1167610425,88851;0.03635:0.25765
1167610425,92188;0.04925:0.2387
1167610425,95758;0.04615:0.26815
1167610425,99222;0.04485:0.2488
1167610426,03306;0.0409:0.26225
1167610426,06829;0.047:0.28485
1167610426,10837;0.044:0.24915
1167610426,14382;0.0553:0.2564
1167610426,18812;0.3301:0.314
1167610426,22374;0.334:0.3087
1167610426,2661;0.33265:0.30715
1167610426,3003;0.32605:0.3033
1167610426,34217;0.36935:0.28475
1167610426,37662;0.3727:0.28265
1167610426,41796;
1167610426,45365;0.361:0.27325
1167610426,48996;0.36425:0.2714
1167610426,52675;0.3668:0.27555
1167610426,56824;0.3701:0.2733
1167610426,60473;0.3688:0.2609
1167610426,6452;0.3632:0.25545
1167610426,68153;0.35995:0.25415
1167610426,7192;0.3697:0.2486
1167610426,75676;0.3654:0.24005
1167610426,79441;0.3685:0.2625
1167610426,83196;0.36385:0.2821
1167610426,86963;0.36725:0.26015
1167610426,90455;0.3627:0.2508
1167610426,94239;0.36655:0.2731
1167610426,9804;0.37005:0.27
1167610427,01862;0.36275:0.25325
1167610427,0531;0.36335:0.28485
1167610427,08967;0.36265:0.27605
1167610427,1261;0.23925:0.2802
1167610427,16259;0.1286:0.19155
1167610427,19957;0.11005:0.37625
1167610427,23656;0.12195:0.3169
1167610427,27415;0.11205:0.2919
1167610427,31136;0.1125:0.2786
1167610427,34813;0.1084:0.2818
1167610427,38499;0.10825:0.2879
1167610427,42142;0.1105:0.3005
1167610427,45789;0.10635:0.2774
1167610427,49206;0.1071:0.2815
1167610427,5284;0.09915:0.28335
1167610427,56506;0.10215:0.2805
1167610427,60143;0.09955:0.26285
1167610427,63581;0.11075:0.26575
1167610427,67214;0.1118:0.2775
1167610427,70861;
1167610427,74895;0.11155:0.28845
1167610427,7746;0.12045:0.3075
1167610427,81113;0.10045:0.2864
1167610427,8477;0.11005:0.30725
1167610427,8842;0.11735:0.31065
1167610427,9241;0.10555:0.3235
1167610427,96141;0.10305:0.31245
1167610428,00348;0.1057:0.31385
1167610428,04193;0.11905:0.28585
1167610428,086;0.11265:0.30385
1167610428,12366;0.1158:0.31205
1167610428,16615;0.11865:0.32165
1167610428,20217;0.122:0.31715
1167610428,24476;0.11185:0.34185
1167610428,28176;0.1551:0.5526
1167610428,32611;0.1689:0.55215
1167610428,36481;0.15735:0.55545
1167610428,40521;0.16055:0.54715
1167610428,43962;0.2027:0.439
1167610428,47886;0.2012:0.4533
1167610428,51415;0.19665:0.4572
1167610428,55528;0.2013:0.46015
1167610428,59206;0.2155:0.4273
1167610428,62629;0.20325:0.4209
1167610428,66238;0.20065:0.42805
1167610428,69769;0.20085:0.43335
1167610428,73435;0.2035:0.4194
1167610428,76888;0.20185:0.42755
1167610428,804;0.2174:0.42745
1167610428,84411;0.2171:0.4256
1167610428,89391;0.20645:0.4132
1167610428,9819;0.2098:0.40905
1167610429,08056;0.20275:0.4122
1167610429,21068;
1167610429,28536;0.24485:0.46345
1167610429,34026;0.24645:0.4673
1167610429,37419;0.2505:0.47145
1167610429,41051;0.2459:0.46685
1167610429,4467;0.24615:0.46095
1167610429,48271;0.27305:0.48745
1167610429,51914;0.2688:0.4853
1167610429,55574;0.27305:0.48325
1167610429,59212;0.27055:0.49505
1167610429,63049;0.435:0.47215
1167610429,66484;0.6428:0.42555
1167610429,70158;0.6521:0.44435
1167610429,73692;0.64885:0.4432
1167610429,7732;0.65215:0.43545
1167610429,80922;0.60315:0.3988
1167610429,84909;0.80375:0.41595
1167610429,8873;0.85645:0.42415
1167610429,92588;0.8505:0.41485
1167610429,96282;0.8412:0.4191
1167610430,00458;0.8444:0.403
1167610430,03997;0.8797:0.42145
1167610430,08021;0.86335:0.435
1167610430,11585;0.8873:0.4145
1167610430,15594;0.88835:0.4313
1167610430,19185;0.8922:0.4271
1167610430,23255;0.8796:0.4379
1167610430,26753;0.8905:0.43635
1167610430,30741;0.88965:0.428
1167610430,34273;0.8857:0.43605
1167610430,38279;0.88335:0.43705
1167610430,41871;0.8848:0.43085
1167610430,45808;0.8804:0.42435
1167610430,49333;0.888:0.4223
1167610430,52939;0.87895:0.43325
1167610430,56562;0.87345:0.443
1167610430,60313;0.87475:0.43495
1167610430,64068;0.8755:0.42705
1167610430,67797;0.8775:0.44305
1167610430,71319;0.88255:0.4396
1167610430,75078;0.87625:0.44765
1167610430,78666;0.888:0.4355
1167610430,82417;0.87915:0.43665
1167610430,86184;0.87995:0.45225
1167610430,89776;0.8822:0.44145
1167610430,93409;0.8842:0.4278
1167610430,97006;0.87515:0.4366
1167610431,00632;0.8821:0.4414
1167610431,04247;0.87365:0.4368
1167610431,07861;0.88265:0.4323
1167610431,11434;0.7701:0.4711
1167610431,15;0.64715:0.503
1167610431,18545;0.6338:0.51075
1167610431,22293;0.63515:0.51745
1167610431,26058;0.6259:0.5159
1167610431,29835;0.6222:0.5476
1167610431,3363;0.6152:0.5227
1167610431,37422;0.6142:0.53885
1167610431,41035;0.6223:0.54605
1167610431,44824;0.6207:0.53915
1167610431,48399;0.6136:0.54855
1167610431,51971;0.48575:0.5723
1167610431,55879;0.4732:0.56155
1167610431,59524;0.46905:0.5502
1167610431,63089;0.4722:0.56135
1167610431,66541;0.47375:0.55395
1167610431,69983;0.4753:0.5652
1167610431,73861;0.50365:0.56245
1167610431,77193;0.4925:0.55525
1167610431,81073;0.5093:0.5594
1167610431,84594;0.5026:0.56495
1167610431,88513;0.4974:0.56975
1167610431,91833;0.493:0.5618
1167610431,9559;0.49405:0.54765
1167610431,99216;0.49395:0.5435
1167610432,03209;0.49345:0.5627
1167610432,06647;0.4987:0.5534
1167610432,10499;0.4944:0.55985
1167610432,13816;0.4917:0.5596
1167610432,17558;0.4565:0.57935
1167610432,20882;0.4075:0.7513
1167610432,24713;0.3803:0.7416
1167610432,28113;0.3981:0.74705
1167610432,31829;0.3907:0.7388
1167610432,35071;0.4046:0.7418
1167610432,38364;0.3865:0.74025
1167610432,41706;0.38645:0.7382
1167610432,45052;0.33375:0.72945
1167610432,48381;0.3297:0.7391
1167610432,51713;0.3285:0.7342
