Timestamp;GazePoint
636215523445,094;
1167610652,61728;
1167610652,65525;
1167610652,68874;
1167610652,72656;0.0847:1.17855
1167610652,76025;0.0675:1.22385
1167610652,7966;0.063:1.22485
1167610652,833;0.10405:1.1772
1167610652,86961;
1167610652,90644;0.39555:0.46285
1167610652,94113;
1167610652,97516;
1167610653,00965;0.3925:0.46105
1167610653,04409;
1167610653,07915;0.3901:0.46365
1167610653,11317;
1167610653,14695;
1167610653,18106;0.3177:0.5123
1167610653,21493;
1167610653,2489;
1167610653,28212;0.3184:0.5136
1167610653,31484;0.3174:0.5141
1167610653,34822;
1167610653,38076;
1167610653,41512;
1167610653,44806;
1167610653,48224;
1167610653,51527;
1167610653,54848;
1167610653,58214;0.3113:0.3566
1167610653,64124;0.32095:0.35625
1167610653,74879;
1167610653,83128;
1167610653,95183;0.3303:0.31925
1167610654,02628;
1167610654,06167;
1167610654,09859;
1167610654,13212;
1167610654,17174;0.34195:0.55775
1167610654,20523;
1167610654,2446;
1167610654,27915;
1167610654,31761;
1167610654,35211;
1167610654,39088;
1167610654,4249;
1167610654,4633;0.33085:0.3785
1167610654,49796;
1167610654,53686;
1167610654,57171;
1167610654,60628;
1167610654,64177;
1167610654,67606;
1167610654,7106;0.61775:0.51845
1167610654,7478;0.6144:0.52605
1167610654,78475;
1167610654,82262;
1167610654,85213;
1167610654,8821;
1167610654,90907;
1167610654,93624;
1167610654,96418;
1167610654,99305;0.70255:0.3947
1167610655,02532;0.74475:0.27535
1167610655,05768;0.7354:0.25045
1167610655,09559;0.7533:0.2523
1167610655,13793;0.7501:0.2359
1167610655,17405;0.7525:0.2587
1167610655,2159;0.74:0.24545
1167610655,25171;0.74215:0.25265
1167610655,29318;0.7537:0.23095
1167610655,33159;0.74735:0.2228
1167610655,36794;0.749:0.2222
1167610655,40452;0.7549:0.2219
1167610655,44006;0.7511:0.22425
1167610655,47526;0.7612:0.2244
1167610655,51098;0.75565:0.23055
1167610655,54712;0.7571:0.2217
1167610655,58295;0.763:0.2127
1167610655,61908;0.76025:0.22845
1167610655,65574;0.7526:0.2257
1167610655,69645;0.75755:0.2075
1167610655,73148;0.7634:0.2213
1167610655,76761;0.7593:0.22075
1167610655,80471;0.7472:0.23415
1167610655,84198;0.75395:0.2109
1167610655,88465;0.7569:0.2185
