Timestamp;GazePoint
380,78084;
1167610380,82347;
1167610380,86722;
1167610380,90521;
1167610380,94891;
1167610380,99047;
1167610381,0303;
1167610381,07007;
1167610381,10988;
1167610381,14928;
1167610381,18906;
1167610381,22899;
1167610381,2683;
1167610381,30824;
1167610381,34818;
1167610381,38744;
1167610381,42737;
1167610381,47296;
1167610381,51854;
1167610381,56405;
1167610381,60977;
1167610381,64973;
1167610381,6952;
1167610381,73637;0.1474:0.1915
1167610381,77516;0.15315:0.2809
1167610381,82976;0.17145:0.2364
1167610381,87711;0.16405:0.3002
1167610381,92518;0.1397:0.26955
1167610381,97575;0.1539:0.3202
1167610382,026;0.15855:0.2448
1167610382,07688;0.1559:0.32225
1167610382,12677;0.17365:0.2696
1167610382,17618;0.05615:0.3662
1167610382,22558;0.0721:0.4045
1167610382,27596;0.0717:0.363
1167610382,32856;0.06025:0.4175
1167610382,37938;0.0559:0.3837
1167610382,42711;0.0582:0.393
1167610382,47427;0.21545:0.36865
1167610382,52351;0.331:0.248
1167610382,57413;0.3252:0.34965
1167610382,62288;0.32305:0.2006
1167610382,67324;0.32405:0.2865
1167610382,72344;0.30515:0.32875
1167610382,77786;0.2686:0.3207
1167610382,81517;0.2668:0.34845
1167610382,85386;0.2675:0.3439
1167610382,88998;
1167610382,93178;0.2674:0.3296
1167610382,96167;
1167610383,00741;
1167610383,03708;
1167610383,0729;
1167610383,10365;
1167610383,13926;
1167610383,17041;
1167610383,20648;
1167610383,23888;
1167610383,27583;
1167610383,30939;
1167610383,34644;
1167610383,3794;
1167610383,413;
1167610383,4466;
1167610383,49168;
1167610383,53172;
1167610383,57014;
1167610383,60672;
1167610383,64583;
1167610383,68845;
1167610383,72476;
1167610383,76543;
1167610383,80466;
1167610383,84098;
1167610383,87511;
1167610383,91168;
1167610383,95074;
1167610383,98995;
1167610384,02648;
1167610384,07011;0.1664:0.33225
1167610384,11589;0.17145:0.3231
1167610384,14345;0.17765:0.30755
1167610384,17698;0.17205:0.3226
1167610384,21075;0.1787:0.3169
1167610384,24525;0.1754:0.30695
1167610384,27926;0.17015:0.3162
1167610384,3132;0.1707:0.31265
1167610384,34725;0.1724:0.30795
1167610384,38112;0.1683:0.3126
1167610384,41636;0.1714:0.3215
1167610384,45435;0.1673:0.3113
1167610384,48985;0.1765:0.3089
1167610384,52371;0.1807:0.299
1167610384,55743;0.1734:0.3054
1167610384,59121;0.176:0.3187
1167610384,62871;0.18525:0.29775
1167610384,66456;0.1788:0.2868
1167610384,70375;0.1737:0.27855
1167610384,73792;0.178:0.29895
1167610384,77639;0.1784:0.30295
1167610384,81046;0.17945:0.2959
1167610384,84875;0.17925:0.3031
1167610384,88227;0.1853:0.29125
1167610384,92124;0.18145:0.3021
1167610384,95546;0.18065:0.3156
1167610384,99356;0.18145:0.3055
1167610385,02725;0.18345:0.3002
1167610385,06519;0.1722:0.31625
1167610385,09954;0.18435:0.3071
1167610385,14032;0.1861:0.28545
1167610385,17468;0.1783:0.2838
1167610385,21317;0.1828:0.28585
1167610385,24686;0.1918:0.2943
1167610385,28131;0.1679:0.2998
1167610385,31574;0.18675:0.2922
1167610385,35667;0.17335:0.29265
1167610385,39062;0.17615:0.28515
1167610385,43066;0.17635:0.28525
1167610385,46683;0.1753:0.29665
1167610385,50111;0.17845:0.2934
1167610385,53709;0.17675:0.28125
1167610385,57197;0.1742:0.2923
1167610385,60628;0.17755:0.27565
1167610385,64091;
1167610385,67554;0.1843:0.27185
1167610385,70085;0.16825:0.2926
1167610385,73566;0.1778:0.2771
1167610385,77695;0.1675:0.2914
1167610385,81152;0.18465:0.2905
1167610385,849;
1167610385,88409;0.1931:0.29245
1167610385,9233;
1167610385,9581;0.18815:0.292
1167610385,9952;0.1882:0.2838
1167610386,03027;0.18715:0.2739
1167610386,06727;0.17515:0.30865
1167610386,10235;
1167610386,13946;0.17635:0.27965
1167610386,17634;0.1807:0.2984
1167610386,21139;0.18575:0.28565
1167610386,24896;0.182:0.2819
1167610386,28641;0.1837:0.28025
1167610386,32371;0.1826:0.28175
1167610386,35752;0.18015:0.2836
1167610386,39169;0.1745:0.27085
1167610386,42637;0.16975:0.28
1167610386,46087;0.17855:0.28295
1167610386,49833;0.18035:0.31085
1167610386,53299;0.17285:0.29325
1167610386,57132;0.18095:0.28415
1167610386,60722;0.17525:0.3098
1167610386,64694;0.1749:0.2666
1167610386,68116;0.1753:0.2739
1167610386,71939;0.1673:0.2746
1167610386,75286;0.16995:0.27645
1167610386,79183;0.17235:0.2743
1167610386,82594;0.17225:0.28585
1167610386,86398;0.1783:0.29415
1167610386,89741;0.17025:0.2844
1167610386,93531;0.1705:0.29815
1167610386,96936;0.1648:0.2725
1167610387,00792;0.17135:0.29425
1167610387,04185;0.1753:0.297
1167610387,07973;0.1695:0.2804
1167610387,1128;0.1692:0.30595
1167610387,14642;0.17485:0.3042
1167610387,18015;0.17235:0.2792
1167610387,21392;0.1714:0.25605
1167610387,24769;0.18135:0.271
1167610387,28131;0.18055:0.28515
1167610387,31513;0.1767:0.268
1167610387,35069;0.18195:0.3007
1167610387,38452;0.1708:0.28615
1167610387,41835;0.18365:0.2786
1167610387,45214;0.1817:0.27035
1167610387,48785;0.18025:0.2742
1167610387,52169;0.18275:0.26215
1167610387,55546;0.16985:0.2683
1167610387,58935;0.1857:0.2889
1167610387,62328;0.1762:0.2816
1167610387,65716;0.18015:0.27265
1167610387,69092;0.177:0.27415
1167610387,72474;0.18235:0.2833
1167610387,75869;0.18275:0.26605
1167610387,79239;0.1815:0.2704
1167610387,82638;0.18065:0.2733
1167610387,86037;0.18175:0.26265
1167610387,8943;
1167610387,92835;0.1917:0.24455
1167610387,95346;0.1721:0.26405
1167610387,98772;0.18015:0.24025
1167610388,04545;
1167610388,12555;0.18905:0.2736
1167610388,24031;0.14685:0.35705
1167610388,35856;0.12965:0.30085
1167610388,43667;0.18235:0.26955
1167610388,47318;0.1848:0.25875
1167610388,51319;0.1826:0.2651
1167610388,54787;0.19395:0.2684
1167610388,58797;0.18845:0.2637
1167610388,62253;0.18245:0.27065
1167610388,66097;0.191:0.2545
1167610388,69656;0.1848:0.267
1167610388,73591;
1167610388,77032;0.18355:0.26165
1167610388,80881;0.19495:0.2481
1167610388,84294;0.1804:0.25095
1167610388,88121;0.1757:0.2324
1167610388,91581;0.1916:0.2602
1167610388,95492;0.17645:0.24155
1167610388,98946;0.1881:0.25525
1167610389,02752;0.18325:0.259
1167610389,06071;0.18575:0.2683
1167610389,09432;0.1891:0.2589
1167610389,128;0.1885:0.2535
1167610389,16169;0.1892:0.24255
1167610389,19538;0.19315:0.26015
1167610389,22911;0.18415:0.27295
1167610389,26282;0.1905:0.24025
1167610389,29846;0.18785:0.2537
1167610389,33223;0.186:0.25005
1167610389,36627;0.18325:0.25365
1167610389,40019;0.1899:0.2413
1167610389,43413;0.18475:0.24395
1167610389,46797;0.1827:0.24805
1167610389,50186;0.1848:0.23185
1167610389,53583;0.17755:0.23395
1167610389,56981;0.19125:0.2257
1167610389,60383;0.17715:0.22875
1167610389,63776;0.17835:0.24035
1167610389,67388;0.18855:0.23405
1167610389,71008;0.18015:0.2331
1167610389,74448;0.1782:0.22705
1167610389,779;0.1869:0.2374
1167610389,813;0.1924:0.22225
1167610389,84785;0.1891:0.244
1167610389,88244;0.1928:0.2458
1167610389,91699;0.1918:0.2554
1167610389,95169;0.1823:0.24535
1167610389,98796;0.1862:0.23155
1167610390,0221;0.19:0.23465
1167610390,05638;0.1886:0.2374
1167610390,09043;0.1794:0.2483
1167610390,128;0.1786:0.23835
1167610390,16084;0.1837:0.2424
1167610390,19413;0.18085:0.2354
1167610390,22892;0.18105:0.2195
1167610390,26213;0.1878:0.24165
1167610390,2949;0.1777:0.2352
1167610390,33113;0.18985:0.2378
1167610390,36437;0.18815:0.2495
1167610390,40137;0.18655:0.2328
1167610390,43471;0.19125:0.2248
1167610390,47324;0.19005:0.2554
1167610390,50644;0.18105:0.2219
1167610390,54406;0.19085:0.2291
1167610390,57696;0.19585:0.22555
1167610390,61587;0.18735:0.22895
1167610390,64973;0.18855:0.2321
1167610390,68783;0.1924:0.22265
1167610390,7215;0.1886:0.22385
1167610390,75967;0.1918:0.23025
1167610390,79421;0.1851:0.2158
1167610390,83332;0.19385:0.2304
1167610390,86811;0.19095:0.20465
1167610390,90651;0.1942:0.21775
1167610390,94039;0.1885:0.22265
1167610390,97506;0.18775:0.21045
1167610391,00927;0.19325:0.21675
1167610391,04354;0.19045:0.2084
1167610391,07783;0.1809:0.20975
1167610391,11198;0.18725:0.22105
1167610391,14821;0.17975:0.2276
1167610391,18197;0.1862:0.23155
1167610391,21597;0.1811:0.222
1167610391,24994;0.18015:0.2228
1167610391,28367;0.17855:0.21575
1167610391,31741;0.1793:0.2291
1167610391,35114;0.178:0.2056
1167610391,38471;0.1824:0.2118
1167610391,4183;0.1747:0.2229
1167610391,45185;0.1836:0.2171
1167610391,48533;0.18285:0.21425
1167610391,51912;0.18345:0.22785
1167610391,5527;0.1766:0.2143
1167610391,58786;0.1842:0.2208
1167610391,62288;0.1896:0.1924
1167610391,65637;0.18705:0.21775
1167610391,6899;0.19025:0.21925
1167610391,72335;0.18745:0.21925
1167610391,75691;0.1884:0.20815
1167610391,79045;0.18175:0.21305
1167610391,8242;0.185:0.19675
1167610391,85924;0.1804:0.22265
1167610391,8928;0.1846:0.19835
1167610391,9279;0.18545:0.19155
1167610391,96308;0.1855:0.21195
1167610392,00044;0.19585:0.1898
1167610392,0341;0.1917:0.18375
1167610392,06979;0.19345:0.1726
1167610392,10372;0.194:0.19095
1167610392,13784;
1167610392,17412;0.1954:0.1822
1167610392,21392;0.19125:0.1778
1167610392,25073;0.2094:0.18265
1167610392,29091;
1167610392,32597;
1167610392,36664;0.2012:0.1922
1167610392,40185;
1167610392,44307;0.1946:0.18845
1167610392,47767;0.19115:0.19
1167610392,51972;0.20065:0.1926
1167610392,55655;0.20305:0.18
1167610392,59549;
1167610392,63007;0.20385:0.1847
1167610392,65949;0.20675:0.1704
1167610392,69435;
1167610392,7338;0.20065:0.1807
1167610392,76896;0.2073:0.16395
1167610392,80808;
1167610392,84227;0.21295:0.1736
1167610392,87694;0.2086:0.14945
1167610392,91198;
1167610392,94729;
1167610392,98269;0.1944:0.18645
1167610393,01785;0.33345:0.36485
1167610393,05554;
1167610393,09109;0.37685:0.5486
1167610393,12915;0.39235:0.503
1167610393,16651;0.39275:0.5311
1167610393,20255;
1167610393,24186;0.415:0.56205
1167610393,29516;
1167610393,33414;0.31945:0.73035
1167610393,36042;0.33945:0.74285
1167610393,39618;0.3324:0.73235
1167610393,43112;0.33365:0.7391
1167610393,46542;0.33825:0.7406
1167610393,50051;0.3295:0.72655
1167610393,53484;0.30065:0.75365
1167610393,56974;0.3046:0.7657
1167610393,6046;0.31755:0.73555
1167610393,63846;0.31745:0.72645
1167610393,67346;0.31135:0.76015
1167610393,70789;0.43745:0.6732
1167610393,74174;0.44665:0.67965
1167610393,77593;0.4422:0.667
1167610393,81021;0.44705:0.67985
1167610393,8442;0.42085:0.6715
1167610393,88034;0.2997:0.4291
1167610393,91635;0.29825:0.41305
1167610393,95271;0.29005:0.4176
1167610393,98699;0.29855:0.41425
1167610394,02171;0.28955:0.4311
1167610394,05546;0.2352:0.4613
1167610394,09395;0.242:0.4734
1167610394,12688;0.2477:0.47685
1167610394,16333;0.23145:0.4781
1167610394,19591;0.24025:0.5106
1167610394,23487;
1167610394,26823;
1167610394,29344;
1167610394,31859;
1167610394,3437;
1167610394,36898;
1167610394,42009;0.23745:0.56065
1167610394,46927;
1167610394,50916;0.24145:0.48735
1167610394,53427;0.2347:0.5064
1167610394,569;0.2289:0.49885
1167610394,60182;0.22915:0.52245
1167610394,639;0.2355:0.51815
1167610394,67133;0.233:0.518
1167610394,70449;0.23865:0.5074
1167610394,73758;0.227:0.5037
1167610394,77115;0.23885:0.503
1167610394,80437;0.27365:0.50045
1167610394,83845;0.2836:0.51815
1167610394,87234;0.27475:0.51105
1167610394,9071;0.2807:0.50115
1167610394,94024;0.2816:0.50615
1167610394,97428;0.2426:0.4851
1167610395,00828;0.24485:0.512
1167610395,04189;0.2417:0.5061
1167610395,07472;0.2387:0.5093
1167610395,10742;0.238:0.5136
1167610395,14071;0.238:0.5105
1167610395,1743;0.21845:0.4636
1167610395,20805;0.22195:0.4711
1167610395,24095;0.2284:0.5114
1167610395,27422;0.226:0.50805
1167610395,30722;0.23105:0.50775
1167610395,3404;0.2276:0.5109
1167610395,37391;0.2158:0.51965
1167610395,40762;0.21165:0.523
1167610395,44116;0.21965:0.5116
1167610395,47444;0.2188:0.5154
1167610395,50713;0.2107:0.5118
1167610395,54093;0.2131:0.5154
1167610395,57352;0.21815:0.51905
1167610395,60615;0.2173:0.5131
1167610395,63997;0.2252:0.51435
1167610395,67311;
1167610395,70609;
1167610395,73392;
1167610395,75893;
1167610395,78398;
1167610395,8091;0.2588:0.4997
1167610395,83444;0.2571:0.521
1167610395,86242;0.2674:0.5005
1167610395,89581;0.28575:0.5176
1167610395,93221;0.72665:0.7819
1167610395,96566;0.7946:0.8501
1167610396,00277;0.7876:0.851
1167610396,0355;0.80395:0.84935
1167610396,07471;0.8325:0.8918
1167610396,10719;0.86905:0.89595
1167610396,1442;0.86205:0.90575
1167610396,1764;0.881:0.89475
1167610396,21315;0.87265:0.9236
1167610396,24477;0.9026:0.9231
1167610396,28059;0.9035:0.92545
1167610396,31217;0.9358:0.93085
1167610396,3483;0.74505:1.0274
1167610396,38127;0.75325:1.0331
1167610396,42189;0.76055:1.0373
1167610396,45379;0.74:1.02745
1167610396,49256;0.74895:1.0442
1167610396,5267;0.7476:1.0441
1167610396,56087;0.729:1.0529
1167610396,59415;0.7363:1.0511
1167610396,62915;0.7308:1.0524
1167610396,66393;0.7357:1.0235
1167610396,69921;0.7443:1.05195
1167610396,7345;0.73835:1.0486
1167610396,77045;0.7302:1.03765
1167610396,80627;0.928:1.10755
1167610396,84213;1.02525:1.12465
1167610396,87729;1.0411:1.13265
1167610396,91289;1.02415:1.1448
1167610396,94913;1.0216:1.143
1167610396,98515;1.0213:1.13245
1167610397,0213;1.02815:1.12515
1167610397,05713;1.0274:1.132
1167610397,09286;1.03155:1.12625
1167610397,12773;0.88825:1.06815
1167610397,16226;0.78855:1.05405
1167610397,19714;0.6142:0.67045
1167610397,2293;0.555:0.5525
1167610397,26241;0.5625:0.54305
1167610397,29877;0.5534:0.49645
1167610397,33107;0.5598:0.51605
1167610397,36345;0.54955:0.49495
1167610397,39644;0.54935:0.53015
1167610397,42985;0.6963:0.99605
1167610397,46376;0.85995:1.28515
1167610397,49688;
1167610397,53114;
1167610397,55614;
1167610397,58226;0.857:1.31685
1167610397,60616;
1167610397,63716;0.8797:1.30845
1167610397,66227;
1167610397,69593;
1167610397,72658;
1167610397,757;0.91565:1.32835
1167610397,78554;
1167610397,81999;0.9177:1.31645
1167610397,84856;
1167610397,8829;0.90645:1.3066
1167610397,91375;
1167610397,94806;0.89535:1.31115
1167610397,97733;
1167610398,01118;0.8886:1.33065
1167610398,04693;
1167610398,08193;
1167610398,11685;0.8956:1.31835
1167610398,14196;0.89665:1.35175
1167610398,17913;
1167610398,21375;
1167610398,24942;0.9255:1.36605
1167610398,27525;
1167610398,31315;0.9314:1.3616
1167610398,33824;
1167610398,37124;0.91535:1.37345
1167610398,39629;
1167610398,43022;0.91725:1.3678
1167610398,45533;
1167610398,48958;0.91325:1.37295
1167610398,5152;
1167610398,55014;0.919:1.37655
1167610398,57613;
1167610398,6112;0.56395:0.5619
1167610398,63712;0.5236:0.4271
1167610398,67812;0.52895:0.36625
1167610398,7137;0.53225:0.40045
1167610398,74769;
1167610398,78382;
1167610398,81282;0.476:0.3587
1167610398,83787;0.4567:0.34975
1167610398,87095;0.47955:0.3702
1167610398,90446;0.46825:0.3672
1167610398,93789;0.49155:0.47275
1167610398,97095;0.49575:0.4829
1167610399,00432;0.48975:0.48265
1167610399,03739;0.50125:0.465
1167610399,07024;0.49335:0.4868
1167610399,1032;0.4925:0.47815
1167610399,13614;0.46935:0.47895
1167610399,16913;0.46665:0.4764
1167610399,20205;0.47645:0.48585
1167610399,23484;0.46405:0.45915
1167610399,26732;0.47395:0.4916
1167610399,29978;0.4693:0.46465
1167610399,33208;0.47135:0.48775
1167610399,36469;0.46565:0.4805
1167610399,40055;0.48125:0.49355
1167610399,43214;0.4728:0.49765
1167610399,46428;0.4731:0.486
1167610399,49672;0.4902:0.50525
1167610399,52912;0.48755:0.5148
1167610399,5614;0.4909:0.521
