Timestamp;GazePoint
636172483958,996;
1167610534,15095;0.48705:0.5278
1167610534,18753;0.49315:0.52755
1167610534,22485;0.49225:0.5319
1167610534,26113;0.49475:0.5351
1167610534,29715;0.49435:0.52865
1167610534,33365;
1167610534,36948;
1167610534,40183;0.49855:0.5262
1167610534,43246;
1167610534,46873;0.48825:0.5203
1167610534,49915;0.6441:0.5265
1167610534,53562;0.7264:0.5541
1167610534,5716;0.7224:0.54785
1167610534,60991;0.72785:0.55025
1167610534,64724;0.72645:0.55025
1167610534,68437;0.7268:0.55475
1167610534,72094;0.7273:0.5488
1167610534,75821;0.6997:0.56985
1167610534,79537;0.65655:0.62105
1167610534,8319;0.65625:0.6111
1167610534,8683;0.6531:0.61535
1167610534,90491;0.6568:0.6202
1167610534,94097;0.6535:0.61835
1167610534,97812;0.64125:0.5444
1167610535,01553;0.63825:0.54265
1167610535,05176;0.6379:0.5349
1167610535,08842;0.6414:0.54375
1167610535,1248;0.6424:0.5363
1167610535,16172;0.6389:0.53945
1167610535,19971;0.61745:0.5126
1167610535,23668;0.5767:0.3806
1167610535,27442;0.5718:0.36515
1167610535,31088;0.57285:0.37685
1167610535,34733;0.57075:0.372
1167610535,38407;0.45645:0.4399
1167610535,42085;0.44615:0.43335
1167610535,45835;0.44515:0.4273
1167610535,49629;0.4534:0.43355
1167610535,53431;0.44705:0.4384
1167610535,57289;0.44825:0.4411
1167610535,61277;0.44825:0.4315
1167610535,65015;0.3477:0.50355
1167610535,68759;0.3388:0.48695
1167610535,72614;0.3417:0.4892
1167610535,76489;0.3471:0.49655
1167610535,80452;0.34695:0.50465
1167610535,84405;0.4256:0.64015
1167610535,88415;0.42835:0.6284
1167610535,92408;0.42935:0.6332
1167610535,96372;0.4277:0.63655
1167610536,00477;0.41225:0.6194
1167610536,04409;0.41785:0.63505
1167610536,0858;0.41985:0.6337
1167610536,12758;0.4205:0.6314
1167610536,16865;0.4141:0.6407
1167610536,20789;0.4155:0.63165
1167610536,24631;0.41965:0.64085
1167610536,28637;0.4369:0.2926
1167610536,32563;0.42245:0.1332
1167610536,36381;0.42065:0.1272
1167610536,4023;0.42465:0.1319
1167610536,43953;0.42225:0.12385
1167610536,47707;0.42325:0.1259
1167610536,5146;
1167610536,55211;
1167610536,58641;
