Timestamp;GazePoint
636172482865,533;
1167610424,81679;0.35145:1.55185
1167610424,84819;
1167610424,88748;0.3569:1.5564
1167610424,91847;
1167610424,95815;0.35585:1.5584
1167610424,98971;
1167610425,03081;
1167610425,07894;0.3511:1.5471
1167610425,11313;0.3826:0.67515
1167610425,15293;0.3976:0.4955
1167610425,19647;0.3957:0.52425
1167610425,23474;0.39755:0.51595
1167610425,27668;0.3981:0.5155
1167610425,31647;0.3942:0.5146
1167610425,35607;0.395:0.5217
1167610425,39612;0.40055:0.5295
1167610425,4365;0.39695:0.52435
1167610425,47774;0.3986:0.5134
1167610425,51726;0.4007:0.5242
1167610425,55649;0.40115:0.5242
1167610425,59438;0.4013:0.52575
1167610425,63241;0.5901:0.50325
1167610425,67096;0.66875:0.50965
1167610425,71012;0.6648:0.5147
1167610425,74879;0.6616:0.5166
1167610425,78616;0.6651:0.50965
1167610425,8242;0.6593:0.5181
1167610425,86236;0.66325:0.5162
1167610425,9004;0.6655:0.5154
1167610425,93859;
1167610425,97748;
1167610426,00412;
1167610426,03221;0.6633:0.50985
1167610426,06078;0.6624:0.50955
1167610426,0996;0.65925:0.5054
1167610426,13855;0.66225:0.5169
1167610426,1791;0.317:0.40025
1167610426,21985;0.31225:0.40625
1167610426,26032;0.31195:0.4026
1167610426,29892;0.31485:0.40265
1167610426,3377;0.31435:0.40325
1167610426,37653;0.31655:0.4176
1167610426,41583;0.31535:0.4053
1167610426,45547;0.31125:0.40565
1167610426,49628;0.363:0.37035
1167610426,53707;0.36615:0.37315
1167610426,57742;0.36835:0.3809
1167610426,61818;0.3627:0.3841
1167610426,65864;0.36145:0.3827
1167610426,69842;0.364:0.38565
1167610426,73796;0.36475:0.3801
1167610426,77833;0.3942:0.39445
1167610426,81872;0.39895:0.40845
1167610426,85867;0.4003:0.41065
1167610426,89809;0.4003:0.39665
1167610426,93797;0.3967:0.3947
1167610426,97739;0.40175:0.40255
1167610427,01762;0.40125:0.4004
1167610427,05747;0.40275:0.4061
1167610427,09716;0.4028:0.40905
1167610427,13787;0.40325:0.40675
1167610427,17759;0.40445:0.40235
1167610427,21726;0.40835:0.4037
1167610427,25824;0.40345:0.3969
1167610427,29943;0.4051:0.4025
1167610427,33896;0.40435:0.41055
1167610427,37835;0.40525:0.41355
1167610427,42092;0.4058:0.40575
1167610427,46159;0.4017:0.4038
1167610427,50308;0.4018:0.40215
1167610427,54328;0.3403:0.38485
1167610427,58532;0.3428:0.37935
1167610427,62609;0.3468:0.38555
1167610427,66861;0.34565:0.3747
1167610427,71123;0.3469:0.38265
1167610427,75256;0.34895:0.37575
1167610427,79375;0.34655:0.37545
1167610427,83466;0.34735:0.37855
1167610427,87548;0.3441:0.3802
1167610427,91651;0.34165:0.37435
1167610427,95757;0.3741:0.37075
1167610427,99947;0.6987:0.36735
1167610428,04058;0.69555:0.3706
1167610428,08331;0.6986:0.3771
1167610428,12475;0.69725:0.36565
1167610428,16671;0.6963:0.3665
1167610428,20829;0.69805:0.37675
1167610428,25138;0.8636:0.27225
1167610428,29467;0.89905:0.2744
1167610428,34022;0.89535:0.273
1167610428,38467;0.89395:0.2634
1167610428,43484;0.89455:0.2598
1167610428,47731;0.8901:0.26435
1167610428,52041;0.9694:0.30885
1167610428,56546;1.5364:0.72355
1167610428,66426;
1167610428,8251;
1167610429,00258;
1167610429,04469;
1167610429,09283;
1167610429,12629;
1167610429,16114;
1167610429,19386;
1167610429,22891;
1167610429,26459;
1167610429,29929;
1167610429,33616;
1167610429,37336;
1167610429,41083;
1167610429,44514;
1167610429,48629;0.73625:1.1445
1167610429,54091;0.74515:1.14645
1167610429,59112;0.74595:1.1482
1167610429,64027;0.7394:1.13565
1167610429,68695;0.7558:1.1549
1167610429,73328;0.74335:1.1458
1167610429,77939;0.70445:1.13575
1167610429,82669;0.71695:1.1243
1167610429,8736;0.71615:1.10235
1167610429,92032;0.72015:1.1062
1167610429,96657;0.71125:1.12005
1167610430,01192;0.7046:1.1346
1167610430,0581;0.72375:1.11175
1167610430,10758;0.79535:0.38095
1167610430,15244;0.785:0.28905
1167610430,2028;0.79585:0.3596
1167610430,24507;0.79025:0.3654
1167610430,29317;0.7947:0.36935
1167610430,34817;0.7961:0.3628
1167610430,39668;0.79045:0.37735
1167610430,44266;0.78855:0.3975
1167610430,49713;0.9068:0.35475
1167610430,54113;0.90605:0.36535
1167610430,58447;0.905:0.36655
1167610430,62627;0.908:0.3596
1167610430,66742;
1167610430,7079;0.90575:0.3635
1167610430,73716;0.90595:0.36705
1167610430,77732;0.90255:0.3725
1167610430,81809;0.90445:0.3739
1167610430,858;0.8607:0.4797
1167610430,89899;0.8587:0.47595
1167610430,9407;0.85635:0.49055
1167610430,98115;0.8563:0.46675
1167610431,02188;0.85545:0.486
1167610431,06338;0.8819:0.48445
1167610431,10482;0.8792:0.497
1167610431,14663;0.8815:0.4764
1167610431,18788;0.88275:0.4726
1167610431,22928;0.881:0.48365
1167610431,27107;0.8776:0.4868
1167610431,31279;0.8812:0.4781
1167610431,35565;0.8832:0.48765
1167610431,39955;0.881:0.4866
1167610431,44294;0.87925:0.49005
1167610431,48509;0.87715:0.48425
1167610431,52756;0.87985:0.47665
1167610431,57126;0.87735:0.4851
1167610431,61316;0.98795:0.57855
1167610431,65556;
1167610431,6953;
1167610431,72613;
1167610431,76978;
1167610431,79981;
1167610431,83639;
1167610431,86264;
1167610431,89439;
1167610431,9258;
1167610431,96318;
1167610431,99235;
1167610432,02974;
1167610432,05908;
1167610432,08864;
1167610432,11975;
1167610432,15796;
1167610432,2022;
1167610432,24467;
1167610432,2829;
1167610432,3212;
1167610432,36499;
1167610432,4086;
1167610432,44671;
1167610432,48481;
1167610432,52939;
1167610432,5739;
1167610432,61305;
1167610432,65166;
1167610432,68985;
1167610432,72781;
1167610432,76559;
1167610432,80336;
1167610432,84113;
1167610432,87893;
1167610432,91679;
1167610432,95457;
1167610432,9923;
1167610433,03009;
1167610433,07588;
1167610433,11596;
1167610433,1618;
1167610433,20778;
1167610433,25376;
1167610433,29973;
1167610433,34411;
1167610433,38257;
1167610433,42674;
1167610433,47098;
1167610433,51527;
1167610433,55948;
1167610433,59866;
1167610433,63737;
1167610433,67575;
1167610433,71379;
1167610433,75174;
1167610433,78965;
1167610433,82754;
1167610433,86548;
1167610433,90339;
1167610433,94133;
1167610433,97926;
1167610434,0172;
1167610434,06313;
1167610434,10342;
1167610434,14935;
1167610434,19538;
1167610434,24131;
1167610434,28736;
1167610434,33024;
1167610434,36732;
1167610434,41018;
1167610434,45307;
1167610434,49596;
1167610434,5389;
1167610434,58182;
1167610434,61899;
1167610434,66193;
1167610434,70488;
1167610434,74781;
1167610434,79074;
1167610434,83405;
1167610434,87165;
1167610434,91493;
1167610434,95832;
1167610435,00176;
1167610435,04507;
1167610435,0884;
1167610435,12607;
1167610435,1694;
1167610435,21283;
1167610435,2562;
1167610435,2995;
1167610435,34334;
1167610435,38132;
1167610435,42507;
1167610435,46887;
1167610435,5086;
1167610435,54824;
1167610435,5879;
1167610435,62758;
1167610435,68006;
1167610435,7197;
1167610435,76224;0.51145:0.5156
1167610435,82953;0.5163:0.52345
1167610435,90157;0.3505:0.7564
1167610435,94541;0.35385:0.75845
1167610435,99356;0.3535:0.75345
1167610436,0375;0.29335:0.70705
1167610436,08287;0.2931:0.71285
1167610436,12662;0.2923:0.707
1167610436,17076;0.28865:0.71065
1167610436,21242;0.2983:0.7058
1167610436,2557;0.29685:0.71125
1167610436,29867;0.29095:0.7257
1167610436,34261;0.2946:0.71785
1167610436,39268;0.29225:0.71785
1167610436,43558;0.5441:0.59635
1167610436,47838;0.75225:0.5367
1167610436,52061;0.7527:0.54195
1167610436,5721;0.7638:0.5459
1167610436,6152;0.7612:0.53845
1167610436,65798;0.72985:0.5119
1167610436,69941;0.7261:0.5052
1167610436,74038;0.72465:0.5034
1167610436,78455;0.723:0.51835
1167610436,82738;0.73075:0.4936
1167610436,86913;0.7258:0.49725
1167610436,9104;0.72865:0.49575
1167610436,95077;0.72835:0.49135
1167610436,99131;0.72705:0.50165
1167610437,03176;0.73015:0.4888
1167610437,07246;0.7277:0.4898
1167610437,11291;0.73155:0.48725
1167610437,15345;0.72955:0.4902
1167610437,19409;0.73065:0.496
1167610437,23379;0.5757:0.53365
1167610437,27345;0.31905:0.69325
1167610437,31497;0.2932:0.6649
1167610437,35547;0.29405:0.671
1167610437,39576;0.2936:0.668
1167610437,43718;0.31955:0.6823
1167610437,47874;0.3227:0.68735
1167610437,52022;0.32155:0.68555
1167610437,56128;0.32205:0.6838
1167610437,60257;0.3202:0.68665
1167610437,64419;0.32025:0.6835
1167610437,68532;0.32255:0.6966
1167610437,7267;0.5414:0.6429
1167610437,76807;0.8503:0.63515
1167610437,81087;0.86275:0.63165
1167610437,85497;0.86515:0.6313
1167610437,89568;0.86115:0.63285
1167610437,93671;0.85945:0.6363
1167610437,97725;0.85955:0.6332
1167610438,01755;0.8596:0.64175
1167610438,05824;0.8579:0.5598
1167610438,09919;0.85075:0.5706
1167610438,14174;0.8527:0.57005
1167610438,18299;0.85075:0.58765
1167610438,22407;0.86195:0.66565
1167610438,26491;0.85835:0.6744
1167610438,30577;0.8653:0.66745
1167610438,34575;0.86005:0.66
1167610438,38559;0.86095:0.6726
1167610438,4256;0.85845:0.68365
1167610438,46594;0.85925:0.67785
1167610438,50659;0.86295:0.67555
1167610438,54774;0.85565:0.68215
1167610438,58868;0.86245:0.6786
1167610438,62865;0.8696:0.67385
1167610438,66936;0.85945:0.6718
1167610438,70857;0.85925:0.67775
1167610438,74983;0.86135:0.6693
1167610438,79329;0.8599:0.67995
1167610438,8337;0.86275:0.68025
1167610438,87578;1.41615:0.6985
1167610438,9186;
1167610439,00136;
1167610439,04576;
1167610439,11115;
1167610439,15465;
