Timestamp;GazePoint
636172482168,873;
1167610355,16213;
1167610355,20127;0.37465:1.49115
1167610355,23209;
1167610355,27254;0.3972:1.2247
1167610355,30538;0.4573:0.5103
1167610355,3465;0.49795:0.2605
1167610355,38792;0.4979:0.24045
1167610355,42757;0.50145:0.2463
1167610355,46812;0.5008:0.262
1167610355,50914;0.30225:0.43195
1167610355,54853;0.30375:0.43585
1167610355,58816;0.2946:0.43545
1167610355,63563;0.3019:0.45075
1167610355,67626;0.2987:0.44435
1167610355,71621;0.2981:0.4439
1167610355,75507;0.3012:0.4568
1167610355,79445;0.3008:0.44895
1167610355,83385;0.25005:0.3926
1167610355,87418;0.24025:0.3923
1167610355,91408;0.2266:0.39495
1167610355,95315;0.2248:0.39975
1167610355,99533;0.2198:0.4028
1167610356,03311;0.21645:0.40745
1167610356,0735;0.2178:0.40295
1167610356,11391;0.21815:0.4099
1167610356,15375;0.21805:0.3973
1167610356,19494;0.2227:0.39965
1167610356,23375;0.55445:0.39835
1167610356,27252;0.71125:0.4221
1167610356,31212;0.71315:0.4248
1167610356,35249;0.7436:0.42195
1167610356,39148;0.73345:0.4215
1167610356,43617;0.7344:0.41295
1167610356,47722;0.73585:0.42
1167610356,51799;0.7373:0.43375
1167610356,559;0.73125:0.4293
1167610356,59942;0.72855:0.42625
1167610356,63941;0.7599:0.44775
1167610356,67855;0.7647:0.44535
1167610356,71859;0.76395:0.4521
1167610356,75929;0.77155:0.4407
1167610356,79919;0.76805:0.4528
1167610356,84111;0.7703:0.44565
1167610356,8819;0.7173:0.805
1167610356,92384;0.70645:0.83505
1167610356,96378;0.70385:0.83455
1167610357,00311;0.70595:0.8231
1167610357,04224;0.7089:0.84845
1167610357,08309;0.5374:0.8473
1167610357,12092;0.5238:0.8546
1167610357,15863;0.5261:0.84
1167610357,19768;0.5227:0.8525
1167610357,23527;0.52315:0.84295
1167610357,27339;0.52465:0.8478
1167610357,31114;0.52545:0.8527
1167610357,34868;0.4433:0.83385
1167610357,38619;0.44175:0.8406
1167610357,42333;0.44415:0.8333
1167610357,46041;0.44235:0.83025
1167610357,49931;0.44355:0.83335
1167610357,53794;0.4388:0.828
1167610357,57567;0.4394:0.83535
1167610357,61308;0.3234:0.8377
1167610357,65036;0.3252:0.82875
1167610357,68815;0.3266:0.8312
1167610357,72606;0.3243:0.82955
1167610357,76385;0.3259:0.82565
1167610357,80181;0.32525:0.83
1167610357,83982;0.31255:0.83985
1167610357,87786;0.31105:0.84465
1167610357,91643;0.31415:0.8371
1167610357,95645;0.3116:0.84945
1167610357,99575;0.3122:0.5792
1167610358,03567;0.29855:0.38925
1167610358,07835;0.3015:0.3846
1167610358,12182;0.2786:0.406
1167610358,18116;0.27115:0.4228
1167610358,22915;0.2792:0.41025
1167610358,26781;0.27795:0.42025
1167610358,31038;0.2769:0.41545
1167610358,35394;0.2812:0.412
1167610358,39617;0.2362:0.4826
1167610358,43782;0.23405:0.4879
1167610358,4791;0.23:0.49185
1167610358,5231;0.2347:0.47805
1167610358,56739;0.2311:0.486
1167610358,61166;0.2306:0.48245
1167610358,65562;0.16865:0.41205
1167610358,69719;0.16925:0.41555
1167610358,73873;0.16695:0.40905
1167610358,77989;0.1699:0.40875
1167610358,82456;
1167610358,86843;0.10895:0.4388
1167610358,89909;0.11705:0.44435
1167610358,9417;0.12245:0.44415
1167610358,98828;0.12425:0.43695
1167610359,03408;0.11745:0.448
1167610359,08242;0.2276:0.27725
1167610359,12667;0.3484:0.1309
1167610359,17046;0.35715:0.12355
1167610359,21676;0.35305:0.1287
1167610359,26189;0.3419:0.13735
1167610359,30724;0.34735:0.12645
1167610359,35451;0.3497:0.1359
1167610359,39776;0.30925:0.0902
1167610359,44174;0.30485:0.0897
1167610359,48608;0.3043:0.09775
1167610359,53242;0.30295:0.0962
1167610359,57611;0.2999:0.101
1167610359,6188;0.3823:0.1213
1167610359,66261;0.38825:0.1137
1167610359,70614;0.38875:0.12845
1167610359,75137;0.39245:0.1198
1167610359,79446;0.39345:0.11695
1167610359,83761;0.3866:0.1227
1167610359,88059;0.62465:0.11855
1167610359,92522;0.6284:0.0985
1167610359,97013;0.62795:0.11995
1167610360,0201;0.6286:0.09975
1167610360,06438;0.62765:0.11735
1167610360,11725;0.63335:0.1087
1167610360,16454;0.2744:0.4125
1167610360,21046;0.255:0.4304
1167610360,2548;0.25935:0.43325
1167610360,2972;0.26005:0.43935
1167610360,34232;0.2642:0.4412
1167610360,38675;0.26115:0.4371
1167610360,4303;0.26345:0.4366
1167610360,47389;0.3456:0.17325
1167610360,51657;0.3871:0.12395
1167610360,5589;0.38995:0.12525
1167610360,60176;0.38655:0.1306
1167610360,64563;0.37985:0.125
1167610360,68846;0.3858:0.1287
1167610360,72998;0.38835:0.1296
1167610360,77371;0.44125:0.0902
1167610360,81657;0.4435:0.09155
1167610360,8605;0.44615:0.09855
1167610360,90348;0.44815:0.1026
1167610360,94686;0.44275:0.10285
1167610360,98989;0.4417:0.08745
1167610361,03527;0.224:0.40355
1167610361,0799;0.22025:0.4113
1167610361,12579;0.2174:0.4196
1167610361,17138;0.2084:0.4195
1167610361,21713;0.20875:0.4194
1167610361,26249;0.21025:0.4173
1167610361,3155;0.21405:0.4121
1167610361,36083;0.24105:0.4161
1167610361,40576;0.25635:0.41565
1167610361,45148;0.25475:0.4215
1167610361,49767;0.25745:0.41965
1167610361,54623;0.2813:0.4157
1167610361,59174;0.30145:0.41785
1167610361,63858;0.307:0.39935
1167610361,68373;0.2994:0.4049
1167610361,72756;0.30275:0.41125
1167610361,76927;0.30175:0.4105
1167610361,81319;0.30795:0.4162
1167610361,85639;0.3042:0.4077
1167610361,90129;0.30195:0.41815
1167610361,94223;0.3065:0.4052
1167610361,98442;0.3502:0.4082
1167610362,02851;0.71405:0.39315
1167610362,07112;0.7162:0.3918
1167610362,11583;0.74215:0.39525
1167610362,15859;0.74085:0.40105
1167610362,20339;0.74405:0.40145
1167610362,24544;0.73905:0.39405
1167610362,28935;0.72135:0.39865
1167610362,3416;0.6472:0.34305
1167610362,38843;0.6455:0.35205
1167610362,42886;0.64495:0.34285
1167610362,46713;0.64895:0.34465
1167610362,50839;0.65035:0.3442
1167610362,54959;0.65425:0.34395
1167610362,59023;0.6481:0.33825
1167610362,63191;0.65165:0.34735
1167610362,67316;0.6461:0.3391
1167610362,71476;0.6475:0.34095
1167610362,75645;0.6518:0.3422
1167610362,79844;0.4871:0.3016
1167610362,84043;0.28505:0.28495
1167610362,88214;0.26905:0.2826
1167610362,93292;0.2719:0.2839
1167610362,97706;0.2472:0.29585
1167610363,02978;0.2529:0.30675
1167610363,07588;0.2538:0.29765
1167610363,11934;0.255:0.29425
1167610363,16338;0.22405:0.39925
1167610363,20772;0.22115:0.4152
1167610363,25254;0.2266:0.4071
1167610363,2965;0.2223:0.4155
1167610363,33925;0.2215:0.41385
1167610363,38175;0.2269:0.40815
1167610363,42421;0.22395:0.413
1167610363,47012;0.21625:0.42385
1167610363,51219;0.21395:0.4259
1167610363,55561;0.2191:0.4222
1167610363,60129;0.21775:0.42865
1167610363,64624;0.2721:0.48065
1167610363,69056;0.2643:0.49235
1167610363,73511;0.26595:0.48775
1167610363,77832;0.262:0.4834
1167610363,82133;0.2664:0.4857
1167610363,86613;0.267:0.49135
1167610363,90772;0.25695:0.4921
1167610363,95209;0.25955:0.50415
1167610363,99548;0.2564:0.5062
1167610364,03933;0.2589:0.5017
