Timestamp;GazePoint
073,02099;
1167610073,06561;
1167610073,10459;0.245:0.22915
1167610073,14312;0.25085:0.24225
1167610073,22307;0.0846:0.28155
1167610073,28374;
1167610073,33944;0.10805:0.1834
1167610073,39777;0.1363:0.08625
1167610073,47126;0.0975:0.21855
1167610073,52766;0.09815:0.2281
1167610073,59536;0.1075:0.22125
1167610073,65245;0.12325:0.1413
1167610073,71449;0.11245:0.1663
1167610073,78431;0.1161:0.2535
1167610073,8435;0.11875:0.1841
1167610073,89877;0.12385:0.1747
1167610073,96716;0.1046:0.2285
1167610074,02109;0.1302:0.1712
1167610074,07822;0.08575:0.27835
1167610074,13072;0.09055:0.27105
1167610074,16759;0.30355:0.3434
1167610074,20121;0.3935:0.36385
1167610074,25812;0.39795:0.3381
1167610074,31231;0.38025:0.3783
1167610074,37351;0.389:0.3812
1167610074,41211;0.38395:0.38175
1167610074,44854;0.3909:0.3867
1167610074,48509;0.3919:0.3734
1167610074,52158;0.3886:0.3794
1167610074,55815;0.3908:0.37775
1167610074,5947;0.38895:0.365
1167610074,63122;0.39135:0.3741
1167610074,66868;0.38595:0.3827
1167610074,70611;0.3869:0.3783
1167610074,74357;0.3328:0.3744
1167610074,7813;0.2856:0.36165
1167610074,81876;0.28715:0.363
1167610074,85611;0.2839:0.35975
1167610074,8926;0.28855:0.3611
1167610074,92915;0.2823:0.37185
1167610074,96727;0.28645:0.3702
1167610075,00066;0.28865:0.3629
1167610075,03508;0.2887:0.3648
1167610075,07019;0.28885:0.3681
1167610075,1063;0.29025:0.36365
1167610075,14338;0.28825:0.3661
1167610075,17998;0.29495:0.3547
1167610075,21693;0.2909:0.3634
1167610075,25525;0.28895:0.3621
1167610075,29342;0.29115:0.3621
1167610075,33098;0.28905:0.36045
1167610075,36886;0.29:0.38125
1167610075,40699;0.2845:0.3752
1167610075,4493;0.27725:0.38135
1167610075,48707;0.2811:0.3831
1167610075,52519;0.2807:0.37915
1167610075,56466;0.28335:0.38025
1167610075,60271;0.2854:0.3838
1167610075,64379;0.2878:0.37505
1167610075,6813;0.28635:0.3871
1167610075,72221;0.2887:0.38335
1167610075,75981;0.28865:0.38465
1167610075,80347;0.26365:0.39065
1167610075,84214;0.26395:0.38355
1167610075,88418;0.26765:0.38375
1167610075,92214;0.26565:0.39295
1167610075,96558;0.263:0.3899
1167610076,00425;0.26665:0.38495
1167610076,04688;0.2663:0.3854
1167610076,08392;0.2627:0.38585
1167610076,12614;0.2648:0.3806
1167610076,16373;0.2666:0.38665
1167610076,20597;0.24675:0.3906
1167610076,24398;0.2554:0.3961
1167610076,28539;0.25395:0.39605
1167610076,32311;0.2569:0.384
1167610076,36278;0.25505:0.3987
1167610076,40154;0.25385:0.39575
1167610076,44029;0.2508:0.3906
1167610076,47929;0.2588:0.3962
1167610076,51771;0.25475:0.3939
1167610076,55689;0.2551:0.39105
1167610076,59439;0.2538:0.4011
1167610076,63206;0.25545:0.40155
1167610076,66944;0.26005:0.39255
1167610076,70778;0.25255:0.39535
1167610076,74542;0.2533:0.393
1167610076,78369;0.25985:0.39635
1167610076,82176;0.26235:0.39715
1167610076,85936;0.25375:0.3964
1167610076,89798;0.2564:0.3844
1167610076,93574;0.4482:0.3815
1167610076,97417;0.45275:0.3824
1167610077,01351;0.449:0.3832
1167610077,05114;0.448:0.3905
1167610077,08884;0.44485:0.3855
1167610077,12641;0.40545:0.38995
1167610077,16412;0.4124:0.38125
1167610077,20233;0.40475:0.3946
1167610077,2417;0.41055:0.39215
1167610077,28152;0.40765:0.3864
1167610077,32011;0.41015:0.39045
1167610077,3596;0.41125:0.38065
1167610077,40117;0.4098:0.39155
1167610077,4395;0.41215:0.389
1167610077,47735;0.41125:0.3931
1167610077,51591;0.41105:0.38775
1167610077,55541;0.40755:0.38165
1167610077,59827;0.39545:0.39405
1167610077,63819;0.39645:0.39875
1167610077,67873;0.3915:0.4016
1167610077,72139;0.39335:0.3914
1167610077,76088;0.39055:0.4
1167610077,80615;0.38885:0.3903
1167610077,84544;0.39275:0.38985
1167610077,88861;0.39055:0.3952
1167610077,92737;0.3948:0.39285
1167610077,97172;0.3931:0.3895
1167610078,01114;0.39375:0.3977
1167610078,05496;0.39105:0.39845
1167610078,09383;0.3897:0.40435
1167610078,13631;0.39005:0.3987
1167610078,17489;0.389:0.40325
1167610078,21879;0.3888:0.4038
1167610078,25751;0.3844:0.40115
1167610078,2991;0.38965:0.39365
1167610078,33571;0.38865:0.39705
1167610078,37242;0.3937:0.4008
1167610078,41011;0.388:0.38575
1167610078,44697;0.38655:0.3907
1167610078,48451;0.39125:0.38975
1167610078,52387;0.3938:0.3819
1167610078,56158;0.3859:0.3897
1167610078,60033;0.39455:0.39175
1167610078,63931;0.3941:0.3936
1167610078,67815;0.3879:0.38485
1167610078,71808;0.39395:0.3834
1167610078,75812;0.39505:0.38155
1167610078,79794;0.39545:0.39125
1167610078,83644;0.3951:0.38945
1167610078,87614;0.39375:0.39145
1167610078,91544;0.4002:0.38995
1167610078,95438;0.4016:0.39425
1167610078,99429;0.39225:0.3908
1167610079,03383;0.39335:0.3943
1167610079,07362;0.2868:0.45455
1167610079,11407;0.27735:0.4622
1167610079,15459;0.289:0.4553
1167610079,20022;0.289:0.45275
1167610079,23948;0.28405:0.45065
1167610079,27833;0.279:0.4517
1167610079,31797;0.28585:0.44895
1167610079,36457;0.2821:0.4604
1167610079,40683;0.27915:0.44655
1167610079,44607;0.282:0.44495
1167610079,4851;0.2772:0.45325
1167610079,52423;0.25515:0.45685
1167610079,56313;0.25435:0.462
1167610079,60578;0.2575:0.46505
1167610079,64416;0.25045:0.4681
1167610079,68712;0.24955:0.4621
1167610079,72667;0.24815:0.4641
1167610079,77338;0.2515:0.471
