Timestamp;GazePoint
636199269910,972;
1167610108,96436;0.51565:0.57435
1167610109,0077;0.51045:0.57495
1167610109,04981;0.5088:0.55155
1167610109,09357;0.50545:0.5607
1167610109,13531;0.5102:0.5708
1167610109,17512;0.5136:0.57115
1167610109,21733;0.51385:0.5642
1167610109,25866;0.50945:0.56385
1167610109,29895;0.65865:0.6039
1167610109,34014;0.6632:0.6014
1167610109,39115;0.667:0.60535
1167610109,44316;0.6646:0.6125
1167610109,48514;0.71285:0.6292
1167610109,53485;0.7109:0.63245
1167610109,57852;0.70795:0.65135
1167610109,62562;0.71045:0.6332
1167610109,66916;0.6943:0.6665
1167610109,71715;0.69145:0.6842
1167610109,76;0.68865:0.6722
1167610109,81594;0.69525:0.6717
1167610109,85912;0.69895:0.7633
1167610109,9144;0.70935:0.7681
1167610109,95699;0.70275:0.76305
1167610110,00645;0.70085:0.7759
1167610110,05661;0.70275:0.8193
1167610110,10389;0.70405:0.81
1167610110,14577;0.70625:0.83575
1167610110,19293;0.7084:0.834
1167610110,23512;0.70075:0.8243
1167610110,28246;0.7006:0.823
1167610110,32364;0.7033:0.83235
1167610110,37073;0.70635:0.81985
1167610110,41206;0.70245:0.8147
1167610110,45414;0.71805:0.8311
1167610110,49667;0.7173:0.85115
1167610110,53976;0.71705:0.82855
1167610110,59121;0.7161:0.82265
1167610110,63359;0.71585:0.823
1167610110,67499;0.7117:0.83095
1167610110,71687;0.7043:0.82145
1167610110,75808;0.70845:0.8166
1167610110,8002;0.7049:0.82815
1167610110,84189;0.71365:0.82585
1167610110,89151;0.7379:0.62035
1167610110,93185;0.73185:0.6383
1167610110,9741;0.73345:0.6394
1167610111,01542;0.7278:0.6391
1167610111,05845;0.72735:0.6418
1167610111,10174;0.7358:0.6446
1167610111,14523;0.7329:0.68075
1167610111,19088;0.73195:0.66855
1167610111,2355;0.7285:0.67245
1167610111,29054;0.7342:0.67585
1167610111,34263;0.75005:0.57655
1167610111,38909;0.7467:0.5732
1167610111,44307;0.74375:0.581
1167610111,48851;0.7475:0.5748
1167610111,54092;0.73525:0.557
1167610111,58626;0.7444:0.5534
1167610111,63516;0.73425:0.5563
1167610111,68941;0.78185:0.39745
1167610111,7416;0.7815:0.39575
1167610111,79858;0.77655:0.40175
1167610111,86125;0.6022:0.3528
1167610111,92076;0.6046:0.35775
1167610111,98156;0.599:0.36275
1167610112,0368;0.5798:0.39885
1167610112,09581;0.57315:0.40235
1167610112,15533;0.57485:0.40455
1167610112,20543;0.57705:0.3937
1167610112,26253;
1167610112,31588;
1167610112,36523;0.26055:0.18885
1167610112,42773;0.25835:0.1672
1167610112,49634;
1167610112,54555;0.262:0.1991
1167610112,57509;0.4614:0.22365
1167610112,63184;0.2754:0.1906
1167610112,68278;0.5768:0.3481
1167610112,73334;0.58985:0.3567
1167610112,78351;0.58355:0.3551
1167610112,83238;0.58395:0.37955
1167610112,88192;0.59465:0.398
1167610112,93277;0.60185:0.39255
1167610112,98152;0.59305:0.3921
1167610113,03277;0.63775:0.4099
1167610113,08484;0.66365:0.41835
1167610113,13769;0.6496:0.4143
1167610113,19181;0.65565:0.4158
1167610113,24468;0.24565:0.19235
1167610113,29156;0.24155:0.18055
1167610113,3473;0.24295:0.1875
1167610113,40018;0.2493:0.1964
1167610113,45195;0.26945:0.18205
1167610113,50381;0.25735:0.17715
1167610113,55624;0.26065:0.18595
1167610113,61008;0.26035:0.18815
1167610113,66074;0.25885:0.2016
1167610113,71491;
1167610113,76458;0.2548:0.19
1167610113,8024;0.2587:0.20945
1167610113,85018;0.2687:0.21695
1167610113,9041;0.2655:0.21875
1167610113,95815;0.2694:0.21295
1167610114,01278;0.2684:0.2003
1167610114,06017;0.26835:0.21855
1167610114,1164;0.2593:0.1975
1167610114,17098;0.26835:0.2113
1167610114,22323;0.2592:0.21305
1167610114,27155;0.2553:0.2189
1167610114,32395;0.2559:0.2063
1167610114,37066;0.06345:0.17665
1167610114,42191;0.0644:0.19425
1167610114,46864;0.0834:0.19845
1167610114,51946;0.085:0.19965
1167610114,57218;0.08545:0.19815
1167610114,62548;0.08565:0.20295
1167610114,67546;0.3469:0.2579
1167610114,73144;0.0941:0.19065
1167610114,77932;0.10445:0.1724
1167610114,83278;0.0928:0.16385
1167610114,87828;0.10255:0.153
1167610114,93325;0.09565:0.153
1167610114,99006;0.324:0.263
1167610115,042;0.10545:0.1599
1167610115,09686;0.1022:0.16415
1167610115,15048;0.08555:0.14545
1167610115,20479;
1167610115,26018;0.6723:0.12565
1167610115,31377;
1167610115,35983;
1167610115,38639;
1167610115,44612;0.52105:0.3532
1167610115,48945;0.53105:0.33015
1167610115,54225;0.5275:0.2011
1167610115,59379;0.9274:0.1503
1167610115,64621;
1167610115,69611;0.8588:0.13005
1167610115,73185;0.85545:0.13755
1167610115,78352;0.86505:0.1047
1167610115,84398;0.86115:0.11155
1167610115,89567;0.8586:0.10825
1167610115,9472;0.93485:0.1746
1167610116,00354;0.94705:0.17265
1167610116,05297;
