Timestamp;GazePoint
636199269223,843;
1167610040,27213;0.5012:0.5721
1167610040,31783;0.5069:0.56925
1167610040,36078;0.50485:0.556
1167610040,41173;0.49955:0.5619
1167610040,46179;0.50415:0.5621
1167610040,50728;0.5078:0.5686
1167610040,55809;0.50665:0.55255
1167610040,60375;0.5018:0.5478
1167610040,65325;0.4188:0.52615
1167610040,70566;0.3208:0.51375
1167610040,75062;0.31345:0.54045
1167610040,79893;0.3308:0.5242
1167610040,84094;0.3098:0.5297
1167610040,89088;0.3123:0.5111
1167610040,93586;0.3093:0.51485
1167610040,98581;0.32015:0.5027
1167610041,03655;0.3336:0.5719
1167610041,07867;0.3185:0.58695
1167610041,12751;0.3396:0.57945
1167610041,17835;0.34055:0.5648
1167610041,23449;0.34575:0.60235
1167610041,28178;0.34295:0.5921
1167610041,34184;0.34605:0.5967
1167610041,39519;0.22945:0.59715
1167610041,44672;0.22045:0.5963
1167610041,49162;0.2287:0.6121
1167610041,53984;0.2036:0.6308
1167610041,58965;0.20755:0.64435
1167610041,6416;0.2003:0.6419
1167610041,68929;0.20475:0.642
1167610041,74317;0.20355:0.64645
1167610041,79139;0.204:0.6461
1167610041,8416;0.1995:0.6233
1167610041,88681;0.20025:0.6324
1167610041,93835;0.202:0.62625
1167610041,9853;0.2028:0.6447
1167610042,0359;0.1233:0.74065
1167610042,07834;0.12425:0.74355
1167610042,12632;0.1166:0.7395
1167610042,17122;0.12025:0.732
1167610042,2212;0.1153:0.731
1167610042,26786;0.1225:0.74635
1167610042,31267;0.20875:0.8316
1167610042,35944;
1167610042,40269;
1167610042,45313;0.2697:0.8638
1167610042,50642;0.2581:0.8861
1167610042,55057;0.2432:0.9105
1167610042,59621;0.2457:0.91895
1167610042,64256;0.2379:0.91345
1167610042,68494;0.2441:0.9065
1167610042,73082;
1167610042,77319;0.2463:0.89365
1167610042,81547;0.25635:0.90095
1167610042,85866;0.2531:0.9003
1167610042,90118;0.2516:0.9025
1167610042,94498;0.25095:0.9025
1167610042,99178;0.25045:0.90335
1167610043,03793;
1167610043,08338;0.2375:0.87225
1167610043,12162;0.23965:0.87455
1167610043,16812;0.2383:0.8717
1167610043,21488;0.24005:0.8769
1167610043,26259;0.23895:0.87155
1167610043,31065;0.23705:0.8738
1167610043,35344;0.24875:0.89325
1167610043,40118;0.24845:0.89285
1167610043,44522;0.2466:0.9031
1167610043,49368;0.24755:0.8932
1167610043,54309;0.2481:0.89385
1167610043,59554;0.24675:0.89635
1167610043,64586;
1167610043,69906;0.25155:0.8982
1167610043,74722;0.25355:0.90125
1167610043,80162;0.25695:0.89815
1167610043,86289;0.25525:0.90105
1167610043,91605;0.2596:0.91035
1167610043,9653;0.23355:0.2309
1167610044,02026;0.2399:0.22745
1167610044,0629;0.23725:0.2389
1167610044,11127;0.23795:0.24285
1167610044,15411;0.23815:0.27405
1167610044,20064;0.2328:0.1078
1167610044,24342;0.24925:0.11135
1167610044,29724;0.24:0.1274
1167610044,33969;0.2471:0.11835
1167610044,38545;0.2272:0.1238
1167610044,42694;0.2335:0.1091
1167610044,47207;0.239:0.11635
1167610044,51276;0.23835:0.11985
1167610044,55362;0.22505:0.1228
1167610044,59481;0.2167:0.12135
1167610044,64134;0.20795:0.1344
1167610044,68825;0.22195:0.11715
1167610044,74306;0.22775:0.1392
1167610044,78999;0.22325:0.12885
1167610044,83164;0.2114:0.1502
1167610044,87381;0.2172:0.13295
1167610044,9292;0.21985:0.1221
1167610044,97607;0.48325:0.136
1167610045,0223;0.78575:0.2021
1167610045,06981;0.8006:0.22065
1167610045,12009;0.76585:0.1924
1167610045,16238;0.8352:0.2265
1167610045,21743;0.8353:0.213
1167610045,26069;0.79255:0.18205
1167610045,30666;0.79365:0.1674
1167610045,36357;0.796:0.1667
1167610045,41012;0.7931:0.1728
1167610045,46017;0.75525:0.1386
1167610045,50697;0.79975:0.1374
1167610045,54959;0.792:0.1367
1167610045,59451;0.80015:0.13855
1167610045,63994;0.75895:0.495
1167610045,68951;0.75745:0.59845
1167610045,74577;0.76495:0.5904
1167610045,7995;0.7643:0.5777
1167610045,84706;0.77815:0.56235
1167610045,90097;0.77785:0.56435
1167610045,95384;0.77735:0.5471
