Timestamp;GazePoint
636199268727,394;
1167609990,61308;0.49625:0.5244
1167609990,66332;0.4954:0.53715
1167609990,70736;0.4878:0.5371
1167609990,7558;0.49985:0.55405
1167609990,7982;0.4968:0.54355
1167609990,84752;0.50005:0.55415
1167609990,89166;0.4973:0.5543
1167609990,93963;0.506:0.56925
1167609990,98275;0.4957:0.54845
1167609991,03112;0.502:0.55875
1167609991,07551;0.5489:0.4267
1167609991,12552;0.5571:0.45515
1167609991,17042;0.5549:0.4519
1167609991,22006;0.6149:0.45895
1167609991,2726;0.6069:0.4346
1167609991,31769;0.61525:0.4554
1167609991,36181;0.61185:0.4608
1167609991,40653;0.6122:0.4648
1167609991,45066;0.38955:0.4126
1167609991,4938;0.3564:0.4172
1167609991,53795;
1167609991,58172;0.35765:0.4283
1167609991,61307;0.35595:0.41855
1167609991,6619;0.354:0.454
1167609991,70864;0.3633:0.46295
1167609991,75037;0.35115:0.45445
1167609991,79368;0.3594:0.478
1167609991,83707;0.34735:0.72235
1167609991,87957;0.34715:0.72855
1167609991,92356;0.3481:0.7227
1167609991,96888;0.3576:0.71585
1167609992,01328;0.3718:0.81265
1167609992,06662;0.3814:0.8149
1167609992,11129;0.38515:0.82625
1167609992,15921;0.3741:0.81295
1167609992,20763;0.2527:0.6544
1167609992,24967;0.2709:0.655
1167609992,29834;0.26535:0.6552
1167609992,35671;0.26165:0.66735
1167609992,40813;0.2419:0.6309
1167609992,45112;0.2391:0.6272
1167609992,50141;0.24455:0.6304
1167609992,54645;0.2462:0.63855
1167609992,59759;0.24915:0.60155
1167609992,64827;0.2372:0.55205
1167609992,70544;0.23735:0.56465
1167609992,75773;0.2397:0.5679
1167609992,81328;0.23895:0.5624
1167609992,86372;0.16115:0.6406
1167609992,91806;0.17025:0.64095
1167609992,96799;0.16275:0.64455
1167609993,01707;0.16715:0.64565
1167609993,0649;0.1639:0.6478
1167609993,11214;0.16125:0.64715
1167609993,15907;0.16105:0.6482
1167609993,21076;0.1684:0.6511
1167609993,25455;0.1558:0.65595
1167609993,3025;0.16025:0.64555
1167609993,34928;0.1551:0.6457
1167609993,39691;0.1571:0.65145
1167609993,44484;0.15465:0.65195
1167609993,49313;0.15665:0.6491
1167609993,5404;0.15645:0.6501
1167609993,58773;0.1577:0.6576
1167609993,63472;0.15895:0.6467
1167609993,68128;0.1573:0.6566
1167609993,72813;0.15825:0.6496
1167609993,77464;0.15865:0.8132
1167609993,82057;0.16025:0.8074
1167609993,86708;0.16155:0.80665
1167609993,91275;0.1588:0.8085
1167609993,95855;0.16095:0.8072
1167609994,00411;0.15575:0.80595
1167609994,0503;0.1525:0.812
1167609994,09627;0.22125:0.5202
1167609994,14274;0.22555:0.5172
1167609994,19019;0.22105:0.5307
1167609994,23837;0.3596:0.4312
1167609994,28642;0.35365:0.43575
1167609994,33075;0.35515:0.43095
1167609994,37968;0.3496:0.4331
1167609994,42346;0.3455:0.427
1167609994,47193;0.37735:0.44695
1167609994,521;0.37765:0.44155
1167609994,57088;0.39185:0.3491
1167609994,62241;0.39345:0.35025
1167609994,67141;0.3942:0.3501
1167609994,7204;0.39195:0.3547
1167609994,77171;0.3916:0.3475
1167609994,82124;0.40555:0.349
1167609994,87467;0.64565:0.33235
1167609994,92091;0.6446:0.3447
1167609994,97612;0.6579:0.3702
1167609995,02712;0.6803:0.3283
1167609995,07824;0.672:0.3426
1167609995,12898;0.6798:0.3396
1167609995,18272;0.73835:0.3163
1167609995,23094;0.85135:0.30585
1167609995,28231;0.8552:0.2998
1167609995,33007;0.83775:0.3086
1167609995,38309;0.8395:0.31075
1167609995,44049;0.8415:0.31525
1167609995,49387;0.81025:0.31035
1167609995,54257;0.8163:0.31405
1167609995,59154;0.80845:0.312
1167609995,64211;0.81335:0.31015
1167609995,69052;0.8018:0.30225
1167609995,73834;
1167609995,78682;0.7967:0.3111
1167609995,8222;0.8016:0.30635
1167609995,8713;0.80005:0.30265
1167609995,92223;0.797:0.3106
1167609995,97336;0.805:0.306
1167609996,02327;0.80155:0.3158
1167609996,07184;0.79885:0.3182
1167609996,12157;0.69945:0.3571
1167609996,17076;0.6805:0.35055
1167609996,2198;0.67765:0.36155
1167609996,26765;0.67625:0.36905
1167609996,3154;0.67395:0.35065
1167609996,36372;0.70425:0.5122
1167609996,41536;0.7386:0.60715
1167609996,46318;0.7313:0.6027
1167609996,5125;0.73205:0.6075
1167609996,56571;0.7327:0.5996
1167609996,6148;0.73135:0.57335
1167609996,6642;0.7334:0.56725
1167609996,71233;0.73565:0.57225
1167609996,76468;0.7331:0.574
1167609996,81462;0.7351:0.5725
1167609996,86657;0.73385:0.64895
1167609996,91576;0.73625:0.65395
