Timestamp;GazePoint
636199269573,433;
1167610075,19775;0.50845:0.5676
1167610075,24913;0.50615:0.5652
1167610075,29078;0.507:0.56645
1167610075,33213;0.5088:0.5617
1167610075,37831;0.50695:0.5445
1167610075,42009;0.5057:0.54885
1167610075,46225;0.49885:0.5448
1167610075,50441;0.5025:0.5733
1167610075,54647;0.505:0.55335
1167610075,59322;0.355:0.5312
1167610075,63594;0.28185:0.51825
1167610075,68824;0.27145:0.5147
1167610075,73425;
1167610075,77579;0.2926:0.50235
1167610075,80672;0.2809:0.52115
1167610075,85593;0.21045:0.423
1167610075,89757;0.21865:0.4229
1167610075,94458;0.22615:0.3898
1167610075,99411;0.22885:0.39665
1167610076,04942;0.2299:0.4006
1167610076,09515;0.2348:0.39485
1167610076,1475;0.23335:0.39095
1167610076,19006;0.22965:0.37625
1167610076,24648;0.22865:0.3504
1167610076,28972;0.22865:0.35025
1167610076,34681;0.2311:0.37725
1167610076,38989;0.2401:0.5156
1167610076,43835;0.24615:0.5195
1167610076,485;0.248:0.51135
1167610076,53842;0.2573:0.52485
1167610076,58846;0.2563:0.55455
1167610076,63909;0.24915:0.5592
1167610076,69072;0.25155:0.55015
1167610076,74711;0.25715:0.54485
1167610076,79833;0.25365:0.54515
1167610076,84582;0.2507:0.5416
1167610076,89795;0.3389:0.6077
1167610076,94988;0.3567:0.5988
1167610077,00091;0.34655:0.61135
1167610077,0478;0.36295:0.5997
1167610077,09953;0.36885:0.60185
1167610077,14814;0.3681:0.59975
1167610077,19386;0.36635:0.6073
1167610077,23924;0.36625:0.61645
1167610077,28245;0.36545:0.6046
1167610077,32615;0.36805:0.61405
1167610077,37122;0.3125:0.6414
1167610077,41797;0.2307:0.67365
1167610077,46495;0.22145:0.6647
1167610077,51156;0.2241:0.6722
1167610077,56237;0.231:0.66585
1167610077,61178;0.223:0.68105
1167610077,6538;0.22015:0.69095
1167610077,69571;0.22185:0.6932
1167610077,73789;0.2208:0.6841
1167610077,77898;0.1897:0.64015
1167610077,82545;0.14695:0.58825
1167610077,86652;0.14785:0.5961
1167610077,90909;0.1464:0.5904
1167610077,95149;0.1484:0.58045
1167610077,99439;0.1272:0.58485
1167610078,04053;0.12665:0.58085
1167610078,08326;0.13215:0.5776
1167610078,13161;0.1278:0.58275
1167610078,17449;0.1274:0.5806
1167610078,22594;0.1626:0.4928
1167610078,26999;0.16415:0.49805
1167610078,32088;0.1674:0.5142
1167610078,36667;0.16215:0.5038
1167610078,41785;0.16095:0.50835
1167610078,463;0.26545:0.53485
1167610078,52726;0.2613:0.5288
1167610078,57422;0.2602:0.53825
1167610078,62529;0.2602:0.5518
1167610078,67589;0.2688:0.55885
1167610078,72973;0.27395:0.56365
1167610078,77998;0.28345:0.55585
1167610078,83513;0.2729:0.5612
1167610078,88068;0.2284:0.4712
1167610078,92827;0.23975:0.45215
1167610078,97935;0.24245:0.46705
1167610079,02206;0.243:0.47075
1167610079,06435;0.2406:0.47135
1167610079,1067;0.23845:0.4741
1167610079,15113;0.2295:0.48395
1167610079,19611;0.22185:0.4821
1167610079,23997;0.2296:0.48655
1167610079,28874;0.2319:0.4932
1167610079,33513;0.2779:0.54905
1167610079,38011;0.2706:0.5485
1167610079,42459;0.2751:0.558
1167610079,46833;0.26865:0.5529
1167610079,51223;0.2631:0.5533
1167610079,55954;0.27295:0.56825
1167610079,61391;0.27535:0.5471
1167610079,66584;0.26055:0.56065
1167610079,71206;0.2634:0.56365
1167610079,76593;0.27115:0.5604
1167610079,82049;0.2623:0.56735
1167610079,86991;0.2698:0.57295
1167610079,92628;0.19045:0.5737
1167610079,9782;0.1961:0.57485
1167610080,03788;0.20025:0.5809
1167610080,09439;0.1966:0.5827
1167610080,1515;0.232:0.5811
1167610080,20866;0.7527:0.55295
1167610080,26512;0.7651:0.56475
1167610080,318;0.75805:0.54555
1167610080,3705;0.77655:0.5543
1167610080,43295;0.82025:0.58885
1167610080,49368;0.8259:0.6015
1167610080,54593;0.99435:0.6276
1167610080,60594;0.79885:0.5825
1167610080,65751;0.79685:0.58095
1167610080,71354;0.7884:0.5443
1167610080,76167;0.77605:0.1918
1167610080,81667;0.7743:0.19045
1167610080,86266;0.9782:0.53025
1167610080,91387;0.7412:0.18145
1167610080,96008;0.708:0.1471
1167610081,01116;0.70405:0.1589
1167610081,05453;0.7057:0.16965
1167610081,0991;0.7058:0.1827
1167610081,1447;0.5797:0.1362
1167610081,19071;0.57995:0.1464
1167610081,23461;0.5734:0.1333
1167610081,27848;0.5424:0.12415
1167610081,32321;0.44665:0.1023
1167610081,36923;0.4293:0.09095
1167610081,42148;0.43035:0.07205
1167610081,46806;0.6761:0.6096
1167610081,51455;0.6952:0.7383
1167610081,56817;0.6966:0.7269
1167610081,62311;0.70065:0.73335
1167610081,67136;0.683:0.8291
1167610081,7223;0.6857:0.809
1167610081,77258;0.6852:0.8103
1167610081,82452;0.67765:0.79615
1167610081,8763;0.6507:0.8596
