Timestamp;GazePoint
9882,4369;
1167609882,47449;
1167609882,51778;
1167609882,5502;
1167609882,5853;
1167609882,84574;
1167609882,88342;
1167609882,9738;
1167609883,00632;
1167609883,14994;
1167609883,18723;
1167609883,65241;
1167609883,69704;
1167609883,74178;
1167609883,78643;
1167609883,8253;
1167609883,86995;
1167609883,91462;
1167609883,95464;0.1553:0.4481
1167609883,99293;0.14585:0.38935
1167609884,08563;0.18275:0.4358
1167609884,1633;0.182:0.38785
1167609884,22914;0.17535:0.42315
1167609884,3046;0.17135:0.36245
1167609884,3662;0.4258:0.3846
1167609884,43312;0.4259:0.41005
1167609884,49921;0.4191:0.4121
1167609884,57492;0.4233:0.3515
1167609884,63655;0.4224:0.4088
1167609884,68968;0.42555:0.40915
1167609884,75528;0.4382:0.3202
1167609884,8198;0.4147:0.3637
1167609884,87653;0.43455:0.458
1167609884,94758;0.42625:0.38595
1167609885,02141;0.42785:0.4189
1167609885,10292;0.4206:0.4738
1167609885,18427;0.41745:0.41805
1167609885,254;0.42145:0.445
1167609885,32729;0.41465:0.46615
1167609885,3987;0.4259:0.49815
1167609885,45184;0.5827:1.0604
1167609885,49488;0.5952:1.06735
1167609885,54706;0.59555:1.0548
1167609885,59113;0.5896:1.0577
1167609885,63806;0.5851:1.06125
1167609885,68508;0.5853:1.06225
1167609885,73379;0.66915:1.1522
1167609885,78395;0.7268:1.17995
1167609885,82594;0.71805:1.1632
1167609885,86819;0.716:1.17065
1167609885,90784;0.71455:1.1684
1167609885,94972;0.71355:1.16705
1167609885,98699;0.71745:1.16325
1167609886,03316;0.71415:1.16995
1167609886,07097;0.6603:0.8984
1167609886,11313;0.4417:0.45835
1167609886,15892;0.4519:0.46325
1167609886,20488;0.46305:0.4573
1167609886,25958;0.4547:0.47035
1167609886,3004;0.4439:0.46245
1167609886,34881;0.4653:0.47385
1167609886,40012;0.4614:0.4781
1167609886,44452;0.4732:0.48125
1167609886,48573;0.46705:0.47
1167609886,53172;0.4754:0.48205
1167609886,57197;0.4666:0.4765
1167609886,61538;0.4683:0.48
1167609886,6547;0.47375:0.47285
1167609886,69478;0.45395:0.4955
1167609886,73493;0.42025:0.4868
1167609886,77373;0.42835:0.4961
1167609886,81224;0.42105:0.4871
1167609886,85081;0.42035:0.48805
1167609886,88912;0.41745:0.4938
1167609886,92686;0.42485:0.5001
1167609886,96495;0.41665:0.49185
1167609887,00312;0.41495:0.48955
1167609887,0451;0.41315:0.165
1167609887,08777;0.4163:0.16275
1167609887,13145;0.4265:0.17395
1167609887,17474;0.4259:0.18455
1167609887,21847;0.4197:0.1842
1167609887,25728;0.41895:0.16305
1167609887,29643;0.4227:0.18005
1167609887,33895;0.4181:0.17895
1167609887,3778;0.36855:0.2481
1167609887,42023;0.25305:0.3182
1167609887,45906;0.2483:0.3217
1167609887,50176;0.2376:0.32005
1167609887,54665;0.24425:0.29955
1167609887,58956;0.2365:0.30805
1167609887,63193;0.2404:0.30185
1167609887,68195;0.25025:0.30615
1167609887,72912;0.2512:0.3036
1167609887,7723;0.2463:0.30275
1167609887,81617;0.2506:0.29755
1167609887,8598;0.2465:0.3083
1167609887,90748;0.2472:0.3068
1167609887,95222;0.2456:0.3153
1167609888,00109;0.2597:0.31495
1167609888,04425;0.2494:0.2893
1167609888,09032;0.2507:0.31015
1167609888,13314;0.24805:0.31915
1167609888,18131;0.25065:0.3103
1167609888,23129;0.24385:0.29965
1167609888,27515;0.25055:0.3039
1167609888,31812;0.2465:0.3016
1167609888,36653;0.24505:0.31235
1167609888,40921;0.24655:0.3109
1167609888,45529;0.2344:0.3128
1167609888,49814;0.2428:0.29975
1167609888,55233;0.2525:0.3092
1167609888,59483;0.24845:0.303
1167609888,64222;0.24955:0.30875
1167609888,68548;0.2505:0.30225
1167609888,72952;0.2491:0.30275
1167609888,77373;0.4275:0.3498
1167609888,81792;0.4142:0.35505
1167609888,85716;0.4133:0.3616
1167609888,90008;0.4232:0.3362
1167609888,93933;0.41045:0.3553
1167609888,97865;0.4096:0.36235
1167609889,02194;0.41245:0.36805
1167609889,06137;0.4095:0.3715
1167609889,10026;0.39095:0.38305
1167609889,13918;0.3862:0.3788
1167609889,17836;0.38725:0.38605
1167609889,22039;0.39245:0.3762
1167609889,25885;0.38745:0.38555
1167609889,29715;0.3895:0.39065
1167609889,33551;0.39345:0.38995
1167609889,37383;0.21875:0.38215
1167609889,4123;0.2177:0.3873
1167609889,45124;0.22145:0.39565
1167609889,48974;0.22155:0.38125
1167609889,52911;0.214:0.3821
1167609889,57142;0.22635:0.3792
1167609889,6141;0.21575:0.38315
1167609889,65312;0.21175:0.37405
1167609889,69579;0.2316:0.39465
1167609889,74248;0.21635:0.36975
1167609889,78176;0.2278:0.3918
1167609889,83217;0.2151:0.37235
1167609889,87134;0.21875:0.3827
1167609889,92616;0.223:0.3735
