Timestamp;GazePoint
636216524577,738;
1167610194,38217;0.50795:0.37895
1167610194,41546;0.51295:0.3857
1167610194,44859;0.5072:0.38445
1167610194,48208;0.50975:0.3883
1167610194,51474;0.5084:0.3815
1167610194,54833;0.51175:0.3927
1167610194,58095;0.50605:0.39145
1167610194,61397;0.5021:0.38345
1167610194,64698;0.50795:0.38545
1167610194,68006;0.676:0.3258
1167610194,7131;0.6882:0.33415
1167610194,74617;0.6838:0.3267
1167610194,77956;0.68205:0.33645
1167610194,81307;0.68485:0.3273
1167610194,84758;0.6838:0.33235
1167610194,88193;0.6812:0.3464
1167610194,91644;0.64925:0.31075
1167610194,95119;0.6484:0.32245
1167610194,98469;0.64575:0.3106
1167610195,01835;0.64705:0.3204
1167610195,05171;
1167610195,08887;0.8083:0.1815
1167610195,11397;0.7982:0.19795
1167610195,14811;0.78665:0.1914
1167610195,18216;0.79015:0.20255
1167610195,21817;0.7979:0.1998
1167610195,25227;0.80035:0.17795
1167610195,28935;0.79685:0.17045
1167610195,32488;0.8042:0.20415
1167610195,36341;0.7967:0.2204
1167610195,39853;0.7872:0.2186
1167610195,44037;
1167610195,47626;
1167610195,51293;
1167610195,53995;
1167610195,57334;
1167610195,60115;
1167610195,64228;
1167610195,67073;
1167610195,70399;
1167610195,73419;
1167610195,76927;
1167610195,80483;0.7906:0.2308
1167610195,84508;0.65765:0.5225
1167610195,8805;0.6647:0.52515
1167610195,91582;0.66065:0.5205
1167610195,95135;0.65815:0.52885
1167610195,98733;0.67955:0.4902
1167610196,02313;0.7545:0.2307
1167610196,05784;0.7566:0.22365
1167610196,09916;0.7578:0.2197
1167610196,13493;0.7561:0.2245
1167610196,17193;0.5385:0.391
1167610196,2079;0.4373:0.5278
1167610196,24386;0.42085:0.52395
1167610196,28113;0.4252:0.52785
1167610196,3164;0.4266:0.5415
1167610196,35241;0.4006:0.6162
1167610196,38673;0.4023:0.6311
1167610196,42225;0.4043:0.6306
1167610196,45688;0.40085:0.61435
1167610196,49265;
1167610196,52794;
1167610196,55313;
1167610196,57836;
1167610196,60374;
1167610196,62951;
1167610196,6551;0.4218:0.8466
1167610196,68083;0.41425:0.84665
1167610196,71372;
1167610196,75085;0.41325:0.86615
1167610196,77606;0.1596:0.73535
1167610196,81356;0.10935:0.7393
1167610196,85378;0.1172:0.73985
1167610196,88951;0.14995:0.72945
1167610196,92851;0.148:0.73385
1167610196,96387;0.0873:0.7229
1167610197,00016;
1167610197,0357;
1167610197,06131;
1167610197,08686;0.08845:0.72725
1167610197,11139;0.091:0.74715
1167610197,14781;0.0847:0.76245
1167610197,18311;0.07995:0.75905
1167610197,2222;0.0784:0.75855
1167610197,25781;0.07655:0.75605
1167610197,29892;0.0874:0.75905
1167610197,33521;0.0847:0.76485
1167610197,37614;0.09645:0.2819
1167610197,41228;0.096:0.17055
1167610197,45331;0.10345:0.18165
1167610197,48911;0.0947:0.1846
1167610197,52959;0.10005:0.19305
1167610197,56541;0.10585:0.18555
1167610197,60535;0.21015:0.2123
1167610197,6411;0.27885:0.2041
1167610197,67729;0.27845:0.1956
1167610197,71779;0.27885:0.2142
1167610197,75343;0.28065:0.20985
1167610197,79311;0.2797:0.21735
1167610197,82777;0.27735:0.1593
1167610197,8634;0.2796:0.1653
1167610197,89881;0.2866:0.18535
1167610197,9345;0.2789:0.14175
