Timestamp;GazePoint
636216521610,998;
1167609897,78148;
1167609897,80653;
1167609897,83239;0.503:0.6084
1167609897,88323;0.5064:0.4651
1167609897,92517;
1167609897,96024;0.51615:0.45615
1167609897,98943;0.5118:0.44975
1167609898,0253;0.52055:0.4505
1167609898,0639;0.51975:0.44465
1167609898,09809;0.5211:0.45195
1167609898,13598;0.60415:0.3811
1167609898,16923;0.6106:0.3843
1167609898,20663;0.60835:0.38845
1167609898,24099;0.614:0.3892
1167609898,27949;0.6161:0.4001
1167609898,31317;0.41635:0.40135
1167609898,35097;0.38315:0.4
1167609898,38411;0.3849:0.40745
1167609898,41775;0.3823:0.4005
1167609898,451;0.38675:0.41605
1167609898,48426;0.3833:0.41305
1167609898,51793;0.38035:0.41625
1167609898,55153;0.35945:0.3665
1167609898,58517;0.36155:0.3557
1167609898,61917;0.3631:0.363
1167609898,65316;0.36725:0.3622
1167609898,68844;0.3154:0.3695
1167609898,72243;0.31495:0.36785
1167609898,75596;0.31315:0.37405
1167609898,78922;0.3117:0.36975
1167609898,82312;0.31765:0.36935
1167609898,85641;0.31875:0.3686
1167609898,89026;0.31465:0.36855
1167609898,92306;0.31805:0.3798
1167609898,95587;0.31425:0.3923
1167609898,98918;0.33295:0.3614
1167609899,02227;0.38965:0.29255
1167609899,05518;0.38825:0.28445
1167609899,08931;0.3904:0.29825
1167609899,12333;0.3923:0.3057
1167609899,15697;0.3965:0.28895
1167609899,1905;0.391:0.2955
1167609899,22411;0.3871:0.2924
1167609899,25765;0.3872:0.28735
1167609899,29171;0.39235:0.2922
1167609899,32522;0.38575:0.3016
1167609899,35934;0.4103:0.2949
1167609899,39328;
1167609899,4314;0.67225:0.2955
1167609899,45666;0.66705:0.29305
1167609899,49029;0.68005:0.2857
1167609899,52394;0.68235:0.2796
1167609899,55775;0.68375:0.283
1167609899,59142;0.6862:0.2805
1167609899,62636;0.6816:0.29455
1167609899,66221;0.6819:0.25145
1167609899,69694;0.682:0.25435
1167609899,73498;0.68655:0.26725
1167609899,76938;0.68325:0.26025
1167609899,80928;0.6839:0.27075
1167609899,84375;0.68255:0.2625
1167609899,88215;0.4397:0.2612
1167609899,91615;0.4184:0.26325
1167609899,95589;0.41855:0.26915
1167609899,99135;0.41735:0.26625
1167609900,0307;0.41795:0.2614
1167609900,0653;0.4343:0.27695
1167609900,10396;0.43525:0.27505
1167609900,13922;0.4343:0.2888
1167609900,17888;0.43225:0.28985
1167609900,21355;0.3804:0.30025
1167609900,25157;0.37875:0.31475
1167609900,28579;0.37815:0.311
1167609900,31997;0.3805:0.31615
1167609900,35437;0.3939:0.306
1167609900,38833;0.39145:0.30005
1167609900,42263;0.3868:0.3012
1167609900,45697;0.39025:0.29715
1167609900,49144;0.39075:0.292
1167609900,52569;0.39025:0.2902
1167609900,55995;0.3922:0.2995
1167609900,59496;0.3894:0.28835
1167609900,63016;0.39025:0.3169
1167609900,66433;0.38815:0.3257
1167609900,69851;0.39085:0.30715
1167609900,73306;0.3915:0.29565
1167609900,76799;0.22325:0.20915
1167609900,80237;0.215:0.19405
1167609900,83788;0.21325:0.20405
1167609900,87211;0.213:0.20535
1167609900,90628;0.2089:0.1991
1167609900,94047;0.2087:0.19575
1167609900,97359;0.20505:0.207
1167609901,00644;0.2004:0.22045
1167609901,03935;0.1976:0.22265
1167609901,07286;0.2007:0.23235
