Timestamp;GazePoint
636216524230,358;
1167610159,63158;0.5067:0.48955
1167610159,66595;0.5049:0.4875
1167610159,69944;0.51155:0.4889
1167610159,73354;0.51415:0.4898
1167610159,76683;0.5088:0.4909
1167610159,80032;0.50765:0.48245
1167610159,8343;0.50565:0.4775
1167610159,86823;0.5116:0.4916
1167610159,90211;0.51035:0.47735
1167610159,93596;0.6629:0.39355
1167610159,96999;0.69985:0.4067
1167610160,00414;0.6971:0.4146
1167610160,03832;0.69645:0.40025
1167610160,07207;0.69515:0.4178
1167610160,10627;0.616:0.40955
1167610160,14017;0.25175:0.42215
1167610160,17413;0.2507:0.41445
1167610160,20866;0.256:0.4172
1167610160,2431;0.2536:0.4307
1167610160,27715;0.25645:0.4251
1167610160,31114;0.2647:0.43785
1167610160,34888;0.3509:0.5208
1167610160,3818;0.35205:0.5269
1167610160,41991;0.3465:0.5125
1167610160,45389;0.3489:0.53155
1167610160,48747;0.35385:0.5311
1167610160,52141;0.3478:0.5124
1167610160,55892;0.34585:0.3066
1167610160,59321;0.34865:0.3184
1167610160,63243;0.34185:0.31865
1167610160,66783;0.34045:0.3174
1167610160,70793;0.34115:0.32145
1167610160,7435;
1167610160,78339;
1167610160,81313;
1167610160,84279;0.33655:0.51355
1167610160,86979;0.3388:0.5224
1167610160,91376;0.34315:0.5289
1167610160,94786;0.34015:0.5154
1167610160,98748;0.34105:0.5126
1167610161,02311;0.34065:0.5167
1167610161,06333;0.33755:0.5131
1167610161,09944;0.34535:0.5238
1167610161,13853;0.3482:0.5314
1167610161,17721;0.3396:0.50915
1167610161,21252;0.343:0.5171
1167610161,24799;0.3501:0.5267
1167610161,284;
1167610161,31937;
1167610161,34448;
1167610161,3697;0.34495:0.5127
1167610161,39527;0.3279:0.2726
1167610161,42994;0.33485:0.3027
1167610161,4658;0.32745:0.30095
1167610161,5015;0.3256:0.2984
1167610161,53745;0.3242:0.29805
1167610161,57274;0.3267:0.2943
1167610161,60858;0.3283:0.28885
1167610161,64497;0.33085:0.33495
1167610161,68072;
1167610161,71711;
1167610161,74753;
1167610161,77449;
1167610161,80249;
1167610161,83468;
1167610161,86044;
1167610161,88646;
1167610161,91219;
1167610161,93806;
1167610161,96453;
1167610161,99188;
1167610162,03053;
1167610162,05988;
1167610162,09033;
1167610162,12082;
1167610162,15141;
1167610162,19014;
1167610162,22922;
1167610162,26784;
1167610162,3128;
1167610162,35773;
1167610162,39689;
1167610162,44183;
1167610162,48674;
1167610162,52775;0.6458:0.4974
1167610162,56621;0.63785:0.5
1167610162,61586;
1167610162,66476;
1167610162,69523;0.7808:0.2331
1167610162,7291;0.78155:0.21725
1167610162,76476;0.7842:0.2168
1167610162,80543;0.77955:0.22695
1167610162,84144;0.76445:0.2189
1167610162,88064;0.76195:0.2301
1167610162,91612;0.7697:0.2367
1167610162,96076;0.7661:0.22455
1167610162,99613;0.64435:0.3528
1167610163,03741;0.638:0.3663
1167610163,07327;0.6346:0.36165
1167610163,11374;0.63435:0.35935
1167610163,1499;0.7359:0.17985
1167610163,1863;0.764:0.1977
1167610163,224;0.75475:0.21
1167610163,26044;0.7623:0.20485
1167610163,30332;0.7618:0.2075
1167610163,34014;0.764:0.19605
1167610163,3823;0.76635:0.19965
1167610163,41809;0.7659:0.2071
1167610163,45449;0.7444:0.2055
1167610163,49632;0.749:0.1948
1167610163,53372;0.7512:0.194
1167610163,5706;0.74475:0.1944
1167610163,60694;0.7494:0.191
1167610163,64477;0.54635:0.6069
1167610163,6818;0.50925:0.8336
1167610163,7185;0.50055:0.8467
1167610163,75316;0.4931:0.8439
1167610163,78839;0.4938:0.84115
1167610163,82399;0.49355:0.84975
1167610163,86035;0.637:0.815
1167610163,8965;0.8379:0.79385
1167610163,93207;0.8424:0.80825
1167610163,9681;
1167610164,00524;
1167610164,03126;0.8467:0.79745
1167610164,06647;0.8459:0.80385
1167610164,10095;0.8357:0.8871
1167610164,13682;
1167610164,17105;
1167610164,19655;
1167610164,22239;0.97295:0.58145
1167610164,26123;
1167610164,29714;0.9727:0.5789
1167610164,32314;0.9698:0.5872
1167610164,36385;0.9761:0.5769
1167610164,40225;0.9718:0.59395
1167610164,43742;0.96625:0.5779
1167610164,47658;0.77045:0.4368
1167610164,51211;0.7692:0.43565
1167610164,55552;0.7733:0.44275
1167610164,5923;0.77685:0.43005
1167610164,63215;0.7719:0.44415
1167610164,66799;0.775:0.43705
1167610164,71477;0.77305:0.4489
1167610164,75073;0.6913:1.01135
1167610164,79051;0.68595:1.3223
1167610164,8271;
1167610164,87167;
1167610164,91346;0.68885:1.309
1167610164,94729;
1167610164,98396;0.7207:1.09675
1167610165,02265;0.7288:1.0993
1167610165,05831;0.7227:1.1042
1167610165,09284;0.7295:1.08355
1167610165,12918;0.72365:1.0942
1167610165,1634;0.7266:1.10575
1167610165,19954;0.68325:1.14695
1167610165,23386;0.69015:1.15565
1167610165,27059;0.68525:1.16065
1167610165,30819;0.6862:1.15245
1167610165,34379;
1167610165,37941;
1167610165,41159;0.68285:1.16055
1167610165,44397;0.68545:1.17355
1167610165,48134;0.67725:1.20655
1167610165,5165;0.6737:1.2259
1167610165,55357;0.6713:1.23415
1167610165,59075;0.675:1.2358
1167610165,63031;
1167610165,668;
1167610165,70397;
1167610165,74068;
1167610165,77794;
1167610165,81646;
1167610165,85383;
1167610165,8936;
1167610165,93376;
1167610165,97624;
1167610166,01863;
1167610166,06224;
1167610166,10558;
1167610166,15734;
1167610166,2048;
1167610166,24433;
1167610166,28287;
1167610166,33539;0.673:1.2046
1167610166,38275;0.668:1.19715
1167610166,42347;0.6678:1.211
1167610166,46592;0.67985:1.20945
1167610166,51343;
1167610166,55946;
1167610166,60139;
1167610166,63985;
1167610166,67896;
1167610166,72365;0.68055:1.2283
1167610166,76882;0.6858:1.2096
1167610166,81133;0.6855:1.25835
1167610166,85072;0.68335:1.246
1167610166,89767;0.68305:1.25175
1167610166,9421;0.68455:1.2409
1167610166,98956;0.66615:1.23955
1167610167,03073;
1167610167,07747;0.6304:1.22945
1167610167,10529;
1167610167,14334;
1167610167,1792;
1167610167,22799;0.66755:1.18025
1167610167,27252;0.7609:1.09525
1167610167,30916;0.7574:1.09905
1167610167,34674;0.76015:1.09725
1167610167,38378;0.75575:1.1
1167610167,42105;0.76115:1.11
1167610167,45825;0.7591:1.0834
1167610167,49549;0.7584:1.1074
1167610167,53269;0.7589:1.10395
1167610167,57122;0.7224:1.0126
1167610167,60691;0.72095:1.0205
1167610167,64374;0.7259:1.0234
1167610167,67928;0.7169:1.0217
1167610167,71598;0.72305:1.03065
1167610167,75174;0.71755:1.0361
1167610167,78747;0.72645:1.03265
1167610167,82341;0.7218:1.02115
1167610167,85858;0.7232:1.01815
1167610167,89417;0.31635:1.1062
1167610167,92939;0.28415:1.10445
1167610167,96478;0.28845:1.12155
1167610167,999;0.2933:1.12915
1167610168,03371;0.30755:1.12105
1167610168,06813;
1167610168,1034;
1167610168,12942;
1167610168,15535;
1167610168,18115;0.7406:1.48945
1167610168,21047;
1167610168,24917;
1167610168,28074;0.7403:1.47205
1167610168,31581;
1167610168,35749;0.7345:1.47665
1167610168,38875;
1167610168,42887;0.73625:1.4593
1167610168,45745;0.7205:1.2458
1167610168,50106;
1167610168,53899;
1167610168,57563;
1167610168,61047;
1167610168,65123;0.7131:1.2438
1167610168,68908;0.71115:1.2468
1167610168,72815;
1167610168,76439;
1167610168,80112;
1167610168,83526;
1167610168,87554;
1167610168,90979;
1167610168,94671;
1167610168,97963;
1167610169,01412;
1167610169,04822;
1167610169,08365;
1167610169,11996;
1167610169,15613;
1167610169,19256;
1167610169,23785;
1167610169,28071;
1167610169,31731;
1167610169,35577;
1167610169,39412;
1167610169,43872;
1167610169,47718;
1167610169,51554;
1167610169,55512;
1167610169,5979;
1167610169,63498;
1167610169,67353;
1167610169,71183;
1167610169,75646;
1167610169,79488;
1167610169,83337;
1167610169,8727;
1167610169,91497;
1167610169,95176;
1167610169,99056;
1167610170,02885;
1167610170,07609;
1167610170,11458;
1167610170,15288;
1167610170,19205;
1167610170,23392;
1167610170,27215;
1167610170,31139;
1167610170,35054;
1167610170,39576;
1167610170,43651;
1167610170,47716;
1167610170,52065;
1167610170,56282;
1167610170,60183;
1167610170,64217;
1167610170,68184;
1167610170,72685;
1167610170,76724;
1167610170,80785;
1167610170,84849;
1167610170,8944;
1167610170,93498;
1167610170,9772;
1167610171,02206;
1167610171,06446;
1167610171,10916;0.2885:1.11815
1167610171,15341;0.29405:1.1199
1167610171,18497;0.28445:1.1154
1167610171,2203;0.2718:1.11645
1167610171,25524;0.2847:1.11085
1167610171,28999;0.28675:1.1198
1167610171,32469;0.28135:1.12155
1167610171,36327;0.2931:1.1217
1167610171,39852;0.2981:1.12295
1167610171,43792;0.28805:1.1271
1167610171,47295;
1167610171,50748;
1167610171,53326;
1167610171,55908;
1167610171,58476;
1167610171,61054;
1167610171,63618;
1167610171,66189;0.5325:1.1227
1167610171,69324;0.53515:1.04935
1167610171,73107;
1167610171,76614;0.52955:0.9999
1167610171,79159;0.53515:1.0205
1167610171,82893;0.7442:1.1037
1167610171,86358;0.7386:1.1194
1167610171,89949;0.7419:1.1274
1167610171,93473;0.7395:1.13225
1167610171,9705;0.7348:1.12345
1167610172,00919;0.7421:1.12325
1167610172,04315;0.73855:1.14285
1167610172,07746;0.73355:1.1108
1167610172,1118;0.7322:1.11575
1167610172,14712;0.7227:1.1105
1167610172,18384;0.7259:1.10665
1167610172,22278;0.73125:1.1269
1167610172,25856;0.72565:1.1178
1167610172,29795;0.7235:1.1208
1167610172,33332;0.72965:1.10815
1167610172,3743;0.7392:1.1205
1167610172,41011;0.7275:1.1023
1167610172,4494;0.7197:1.1236
1167610172,48453;0.7111:1.0972
1167610172,52408;0.39625:1.143
1167610172,55832;0.2744:1.119
1167610172,59644;0.27955:1.10625
1167610172,62994;0.2725:1.122
1167610172,6672;0.2758:1.132
1167610172,70124;0.2814:1.1174
1167610172,73989;0.27255:1.1317
1167610172,77406;0.28015:1.1332
1167610172,81126;0.3103:1.1165
1167610172,84457;0.5236:1.09825
1167610172,87855;0.5214:1.0878
1167610172,91262;0.519:1.0881
1167610172,94728;0.5196:1.08665
1167610172,98181;0.5249:1.09285
1167610173,01652;0.52205:1.0952
1167610173,05087;0.5198:1.0903
1167610173,0848;0.5224:1.09
1167610173,11948;0.52015:1.0828
1167610173,15353;0.5254:1.09875
1167610173,18738;0.52105:1.0905
1167610173,22182;0.49925:1.0997
1167610173,25674;0.50225:1.10335
1167610173,29081;0.49765:1.09775
1167610173,32526;0.50295:1.11255
1167610173,36017;0.56415:0.77945
1167610173,39499;0.66965:0.4989
1167610173,43016;0.6637:0.4479
1167610173,47122;0.668:0.4699
1167610173,51022;0.6704:0.47245
1167610173,54519;0.67245:0.46245
1167610173,58059;0.6628:0.46495
1167610173,61515;0.6674:0.4613
1167610173,65041;0.66555:0.4653
1167610173,68495;0.3473:0.4057
