Timestamp;GazePoint
9791,6229;
1167609791,66552;
1167609791,7097;
1167609791,7482;
1167609791,79241;
1167609791,83656;
1167609791,87605;0.18925:0.3843
1167609791,91505;
1167609791,97659;0.1833:0.39295
1167609792,02468;0.1876:0.399
1167609792,07672;0.18515:0.37555
1167609792,12531;0.1884:0.367
1167609792,1776;0.1865:0.3922
1167609792,22598;0.19725:0.3728
1167609792,27935;0.19105:0.3741
1167609792,32693;0.20605:0.3644
1167609792,37873;0.1396:0.3948
1167609792,42571;0.10145:0.4525
1167609792,47916;0.0939:0.4338
1167609792,51861;0.1061:0.46725
1167609792,57095;0.10275:0.41375
1167609792,61889;0.10885:0.4396
1167609792,67075;0.10265:0.4828
1167609792,71947;0.0901:0.4558
1167609792,77182;0.13405:0.20315
1167609792,81975;0.1399:0.1901
1167609792,87172;0.14225:0.1984
1167609792,92147;
1167609792,95598;
1167609792,98822;
1167609793,01489;
1167609793,04152;0.13355:0.27185
1167609793,08215;
1167609793,11531;0.1335:0.28055
1167609793,14036;0.1263:0.2602
1167609793,1772;0.12495:0.2743
1167609793,21108;0.12735:0.28055
1167609793,24612;0.1225:0.2762
1167609793,2813;0.1265:0.2773
1167609793,31624;0.11825:0.2728
1167609793,35056;0.12015:0.2673
1167609793,38539;0.1207:0.2679
1167609793,42019;0.1151:0.26455
1167609793,45514;0.1181:0.27185
1167609793,4894;0.12:0.28365
1167609793,52414;0.12835:0.53405
1167609793,5589;0.13355:0.53165
1167609793,59437;0.13555:0.54265
1167609793,62883;0.13255:0.5365
1167609793,66295;0.1285:0.52145
1167609793,69711;0.1372:0.5233
1167609793,73111;0.13225:0.51875
1167609793,76611;0.1343:0.5276
1167609793,80115;0.13735:0.524
1167609793,83635;0.13345:0.5237
1167609793,87145;0.13165:0.5358
1167609793,90625;0.1357:0.532
1167609793,94239;0.1307:0.51915
1167609793,97959;0.13525:0.5233
1167609794,01338;0.13435:0.52825
1167609794,04813;0.18445:0.51295
1167609794,08291;0.18185:0.5113
1167609794,11663;0.1888:0.5192
1167609794,15496;0.18795:0.52325
1167609794,18934;0.18795:0.51555
1167609794,22719;0.1838:0.5288
1167609794,26164;0.1833:0.53675
1167609794,30161;0.1775:0.51225
1167609794,33615;0.1864:0.53235
1167609794,37474;0.18365:0.50815
1167609794,40893;0.1865:0.5084
1167609794,44832;0.1905:0.5257
1167609794,48277;0.2155:0.52055
1167609794,52137;0.2254:0.5275
1167609794,55568;0.21255:0.5016
1167609794,5945;0.2121:0.5119
1167609794,62941;0.2092:0.5246
1167609794,66909;0.21575:0.5216
1167609794,70411;0.21215:0.51725
1167609794,7427;0.21185:0.50225
1167609794,77679;0.22025:0.5312
1167609794,8108;0.21445:0.5275
1167609794,84374;0.21795:0.52665
1167609794,87675;0.2166:0.51805
1167609794,91049;0.2139:0.5167
1167609794,94461;0.2092:0.5194
1167609794,97891;0.2234:0.51945
1167609795,01711;0.2211:0.52195
1167609795,05218;0.218:0.52665
1167609795,08574;0.2185:0.52225
1167609795,12037;0.2142:0.52355
1167609795,15528;0.2134:0.5199
1167609795,19653;0.2199:0.5231
1167609795,23299;0.28495:0.51155
1167609795,27046;0.4028:0.50845
1167609795,30256;0.40455:0.5168
1167609795,33786;0.40915:0.5237
1167609795,37311;0.40995:0.5251
1167609795,40856;0.4134:0.52175
1167609795,44356;0.4055:0.51385
1167609795,47868;0.40005:0.5222
1167609795,51393;0.40115:0.53045
1167609795,55467;0.3984:0.53635
1167609795,58994;0.40445:0.53405
1167609795,62535;0.4038:0.5574
1167609795,66107;0.39885:0.5582
1167609795,69705;0.391:0.5649
1167609795,73292;0.3922:0.5652
1167609795,76761;0.40825:0.5694
1167609795,80195;0.46105:0.5679
1167609795,83983;0.46215:0.57575
1167609795,874;0.4607:0.5734
1167609795,90812;0.45625:0.57555
1167609795,94212;
1167609795,97635;
1167609796,00162;
1167609796,02783;
1167609796,05381;0.2574:0.84125
1167609796,07977;0.26875:0.5096
1167609796,11422;
1167609796,14869;0.26115:0.48735
1167609796,17876;0.2594:0.49425
1167609796,21674;0.2618:0.497
1167609796,25553;0.2642:0.49335
1167609796,28962;0.26155:0.49265
1167609796,32899;0.45185:0.52395
1167609796,36362;0.4824:0.5366
1167609796,40254;0.4867:0.5389
1167609796,43673;0.4862:0.53485
1167609796,47511;0.49135:0.54275
1167609796,5101;0.49085:0.53485
1167609796,55011;0.48795:0.5364
1167609796,58483;0.48705:0.53235
1167609796,62312;0.48385:0.548
1167609796,65697;0.48425:0.53575
1167609796,69111;0.44075:0.56555
1167609796,72512;0.44025:0.5541
1167609796,75936;0.4424:0.55115
1167609796,79339;0.4478:0.55115
1167609796,8276;0.44365:0.54725
1167609796,8619;0.44005:0.5603
1167609796,89589;0.4402:0.5579
1167609796,92998;0.4459:0.54515
1167609796,96409;0.4372:0.55075
1167609796,99819;0.435:0.5516
1167609797,0324;0.4382:0.55755
1167609797,06667;0.44335:0.5567
1167609797,1008;0.4425:0.5585
1167609797,13492;0.4352:0.5512
1167609797,16907;0.4418:0.54285
1167609797,20311;0.4401:0.56345
1167609797,23712;0.43635:0.55965
1167609797,27095;0.4355:0.56135
1167609797,30489;0.4389:0.55565
1167609797,33887;0.43815:0.56365
1167609797,37282;0.43715:0.5567
1167609797,40681;0.43725:0.5682
1167609797,44052;0.443:0.5588
1167609797,47432;0.44255:0.5804
1167609797,50825;0.4441:0.5666
1167609797,54206;0.4423:0.55595
1167609797,57585;0.4402:0.565
1167609797,60947;0.4455:0.54325
1167609797,64332;0.4408:0.56225
1167609797,67699;0.43785:0.5638
1167609797,71441;0.4404:0.57225
1167609797,74746;0.43845:0.56085
1167609797,78127;0.44125:0.56815
1167609797,81496;0.4444:0.57465
1167609797,84896;0.4369:0.5751
1167609797,88274;0.44055:0.56525
1167609797,91998;0.4414:0.55915
1167609797,95424;0.4492:0.5649
1167609797,99181;0.4733:0.57595
1167609798,02634;0.47685:0.555
1167609798,06581;0.4811:0.55115
1167609798,0999;0.4752:0.55605
1167609798,13845;0.47615:0.56885
1167609798,17208;0.47835:0.56355
1167609798,21122;0.47175:0.55345
1167609798,24536;0.44355:0.5642
1167609798,28349;0.4456:0.5533
1167609798,31714;0.44205:0.56255
1167609798,35531;0.4394:0.56275
1167609798,38939;0.4456:0.5536
1167609798,42821;0.4432:0.56265
1167609798,46234;0.4364:0.56315
1167609798,50035;0.44565:0.55135
1167609798,53351;0.4436:0.5553
1167609798,56757;0.4444:0.5685
1167609798,60123;0.43775:0.55945
1167609798,635;0.4439:0.5519
1167609798,66863;0.4482:0.55615
1167609798,70227;0.44075:0.5665
1167609798,73591;0.44015:0.5646
1167609798,76953;0.4453:0.56015
1167609798,80322;0.4435:0.557
1167609798,83686;
1167609798,87082;
1167609798,89592;
1167609798,92127;
1167609798,94688;0.30375:0.68635
1167609798,97255;0.31525:0.52515
1167609799,00281;
1167609799,03835;0.3131:0.5304
1167609799,06339;0.3094:0.53195
1167609799,09997;0.31045:0.52805
1167609799,13409;0.3064:0.54005
1167609799,1681;0.3043:0.54625
1167609799,20219;0.30525:0.5413
1167609799,23632;0.3069:0.53985
1167609799,27031;0.30275:0.5397
1167609799,3045;0.3035:0.5416
1167609799,33868;0.311:0.54105
1167609799,37279;0.30485:0.54265
1167609799,40693;0.3043:0.55755
1167609799,44096;0.18745:0.54095
1167609799,47509;0.12295:0.54375
1167609799,50927;0.12065:0.53945
1167609799,5435;0.1242:0.551
1167609799,57778;0.1227:0.55405
1167609799,61512;0.1211:0.54505
1167609799,64827;0.12215:0.54715
1167609799,68233;0.1214:0.54245
1167609799,71633;0.1045:0.55685
1167609799,75034;0.10185:0.553
1167609799,78809;0.11065:0.5683
1167609799,82288;0.1097:0.5554
1167609799,86124;0.10765:0.5711
1167609799,89612;0.11215:0.56785
1167609799,93615;0.1103:0.56635
1167609799,97087;0.11085:0.57545
1167609800,00911;0.10505:0.5633
1167609800,04278;0.10675:0.57025
1167609800,08207;0.1033:0.5609
1167609800,11707;0.1039:0.57075
1167609800,15486;0.10505:0.5688
1167609800,1885;0.1095:0.57045
1167609800,2262;0.1251:0.56495
1167609800,26045;0.44575:0.5639
1167609800,29927;0.4449:0.5649
1167609800,33379;0.45415:0.5597
1167609800,37232;0.4445:0.5592
1167609800,40544;0.44755:0.5599
1167609800,43921;0.44485:0.5633
1167609800,47281;0.4468:0.5661
1167609800,50609;0.4456:0.56345
1167609800,53973;0.4447:0.566
1167609800,57332;0.44985:0.5593
1167609800,60694;0.4468:0.55885
1167609800,64051;0.4443:0.56075
1167609800,67421;0.44485:0.5625
1167609800,70799;0.44695:0.5502
1167609800,74164;0.43735:0.56345
1167609800,77547;0.4308:0.5946
1167609800,80927;
1167609800,84295;
1167609800,86811;
1167609800,89352;
1167609800,91913;0.53475:1.0459
1167609800,9448;0.4873:0.57865
1167609800,978;
1167609801,01525;0.49305:0.57675
1167609801,04036;0.4998:0.5769
1167609801,07578;0.4925:0.58175
1167609801,10969;0.489:0.57905
1167609801,14358;0.4903:0.5847
1167609801,17758;0.49885:0.5806
1167609801,2116;0.49315:0.5867
1167609801,24554;0.44555:0.58025
1167609801,27941;0.44495:0.58865
1167609801,3134;0.4426:0.5863
1167609801,34726;0.44895:0.57255
1167609801,38111;0.4453:0.57035
1167609801,41499;0.44665:0.5856
1167609801,44943;0.44315:0.5843
1167609801,48595;0.42435:0.58405
1167609801,51918;0.441:0.58745
1167609801,55242;0.44035:0.5858
1167609801,58641;0.4378:0.58085
1167609801,62035;0.43865:0.5906
1167609801,65812;0.44415:0.5815
1167609801,69284;0.44345:0.58875
1167609801,73081;0.43925:0.5822
1167609801,76571;0.4389:0.58205
1167609801,80588;0.4445:0.57565
1167609801,84009;0.4411:0.58795
1167609801,87916;0.24905:0.5621
1167609801,91337;0.1867:0.5778
1167609801,95312;0.18345:0.5632
1167609801,98749;0.1923:0.57515
1167609802,02595;0.1879:0.56995
1167609802,0601;0.18265:0.5642
1167609802,09838;0.1815:0.5684
1167609802,1327;0.18505:0.5684
1167609802,17157;0.19065:0.5764
