Timestamp;GazePoint
636193820657,599;
1167609922,0687;
1167609922,1204;
1167609922,20484;
1167609922,26599;
1167609922,31897;
1167609922,37211;
1167609922,43673;
1167609922,52368;
1167609922,57474;
1167609922,67152;
1167609922,73445;
1167609922,78615;
1167609922,82971;
1167609922,88007;
1167609922,94627;
1167609923,01953;
1167609923,09868;
1167609923,16855;
1167609923,25044;
1167609923,31911;
1167609923,38594;
1167609923,42044;
1167609923,45785;
1167609923,49375;
1167609923,53912;
1167609923,57811;
1167609923,62142;
1167609923,66214;
1167609923,71465;
1167609923,76049;
1167609923,8191;
1167609923,86855;
1167609923,92848;
1167609923,98827;
1167609924,02741;
1167609924,0513;
1167609924,08162;0.27395:0.16145
1167609924,10826;0.27945:0.23025
1167609924,14829;0.27975:0.24825
1167609924,20268;
1167609924,24644;
1167609924,30055;
1167609924,35312;
1167609924,4034;
1167609924,45256;
1167609924,50958;
1167609924,5641;
1167609924,61231;
1167609924,66037;
1167609924,71721;0.08525:0.85805
1167609924,7553;0.07235:0.80935
1167609924,8051;0.0656:0.78425
1167609924,84819;0.0779:0.76795
1167609924,90261;
1167609924,94772;0.0711:0.75925
1167609924,98022;0.0721:0.7674
1167609925,02271;0.06175:0.78175
1167609925,07578;0.583:0.7389
1167609925,13141;
1167609925,17671;
1167609925,22809;
1167609925,28286;
1167609925,33747;
1167609925,38752;
1167609925,43218;
1167609925,48331;
1167609925,54122;
1167609925,57641;0.84055:0.79985
1167609925,63865;0.8659:0.7873
1167609925,69813;0.8675:0.8597
1167609925,75966;
1167609925,80488;0.6497:0.53195
1167609925,86223;0.6499:0.52355
1167609925,89961;0.64575:0.52905
1167609925,94027;0.6478:0.53195
1167609925,97537;0.6583:0.56655
1167609926,01189;0.65435:0.5605
1167609926,046;
1167609926,07866;
1167609926,10474;
1167609926,13075;
1167609926,15939;
1167609926,24079;
1167609926,28463;
1167609926,38466;
1167609926,41513;
1167609926,45333;
1167609926,48215;
1167609926,5196;
1167609926,56572;
1167609926,60667;
1167609926,63468;
1167609926,67622;
