Timestamp;GazePoint
636193818614,582;
1167609717,81339;0.4982:0.56395
1167609717,84713;0.50075:0.55345
1167609717,88061;0.50595:0.564
1167609717,91412;0.50775:0.5684
1167609717,94764;0.5176:0.5725
1167609717,98115;0.50045:0.55395
1167609718,01495;0.50295:0.53605
1167609718,04864;0.50135:0.54045
1167609718,08267;0.37655:0.49895
1167609718,117;0.28465:0.44095
1167609718,15106;0.2785:0.4408
1167609718,18513;0.2727:0.43085
1167609718,21893;0.27835:0.4363
1167609718,25269;0.27795:0.45715
1167609718,28706;0.27495:0.42255
1167609718,32488;0.28055:0.45875
1167609718,35836;0.3304:0.5619
1167609718,39265;0.3501:0.5956
1167609718,4267;0.3472:0.58635
1167609718,46067;0.35085:0.59695
1167609718,49469;0.3389:0.56495
1167609718,53196;0.347:0.57715
1167609718,56664;0.3608:0.60525
1167609718,60418;0.3318:0.52195
1167609718,63876;0.32505:0.4951
1167609718,67913;0.32465:0.50445
1167609718,71393;0.3273:0.51135
1167609718,75259;0.3256:0.51115
1167609718,78729;0.3191:0.48635
1167609718,82793;0.2577:0.1499
1167609718,86293;0.26245:0.1753
1167609718,90286;0.26095:0.15085
1167609718,93774;0.25915:0.1537
1167609718,97716;0.2365:0.15285
1167609719,01233;0.22035:0.1346
1167609719,0527;0.225:0.12065
1167609719,08797;0.2126:0.14145
1167609719,12646;0.21305:0.14495
1167609719,1633;0.2178:0.13435
1167609719,19812;0.2181:0.14475
1167609719,23341;0.21655:0.1412
1167609719,26847;0.2203:0.1459
1167609719,30373;0.2169:0.15405
1167609719,33892;0.23295:0.1848
1167609719,37499;0.2351:0.1882
1167609719,40992;0.23605:0.18535
1167609719,44592;0.2331:0.1946
1167609719,48213;0.26935:0.27445
1167609719,51873;0.2963:0.29815
1167609719,55364;0.2947:0.286
1167609719,59063;0.2901:0.297
1167609719,62825;0.28515:0.3094
1167609719,6645;0.2847:0.2867
1167609719,7019;0.3062:0.51165
1167609719,73859;0.3013:0.52895
