Timestamp;GazePoint
636193818271,322;
1167609683,48212;0.48805:0.5591
1167609683,5154;0.48505:0.5671
1167609683,54867;0.4793:0.55565
1167609683,58218;0.4735:0.5732
1167609683,61579;0.4837:0.5645
1167609683,64909;0.48445:0.5563
1167609683,68272;0.47915:0.57525
1167609683,71598;0.48955:0.55735
1167609683,74988;0.48715:0.56675
1167609683,78321;0.4606:0.5398
1167609683,81695;0.3301:0.4666
1167609683,85079;0.32525:0.46905
1167609683,88458;0.32485:0.48485
1167609683,91895;0.3254:0.4778
1167609683,95525;0.3309:0.4672
1167609683,98848;0.31455:0.41695
1167609684,02215;0.3146:0.4393
1167609684,056;0.3122:0.4306
1167609684,08981;0.3048:0.43955
1167609684,12749;0.30495:0.45805
1167609684,16192;0.2999:0.44455
1167609684,1997;0.21795:0.27155
1167609684,23442;0.2086:0.25875
1167609684,27407;0.2077:0.2775
1167609684,3083;0.2058:0.2682
1167609684,34671;0.1975:0.2604
1167609684,3806;0.1948:0.2663
1167609684,42007;0.20065:0.24415
1167609684,45312;0.1965:0.2621
1167609684,49243;0.19465:0.26255
1167609684,52722;0.19605:0.2593
1167609684,56664;0.17795:0.28255
1167609684,60106;0.04455:0.25305
1167609684,64073;0.04315:0.2504
1167609684,67586;0.05125:0.2716
1167609684,71414;0.05395:0.27215
1167609684,74787;0.04385:0.24985
1167609684,7827;0.1731:0.33635
1167609684,81745;0.37035:0.37505
1167609684,85275;0.36355:0.36295
1167609684,8877;0.36775:0.35905
1167609684,9222;0.37:0.363
1167609684,95788;0.3623:0.3723
1167609684,99413;0.383:0.3677
1167609685,03062;0.39315:0.37045
1167609685,06554;0.3907:0.3623
1167609685,10063;0.3828:0.3713
1167609685,13475;0.39635:0.3518
1167609685,16898;0.38495:0.3693
1167609685,20317;0.38335:0.3587
1167609685,2376;0.4516:0.3514
1167609685,27271;0.66305:0.2978
1167609685,30759;0.6606:0.29295
1167609685,34335;0.65485:0.31735
1167609685,37811;0.656:0.3156
1167609685,41308;0.6508:0.31455
1167609685,44781;0.65405:0.33095
1167609685,48427;0.652:0.3215
1167609685,51859;0.6123:0.32635
1167609685,55469;0.2693:0.29395
1167609685,58961;0.18635:0.28235
1167609685,62412;0.1894:0.2773
1167609685,65874;0.183:0.2982
1167609685,69377;0.18925:0.2756
1167609685,72812;0.18955:0.29675
1167609685,76308;0.18505:0.29195
1167609685,80182;0.1284:0.33365
1167609685,83614;0.1105:0.33375
1167609685,87131;0.10935:0.33875
1167609685,90586;0.11625:0.33805
1167609685,94035;0.11225:0.3505
1167609685,9754;0.11465:0.32795
1167609686,01394;0.11675:0.33855
