Timestamp;GazePoint
636193818962,922;
1167609752,65181;0.27705:1.1556
1167609752,68557;0.27135:1.1457
1167609752,71875;0.27965:1.15475
1167609752,75245;0.26195:1.17385
1167609752,78613;0.2824:1.1484
1167609752,81968;0.2631:1.16875
1167609752,85309;0.2798:1.14495
1167609752,88641;0.2914:1.00775
1167609752,9194;0.40245:0.56865
1167609752,95329;0.40695:0.5473
1167609752,98826;0.4111:0.54835
1167609753,02221;0.39935:0.55965
1167609753,05596;0.3987:0.54995
1167609753,09008;0.40085:0.5608
1167609753,12471;0.29595:0.5086
1167609753,15858;0.27925:0.52405
1167609753,19292;0.28175:0.52655
1167609753,2264;
1167609753,25969;0.2878:0.5132
1167609753,28507;0.30325:0.52595
1167609753,31851;0.34575:0.5729
1167609753,35195;0.34545:0.5988
1167609753,38949;0.3508:0.6015
1167609753,42254;0.3374:0.6102
1167609753,45632;0.34625:0.59525
1167609753,49097;0.33835:0.6038
1167609753,52463;0.3475:0.5644
1167609753,55894;0.34715:0.59565
1167609753,59663;0.3474:0.5918
1167609753,63211;0.2746:0.55105
1167609753,67128;0.2468:0.536
1167609753,70617;0.2582:0.56555
1167609753,74571;0.29325:0.53845
1167609753,78091;0.297:0.53295
1167609753,83056;0.26325:0.535
1167609753,88527;0.3691:0.46295
1167609753,94878;0.43615:0.50915
1167609754,00569;0.43375:0.5032
1167609754,06058;0.40865:0.48795
1167609754,10834;0.36:0.5557
1167609754,15997;0.35455:0.51295
1167609754,20748;0.4529:0.39405
1167609754,26343;0.3684:0.5516
1167609754,32433;0.4453:0.4581
1167609754,37701;0.4328:0.47295
1167609754,42593;0.54355:0.13425
1167609754,48336;0.56025:0.08365
1167609754,5392;0.5373:0.1577
1167609754,59134;0.52385:0.1682
1167609754,64384;0.54455:0.14755
1167609754,69517;0.4429:0.12715
1167609754,74483;0.44575:0.14545
1167609754,79619;0.3356:0.1554
1167609754,8487;
1167609754,88467;0.32485:0.16685
1167609754,91164;0.32:0.1607
1167609754,94485;0.32755:0.15885
1167609754,97849;0.28245:0.3002
1167609755,01293;0.27005:0.47025
1167609755,04712;0.26695:0.46855
1167609755,08152;0.26195:0.47545
1167609755,11541;0.2602:0.47855
1167609755,14986;0.2652:0.47355
1167609755,1854;0.262:0.4815
1167609755,22086;0.2861:0.52105
1167609755,25566;0.32675:0.5875
1167609755,29017;0.335:0.6053
1167609755,32469;0.32395:0.61695
1167609755,35951;0.332:0.6067
1167609755,39409;0.3291:0.59925
1167609755,42816;0.3279:0.59275
1167609755,46197;0.56345:0.56535
1167609755,49933;0.7335:0.52915
1167609755,53306;0.73645:0.52945
1167609755,56797;0.7432:0.54145
1167609755,60182;0.73905:0.5262
1167609755,64069;0.7514:0.52395
1167609755,67518;0.74615:0.5282
1167609755,71287;0.66075:0.55665
1167609755,74729;0.6506:0.55495
1167609755,78748;0.65115:0.55645
1167609755,82222;0.65165:0.5424
1167609755,86212;0.64435:0.5549
1167609755,89633;0.6307:0.5298
1167609755,93615;0.6255:0.5509
1167609755,97041;0.6335:0.55105
1167609756,00867;0.6293:0.52935
1167609756,04276;0.62505:0.5582
1167609756,0818;0.62335:0.54195
1167609756,11638;0.6239:0.54175
1167609756,15593;0.62205:0.54905
1167609756,19013;0.6329:0.54425
1167609756,22869;0.62775:0.5381
1167609756,26225;0.6201:0.55085
