Timestamp;GazePoint
636191278010,503;
1167610295,13632;0.4985:0.4753
1167610295,17132;0.498:0.477
1167610295,20661;0.49605:0.4655
1167610295,24186;0.4982:0.48105
1167610295,27698;0.50105:0.4803
1167610295,31218;0.49945:0.4914
1167610295,34733;0.49885:0.4747
1167610295,38306;0.50135:0.48615
1167610295,41796;0.50515:0.48715
1167610295,45306;0.5002:0.4962
1167610295,48822;0.3992:0.37205
1167610295,52307;0.3936:0.3587
1167610295,55797;0.3911:0.37175
1167610295,59312;0.38955:0.37475
1167610295,62829;0.3904:0.3586
1167610295,66342;0.3853:0.37055
1167610295,69854;0.38725:0.35905
1167610295,73358;0.4242:0.424
1167610295,76879;0.4211:0.4166
1167610295,80363;0.4198:0.41365
1167610295,83879;0.42005:0.4191
1167610295,87363;0.4206:0.4133
1167610295,91289;0.28305:0.3762
1167610295,94671;0.2614:0.3712
1167610295,98193;0.26385:0.36285
1167610296,01694;0.2824:0.4065
1167610296,05199;0.29465:0.38885
1167610296,08896;0.23075:0.35825
1167610296,12751;0.22575:0.3417
1167610296,16374;0.2237:0.35865
1167610296,20376;0.22145:0.34165
1167610296,23989;0.21725:0.3568
1167610296,28252;0.2585:0.48345
1167610296,31858;0.2649:0.48405
1167610296,35888;0.2662:0.49375
1167610296,39467;0.2602:0.4866
1167610296,43651;0.2697:0.48105
1167610296,47239;0.3644:0.5646
1167610296,51272;0.3813:0.593
1167610296,5485;0.38775:0.5886
1167610296,58847;0.3854:0.5938
1167610296,62435;0.3845:0.5872
1167610296,66643;0.3933:0.645
1167610296,70241;0.40015:0.6512
1167610296,74405;0.402:0.64945
1167610296,77985;0.3995:0.64475
1167610296,81612;0.2464:0.8305
1167610296,85257;0.268:0.8282
1167610296,88897;0.27125:0.8264
1167610296,92542;0.2741:0.83155
1167610296,96183;0.19765:0.797
1167610296,99918;0.20075:0.84275
1167610297,03697;0.19745:0.8295
1167610297,07423;0.18955:0.8171
1167610297,11089;0.1987:0.81935
1167610297,14746;0.0712:0.7274
1167610297,18494;0.10015:0.74475
1167610297,22294;0.09545:0.7369
1167610297,25987;0.0943:0.7639
1167610297,29654;0.09805:0.7418
1167610297,33331;0.06505:0.6838
1167610297,37009;0.09775:0.3053
1167610297,40669;0.09875:0.3039
1167610297,44327;0.09805:0.30135
1167610297,47977;0.0952:0.30095
1167610297,51606;0.0886:0.30905
1167610297,55227;0.09365:0.30785
1167610297,58818;0.0858:0.31015
1167610297,62429;0.08835:0.3025
1167610297,66005;0.09435:0.3066
1167610297,6963;0.07405:0.1065
1167610297,73233;0.07395:0.1224
1167610297,76867;0.0712:0.1143
1167610297,80466;0.0722:0.1115
1167610297,84481;0.13385:0.1824
1167610297,88141;0.2241:0.3459
1167610297,91767;0.23105:0.37425
1167610297,95374;0.22425:0.3728
1167610297,98989;0.22825:0.3753
1167610298,02821;0.22345:0.3642
1167610298,06509;0.2255:0.3738
1167610298,10409;0.2304:0.38065
1167610298,14089;0.2278:0.37515
1167610298,18331;0.09985:0.84245
1167610298,22073;0.07055:0.8748
1167610298,2641;0.0672:0.8494
1167610298,30215;0.08135:0.76665
1167610298,3458;
1167610298,38355;
1167610298,42014;
1167610298,44742;
1167610298,48578;
1167610298,52061;
1167610298,56633;
1167610298,6114;
1167610298,66034;
1167610298,69828;
1167610298,72476;
1167610298,75135;
1167610298,79794;
1167610298,83927;
1167610298,86069;
1167610298,88741;0.2757:0.13495
1167610298,91362;0.28035:0.1417
1167610298,94712;0.27645:0.1322
1167610298,98289;0.28285:0.1217
1167610299,02408;0.27365:0.13275
1167610299,06059;0.2701:0.13495
1167610299,09738;0.27755:0.1406
1167610299,1325;0.28025:0.1224
1167610299,169;0.2748:0.13235
1167610299,20557;0.51765:0.06525
1167610299,24205;0.57505:0.07315
1167610299,27788;0.5718:0.066
1167610299,314;0.5703:0.0753
1167610299,35081;0.567:0.0823
1167610299,38826;0.56445:0.08805
1167610299,4253;0.55765:0.093
1167610299,46241;0.4472:0.0848
1167610299,49944;0.4258:0.09565
1167610299,536;0.42325:0.1027
1167610299,57344;0.43255:0.08945
1167610299,60747;0.42805:0.0862
1167610299,64311;0.4844:0.1259
1167610299,67894;0.67415:0.58715
1167610299,7149;0.6991:0.59765
1167610299,75647;0.6982:0.60185
1167610299,79353;0.67595:0.58265
1167610299,83134;0.67455:0.5904
1167610299,86984;0.67975:0.5847
1167610299,90777;0.6764:0.58595
1167610299,95359;0.68115:0.5749
1167610299,99177;0.81855:0.6487
1167610300,03429;0.84215:0.63685
1167610300,07282;
1167610300,11683;
