Timestamp;GazePoint
636191277342,224;
1167610228,3369;0.51185:0.38025
1167610228,37537;0.5137:0.37885
1167610228,41514;0.51255:0.378
1167610228,45934;0.604:1.0254
1167610228,49913;0.53995:1.15515
1167610228,54073;0.53325:1.15135
1167610228,58286;0.4896:1.085
1167610228,62832;0.442:0.45215
1167610228,67518;0.43375:0.4457
1167610228,71651;0.44105:0.4238
1167610228,76173;0.4394:0.429
1167610228,8001;0.30655:0.43215
1167610228,84566;0.2902:0.43875
1167610228,88757;0.28755:0.44335
1167610228,9324;0.28395:0.4399
1167610228,97206;0.28065:0.4448
1167610229,01684;0.2842:0.3502
1167610229,05598;0.28675:0.36945
1167610229,09858;0.2934:0.3801
1167610229,13679;0.2908:0.37875
1167610229,18034;0.2881:0.3746
1167610229,21879;0.2917:0.3861
1167610229,26308;0.2949:0.37695
1167610229,30196;0.3175:0.529
1167610229,34446;0.32425:0.5252
1167610229,3821;0.32485:0.5283
1167610229,41943;0.3275:0.52395
1167610229,45706;0.3237:0.5368
1167610229,49461;0.2456:0.563
1167610229,5327;0.2365:0.56955
1167610229,57011;0.23295:0.55125
1167610229,60846;0.23285:0.5476
1167610229,64493;0.21855:0.5497
1167610229,6823;0.21465:0.54685
1167610229,72009;0.20915:0.5361
1167610229,75743;0.21305:0.5472
1167610229,79484;0.2097:0.55415
1167610229,83337;0.126:0.6991
1167610229,87329;0.14105:0.6767
1167610229,91209;0.1465:0.6792
1167610229,95252;0.1476:0.66405
1167610229,99199;
1167610230,03153;0.14645:0.6647
1167610230,05932;
1167610230,09791;
1167610230,13053;0.1506:0.66345
1167610230,16424;0.1891:0.6291
1167610230,20287;0.19835:0.56655
1167610230,24243;0.2005:0.57415
1167610230,28191;0.20365:0.57375
1167610230,32162;0.23465:0.5272
1167610230,36126;0.2257:0.53475
1167610230,40053;0.21845:0.53335
1167610230,44319;0.22125:0.5428
1167610230,48228;0.22335:0.5359
1167610230,52151;0.22255:0.52785
1167610230,56076;0.22845:0.54605
1167610230,6009;0.2278:0.5431
1167610230,64374;0.2251:0.54665
1167610230,68372;0.21855:0.54305
1167610230,73141;0.32165:0.7804
1167610230,77471;0.3258:0.78735
1167610230,82281;0.3259:0.7966
1167610230,86149;0.32405:0.7975
1167610230,90516;0.3202:0.80775
1167610230,94414;
1167610230,99269;
1167610231,02588;
1167610231,07181;
1167610231,10179;0.09895:0.6725
1167610231,14493;
1167610231,18356;
1167610231,2229;
1167610231,252;
1167610231,2865;
1167610231,32355;0.29675:0.81085
1167610231,36056;0.30155:0.79925
1167610231,39719;0.3001:0.7928
1167610231,43406;0.32385:0.779
1167610231,47151;
1167610231,51067;
1167610231,53819;
1167610231,56627;
1167610231,59496;
1167610231,62439;
1167610231,65386;
1167610231,68458;0.31795:0.77725
1167610231,71565;
1167610231,74972;
1167610231,77637;0.28985:0.5976
1167610231,80848;
1167610231,84664;
1167610231,882;0.2701:0.10275
1167610231,91177;0.2682:0.1039
1167610231,94933;0.2718:0.10245
1167610231,98697;0.21635:0.0336
1167610232,0261;0.2371:0.0556
1167610232,06311;0.2293:0.06415
1167610232,10162;0.2291:0.0693
1167610232,13864;0.2294:0.07235
1167610232,17483;0.2261:0.06605
1167610232,21148;0.21485:0.0151
1167610232,24897;0.21615:0.0312
1167610232,28612;0.21795:0.035
1167610232,32375;0.21815:0.0322
1167610232,36259;0.21655:0.0398
1167610232,40195;0.4532:0.07285
1167610232,43874;
1167610232,47799;0.8285:0.13225
1167610232,51099;0.8197:0.14105
1167610232,55082;0.7914:0.1329
1167610232,59457;
1167610232,63754;
1167610232,6845;
1167610232,71812;
1167610232,7573;0.8823:0.1937
1167610232,80579;0.87035:0.19705
1167610232,85295;
1167610232,89242;0.88355:0.1922
1167610232,92706;0.7416:0.11985
1167610232,96545;0.6992:0.10595
1167610233,00897;0.70225:0.12825
1167610233,0486;
1167610233,09333;0.6982:0.1333
1167610233,1272;0.70065:0.167
1167610233,19268;0.70715:0.104
1167610233,23933;0.7102:0.1499
1167610233,28399;0.7087:0.10615
1167610233,32318;0.70515:0.1174
1167610233,36432;0.71:0.15015
1167610233,40517;0.70505:0.1102
1167610233,44532;0.70165:0.1074
1167610233,4856;0.70175:0.10165
1167610233,52608;0.76385:0.30225
1167610233,56734;0.77245:0.3455
1167610233,60867;0.77755:0.3473
1167610233,6482;0.7704:0.3587
1167610233,68883;0.7799:0.3434
1167610233,73618;0.77225:0.3538
1167610233,77711;0.7744:0.3517
1167610233,82559;0.7791:0.3497
1167610233,86657;0.7781:0.34675
1167610233,9077;0.78155:0.3381
1167610233,94871;0.77055:0.36525
1167610233,98972;0.8806:0.1457
1167610234,03813;0.89385:0.1448
1167610234,08209;0.88775:0.14085
1167610234,12279;0.88595:0.13705
1167610234,16446;0.8805:0.15425
1167610234,20598;0.8844:0.1369
1167610234,25072;0.79985:0.76395
1167610234,29253;0.8033:0.82545
1167610234,33457;0.8026:0.80995
1167610234,37824;0.80195:0.81185
1167610234,41812;0.806:0.81685
1167610234,45927;0.76385:0.8193
1167610234,49936;0.76405:0.82535
1167610234,53914;0.75955:0.82445
1167610234,58364;0.75985:0.8223
1167610234,62517;0.75225:0.8335
1167610234,66878;0.7544:0.8371
1167610234,71029;0.7629:0.82905
1167610234,7568;0.75825:0.84265
1167610234,79772;0.76065:0.83605
1167610234,84165;
1167610234,88151;0.2247:0.74375
1167610234,92486;0.23635:0.7565
1167610234,96855;0.2641:0.7384
1167610235,01657;0.2697:0.7445
1167610235,0573;0.2611:0.75355
1167610235,10138;0.25035:0.7406
1167610235,14718;0.2063:0.5915
1167610235,19164;0.19695:0.5955
1167610235,23242;0.18705:0.5903
1167610235,2766;0.10055:0.6613
1167610235,31717;0.10225:0.65785
1167610235,35617;0.109:0.66675
1167610235,39525;0.1071:0.663
1167610235,43447;0.10555:0.66055
1167610235,47367;0.1314:0.6843
1167610235,51264;0.13965:0.6692
1167610235,55199;0.132:0.67365
1167610235,59324;0.13415:0.6749
1167610235,63356;0.31265:0.5154
1167610235,67418;0.3275:0.5164
1167610235,71515;0.3307:0.50775
1167610235,75209;0.33325:0.5036
1167610235,79025;0.3234:0.512
1167610235,82841;0.21265:0.55375
1167610235,86619;0.20775:0.55285
1167610235,90556;0.2062:0.5637
1167610235,94267;0.2066:0.56575
1167610235,98037;0.1994:0.56865
1167610236,0176;0.2087:0.5756
1167610236,05512;0.2063:0.57135
1167610236,09181;
1167610236,12875;0.2191:0.5809
1167610236,15627;0.21865:0.58145
1167610236,19343;0.22585:0.5678
1167610236,23072;0.21625:0.56295
1167610236,26844;0.2138:0.56775
1167610236,30656;
1167610236,34716;
1167610236,38259;
1167610236,40948;
1167610236,43588;
1167610236,4631;
1167610236,49742;0.7545:0.7301
1167610236,53777;
1167610236,58621;0.74315:0.6185
1167610236,61106;0.7435:0.61545
1167610236,654;0.74435:0.6326
1167610236,69242;0.7395:0.6483
1167610236,73559;
1167610236,77407;
1167610236,81525;
1167610236,84543;
1167610236,88898;
1167610236,91774;0.18135:1.29075
1167610236,9671;0.1658:1.323
1167610237,01291;0.10905:1.25285
1167610237,06015;0.098:1.2198
1167610237,10291;0.0992:1.27335
1167610237,15588;
1167610237,19483;
1167610237,23713;0.05695:1.30585
1167610237,27483;
1167610237,31358;
1167610237,34955;
1167610237,38749;
1167610237,42444;
1167610237,46677;
1167610237,50697;
1167610237,54895;
1167610237,60448;
1167610237,65764;
1167610237,69993;
1167610237,74722;
1167610237,78053;
1167610237,82164;
1167610237,8655;
1167610237,91185;
1167610237,95283;
1167610237,99366;
1167610238,03841;
1167610238,0857;0.2223:0.92225
1167610238,1246;0.3154:0.87365
1167610238,16649;0.31755:0.8859
1167610238,20952;0.31355:0.8805
1167610238,24939;0.33985:0.9302
1167610238,29114;0.3714:1.23035
