Timestamp;GazePoint
636191277009,005;
1167610195,01389;0.5173:0.48865
1167610195,04835;0.51915:0.4911
1167610195,08286;0.51425:0.49355
1167610195,11736;0.51395:0.4842
1167610195,15169;0.51695:0.48945
1167610195,18631;0.52015:0.48635
1167610195,22068;0.5137:0.4968
1167610195,25523;0.5128:0.48955
1167610195,28993;0.4262:0.4322
1167610195,32459;0.37145:0.39155
1167610195,35977;0.3732:0.38505
1167610195,39464;0.3723:0.3947
1167610195,42943;0.3702:0.3924
1167610195,46465;0.37445:0.3876
1167610195,50011;0.37065:0.38445
1167610195,53572;0.3792:0.39045
1167610195,57165;0.38375:0.3869
1167610195,6076;0.38115:0.39
1167610195,64356;0.38435:0.37655
1167610195,67968;0.38665:0.3814
1167610195,71568;0.2902:0.76935
1167610195,75525;0.2877:0.77595
1167610195,79154;0.27845:0.7833
1167610195,82868;0.27385:0.77635
1167610195,86559;0.2783:0.78415
1167610195,90171;0.19275:0.7363
1167610195,93797;0.17895:0.72625
1167610195,9777;0.1831:0.7487
1167610196,01539;0.1813:0.741
1167610196,05643;0.2982:0.69575
1167610196,09344;0.31125:0.68655
1167610196,13551;0.30335:0.6885
1167610196,17268;0.30565:0.6975
1167610196,21335;0.31135:0.682
1167610196,24979;0.30815:0.6924
1167610196,29224;0.3146:0.6847
1167610196,33008;0.3063:0.69
1167610196,37246;0.31235:0.687
1167610196,40997;0.3122:0.69255
1167610196,45412;0.3104:0.69545
1167610196,49137;0.3037:0.6869
1167610196,53428;0.30725:0.6899
1167610196,57155;0.30515:0.69355
1167610196,61613;0.31085:0.68655
1167610196,6525;0.30585:0.6935
1167610196,68982;0.3043:0.6911
1167610196,7261;0.30435:0.69965
1167610196,76237;0.3093:0.69
1167610196,79863;0.30935:0.68175
1167610196,83493;0.30575:0.68585
1167610196,87413;0.30885:0.6876
1167610196,9136;0.3085:0.6877
1167610196,9499;0.30655:0.6822
1167610196,98895;0.30625:0.6916
1167610197,02796;0.30535:0.6868
1167610197,06758;0.30495:0.68385
1167610197,10716;0.30365:0.69805
1167610197,14749;0.6999:0.65995
1167610197,18753;0.84895:0.58335
1167610197,22887;0.8291:0.5263
1167610197,27012;
1167610197,30818;
1167610197,34838;0.8096:0.59445
1167610197,38778;0.81285:0.58515
1167610197,42882;0.88755:0.65925
1167610197,47569;0.8658:0.6636
1167610197,51539;0.8672:0.6521
1167610197,55469;0.86605:0.64115
1167610197,59384;0.8646:0.65235
1167610197,63281;0.86445:0.6531
1167610197,67239;0.85475:0.6542
1167610197,71607;0.8668:0.62405
1167610197,75406;0.86585:0.6332
1167610197,79193;0.86665:0.62655
1167610197,82985;0.86755:0.6195
1167610197,86827;0.86875:0.6293
1167610197,90999;0.86515:0.6425
1167610197,94866;0.86625:0.6423
1167610197,99042;0.86285:0.63915
1167610198,02838;0.8678:0.6415
1167610198,0748;0.86105:0.64295
1167610198,11283;0.8677:0.6307
1167610198,1579;0.86295:0.6365
1167610198,19522;0.86135:0.6413
1167610198,24098;0.854:0.6445
1167610198,28488;0.8594:0.63235
1167610198,33253;0.8559:0.6409
1167610198,37529;0.8565:0.6427
1167610198,41738;0.85565:0.64715
1167610198,4648;0.85545:0.64975
1167610198,50936;0.862:0.64295
1167610198,5551;0.85825:0.6433
1167610198,59648;0.87035:0.60285
