Timestamp;GazePoint
636191275558,823;
1167610050,04254;0.52345:0.40195
1167610050,07933;0.5158:0.42235
1167610050,11974;0.5197:0.41635
1167610050,15642;0.51905:0.4173
1167610050,1967;0.51765:0.4249
1167610050,23288;0.51885:0.4153
1167610050,27482;0.52395:0.4139
1167610050,31114;0.52:0.4328
1167610050,35249;0.52235:0.4089
1167610050,38856;0.51825:0.41895
1167610050,43061;0.2457:0.4648
1167610050,4685;0.2475:0.4724
1167610050,50997;0.24905:0.47245
1167610050,54547;0.25025:0.47865
1167610050,58681;0.2554:0.47375
1167610050,62409;0.24885:0.4719
1167610050,66563;0.2494:0.48055
1167610050,70394;0.2482:0.47
1167610050,74608;0.3205:0.5255
1167610050,78278;0.32645:0.5444
1167610050,82089;0.33275:0.53485
1167610050,85987;0.3294:0.54145
1167610050,89738;0.3255:0.5386
1167610050,93382;0.32705:0.5436
1167610050,97095;0.3598:0.54485
1167610051,00778;0.3619:0.56175
1167610051,04492;0.36205:0.55915
1167610051,08208;0.36595:0.53835
1167610051,11865;0.3555:0.56255
1167610051,15492;0.3604:0.5472
1167610051,19156;0.3995:0.77215
1167610051,22789;0.40305:0.83965
1167610051,26497;0.4045:0.84635
1167610051,30278;0.4011:0.8569
1167610051,3391;0.40125:0.8514
1167610051,37566;0.40675:0.83665
1167610051,41211;0.40165:0.8512
1167610051,44877;0.31465:0.827
1167610051,48555;0.309:0.81915
1167610051,52336;0.31005:0.8247
1167610051,56091;0.3042:0.8351
1167610051,59874;0.30215:0.83255
1167610051,63683;0.30655:0.82065
1167610051,67412;0.27225:0.4324
1167610051,71208;0.2502:0.3203
1167610051,75415;0.24695:0.32495
1167610051,79284;0.2496:0.3274
1167610051,83775;0.24375:0.3338
1167610051,87912;0.2457:0.3453
1167610051,91938;0.2803:0.2587
1167610051,9592;0.3319:0.07025
1167610052,00025;0.33205:0.06605
1167610052,04566;0.33115:0.06905
1167610052,08598;0.33025:0.07605
1167610052,1269;0.3284:0.0728
1167610052,16464;0.3631:0.05605
1167610052,20709;0.37165:0.067
1167610052,24464;0.36975:0.0767
1167610052,28815;0.36495:0.0672
1167610052,32561;0.3712:0.0686
1167610052,36869;0.372:0.08105
1167610052,40753;0.36975:0.06895
1167610052,44972;0.3741:0.07665
1167610052,48956;0.3752:0.0703
1167610052,53448;0.3858:0.0746
1167610052,58113;0.3875:0.07765
1167610052,63275;0.38625:0.07275
1167610052,67848;0.38565:0.08335
1167610052,72606;0.38975:0.09135
1167610052,76147;0.45605:0.0156
1167610052,79887;0.4622:0.02325
1167610052,83586;0.467:0.02935
1167610052,87299;0.46355:0.0244
1167610052,9102;0.4655:0.02565
1167610052,94811;0.4663:0.0269
1167610052,98536;0.4667:0.01965
1167610053,02261;0.4643:0.0294
1167610053,06137;0.46415:0.0155
1167610053,09981;0.48505:0.0342
1167610053,14957;
1167610053,19349;0.6514:0.095
1167610053,23039;
1167610053,26911;0.63125:0.04795
1167610053,30058;
1167610053,34365;0.61925:0.02335
1167610053,3864;0.6139:0.01955
1167610053,43053;0.6134:0.0218
1167610053,48283;0.61685:0.0148
1167610053,52734;0.6194:0.0209
1167610053,57596;0.61115:0.0218
1167610053,61915;0.60355:0.03425
1167610053,66484;0.60085:0.0381
1167610053,71055;0.60595:0.01685
1167610053,75424;0.59685:0.03415
1167610053,79848;0.52035:0.05865
1167610053,83867;0.5223:0.0707
1167610053,89496;0.5203:0.0701
1167610053,94282;0.51875:0.06045
1167610053,99356;0.52225:0.0544
1167610054,04534;0.27255:0.31745
1167610054,08715;0.1936:0.3967
1167610054,13989;0.2468:0.4005
1167610054,18953;0.24185:0.42245
1167610054,2418;0.24385:0.39615
1167610054,29069;0.2477:0.43865
1167610054,34625;0.22705:0.38285
1167610054,39135;0.23355:0.39255
1167610054,44672;0.22755:0.3942
1167610054,49068;0.2246:0.3974
