Timestamp;GazePoint
849,54857;
1167609849,59109;
1167609849,63531;
1167609849,67374;
1167609849,71793;
1167609849,76215;
1167609849,80242;
1167609849,84053;0.1216:0.4347
1167609849,97743;0.1384:0.41625
1167609850,0452;
1167609850,20873;0.1311:0.393
1167609850,26627;0.1433:0.40775
1167609850,34145;0.13855:0.3734
1167609850,38905;0.1427:0.4576
1167609850,43843;0.1889:0.2006
1167609850,48634;0.1968:0.1937
1167609850,53923;0.197:0.2147
1167609850,58924;0.1958:0.21425
1167609850,64264;0.19825:0.2135
1167609850,69768;0.19295:0.21385
1167609850,75398;0.19375:0.2123
1167609850,80548;0.19485:0.19825
1167609850,86709;0.24975:0.21795
1167609850,91848;0.2427:0.19565
1167609850,97979;0.24705:0.21425
1167609851,03177;0.24385:0.18865
1167609851,09384;0.24165:0.18605
1167609851,15036;0.24605:0.2067
1167609851,2135;0.2467:0.2218
1167609851,25765;0.2469:0.20035
1167609851,30496;0.24785:0.20315
1167609851,3534;0.27355:0.20715
1167609851,39468;0.2872:0.21
1167609851,43881;0.28785:0.2193
1167609851,48027;0.291:0.2186
1167609851,51628;0.2786:0.22335
1167609851,5524;0.2862:0.22165
1167609851,59289;0.28585:0.2229
1167609851,63357;0.28695:0.2237
1167609851,66957;0.2889:0.23585
1167609851,70588;0.28955:0.2151
1167609851,74211;0.2876:0.21805
1167609851,77833;0.2868:0.21765
1167609851,81441;0.28865:0.2288
1167609851,85555;0.2913:0.2291
1167609851,89166;0.28705:0.228
1167609851,92772;0.2884:0.223
1167609851,96365;0.2864:0.22155
1167609851,99973;0.29205:0.24095
1167609852,03581;0.28615:0.2073
1167609852,07153;0.28795:0.2406
1167609852,10757;0.2879:0.23855
1167609852,14279;0.2908:0.2245
1167609852,17891;0.28545:0.22055
1167609852,21488;0.29365:0.233
1167609852,25038;0.29265:0.22825
1167609852,28645;0.2878:0.23115
1167609852,32167;0.2939:0.22355
1167609852,35759;0.2857:0.2193
1167609852,39294;0.29105:0.23875
1167609852,42747;0.29255:0.22785
1167609852,46212;0.28445:0.23095
1167609852,50046;0.28875:0.2308
1167609852,53518;0.28925:0.23625
1167609852,56996;0.28755:0.2401
1167609852,60539;0.28425:0.2326
1167609852,64065;0.2835:0.2441
1167609852,67881;0.2842:0.2321
1167609852,71431;0.26855:0.25545
1167609852,75867;0.2553:0.24765
1167609852,79396;0.25365:0.25815
1167609852,8355;0.2575:0.25395
1167609852,87196;0.2534:0.24515
1167609852,91016;0.2579:0.24405
1167609852,94896;0.25375:0.24485
1167609852,98412;0.25485:0.2502
1167609853,02565;0.25395:0.24905
1167609853,06128;0.25655:0.23365
1167609853,10136;0.25505:0.2662
1167609853,13734;0.25125:0.2616
1167609853,17698;0.25565:0.2517
1167609853,21346;0.2567:0.24105
1167609853,25488;0.26955:0.22855
1167609853,29575;0.2746:0.2435
1167609853,33463;0.26965:0.2477
1167609853,37073;0.2699:0.23805
1167609853,40781;0.26735:0.24365
1167609853,44465;0.2645:0.23645
1167609853,48239;0.26485:0.2434
1167609853,52017;0.2667:0.2397
1167609853,55722;0.2678:0.2384
1167609853,59269;0.26275:0.2482
1167609853,62793;0.264:0.23675
1167609853,6676;0.26195:0.2356
1167609853,70294;0.2623:0.25025
1167609853,73911;0.26885:0.2505
1167609853,77554;0.26055:0.24265
1167609853,81119;0.2641:0.24365
1167609853,84656;0.26255:0.23745
1167609853,88315;0.27845:0.4198
1167609853,91888;0.29195:0.53355
1167609853,95426;0.29295:0.52185
1167609853,99047;0.2965:0.52075
1167609854,02655;0.3002:0.5326
1167609854,06172;0.2975:0.53485
1167609854,09712;0.29525:0.54355
1167609854,13222;0.29725:0.5279
1167609854,16735;0.29435:0.5323
1167609854,20311;0.29995:0.52835
1167609854,23875;0.29375:0.5265
1167609854,27447;0.29845:0.51595
1167609854,31014;0.29395:0.53415
1167609854,34571;0.29235:0.5365
1167609854,38154;0.28925:0.5306
1167609854,42109;0.3313:0.5178
1167609854,45652;0.35615:0.51295
1167609854,49178;0.3579:0.52165
1167609854,52713;0.36215:0.50475
1167609854,56253;0.3521:0.5094
1167609854,59717;0.3671:0.513
1167609854,63543;0.4878:0.4289
1167609854,6706;0.48295:0.45295
1167609854,71011;0.48535:0.4477
1167609854,74566;0.4842:0.4595
1167609854,78718;0.4875:0.4462
1167609854,82239;0.4804:0.4563
1167609854,86125;0.4818:0.4682
1167609854,89627;0.47775:0.45675
1167609854,93656;0.47725:0.4659
1167609854,97139;0.4728:0.47095
1167609855,00644;0.4794:0.4711
1167609855,04445;0.45865:0.448
1167609855,07892;0.455:0.46495
1167609855,11755;0.45325:0.4617
1167609855,15212;0.453:0.45705
1167609855,19163;0.45055:0.46645
1167609855,22623;0.45125:0.46565
1167609855,26481;0.45565:0.4613
1167609855,29888;0.4549:0.46085
1167609855,3334;0.46365:0.443
1167609855,36685;0.46645:0.4335
1167609855,40162;0.46145:0.438
1167609855,43627;0.46145:0.4419
1167609855,47097;0.4663:0.4359
1167609855,50573;0.461:0.44705
1167609855,54012;0.4954:0.4548
1167609855,57457;0.5027:0.455
1167609855,60914;0.49775:0.45975
1167609855,64363;0.4974:0.4594
1167609855,67837;0.5011:0.46705
1167609855,71362;0.49345:0.4705
1167609855,7491;0.494:0.46395
1167609855,78469;0.49505:0.4593
1167609855,82457;0.49065:0.47505
1167609855,86008;0.48735:0.4953
1167609855,89637;0.4936:0.47405
1167609855,93213;0.49195:0.47865
1167609855,96739;0.4912:0.47705
1167609856,00273;0.49085:0.48775
1167609856,03816;0.48865:0.4973
1167609856,07359;0.4827:0.4964
1167609856,10982;0.4859:0.4954
1167609856,14474;0.49215:0.47585
1167609856,17975;0.4843:0.48335
1167609856,21515;0.48575:0.4943
1167609856,24976;0.22575:0.46215
1167609856,28474;0.224:0.4546
1167609856,32114;0.22705:0.45775
1167609856,36029;0.22395:0.4375
1167609856,39545;0.2268:0.452
1167609856,43017;0.23:0.4596
1167609856,46632;0.22825:0.45945
1167609856,50139;0.2221:0.45495
1167609856,53633;0.229:0.4617
1167609856,57485;0.2276:0.45855
1167609856,61011;0.22655:0.45735
1167609856,64916;0.2258:0.46385
1167609856,68554;0.2287:0.4566
1167609856,72754;0.2292:0.4655
1167609856,76295;0.23085:0.46705
1167609856,80286;0.23045:0.47315
1167609856,83859;0.2367:0.4568
1167609856,87933;0.23005:0.471
1167609856,9148;0.227:0.47965
1167609856,95477;0.2274:0.4695
1167609856,98982;0.22825:0.46215
1167609857,02876;0.22435:0.46255
1167609857,06435;0.2237:0.47325
1167609857,09987;0.22635:0.45475
1167609857,13936;0.22535:0.4532
1167609857,17478;0.22705:0.45715
1167609857,21563;0.22765:0.4683
1167609857,25234;0.2296:0.46685
1167609857,28857;0.22815:0.45905
1167609857,325;0.2258:0.3504
1167609857,36456;0.22515:0.4462
